Window,layers,hidden,dropout,lr,mse,batch_size
0.0,0.0,0.0,0.0,0.0,5.214645454545454e+18,0.0
15.0,1.0,8.0,0.0,0.05,6.085881807617991e+18,16.0
15.0,1.0,8.0,0.0,0.01,6.479007117175438e+18,16.0
15.0,1.0,8.0,0.1,0.05,6.203361935921848e+18,16.0
15.0,1.0,8.0,0.1,0.01,5.748623922583235e+18,16.0
15.0,1.0,16.0,0.0,0.05,6.454502052844843e+18,16.0
15.0,1.0,16.0,0.0,0.01,5.799990742332547e+18,16.0
15.0,1.0,16.0,0.1,0.05,8.110639702553265e+18,16.0
15.0,1.0,16.0,0.1,0.01,5.930423978337109e+18,16.0
15.0,1.0,32.0,0.0,0.05,6.862385258548998e+18,16.0
15.0,1.0,32.0,0.0,0.01,5.896108528244666e+18,16.0
15.0,1.0,32.0,0.1,0.05,8.570710578440569e+18,16.0
15.0,1.0,32.0,0.1,0.01,7.682838650589356e+18,16.0
15.0,1.0,64.0,0.0,0.05,1.1088322072856537e+19,16.0
15.0,1.0,64.0,0.0,0.01,7.008423321850276e+18,16.0
15.0,1.0,64.0,0.1,0.05,6.252592277846623e+18,16.0
15.0,1.0,64.0,0.1,0.01,5.859086578124661e+18,16.0
15.0,1.0,128.0,0.0,0.05,7.429605353423271e+18,16.0
15.0,1.0,128.0,0.0,0.01,5.979973570799383e+18,16.0
15.0,1.0,128.0,0.1,0.05,5.462496570143248e+18,16.0
15.0,1.0,128.0,0.1,0.01,5.570198343299965e+18,16.0
15.0,2.0,8.0,0.0,0.05,8.776950135036417e+18,16.0
15.0,2.0,8.0,0.0,0.01,6.319916603910173e+18,16.0
15.0,2.0,8.0,0.1,0.05,6.765201788706154e+18,16.0
15.0,2.0,8.0,0.1,0.01,1.2302067260922135e+19,16.0
15.0,2.0,16.0,0.0,0.05,6.376117925446988e+18,16.0
15.0,2.0,16.0,0.0,0.01,1.538861989764788e+19,16.0
15.0,2.0,16.0,0.1,0.05,1.3346551110432938e+19,16.0
15.0,2.0,16.0,0.1,0.01,1.1035991884944652e+19,16.0
15.0,2.0,32.0,0.0,0.05,6.287207798215207e+18,16.0
15.0,2.0,32.0,0.0,0.01,7.482504687964929e+18,16.0
15.0,2.0,32.0,0.1,0.05,1.892292103278782e+19,16.0
15.0,2.0,32.0,0.1,0.01,3.311452134467976e+19,16.0
15.0,2.0,64.0,0.0,0.05,8.107828381914543e+19,16.0
15.0,2.0,64.0,0.0,0.01,6.876916982562321e+18,16.0
15.0,2.0,64.0,0.1,0.05,1.568595734788191e+19,16.0
15.0,2.0,64.0,0.1,0.01,1.0917008957344332e+19,16.0
15.0,2.0,128.0,0.0,0.05,1.0712428582972349e+20,16.0
15.0,2.0,128.0,0.0,0.01,6.403610111428483e+18,16.0
15.0,2.0,128.0,0.1,0.05,1.7850840380781717e+20,16.0
15.0,2.0,128.0,0.1,0.01,1.0802402748394912e+19,16.0
15.0,3.0,8.0,0.0,0.05,1.325896240024051e+19,16.0
15.0,3.0,8.0,0.0,0.01,7.523738037347899e+18,16.0
