Window,layers,hidden,dropout,lr,mse,batch_size
0.0,0.0,0.0,0.0,0.0,5.214645454545454e+18,0.0
15.0,1.0,8.0,0.1,0.0001,2.032285998347809e+19,16.0
15.0,1.0,8.0,0.1,0.001,7.796857193854273e+18,16.0
15.0,1.0,8.0,0.3,0.0001,3.4864272794148303e+19,16.0
15.0,1.0,8.0,0.3,0.001,7.574253047138471e+18,16.0
15.0,1.0,16.0,0.1,0.0001,2.8987395834226483e+19,16.0
15.0,1.0,16.0,0.1,0.001,8.676247507887267e+18,16.0
15.0,1.0,16.0,0.3,0.0001,2.7878040852883907e+19,16.0
15.0,1.0,16.0,0.3,0.001,9.89932250083601e+18,16.0
15.0,1.0,32.0,0.1,0.0001,2.300086662064084e+19,16.0
15.0,1.0,32.0,0.1,0.001,9.069794588078478e+18,16.0
15.0,1.0,32.0,0.3,0.0001,2.324461640483729e+19,16.0
15.0,1.0,32.0,0.3,0.001,8.501007661681097e+18,16.0
15.0,1.0,64.0,0.1,0.0001,1.988666066151386e+19,16.0
15.0,1.0,64.0,0.1,0.001,8.113528736377283e+18,16.0
15.0,1.0,64.0,0.3,0.0001,1.7837918828396208e+19,16.0
15.0,1.0,64.0,0.3,0.001,8.493714502415419e+18,16.0
15.0,2.0,8.0,0.1,0.0001,3.4984285967789253e+19,16.0
15.0,2.0,8.0,0.1,0.001,9.984338216352846e+18,16.0
15.0,2.0,8.0,0.3,0.0001,1.1473944484439294e+20,16.0
15.0,2.0,8.0,0.3,0.001,2.5082310881349337e+19,16.0
15.0,2.0,16.0,0.1,0.0001,4.004118503234588e+19,16.0
15.0,2.0,16.0,0.1,0.001,1.5693832249351528e+19,16.0
15.0,2.0,16.0,0.3,0.0001,3.77789472302045e+19,16.0
15.0,2.0,16.0,0.3,0.001,1.429992042719951e+19,16.0
15.0,2.0,32.0,0.1,0.0001,2.521173805163798e+19,16.0
15.0,2.0,32.0,0.1,0.001,1.7596187184011717e+19,16.0
15.0,2.0,32.0,0.3,0.0001,2.7279583555342668e+19,16.0
15.0,2.0,32.0,0.3,0.001,1.933969671877193e+19,16.0
15.0,2.0,64.0,0.1,0.0001,2.113111392019006e+19,16.0
15.0,2.0,64.0,0.1,0.001,1.3319005547386298e+19,16.0
15.0,2.0,64.0,0.3,0.0001,2.1993094639625744e+19,16.0
15.0,2.0,64.0,0.3,0.001,1.4942295566883998e+19,16.0
15.0,1.0,8.0,0.0,0.001,6.328489932755174e+18,16.0
15.0,1.0,8.0,0.0,0.01,5.782076047556478e+18,16.0
15.0,1.0,8.0,0.1,0.01,5.394352987472587e+18,16.0
15.0,1.0,8.0,0.3,0.01,5.528196952942809e+18,16.0
15.0,1.0,16.0,0.0,0.001,8.541462539813155e+18,16.0
15.0,1.0,16.0,0.0,0.01,5.307194896572002e+18,16.0
15.0,1.0,16.0,0.1,0.01,5.344923750883701e+18,16.0
15.0,1.0,16.0,0.3,0.01,5.629583514022228e+18,16.0
15.0,1.0,32.0,0.0,0.001,8.174891280145101e+18,16.0
15.0,1.0,32.0,0.0,0.01,6.158348484110175e+18,16.0
15.0,1.0,32.0,0.1,0.01,5.232796035571618e+18,16.0
15.0,1.0,32.0,0.3,0.01,5.850693347648108e+18,16.0
15.0,1.0,64.0,0.0,0.001,7.747092218321496e+18,16.0
15.0,1.0,64.0,0.0,0.01,5.22252833751292e+18,16.0
15.0,1.0,64.0,0.1,0.01,5.01753595585013e+18,16.0
15.0,1.0,64.0,0.3,0.01,5.868602288636357e+18,16.0
15.0,2.0,8.0,0.0,0.001,8.319390281591117e+18,16.0
15.0,2.0,8.0,0.0,0.01,7.827896045528345e+18,16.0
15.0,2.0,8.0,0.1,0.01,1.0906457905219342e+19,16.0
15.0,2.0,8.0,0.3,0.01,1.708562131239126e+19,16.0
15.0,2.0,16.0,0.0,0.001,8.472565413865193e+18,16.0
15.0,2.0,16.0,0.0,0.01,5.485687808758922e+18,16.0
15.0,2.0,16.0,0.1,0.01,1.4161949552481503e+19,16.0
15.0,2.0,16.0,0.3,0.01,1.0092422945809672e+19,16.0
15.0,2.0,32.0,0.0,0.001,9.591062762477425e+18,16.0
15.0,2.0,32.0,0.0,0.01,5.848785478004726e+18,16.0
15.0,2.0,32.0,0.1,0.01,6.754056983090256e+18,16.0
15.0,2.0,32.0,0.3,0.01,1.1040101244221012e+19,16.0
15.0,2.0,64.0,0.0,0.001,5.906650452706912e+18,16.0
15.0,2.0,64.0,0.0,0.01,5.546042636696042e+18,16.0
15.0,2.0,64.0,0.1,0.01,9.851031071745305e+18,16.0
15.0,2.0,64.0,0.3,0.01,7.840369841439522e+18,16.0
15.0,3.0,8.0,0.0,0.001,9.725920622234843e+18,16.0
15.0,3.0,8.0,0.0,0.01,6.133623969910927e+18,16.0
15.0,3.0,8.0,0.1,0.001,1.7383875576015487e+19,16.0
15.0,3.0,8.0,0.1,0.01,1.2932478480224428e+19,16.0
15.0,3.0,8.0,0.3,0.001,2.0291954357357584e+19,16.0
15.0,3.0,8.0,0.3,0.01,1.2192858677194277e+19,16.0
15.0,3.0,16.0,0.0,0.001,1.0347140567813136e+19,16.0
15.0,3.0,16.0,0.0,0.01,5.631143035969544e+18,16.0
15.0,3.0,16.0,0.1,0.001,1.762609577507444e+19,16.0
15.0,3.0,16.0,0.1,0.01,2.074443170043284e+19,16.0
15.0,3.0,16.0,0.3,0.001,1.9229206129033822e+19,16.0
15.0,3.0,16.0,0.3,0.01,1.878954485884141e+19,16.0
15.0,3.0,32.0,0.0,0.001,1.010111951205496e+19,16.0
15.0,3.0,32.0,0.0,0.01,6.520841224069245e+18,16.0
15.0,3.0,32.0,0.1,0.001,2.192205417614953e+19,16.0
15.0,3.0,32.0,0.1,0.01,8.269159181493573e+18,16.0
15.0,3.0,32.0,0.3,0.001,1.9765426417096937e+19,16.0
15.0,3.0,32.0,0.3,0.01,1.2428400777305944e+19,16.0
15.0,3.0,64.0,0.0,0.001,7.012681040178754e+18,16.0
15.0,3.0,64.0,0.0,0.01,5.819325068829947e+18,16.0
15.0,3.0,64.0,0.1,0.001,1.1840060541977915e+19,16.0
15.0,3.0,64.0,0.1,0.01,9.019132985519912e+18,16.0
15.0,3.0,64.0,0.3,0.001,2.089667543629697e+19,16.0
15.0,3.0,64.0,0.3,0.01,7.351329804490624e+18,16.0
15.0,4.0,8.0,0.0,0.001,1.1122385232192762e+19,16.0
15.0,4.0,8.0,0.0,0.01,5.39662797414703e+18,16.0
15.0,4.0,8.0,0.1,0.001,1.3287215568076247e+19,16.0
15.0,4.0,8.0,0.1,0.01,1.041630445486128e+19,16.0
15.0,4.0,8.0,0.3,0.001,1.5723640761863533e+19,16.0
15.0,4.0,8.0,0.3,0.01,2.344261679525226e+19,16.0
15.0,4.0,16.0,0.0,0.001,1.033061825164644e+19,16.0
15.0,4.0,16.0,0.0,0.01,5.9476829627064e+18,16.0
15.0,4.0,16.0,0.1,0.001,1.5559159440905236e+19,16.0
15.0,4.0,16.0,0.1,0.01,9.109108553210672e+18,16.0
15.0,4.0,16.0,0.3,0.001,2.223873291841509e+19,16.0
15.0,4.0,16.0,0.3,0.01,2.1180509900169617e+19,16.0
15.0,4.0,32.0,0.0,0.001,6.954010961814619e+18,16.0
15.0,4.0,32.0,0.0,0.01,5.521453587166878e+18,16.0
15.0,4.0,32.0,0.1,0.001,1.361258374891728e+19,16.0
15.0,4.0,32.0,0.1,0.01,1.0490313794291048e+19,16.0
15.0,4.0,32.0,0.3,0.001,2.328663897589205e+19,16.0
15.0,4.0,32.0,0.3,0.01,1.7599705266333694e+19,16.0
