ts_event,open,high,low,close,volume
1525176000000000000,42880000000,42890000000,42880000000,42890000000,422
1525179600000000000,43030000000,43120000000,42740000000,43010000000,191462
1525183200000000000,43000000000,43000000000,42560000000,42740000000,250866
1525186800000000000,42740000000,43000000000,42620000000,42850000000,244682
1525190400000000000,42850000000,43130000000,42850000000,42930000000,135717
1525194000000000000,42925000000,43120000000,42625000000,43090000000,163340
1525197600000000000,43090000000,43340000000,42995000000,43310000000,170190
1525201200000000000,43310000000,43450000000,43165000000,43350000000,341298
1525204800000000000,43360000000,43380000000,43350000000,43350000000,373264
1525208400000000000,43360000000,43360000000,43360000000,43360000000,200
1525266000000000000,43230000000,43410000000,43090000000,43165000000,270669
1525269600000000000,43170000000,43350000000,43030000000,43110000000,365399
1525273200000000000,43100000000,43360000000,42800000000,42980000000,247941
1525276800000000000,42980000000,43210000000,42880000000,43180000000,179608
1525280400000000000,43180000000,43220000000,42890000000,42890000000,161021
1525284000000000000,42900000000,43040000000,42850000000,42850000000,276459
1525287600000000000,42850000000,42880000000,42190000000,42230000000,560805
1525291200000000000,42240000000,42250000000,42140000000,42250000000,317851
1525345200000000000,42240000000,42240000000,42150000000,42150000000,280
1525352400000000000,42350000000,42460000000,42120000000,42170000000,201126
1525356000000000000,42180000000,42280000000,41790000000,41865000000,329110
1525359600000000000,41870000000,41950000000,41540000000,41730000000,242315
1525363200000000000,41735000000,42170000000,41570000000,42140000000,165830
1525366800000000000,42145000000,42340000000,41960000000,42140000000,153758
1525370400000000000,42120000000,42390000000,42060000000,42170000000,148871
1525374000000000000,42180000000,42370000000,42045000000,42120000000,377688
1525377600000000000,42110000000,42200000000,42110000000,42200000000,174088
1525381200000000000,42120000000,42120000000,42120000000,42120000000,2
1525435200000000000,41990000000,41990000000,41990000000,41990000000,200
1525438800000000000,41800000000,42460000000,41750000000,42290000000,178824
1525442400000000000,42290000000,42720000000,42180000000,42550000000,189079
1525446000000000000,42540000000,43000000000,42430000000,42940000000,224200
1525449600000000000,42950000000,43220000000,42870000000,43200000000,177467
1525453200000000000,43210000000,43260000000,43090000000,43220000000,168743
1525456800000000000,43215000000,43440000000,43200000000,43250000000,156713
1525460400000000000,43250000000,43380000000,42850000000,42860000000,593101
1525464000000000000,42860000000,43010000000,42860000000,42860000000,507815
1525467600000000000,42900000000,42900000000,42900000000,42900000000,10
1525698000000000000,43250000000,43250000000,42600000000,42950000000,198733
1525701600000000000,42940000000,42980000000,42560000000,42640000000,221301
1525705200000000000,42640000000,42650000000,42280000000,42410000000,230256
1525708800000000000,42420000000,42470000000,42190000000,42220000000,207480
1525712400000000000,42220000000,42350000000,42130000000,42280000000,143076
1525716000000000000,42270000000,42410000000,42190000000,42310000000,123010
1525719600000000000,42310000000,42450000000,42220000000,42440000000,313832
1525723200000000000,42440000000,42450000000,42430000000,42430000000,372872
1525784400000000000,42360000000,42720000000,42330000000,42510000000,160548
1525788000000000000,42510000000,42900000000,42500000000,42860000000,255837
1525791600000000000,42850000000,44010000000,42830000000,43380000000,564726
1525795200000000000,43380000000,43430000000,42890000000,43110000000,226501
1525798800000000000,43105000000,43250000000,42910000000,42980000000,142125
1525802400000000000,43000000000,43050000000,42560000000,42570000000,238655
1525806000000000000,42575000000,43060000000,42540000000,43000000000,351446
1525809600000000000,43000000000,43000000000,42990000000,42990000000,473523
1525870800000000000,42990000000,43060000000,42760000000,42930000000,196521
1525874400000000000,42920000000,43160000000,42430000000,42530000000,317272
1525878000000000000,42530000000,42590000000,41930000000,42020000000,377168
1525881600000000000,42040000000,42130000000,41890000000,41960000000,212480
1525885200000000000,41980000000,42050000000,41800000000,41880000000,218881
1525888800000000000,41890000000,42050000000,41840000000,41910000000,176373
1525892400000000000,41900000000,41900000000,41470000000,41500000000,813433
1525896000000000000,41490000000,41650000000,41480000000,41650000000,290714
1525899600000000000,41650000000,41650000000,41650000000,41650000000,625
1525950000000000000,41610000000,41610000000,41610000000,41610000000,150
1525957200000000000,41660000000,42020000000,41460000000,42000000000,408008
1525960800000000000,42000000000,42330000000,41870000000,42250000000,441302
1525964400000000000,42240000000,42440000000,42145000000,42250000000,169203
1525968000000000000,42240000000,42450000000,42220000000,42390000000,172437
1525971600000000000,42380000000,42410000000,42270000000,42300000000,155326
1525975200000000000,42305000000,42305000000,41990000000,42140000000,215556
1525978800000000000,42130000000,42160000000,42010000000,42040000000,332867
1525982400000000000,42040000000,42100000000,42000000000,42100000000,143289
1525986000000000000,41900000000,41900000000,41850000000,41850000000,25
1526043600000000000,42130000000,42640000000,42060000000,42380000000,219556
1526047200000000000,42390000000,42650000000,42250000000,42480000000,324858
1526050800000000000,42480000000,42545000000,42190000000,42245000000,232410
1526054400000000000,42260000000,42325000000,42030000000,42140000000,170932
1526058000000000000,42130000000,42470000000,42130000000,42370000000,178709
1526061600000000000,42360000000,42485000000,42280000000,42400000000,214626
1526065200000000000,42410000000,42650000000,42370000000,42600000000,406089
1526068800000000000,42600000000,42600000000,42600000000,42600000000,216779
1526302800000000000,42460000000,42840000000,42400000000,42790000000,212990
1526306400000000000,42800000000,43090000000,42630000000,42680000000,274121
1526310000000000000,42670000000,42670000000,42210000000,42300000000,201582
1526313600000000000,42310000000,42520000000,42300000000,42440000000,65722
1526317200000000000,42430000000,42500000000,42310000000,42410000000,139666
1526320800000000000,42410000000,42530000000,42250000000,42440000000,128106
1526324400000000000,42440000000,42510000000,42370000000,42460000000,263010
1526328000000000000,42460000000,42460000000,42440000000,42440000000,181568
1526331600000000000,42400000000,42400000000,42380000000,42380000000,1985
1526385600000000000,42150000000,42150000000,42150000000,42150000000,152
1526389200000000000,42140000000,42830000000,41620000000,42400000000,357072
1526392800000000000,42360000000,42770000000,42350000000,42710000000,258442
1526396400000000000,42720000000,43200000000,42720000000,43040000000,333489
1526400000000000000,43040000000,43400000000,42910000000,43280000000,204997
1526403600000000000,43280000000,43300000000,42940000000,42940000000,178877
1526407200000000000,42930000000,43040000000,42830000000,42930000000,184696
1526410800000000000,42940000000,43225000000,42930000000,43190000000,417682
1526414400000000000,43190000000,43290000000,43190000000,43280000000,485442
1526418000000000000,43280000000,43280000000,43270000000,43270000000,415
1526421600000000000,43270000000,43270000000,43230000000,43230000000,1085
1526425200000000000,43230000000,43230000000,43200000000,43200000000,2300
1526475600000000000,43050000000,43600000000,43040000000,43510000000,164364
1526479200000000000,43520000000,43590000000,43250000000,43590000000,212823
1526482800000000000,43590000000,44430000000,43450000000,44420000000,323857
1526486400000000000,44430000000,44710000000,44360000000,44650000000,289501
1526490000000000000,44650000000,44850000000,44550000000,44840000000,195088
1526493600000000000,44830000000,44910000000,44290000000,44290000000,224104
1526497200000000000,44290000000,44290000000,43920000000,44070000000,503801
1526500800000000000,44060000000,44130000000,44060000000,44130000000,592854
1526511600000000000,44140000000,44140000000,44140000000,44140000000,36
1526562000000000000,43900000000,44510000000,43840000000,44410000000,294383
1526565600000000000,44410000000,44440000000,43910000000,44190000000,253947
1526569200000000000,44190000000,44250000000,43870000000,43920000000,148076
1526572800000000000,43920000000,43920000000,43490000000,43540000000,182645
1526576400000000000,43540000000,43950000000,43540000000,43900000000,168887
1526580000000000000,43890000000,44150000000,43740000000,43930000000,220849
1526583600000000000,43935000000,43950000000,43560000000,43630000000,311867
1526587200000000000,43630000000,43650000000,43630000000,43650000000,204224
1526644800000000000,44100000000,44180000000,44100000000,44180000000,40
1526648400000000000,43560000000,43750000000,43455000000,43560000000,172339
1526652000000000000,43560000000,43630000000,43100000000,43320000000,152826
1526655600000000000,43320000000,43410000000,43040000000,43250000000,131470
1526659200000000000,43260000000,43280000000,43080000000,43260000000,63400
1526662800000000000,43250000000,43310000000,43210000000,43280000000,51176
1526666400000000000,43280000000,43580000000,43250000000,43380000000,79748
1526670000000000000,43380000000,43430000000,43270000000,43390000000,222293
1526673600000000000,43380000000,43460000000,43380000000,43460000000,402655
1526907600000000000,43510000000,44290000000,43510000000,44270000000,151533
1526911200000000000,44270000000,44610000000,44250000000,44360000000,163812
1526914800000000000,44370000000,44470000000,44250000000,44470000000,80470
1526918400000000000,44480000000,44780000000,44370000000,44660000000,140168
1526922000000000000,44670000000,44720000000,44570000000,44600000000,80931
1526925600000000000,44600000000,44640000000,44330000000,44460000000,88250
1526929200000000000,44470000000,44470000000,44220000000,44290000000,219742
1526932800000000000,44280000000,44280000000,44280000000,44280000000,594757
1526990400000000000,44860000000,44860000000,44610000000,44620000000,600
1526994000000000000,44610000000,45040000000,43970000000,44025000000,244435
1526997600000000000,44025000000,44460000000,43760000000,43760000000,197070
1527001200000000000,43780000000,43860000000,43310000000,43360000000,158015
1527004800000000000,43350000000,43360000000,42890000000,42970000000,210423
1527008400000000000,42960000000,43060000000,42930000000,43020000000,91526
1527012000000000000,43020000000,43120000000,42980000000,43020000000,102264
1527015600000000000,43020000000,43080000000,42835000000,42870000000,336300
1527019200000000000,42880000000,43350000000,42820000000,43350000000,641415
1527076800000000000,42600000000,42660000000,42600000000,42650000000,208
1527080400000000000,42660000000,42755000000,42270000000,42550000000,129582
1527084000000000000,42550000000,42770000000,42310000000,42570000000,134550
1527087600000000000,42550000000,42820000000,42410000000,42410000000,75956
1527091200000000000,42410000000,42510000000,42380000000,42490000000,84865
1527094800000000000,42490000000,42560000000,42380000000,42540000000,92332
1527098400000000000,42530000000,42870000000,42450000000,42680000000,120828
1527102000000000000,42680000000,42860000000,42680000000,42800000000,231935
1527105600000000000,42800000000,42800000000,42600000000,42600000000,224159
1527163200000000000,42900000000,42900000000,42900000000,42900000000,1187
1527166800000000000,42880000000,43190000000,42760000000,42940000000,167335
1527170400000000000,42940000000,43140000000,42840000000,42865000000,138102
1527174000000000000,42865000000,43710000000,42865000000,43700000000,137908
1527177600000000000,43700000000,43790000000,43540000000,43620000000,90015
1527181200000000000,43630000000,43890000000,43630000000,43690000000,79070
1527184800000000000,43690000000,43770000000,43460000000,43490000000,100818
1527188400000000000,43500000000,43670000000,43410000000,43570000000,242841
1527192000000000000,43560000000,43560000000,43470000000,43470000000,220851
1527249600000000000,43860000000,43860000000,43850000000,43850000000,200
1527253200000000000,43780000000,45070000000,43780000000,44880000000,278683
1527256800000000000,44880000000,45820000000,44750000000,45330000000,446796
1527260400000000000,45320000000,45490000000,45250000000,45370000000,159194
1527264000000000000,45340000000,45550000000,45310000000,45350000000,129132
1527267600000000000,45360000000,45360000000,44730000000,44770000000,102052
1527271200000000000,44760000000,45020000000,44750000000,44810000000,100250
1527274800000000000,44810000000,44910000000,44750000000,44910000000,314409
1527278400000000000,44910000000,44910000000,44910000000,44910000000,321506
1527285600000000000,44920000000,44920000000,44920000000,44920000000,400
1527595200000000000,44560000000,44560000000,44560000000,44560000000,20
1527598800000000000,44610000000,45150000000,43640000000,44150000000,251800
1527602400000000000,44170000000,44400000000,43980000000,44200000000,204039
1527606000000000000,44200000000,44290000000,43730000000,43790000000,136125
1527609600000000000,43780000000,43780000000,43470000000,43740000000,128497
1527613200000000000,43735000000,43735000000,43400000000,43440000000,117545
1527616800000000000,43420000000,43460000000,43230000000,43390000000,109411
1527620400000000000,43380000000,43630000000,43340000000,43600000000,381198
1527624000000000000,43590000000,43590000000,43550000000,43550000000,408070
1527627600000000000,43740000000,43740000000,43740000000,43740000000,1200
1527681600000000000,43820000000,43820000000,43820000000,43820000000,80
1527685200000000000,43820000000,43950000000,43010000000,43020000000,160500
1527688800000000000,43020000000,43350000000,42970000000,43080000000,147548
1527692400000000000,43090000000,43130000000,42660000000,43080000000,153072
1527696000000000000,43090000000,43300000000,43010000000,43020000000,127005
1527699600000000000,43030000000,43310000000,42920000000,43310000000,90239
1527703200000000000,43320000000,43510000000,43320000000,43430000000,76917
1527706800000000000,43430000000,43510000000,43260000000,43300000000,302510
1527710400000000000,43300000000,43390000000,43300000000,43380000000,523839
1527768000000000000,43310000000,43310000000,43200000000,43200000000,10
1527771600000000000,43150000000,43630000000,43150000000,43200000000,122474
1527775200000000000,43210000000,44710000000,42970000000,44230000000,626339
1527778800000000000,44205000000,44205000000,43460000000,43850000000,240527
1527782400000000000,43810000000,43850000000,43550000000,43790000000,96893
1527786000000000000,43770000000,43790000000,43410000000,43440000000,97118
1527789600000000000,43450000000,43610000000,43290000000,43550000000,121060
1527793200000000000,43550000000,43770000000,43450000000,43490000000,408999
1527796800000000000,43540000000,43540000000,43490000000,43490000000,576243
1527800400000000000,43450000000,43450000000,43450000000,43450000000,1337
1527858000000000000,44060000000,44090000000,43410000000,43850000000,195170
1527861600000000000,43840000000,44010000000,43530000000,43820000000,122006
1527865200000000000,43830000000,43830000000,43560000000,43700000000,91394
1527868800000000000,43690000000,43750000000,43510000000,43750000000,77341
1527872400000000000,43760000000,43880000000,43530000000,43600000000,117438
1527876000000000000,43610000000,43700000000,43510000000,43590000000,118109
1527879600000000000,43580000000,44080000000,43490000000,44000000000,482016
1527883200000000000,44000000000,44000000000,44000000000,44000000000,270800
1527894000000000000,43960000000,43960000000,43960000000,43960000000,100
1528110000000000000,44250000000,44500000000,44250000000,44490000000,565
1528113600000000000,44200000000,44300000000,44200000000,44300000000,300
1528117200000000000,44290000000,44970000000,43960000000,44680000000,187640
1528120800000000000,44680000000,44770000000,44390000000,44590000000,163854
1528124400000000000,44590000000,44710000000,44490000000,44500000000,117848
1528128000000000000,44500000000,44610000000,44470000000,44520000000,83723
1528131600000000000,44520000000,44525000000,44190000000,44320000000,108473
1528135200000000000,44330000000,44600000000,44300000000,44580000000,150737
1528138800000000000,44580000000,45010000000,44500000000,44900000000,761178
1528142400000000000,44860000000,44870000000,44860000000,44870000000,246875
1528153200000000000,44950000000,44950000000,44950000000,44950000000,120
1528203600000000000,44800000000,45000000000,43980000000,44200000000,149185
1528207200000000000,44210000000,44340000000,43890000000,44080000000,116585
1528210800000000000,44060000000,44150000000,43810000000,43920000000,96274
1528214400000000000,43940000000,44070000000,43860000000,43950000000,68740
1528218000000000000,43950000000,44230000000,43930000000,44140000000,78309
1528221600000000000,44140000000,44160000000,44030000000,44150000000,62552
1528225200000000000,44140000000,44300000000,44120000000,44190000000,184934
1528228800000000000,44180000000,44180000000,44180000000,44180000000,585257
1528290000000000000,44210000000,44210000000,42980000000,43300000000,232320
1528293600000000000,43300000000,43740000000,42880000000,43580000000,312658
1528297200000000000,43580000000,43740000000,43340000000,43740000000,134535
1528300800000000000,43750000000,43820000000,43690000000,43780000000,84323
1528304400000000000,43780000000,43800000000,43730000000,43740000000,59737
1528308000000000000,43740000000,44200000000,43740000000,44140000000,120807
1528311600000000000,44145000000,44230000000,44080000000,44190000000,284732
1528315200000000000,44190000000,44190000000,44190000000,44190000000,278541
1528372800000000000,44200000000,44410000000,44200000000,44410000000,604
1528376400000000000,44210000000,44470000000,44100000000,44350000000,124516
1528380000000000000,44355000000,44440000000,43840000000,44200000000,159201
1528383600000000000,44210000000,44210000000,43900000000,43990000000,89401
1528387200000000000,43980000000,44070000000,43780000000,43890000000,82779
1528390800000000000,43900000000,43900000000,43550000000,43610000000,132909
1528394400000000000,43610000000,43800000000,43450000000,43770000000,132020
1528398000000000000,43770000000,43945000000,43710000000,43850000000,224338
1528401600000000000,43840000000,43840000000,43840000000,43840000000,291192
1528462800000000000,43910000000,43960000000,43310000000,43310000000,161673
1528466400000000000,43310000000,43360000000,42980000000,43070000000,263981
1528470000000000000,43060000000,43270000000,43010000000,43170000000,153349
1528473600000000000,43170000000,43440000000,43165000000,43190000000,180021
1528477200000000000,43180000000,43220000000,42990000000,43090000000,142925
1528480800000000000,43090000000,43230000000,43020000000,43200000000,151614
1528484400000000000,43190000000,43200000000,42960000000,43100000000,461669
1528488000000000000,43110000000,43110000000,43110000000,43110000000,397128
1528718400000000000,43010000000,43130000000,43010000000,43130000000,714
1528722000000000000,43210000000,44860000000,43200000000,44630000000,374123
1528725600000000000,44630000000,44920000000,44220000000,44265000000,250003
1528729200000000000,44290000000,44490000000,44190000000,44400000000,146360
1528732800000000000,44390000000,44440000000,44005000000,44040000000,105138
1528736400000000000,44050000000,44220000000,43990000000,44110000000,117600
1528740000000000000,44120000000,44230000000,44060000000,44190000000,121413
1528743600000000000,44200000000,44330000000,44150000000,44160000000,276761
