ts_event,open,high,low,close,volume
1525132800000000000,166400000000,178000000000,165270000000,175200000000,13282876
1525219200000000000,174920000000,177750000000,173660000000,176500000000,16471381
1525305600000000000,176200000000,177500000000,174460000000,176900000000,10238793
1525392000000000000,177950000000,184250000000,177480000000,184100000000,14555212
1525651200000000000,184450000000,187660000000,184250000000,185000000000,9981580
1525737600000000000,184350000000,186220000000,183670000000,186000000000,7398369
1525824000000000000,186400000000,187500000000,185220000000,187490000000,6612746
1525910400000000000,187270000000,190365000000,187270000000,189900000000,6974376
1525996800000000000,189400000000,190050000000,187450000000,188560000000,7155764
1526256000000000000,189020000000,189530000000,187820000000,187860000000,6181499
1526342400000000000,187500000000,187700000000,185020000000,185800000000,7153176
1526428800000000000,186950000000,188450000000,185680000000,188090000000,5772515
1526515200000000000,187610000000,188900000000,186370000000,187100000000,4910881
1526601600000000000,187190000000,187820000000,186130000000,186410000000,6028993
1526860800000000000,187700000000,189270000000,186910000000,187590000000,5165786
1526947200000000000,187650000000,188880000000,186780000000,187250000000,4382490
1527033600000000000,185990000000,188810000000,184700000000,188600000000,6029149
1527120000000000000,188950000000,189000000000,186210000000,188500000000,5346369
1527206400000000000,188200000000,189650000000,187650000000,188720000000,5049672
1527552000000000000,187950000000,188740000000,186610000000,187610000000,7039750
1527638400000000000,188250000000,188560000000,186780000000,187250000000,5506530
1527724800000000000,187900000000,188230000000,186140000000,186870000000,10197110
1527811200000000000,187530000000,190500000000,187420000000,190500000000,6416796
1528070400000000000,191000000000,193410000000,190680000000,192300000000,6028364
1528156800000000000,192120000000,193930000000,192120000000,193220000000,5237968
1528243200000000000,193900000000,194150000000,191920000000,193850000000,6097946
1528329600000000000,194450000000,194450000000,192340000000,193200000000,5496263
1528416000000000000,191350000000,192000000000,188190000000,192000000000,7927111
1528675200000000000,191230000000,191970000000,190220000000,191050000000,4557407
1528761600000000000,191490000000,192610000000,190800000000,192500000000,4911119
1528848000000000000,192280000000,192870000000,190460000000,190650000000,7138107
1528934400000000000,190590000000,191570000000,190220000000,190560000000,7006668
1529020800000000000,190160000000,190650000000,188300000000,188800000000,34493721
1529280000000000000,188000000000,189220000000,187200000000,187780000000,5969675
1529366400000000000,186000000000,187300000000,183450000000,185750000000,9712675
1529452800000000000,186600000000,187800000000,185740000000,187600000000,6044399
1529539200000000000,187000000000,188340000000,184950000000,185020000000,6126275
1529625600000000000,185890000000,186400000000,184820000000,184950000000,10606508
1529884800000000000,183830000000,184920000000,180730000000,182100000000,9155255
1529971200000000000,182530000000,186520000000,182530000000,184550000000,8143823
1530057600000000000,182800000000,187270000000,182500000000,184460000000,7323032
1530144000000000000,185000000000,186210000000,183420000000,185750000000,5654891
1530230400000000000,186690000000,187300000000,182900000000,185160000000,8034084
1530489600000000000,183800000000,187300000000,183420000000,187150000000,5809440
1530576000000000000,187310000000,187990000000,183540000000,183990000000,4800144
1530748800000000000,184800000000,186410000000,184280000000,184930000000,5238572
1530835200000000000,184660000000,188430000000,184600000000,188250000000,6023994
1531094400000000000,189000000000,191010000000,188800000000,190550000000,5924867
1531180800000000000,190350000000,191280000000,188650000000,188660000000,4712509
1531267200000000000,188460000000,189770000000,187680000000,188000000000,6626567
1531353600000000000,188150000000,191410000000,188150000000,191090000000,5978918
1531440000000000000,191200000000,191840000000,190800000000,191330000000,3977765
1531699200000000000,192000000000,192650000000,189650000000,189970000000,4714386
1531785600000000000,190140000000,191870000000,189200000000,191720000000,5054831
1531872000000000000,192000000000,192390000000,189930000000,190500000000,4575116
1531958400000000000,190100000000,192550000000,189660000000,192130000000,6855452
1532044800000000000,192300000000,192430000000,190190000000,191360000000,8720704
1532304000000000000,190950000000,192090000000,189560000000,191890000000,5153070
1532390400000000000,192100000000,193660000000,191500000000,192940000000,6098936
1532476800000000000,192900000000,194850000000,191700000000,192900000000,5821278
1532563200000000000,193070000000,195950000000,192980000000,194760000000,6134441
1532649600000000000,194600000000,195160000000,190120000000,190980000000,6692862
1532908800000000000,190900000000,192200000000,189070000000,190140000000,5851300
1532995200000000000,190000000000,198000000000,189340000000,198000000000,11269928
1533081600000000000,197680000000,201910000000,196700000000,201670000000,17024389
1533168000000000000,200500000000,208380000000,199800000000,207140000000,14653329
1533254400000000000,206710000000,208740000000,205490000000,207930000000,8447599
1533513600000000000,207600000000,209250000000,207080000000,209130000000,6838454
1533600000000000000,209530000000,209870000000,206760000000,206900000000,6505023
1533686400000000000,206650000000,207800000000,204520000000,207000000000,6638440
1533772800000000000,206890000000,209780000000,206890000000,208830000000,6166754
1533859200000000000,207400000000,209090000000,206670000000,207780000000,6236405
1534118400000000000,207280000000,210950000000,206800000000,209150000000,6951416
1534204800000000000,210240000000,210560000000,208260000000,209750000000,5225590
1534291200000000000,210100000000,210730000000,208000000000,210250000000,8629781
1534377600000000000,210900000000,213820000000,210800000000,213080000000,7634630
1534464000000000000,213320000000,217950000000,212810000000,217530000000,8716715
1534723200000000000,219340000000,219400000000,215100000000,215460000000,7050720
1534809600000000000,216100000000,217190000000,213750000000,213800000000,6635155
1534896000000000000,214100000000,216350000000,213840000000,215200000000,5539902
1534982400000000000,215250000000,217040000000,214600000000,215750000000,5744146
1535068800000000000,216690000000,216890000000,215110000000,216200000000,5374108
1535328000000000000,216890000000,218730000000,216320000000,218130000000,5726358
1535414400000000000,218150000000,220540000000,218150000000,219950000000,6020996
1535500800000000000,220200000000,223720000000,219410000000,223670000000,7331001
1535587200000000000,223390000000,228260000000,222250000000,225050000000,11454576
1535673600000000000,225560000000,228870000000,225250000000,227910000000,13167931
1536019200000000000,228490000000,229180000000,226630000000,228400000000,7836311
1536105600000000000,227860000000,229680000000,225100000000,226670000000,9286800
1536192000000000000,226680000000,227750000000,221300000000,223450000000,9224882
1536278400000000000,223100000000,225370000000,219520000000,220630000000,10620190
1536537600000000000,221800000000,222490000000,216470000000,218830000000,12673527
1536624000000000000,219100000000,224580000000,216560000000,224580000000,9594048
1536710400000000000,225060000000,225500000000,219840000000,220940000000,12734600
1536796800000000000,221520000000,228350000000,221000000000,227040000000,10426799
1536883200000000000,227100000000,227990000000,222530000000,223450000000,8697682
1537142400000000000,223610000000,223930000000,216000000000,216250000000,10992805
1537228800000000000,217800000000,221820000000,217120000000,218460000000,8438232
1537315200000000000,218500000000,219630000000,215300000000,218800000000,7619342
1537401600000000000,218900000000,222290000000,218900000000,220000000000,8715271
1537488000000000000,221300000000,221440000000,217300000000,218000000000,49089091
1537747200000000000,217230000000,221250000000,216510000000,221140000000,8650719
1537833600000000000,221500000000,222820000000,219250000000,222270000000,7832976
1537920000000000000,222510000000,223750000000,219760000000,220800000000,7486243
1538006400000000000,221770000000,226440000000,221480000000,224880000000,9080647
1538092800000000000,224370000000,225960000000,223620000000,225930000000,7850081
1538352000000000000,227500000000,229420000000,226350000000,227400000000,5904265
1538438400000000000,227260000000,230000000000,225750000000,229500000000,6464609
1538524800000000000,230210000000,233470000000,229780000000,231720000000,7021126
1538611200000000000,230550000000,232340000000,226740000000,228100000000,8237404
1538697600000000000,227470000000,228500000000,220580000000,223990000000,8431980
1538956800000000000,223260000000,224800000000,220200000000,223880000000,7908008
1539043200000000000,223200000000,227270000000,221850000000,227010000000,6497654
