ts_event,open,high,low,close,volume
1607558400000000000,146000000000,165000000000,141260000000,145000000000,29413985
1607644800000000000,143290000000,151410000000,135110000000,137600000000,7346714
1607904000000000000,136990000000,137800000000,125170000000,127550000000,4040007
1607990400000000000,126000000000,128600000000,121500000000,124010000000,2698235
1608076800000000000,124800000000,142000000000,124000000000,139080000000,5491862
1608163200000000000,137000000000,152450000000,137000000000,147510000000,2727293
1608249600000000000,149100000000,159740000000,148100000000,159740000000,4858257
1608508800000000000,156000000000,171990000000,145110000000,163850000000,3179151
1608595200000000000,167000000000,174970000000,161090000000,162590000000,1867334
1608681600000000000,163180000000,168205000000,155510000000,158020000000,1113231
1608768000000000000,158200000000,162740000000,154150000000,155640000000,851250
1609113600000000000,159000000000,163610000000,147510000000,148990000000,1197161
1609200000000000000,151000000000,153800000000,143100000000,149360000000,950188
1609286400000000000,151400000000,152790000000,145610000000,148800000000,778260
1609372800000000000,148900000000,148950000000,144510000000,146200000000,541410
1609718400000000000,146800000000,152400000000,137000000000,140080000000,1454543
1609804800000000000,140000000000,149000000000,136600000000,146000000000,1339995
1609891200000000000,145500000000,148320000000,141000000000,143400000000,696079
1609977600000000000,143060000000,154400000000,143060000000,151200000000,876284
1610064000000000000,153000000000,155540000000,147400000000,149800000000,1000488
1610323200000000000,149750000000,150470000000,144020000000,148130000000,766828
1610409600000000000,147500000000,163900000000,143610000000,161990000000,1768593
1610496000000000000,161000000000,178520000000,157190000000,170020000000,2580904
1610582400000000000,175000000000,187380000000,170100000000,182670000000,2257237
1610668800000000000,184000000000,185980000000,164880000000,168820000000,1940743
1611014400000000000,170510000000,178570000000,166790000000,174170000000,1026293
1611100800000000000,177990000000,177990000000,160920000000,162900000000,2189679
1611187200000000000,164000000000,183460000000,155330000000,179610000000,3461491
1611273600000000000,178100000000,185250000000,173800000000,181170000000,2013844
1611532800000000000,182000000000,192550000000,170020000000,178210000000,1950694
1611619200000000000,177530000000,193500000000,177300000000,190780000000,1848489
1611705600000000000,191000000000,216000000000,181200000000,197780000000,2789924
1611792000000000000,195380000000,212760000000,187010000000,188600000000,2160020
1611878400000000000,188000000000,193490000000,179310000000,183890000000,1284306
1612137600000000000,183680000000,189500000000,179550000000,181370000000,1094452
1612224000000000000,183300000000,186290000000,177120000000,180500000000,1217471
1612310400000000000,182000000000,190800000000,180020000000,185500000000,976222
1612396800000000000,187950000000,195990000000,186020000000,195500000000,812651
1612483200000000000,195800000000,197800000000,190250000000,195300000000,876560
1612742400000000000,195310000000,201940000000,191550000000,200150000000,1005574
1612828800000000000,200430000000,209180000000,196180000000,201790000000,1353467
1612915200000000000,202000000000,214730000000,202000000000,211800000000,1283833
1613001600000000000,213000000000,219950000000,207020000000,215500000000,874832
1613088000000000000,216840000000,216940000000,209000000000,212030000000,753981
1613433600000000000,216980000000,218780000000,209100000000,210260000000,1205065
1613520000000000000,209860000000,211890000000,196050000000,202120000000,994259
1613606400000000000,202800000000,202800000000,192170000000,197590000000,715308
1613692800000000000,198040000000,205550000000,198040000000,202000000000,678841
1613952000000000000,198500000000,204990000000,193500000000,196120000000,877201
1614038400000000000,195340000000,196210000000,175000000000,187640000000,1503058
1614124800000000000,187000000000,208100000000,187000000000,201750000000,1641967
1614211200000000000,200200000000,203300000000,180000000000,186250000000,2918408
1614297600000000000,185000000000,214060000000,181470000000,205180000000,6137140
1614556800000000000,206000000000,209510000000,192660000000,198080000000,5900311
1614643200000000000,197000000000,200000000000,185000000000,187200000000,3205200
1614729600000000000,190000000000,192000000000,178830000000,179910000000,3371402
1614816000000000000,181500000000,183880000000,170860000000,176000000000,2691530
1614902400000000000,176440000000,183650000000,161900000000,180500000000,2100659
1615161600000000000,180000000000,186390000000,171900000000,181000000000,1356446
1615248000000000000,185000000000,189480000000,180660000000,183500000000,1876509
1615334400000000000,183250000000,191000000000,181520000000,184500000000,1888741
