ts_event,open,high,low,close,volume
1650585600000000000,2900000000,3290000000,2160000000,2650000000,758850
1650844800000000000,3030000000,4040000000,2380000000,2550000000,716737
1650931200000000000,2450000000,2550000000,2150000000,2450000000,106532
1651017600000000000,2210000000,4040000000,2100000000,2420000000,1892551
1651104000000000000,2260000000,2750000000,2030000000,2090000000,237932
1651190400000000000,2160000000,2310000000,1840000000,1950000000,128515
1651449600000000000,1940000000,2220000000,1820000000,1820000000,147152
1651536000000000000,1690000000,2000000000,1670000000,1750000000,121268
1651622400000000000,1840000000,2640000000,1800000000,2480000000,3139626
1651708800000000000,2320000000,2330000000,2000000000,2120000000,198014
1651795200000000000,2130000000,2420000000,1980000000,2090000000,124290
1652054400000000000,1910000000,2000000000,1710000000,1850000000,38263
1652140800000000000,1920000000,1920000000,1610000000,1650000000,54012
1652227200000000000,1740000000,1830000000,1430000000,1430000000,111824
1652313600000000000,1480000000,1490000000,1270000000,1340000000,36774
1652400000000000000,1260000000,1520000000,1260000000,1450000000,37062
1652659200000000000,1450000000,1480000000,1370000000,1380000000,19788
1652745600000000000,1360000000,1450000000,1340000000,1410000000,22451
1652832000000000000,1410000000,1530000000,1350000000,1520000000,20346
1652918400000000000,1530000000,1750000000,1480000000,1750000000,55132
1653004800000000000,1780000000,1950000000,1700000000,1830000000,27051
1653264000000000000,1840000000,1840000000,1650000000,1660000000,17191
1653350400000000000,1600000000,1670000000,1360000000,1360000000,49247
1653436800000000000,1350000000,1520000000,1310000000,1490000000,20217
1653523200000000000,1440000000,1500000000,1350000000,1390000000,34492
1653609600000000000,1410000000,1440000000,1160000000,1250000000,38534
1653955200000000000,1210000000,1270000000,1210000000,1270000000,9061
1654041600000000000,1340000000,1350000000,1250000000,1270000000,12770
1654128000000000000,1210000000,1380000000,1180000000,1220000000,38649
1654214400000000000,1240000000,1290000000,1070000000,1070000000,13746
1654473600000000000,1100000000,1100000000,1000000000,1040000000,9334
1654560000000000000,990000000,1030000000,990000000,1020000000,15265
1654646400000000000,989400000,1050000000,989400000,1050000000,11935
1654732800000000000,1020000000,1040000000,1020000000,1020000000,16775
1654819200000000000,1070000000,1070000000,1000000000,1005000000,23231
1655078400000000000,969900000,1050000000,884900000,1000000000,18937
1655164800000000000,1010000000,1050000000,950000000,1050000000,13720
1655251200000000000,1020000000,1200000000,1010000000,1090000000,75877
1655337600000000000,982200000,1040000000,972000000,980100000,24429
1655424000000000000,1000000000,1080000000,880000000,880100000,34352
1655769600000000000,918200000,918200000,794900000,814100000,12309
1655856000000000000,949900000,1100000000,801000000,834500000,36133
1655942400000000000,881800000,935000000,840000000,885400000,5493
1656028800000000000,880000000,957700000,880000000,900000000,3120
1656288000000000000,900000000,947000000,876100000,883000000,3933
1656374400000000000,948900000,948900000,898800000,898800000,475
1656460800000000000,935000000,935000000,861100000,897900000,2313
1656547200000000000,820000000,1010000000,800800000,913400000,40190
1656633600000000000,880000000,920000000,870000000,890600000,7459
1656979200000000000,955000000,955000000,852600000,855600000,25658
1657065600000000000,908000000,928400000,872200000,880000000,6481
1657152000000000000,906900000,906900000,823500000,849000000,52658
1657238400000000000,860000000,860000000,839800000,839800000,5218
1657497600000000000,860000000,860000000,822100000,822100000,1358
1657584000000000000,852100000,1070000000,840000000,945000000,193888
1657670400000000000,870000000,960000000,860000000,920000000,49358
1657756800000000000,880000000,920000000,858900000,919500000,26748
1657843200000000000,873400000,875400000,785800000,854300000,30453
1658102400000000000,810800000,880000000,810800000,866100000,581
1658188800000000000,890000000,926100000,851100000,885000000,7309
1658275200000000000,855000000,878700000,830000000,830200000,10208
1658361600000000000,841000000,850000000,826000000,850000000,9093
1658448000000000000,850000000,860000000,807600000,855900000,3268
1658707200000000000,841700000,855500000,820000000,821400000,7280
1658793600000000000,850000000,860000000,841100000,848300000,2709
1658880000000000000,865300000,916000000,865300000,900000000,18116
1658966400000000000,873000000,1000000000,864300000,948800000,33827
1659052800000000000,920300000,1040000000,920300000,970000000,36638
1659312000000000000,1010000000,1090000000,923000000,1050000000,36563
1659398400000000000,1000000000,1590000000,1000000000,1200000000,699909
1659484800000000000,1150000000,1650000000,1030000000,1070000000,239131
1659571200000000000,1130000000,1240000000,950000000,950000000,47003
1659657600000000000,941900000,1110000000,941900000,1060000000,37246
1659916800000000000,1060000000,1220000000,1020000000,1190000000,51711
1660003200000000000,1160000000,1170000000,1080000000,1090000000,9114
1660089600000000000,1130000000,1130000000,952300000,961500000,22528
1660176000000000000,1000000000,1030000000,880000000,950000000,26258
1660262400000000000,910000000,970000000,892400000,902000000,6827
1660521600000000000,915700000,939900000,915200000,923000000,2152
1660608000000000000,915000000,926500000,862600000,892200000,12814
1660694400000000000,880000000,912600000,865000000,882000000,14339
1660780800000000000,903000000,1760000000,890000000,1020000000,584034
1660867200000000000,930000000,1070000000,930000000,1040000000,48376
1661126400000000000,970000000,1690000000,960000000,1230000000,474605
1661212800000000000,1140000000,1560000000,1050000000,1230000000,177835
1661299200000000000,1250000000,1520000000,1150000000,1300000000,69798
1661385600000000000,1200000000,1340000000,1150000000,1180000000,28492
1661472000000000000,1220000000,1220000000,1020000000,1080000000,39342
1661731200000000000,1050000000,1180000000,1040000000,1090000000,17104
1661817600000000000,1020000000,1120000000,1020000000,1040000000,9334
1661904000000000000,1020000000,1110000000,1010000000,1070000000,11211
1661990400000000000,1120000000,1120000000,1050000000,1090000000,7262
1662076800000000000,1080000000,1220000000,1080000000,1180000000,9185
1662422400000000000,1260000000,1260000000,1100000000,1100000000,15902
1662508800000000000,1120000000,1180000000,1080000000,1130000000,7975
1662595200000000000,1160000000,1170000000,1090000000,1170000000,16992
1662681600000000000,1200000000,1300000000,1140000000,1220000000,41314
1662940800000000000,1300000000,1400000000,1190000000,1260000000,21939
1663027200000000000,1300000000,1300000000,1170000000,1240000000,8243
1663113600000000000,1240000000,1360000000,1220000000,1240000000,4767
1663200000000000000,1230000000,1240000000,1110000000,1150000000,30272
1663286400000000000,1120000000,1170000000,1110000000,1120000000,9789
1663545600000000000,1090000000,1170000000,1010000000,1020000000,6708
1663632000000000000,1020000000,1050000000,1000000000,1010000000,5178
1663718400000000000,1000000000,1040000000,980100000,1010000000,6218
1663804800000000000,1000000000,1010000000,950000000,960000000,15228
1663891200000000000,950000000,950000000,827800000,913800000,22209
1664150400000000000,970300000,970300000,820100000,830000000,5035
1664236800000000000,820000000,855400000,820000000,821000000,1682
1664323200000000000,820000000,882000000,820000000,839800000,6002
1664409600000000000,840000000,869500000,808700000,820400000,5330
1664496000000000000,820000000,860000000,778000000,778000000,7635
1664755200000000000,800000000,920000000,771300000,846000000,17426
