ts_event,open,high,low,close,volume
1610496000000000000,90900000000,103000000000,90370000000,99800000000,9785471
1610582400000000000,102450000000,137750000000,100000000000,117000000000,5100539
1610668800000000000,119000000000,127200000000,107000000000,115990000000,1829970
1611014400000000000,116990000000,121800000000,108010000000,111700000000,1000180
1611100800000000000,111420000000,114000000000,103250000000,106110000000,2469840
1611187200000000000,107010000000,109890000000,104320000000,108110000000,413283
1611273600000000000,106300000000,121000000000,106000000000,119260000000,1814078
1611532800000000000,120120000000,123490000000,108000000000,114000000000,660002
1611619200000000000,113920000000,115000000000,109510000000,110000000000,353510
1611705600000000000,110000000000,110000000000,100880000000,102600000000,640975
1611792000000000000,102080000000,106230000000,97240000000,100800000000,658077
1611878400000000000,99420000000,104460000000,97690000000,99000000000,574184
1612137600000000000,99000000000,107800000000,99000000000,107600000000,324014
1612224000000000000,107610000000,118750000000,107610000000,115470000000,503178
1612310400000000000,114000000000,117600000000,109100000000,111000000000,479607
1612396800000000000,111990000000,113780000000,106450000000,107680000000,527757
1612483200000000000,109100000000,109490000000,101260000000,104300000000,691621
1612742400000000000,103450000000,123980000000,103450000000,122990000000,920198
1612828800000000000,120000000000,144730000000,117040000000,134590000000,1083226
1612915200000000000,134250000000,146870000000,129090000000,137000000000,580680
1613001600000000000,138000000000,141500000000,123000000000,128900000000,660856
1613088000000000000,126800000000,132800000000,123020000000,126690000000,1236413
1613433600000000000,125000000000,129810000000,115000000000,118610000000,1598518
1613520000000000000,119200000000,119300000000,110880000000,113000000000,786443
1613606400000000000,112530000000,113500000000,104610000000,105900000000,1045553
1613692800000000000,109000000000,111950000000,105000000000,106660000000,708157
1613952000000000000,105990000000,107700000000,102010000000,104000000000,694321
1614038400000000000,101960000000,102820000000,91100000000,102200000000,1213578
1614124800000000000,100000000000,105180000000,98750000000,102320000000,585303
1614211200000000000,103150000000,103150000000,90000000000,92760000000,1632793
1614297600000000000,94200000000,97790000000,88990000000,93750000000,740106
1614556800000000000,95590000000,98000000000,90820000000,91900000000,699110
1614643200000000000,91440000000,98220000000,90800000000,91200000000,957836
1614729600000000000,92300000000,93000000000,83960000000,85970000000,1256916
1614816000000000000,84880000000,86020000000,77090000000,83010000000,1459177
1614902400000000000,81800000000,84330000000,70060000000,82600000000,1334918
1615161600000000000,80690000000,80690000000,72950000000,74260000000,1553208
1615248000000000000,75000000000,81190000000,74500000000,80500000000,801712
1615334400000000000,80000000000,85150000000,78300000000,81300000000,481824
1615420800000000000,82000000000,84500000000,80160000000,81850000000,630143
1615507200000000000,80010000000,80470000000,76010000000,80000000000,648225
1615766400000000000,78810000000,82725000000,78810000000,81800000000,480636
1615852800000000000,81600000000,84180000000,79480000000,81100000000,460411
1615939200000000000,80590000000,81900000000,76760000000,81800000000,381618
1616025600000000000,80000000000,81250000000,73100000000,74300000000,1244587
1616112000000000000,74390000000,78500000000,71640000000,76920000000,1508262
1616371200000000000,76900000000,83450000000,76900000000,82000000000,603560
1616457600000000000,81830000000,81830000000,78220000000,78400000000,249766
1616544000000000000,78880000000,80240000000,72540000000,73500000000,343499
1616630400000000000,73440000000,74010000000,67700000000,70000000000,554987
1616716800000000000,70690000000,72260000000,67010000000,70050000000,409053
1616976000000000000,69720000000,73920000000,68600000000,69980000000,442164
1617062400000000000,69990000000,70220000000,65770000000,66700000000,514741
1617148800000000000,67360000000,71180000000,65660000000,70500000000,862740
1617235200000000000,72000000000,74970000000,70380000000,71460000000,355578
1617580800000000000,71980000000,72650000000,68370000000,69720000000,333520
1617667200000000000,69390000000,73490000000,68510000000,73080000000,602478
1617753600000000000,73000000000,73100000000,69760000000,71520000000,379018
1617840000000000000,71500000000,72880000000,68960000000,70400000000,298274
1617926400000000000,69800000000,71190000000,68350000000,70880000000,344556
1618185600000000000,70840000000,71690000000,66750000000,67930000000,603087
1618272000000000000,67050000000,70170000000,65450000000,69780000000,662154
1618358400000000000,70110000000,72200000000,68640000000,69000000000,371606
1618444800000000000,68730000000,70500000000,67480000000,69690000000,407621
1618531200000000000,68900000000,70740000000,67250000000,69500000000,403560
1618790400000000000,69700000000,70000000000,65160000000,66100000000,476640
1618876800000000000,67000000000,67200000000,63040000000,64300000000,507343
1618963200000000000,65000000000,67640000000,63750000000,67430000000,331415
1619049600000000000,68000000000,70350000000,67090000000,68500000000,334027
1619136000000000000,69350000000,74600000000,68640000000,74060000000,698277
1619395200000000000,74120000000,78760000000,73070000000,77350000000,761704
1619481600000000000,77970000000,78500000000,74790000000,76110000000,233161
1619568000000000000,75460000000,77750000000,75190000000,77210000000,338107
1619654400000000000,77780000000,79320000000,72820000000,73150000000,541960
1619740800000000000,74020000000,74290000000,70230000000,70600000000,518180
1620000000000000000,70500000000,71970000000,66310000000,67000000000,510524
1620086400000000000,66780000000,67340000000,60150000000,62450000000,1312992
1620172800000000000,64000000000,64000000000,55860000000,57750000000,1121396
1620259200000000000,57600000000,58580000000,52480000000,54790000000,1107515
1620345600000000000,54400000000,58700000000,53780000000,54130000000,728332
1620604800000000000,54390000000,58000000000,52130000000,56500000000,1580508
1620691200000000000,56800000000,57220000000,46500000000,56710000000,1766561
1620777600000000000,55520000000,56000000000,48660000000,49210000000,1161312
1620864000000000000,49230000000,50990000000,47120000000,48000000000,972308
1620950400000000000,48370000000,54630000000,48370000000,54150000000,942391
1621209600000000000,53810000000,53810000000,50010000000,50730000000,831329
1621296000000000000,51140000000,53250000000,50250000000,51780000000,482534
1621382400000000000,51000000000,51000000000,48660000000,50500000000,907300
1621468800000000000,50450000000,56790000000,50450000000,55250000000,1052850
1621555200000000000,55300000000,56700000000,53320000000,53550000000,920369
1621814400000000000,53360000000,54960000000,50880000000,53300000000,2192797
1621900800000000000,53990000000,54300000000,52650000000,54300000000,1069025
1621987200000000000,54290000000,57550000000,52620000000,56900000000,733334
1622073600000000000,56990000000,57440000000,55080000000,57340000000,719588
1622160000000000000,57500000000,61060000000,57500000000,60750000000,880831
1622505600000000000,60400000000,64270000000,60400000000,62700000000,1073937
1622592000000000000,62520000000,65600000000,62100000000,64890000000,789495
1622678400000000000,64890000000,65760000000,62320000000,63000000000,852173
1622764800000000000,62300000000,64550000000,59530000000,59890000000,919128
1623024000000000000,60000000000,61110000000,58450000000,59980000000,546493
1623110400000000000,59980000000,63890000000,59460000000,62950000000,845183
1623196800000000000,63000000000,64640000000,60200000000,60200000000,640809
1623283200000000000,60260000000,64020000000,60200000000,64000000000,736970
1623369600000000000,64470000000,68890000000,63930000000,67950000000,953264
1623628800000000000,68690000000,70700000000,67700000000,68950000000,1006810
1623715200000000000,68900000000,69690000000,66280000000,66640000000,610710
1623801600000000000,67960000000,69320000000,65700000000,67100000000,1329396
1623888000000000000,66230000000,70830000000,65250000000,69680000000,1060971
1623974400000000000,70950000000,70950000000,67550000000,68100000000,1809469
1624233600000000000,68340000000,68420000000,63600000000,63850000000,1351469
1624320000000000000,63560000000,64250000000,60650000000,63410000000,1229397
1624406400000000000,64050000000,65840000000,63400000000,65400000000,512946
1624492800000000000,65400000000,68330000000,65150000000,66730000000,497460
1624579200000000000,66440000000,67260000000,63820000000,64260000000,553823
1624838400000000000,64630000000,65280000000,63390000000,64600000000,545281
1624924800000000000,64450000000,68640000000,63750000000,66600000000,548822
1625011200000000000,66460000000,69600000000,65415000000,67380000000,1005297
1625097600000000000,67350000000,68960000000,65880000000,68340000000,542672
1625184000000000000,68500000000,69800000000,67300000000,68000000000,341057
