ts_event,open,high,low,close,volume
1525132800000000000,18990000000,18990000000,18790000000,18860000000,579282
1525219200000000000,18850000000,18945000000,18720000000,18790000000,1343212
1525305600000000000,18840000000,18920000000,18560000000,18830000000,888241
1525392000000000000,18760000000,19130000000,18760000000,19100000000,910984
1525651200000000000,19050000000,19225000000,19050000000,19110000000,779287
1525737600000000000,19140000000,19155000000,18750000000,18860000000,722931
1525824000000000000,18930000000,18940000000,18715000000,18800000000,890081
1525910400000000000,18900000000,19060000000,18850000000,18990000000,861355
1525996800000000000,19000000000,19100000000,18980000000,19000000000,629602
1526256000000000000,19040000000,19090000000,18960000000,18970000000,1028200
1526342400000000000,18910000000,18980000000,18870000000,18880000000,874069
1526428800000000000,18890000000,18980000000,18850000000,18880000000,802303
1526515200000000000,18870000000,18890000000,18810000000,18840000000,596379
1526601600000000000,18880000000,18930000000,18825000000,18860000000,659233
1526860800000000000,18980000000,19115000000,18805000000,19100000000,985642
1526947200000000000,19100000000,19225000000,19045000000,19090000000,693475
1527033600000000000,19120000000,19240000000,18810000000,18820000000,1010200
1527120000000000000,18640000000,19005000000,18480000000,18890000000,7966153
1527206400000000000,18900000000,19160000000,18860000000,19070000000,1757504
1527552000000000000,19090000000,19240000000,19010000000,19200000000,2506213
1527638400000000000,19050000000,19260000000,18970000000,19250000000,1806470
1527724800000000000,19260000000,19260000000,18760000000,18810000000,2788014
1527811200000000000,18830000000,18920000000,18690000000,18890000000,1978097
1528070400000000000,18990000000,19020000000,18825000000,18890000000,1581345
1528156800000000000,18940000000,18940000000,18750000000,18880000000,906815
1528243200000000000,18880000000,18890000000,18765000000,18830000000,1756683
1528329600000000000,18840000000,18975000000,18820000000,18900000000,767843
1528416000000000000,18900000000,19000000000,18890000000,19000000000,846681
1528675200000000000,19010000000,19030000000,18925000000,18990000000,1878720
1528761600000000000,18960000000,19000000000,18870000000,18910000000,2161539
1528848000000000000,18910000000,18920000000,18760000000,18780000000,1278393
1528934400000000000,18810000000,19010000000,18810000000,19010000000,921083
1529020800000000000,18970000000,19020000000,18870000000,18900000000,2616498
1529280000000000000,18860000000,19000000000,18860000000,18940000000,900852
1529366400000000000,18910000000,19020000000,18900000000,19000000000,1218563
1529452800000000000,18980000000,19040000000,18890000000,18940000000,768870
1529539200000000000,18960000000,18970000000,18880000000,18900000000,1798150
1529625600000000000,18910000000,18990000000,18875000000,18920000000,1764573
1529884800000000000,18900000000,18975000000,18880000000,18900000000,1020892
1529971200000000000,18960000000,18960000000,18800000000,18870000000,973107
1530057600000000000,18850000000,18880000000,18615000000,18620000000,1201962
1530144000000000000,18500000000,18760000000,18470000000,18760000000,1141696
1530230400000000000,18750000000,18815000000,18585000000,18630000000,1245992
1530489600000000000,18580000000,18850000000,18580000000,18850000000,929206
1530576000000000000,18830000000,18980000000,18810000000,18980000000,790900
1530748800000000000,18910000000,19040000000,18900000000,19040000000,886410
1530835200000000000,19030000000,19110000000,18985000000,19070000000,1424344
1531094400000000000,19070000000,19120000000,18915000000,19020000000,1343343
1531180800000000000,19060000000,19115000000,18990000000,19030000000,1157499
1531267200000000000,19040000000,19170000000,19025000000,19160000000,682972
1531353600000000000,19100000000,19160000000,19005000000,19090000000,1486888
1531440000000000000,19060000000,19140000000,19010000000,19020000000,551318
1531699200000000000,19070000000,19090000000,18990000000,19060000000,1653738
1531785600000000000,19090000000,19150000000,19020000000,19140000000,768422
1531872000000000000,19110000000,19160000000,18950000000,19040000000,880384
1531958400000000000,19080000000,19190000000,19045000000,19130000000,807287
1532044800000000000,19080000000,19225000000,19015000000,19220000000,1483813
1532304000000000000,19160000000,19245000000,19105000000,19110000000,1114311
1532390400000000000,19150000000,19180000000,19010000000,19160000000,1017700
1532476800000000000,19180000000,19280000000,19160000000,19210000000,715583
1532563200000000000,19270000000,19590000000,19270000000,19370000000,1028848
1532649600000000000,19490000000,19520000000,19330000000,19520000000,1057106
1532908800000000000,19390000000,19630000000,19330000000,19610000000,1050893
1532995200000000000,19560000000,19715000000,19100000000,19100000000,1785597
1533081600000000000,18980000000,19060000000,18840000000,18950000000,12114088
1533168000000000000,18950000000,19200000000,18940000000,19120000000,2043909
1533254400000000000,19170000000,19240000000,19070000000,19130000000,3947221
1533513600000000000,19130000000,19160000000,19050000000,19070000000,657348
1533600000000000000,19120000000,19120000000,18760000000,18850000000,1392391
1533686400000000000,18890000000,18900000000,18720000000,18840000000,1101408
1533772800000000000,18930000000,19060000000,18920000000,18980000000,863406
1533859200000000000,19000000000,19040000000,18940000000,19000000000,4775738
1534118400000000000,18990000000,19045000000,18920000000,19030000000,688551
1534204800000000000,19010000000,19090000000,18915000000,18950000000,1036205
1534291200000000000,18900000000,19040000000,18865000000,19000000000,1449300
1534377600000000000,19040000000,19135000000,19000000000,19100000000,1054310
1534464000000000000,19080000000,19310000000,19070000000,19250000000,1683675
1534723200000000000,19310000000,19360000000,19275000000,19360000000,923099
1534809600000000000,19320000000,19390000000,19320000000,19360000000,513417
1534896000000000000,19380000000,19380000000,19255000000,19290000000,638491
1534982400000000000,19320000000,19340000000,19200000000,19310000000,437294
1535068800000000000,19300000000,19310000000,19240000000,19300000000,534389
1535328000000000000,19330000000,19360000000,19275000000,19310000000,789777
1535414400000000000,19340000000,19360000000,19275000000,19320000000,585045
1535500800000000000,19340000000,19360000000,19300000000,19320000000,862135
1535587200000000000,19210000000,19220000000,19110000000,19160000000,899459
1535673600000000000,19140000000,19150000000,18985000000,19050000000,1595455
1536019200000000000,19010000000,19130000000,19000000000,19050000000,903129
1536105600000000000,19070000000,19145000000,19060000000,19120000000,838613
1536192000000000000,19140000000,19260000000,19120000000,19210000000,912492
1536278400000000000,19200000000,19200000000,19085000000,19110000000,658369
1536537600000000000,19170000000,19210000000,19105000000,19190000000,586921
1536624000000000000,19190000000,19190000000,19000000000,19040000000,935578
1536710400000000000,19050000000,19050000000,18750000000,18870000000,2300397
1536796800000000000,18930000000,18970000000,18865000000,18950000000,882323
1536883200000000000,18950000000,18980000000,18840000000,18870000000,749858
1537142400000000000,18900000000,18900000000,18770000000,18880000000,744591
1537228800000000000,18880000000,18880000000,18690000000,18770000000,1131752
1537315200000000000,18780000000,18810000000,18685000000,18770000000,907759
1537401600000000000,18770000000,18795000000,18690000000,18770000000,1056394
1537488000000000000,18800000000,18930000000,18780000000,18890000000,3729112
1537747200000000000,18890000000,18905000000,18755000000,18800000000,870297
1537833600000000000,18820000000,18880000000,18705000000,18840000000,1124348
1537920000000000000,18770000000,18840000000,18710000000,18770000000,1306166
1538006400000000000,18600000000,18680000000,18540000000,18620000000,1061779
1538092800000000000,18600000000,18650000000,18505000000,18620000000,1741866
1538352000000000000,18600000000,18710000000,18480000000,18710000000,789286
1538438400000000000,18610000000,18750000000,18580000000,18750000000,989742
1538524800000000000,18640000000,18750000000,18420000000,18480000000,1387377
1538611200000000000,18400000000,18440000000,18230000000,18300000000,1052911
1538697600000000000,18290000000,18330000000,18100000000,18100000000,1316267
1538956800000000000,18100000000,18290000000,18080000000,18270000000,872783
1539043200000000000,18270000000,18290000000,18135000000,18260000000,1145427
1539129600000000000,18200000000,18340000000,18050000000,18060000000,1194565
1539216000000000000,18020000000,18110000000,17790000000,17900000000,1748019
1539302400000000000,18050000000,18050000000,17600000000,17740000000,1569767
1539561600000000000,17750000000,17945000000,17735000000,17810000000,1056896
1539648000000000000,17840000000,18050000000,17770000000,18050000000,966705
1539734400000000000,18000000000,18100000000,17915000000,18020000000,654888
1539820800000000000,17990000000,18000000000,17860000000,17930000000,918981
1539907200000000000,17900000000,17915000000,17755000000,17860000000,1071976
1540166400000000000,17880000000,17920000000,17680000000,17710000000,1016231
1540252800000000000,17650000000,17685000000,17540000000,17640000000,1521931
1540339200000000000,17630000000,18120000000,17550000000,17700000000,1786922
1540425600000000000,17920000000,18090000000,17810000000,18050000000,1448940
1540512000000000000,17980000000,18070000000,17820000000,17990000000,2298364
1540771200000000000,18040000000,18180000000,17990000000,18070000000,1508371
1540857600000000000,17870000000,17980000000,17730000000,17870000000,1613664
1540944000000000000,17900000000,17935000000,17780000000,17810000000,1767289
1541030400000000000,17840000000,17880000000,17680000000,17880000000,1238063
1541116800000000000,17840000000,17890000000,17650000000,17690000000,1307379
1541376000000000000,17700000000,17790000000,17550000000,17640000000,1342736
1541462400000000000,17600000000,17830000000,17520000000,17820000000,1333388
1541548800000000000,17810000000,17990000000,17750000000,17950000000,1312203
1541635200000000000,17900000000,17940000000,17810000000,17870000000,1370745
1541721600000000000,17830000000,18100000000,17800000000,17860000000,1509269
1541980800000000000,18050000000,18050000000,17740000000,17830000000,1801503
1542067200000000000,17800000000,17900000000,17760000000,17900000000,926036
1542153600000000000,17850000000,17950000000,17300000000,17330000000,1014168
1542240000000000000,17200000000,17435000000,17140000000,17350000000,10574267
1542326400000000000,17350000000,17705000000,17310000000,17570000000,3502838
1542585600000000000,17600000000,17720000000,17515000000,17580000000,4108188
1542672000000000000,17500000000,17590000000,17430000000,17450000000,2953338
1542758400000000000,17430000000,17555000000,17400000000,17520000000,1125175
1542931200000000000,17510000000,17550000000,17380000000,17440000000,2853063
1543190400000000000,17430000000,17600000000,17350000000,17500000000,2416694
1543276800000000000,17520000000,17620000000,17460000000,17600000000,1419237
1543363200000000000,17550000000,17770000000,17520000000,17760000000,1809175
1543449600000000000,17650000000,17800000000,17500000000,17730000000,1767257
1543536000000000000,17700000000,17820000000,17610000000,17750000000,8417291
1543795200000000000,17790000000,17870000000,17630000000,17820000000,1757622
1543881600000000000,17730000000,17940000000,17590000000,17700000000,1157543
1544054400000000000,17660000000,17850000000,17565000000,17790000000,2362402
1544140800000000000,17850000000,17880000000,17740000000,17860000000,1751949
1544400000000000000,17830000000,17925000000,17690000000,17860000000,2421144
1544486400000000000,17900000000,18075000000,17860000000,17880000000,1380376
1544572800000000000,17880000000,17980000000,17715000000,17800000000,1902600
1544659200000000000,17760000000,17895000000,17740000000,17860000000,1366848
1544745600000000000,17950000000,18100000000,17880000000,17970000000,2229434
1545004800000000000,18000000000,18100000000,17635000000,17720000000,1781462
1545091200000000000,17770000000,17900000000,17590000000,17790000000,1682761
1545177600000000000,17760000000,17940000000,17670000000,17710000000,2869179
1545264000000000000,17810000000,17850000000,17315000000,17430000000,3267877
1545350400000000000,17490000000,17740000000,17355000000,17490000000,3177697
1545609600000000000,17450000000,17500000000,16960000000,17310000000,1254819
1545782400000000000,17300000000,17700000000,17270000000,17680000000,1617811
1545868800000000000,17600000000,17870000000,17320000000,17870000000,2082453
1545955200000000000,17730000000,17810000000,17670000000,17750000000,1317181
1546214400000000000,17730000000,17760000000,17480000000,17590000000,2007105
1546387200000000000,17550000000,17655000000,17400000000,17600000000,1148866
1546473600000000000,17590000000,17925000000,17590000000,17890000000,1370801
1546560000000000000,17980000000,18045000000,17890000000,17940000000,1243798
1546819200000000000,17960000000,18115000000,17880000000,17900000000,1403218
1546905600000000000,17870000000,17960000000,17800000000,17850000000,1560955
1546992000000000000,17850000000,17940000000,17770000000,17800000000,1255234
1547078400000000000,17800000000,17840000000,17680000000,17840000000,1501683
1547164800000000000,17770000000,17890000000,17740000000,17890000000,701368
1547424000000000000,17900000000,18085000000,17900000000,17990000000,1329138
1547510400000000000,17950000000,18020000000,17915000000,17970000000,1129352
1547596800000000000,18080000000,18080000000,17930000000,17990000000,1129899
1547683200000000000,17980000000,18030000000,17900000000,18030000000,1101351
1547769600000000000,18080000000,18080000000,17965000000,18020000000,1365070
1548115200000000000,18020000000,18050000000,17830000000,17950000000,1479226
1548201600000000000,17980000000,18030000000,17920000000,18010000000,1551219
1548288000000000000,18030000000,18040000000,17890000000,18040000000,1138230
1548374400000000000,18010000000,18120000000,18010000000,18110000000,1058710
1548633600000000000,18120000000,18140000000,18020000000,18070000000,1130463
1548720000000000000,18060000000,18120000000,18030000000,18120000000,1288347
1548806400000000000,18050000000,18090000000,17640000000,17640000000,3385342
1548892800000000000,17650000000,17910000000,17630000000,17890000000,2722101
1548979200000000000,17880000000,17920000000,17650000000,17780000000,2250891
1549238400000000000,17730000000,17840000000,17660000000,17840000000,1761542
1549324800000000000,17800000000,17880000000,17685000000,17740000000,1839701
1549411200000000000,17780000000,17870000000,17705000000,17860000000,2513211
1549497600000000000,17880000000,17890000000,17770000000,17860000000,931157
1549584000000000000,17800000000,17860000000,17680000000,17840000000,1127644
1549843200000000000,17810000000,17860000000,17715000000,17820000000,1348581
1549929600000000000,17830000000,17930000000,17750000000,17900000000,2631373
1550016000000000000,17820000000,17830000000,17670000000,17740000000,1511954
1550102400000000000,17720000000,17760000000,17655000000,17740000000,1527993
1550188800000000000,17750000000,17760000000,17605000000,17630000000,1923734
1550534400000000000,17650000000,17720000000,17590000000,17650000000,1363693
1550620800000000000,17700000000,17710000000,17600000000,17680000000,1511221
1550707200000000000,17650000000,17670000000,17560000000,17630000000,1311320
1550793600000000000,17630000000,17750000000,17610000000,17730000000,826530
1551052800000000000,17710000000,17785000000,17685000000,17750000000,1212551
1551139200000000000,17750000000,17790000000,17740000000,17740000000,1273824
1551225600000000000,17610000000,17640000000,17500000000,17590000000,1038320
1551312000000000000,17560000000,17740000000,17540000000,17680000000,2426890
1551398400000000000,17660000000,17710000000,17500000000,17530000000,1620129
1551657600000000000,17540000000,17630000000,17510000000,17630000000,1613417
1551744000000000000,17600000000,17650000000,17520000000,17580000000,1202213
1551830400000000000,17560000000,17680000000,17560000000,17660000000,1326768
1551916800000000000,17630000000,17750000000,17620000000,17680000000,1496901
1552003200000000000,17670000000,17780000000,17630000000,17780000000,1236324
1552262400000000000,17780000000,17950000000,17760000000,17950000000,1239789
1552348800000000000,17920000000,17940000000,17855000000,17900000000,1245269
1552435200000000000,17980000000,18045000000,17910000000,18020000000,1117356
1552521600000000000,18040000000,18055000000,17960000000,18020000000,860266
1552608000000000000,18010000000,18040000000,17970000000,18010000000,2591382
1552867200000000000,18000000000,18140000000,17995000000,18110000000,1100591
1552953600000000000,18150000000,18170000000,17990000000,18080000000,1064187
1553040000000000000,18070000000,18090000000,17950000000,18020000000,1126329
1553126400000000000,18020000000,18150000000,18005000000,18070000000,1155229
1553212800000000000,18120000000,18160000000,17990000000,18040000000,1160322
1553472000000000000,18010000000,18030000000,17925000000,18000000000,1329974
1553558400000000000,18010000000,18195000000,17975000000,18090000000,1749978
1553644800000000000,18120000000,18170000000,18065000000,18110000000,2151424
1553731200000000000,18000000000,18100000000,17940000000,18100000000,1469280
1553817600000000000,18100000000,18100000000,17980000000,18040000000,1546680
1554076800000000000,18000000000,18150000000,17970000000,18150000000,1203244
1554163200000000000,18140000000,18150000000,18030000000,18150000000,936229
1554249600000000000,18110000000,18150000000,17980000000,18000000000,1200576
1554336000000000000,18040000000,18140000000,18030000000,18140000000,1055760
1554422400000000000,18130000000,18150000000,18050000000,18110000000,1214336
1554681600000000000,18060000000,18200000000,18060000000,18190000000,1252002
1554768000000000000,18130000000,18180000000,18090000000,18100000000,794152
1554854400000000000,18100000000,18140000000,18070000000,18140000000,588562
1554940800000000000,18140000000,18170000000,18110000000,18140000000,831434
1555027200000000000,18170000000,18200000000,18120000000,18190000000,567638
1555286400000000000,18190000000,18280000000,18170000000,18240000000,745475
1555372800000000000,18200000000,18225000000,18130000000,18150000000,826183
1555459200000000000,18160000000,18190000000,18125000000,18150000000,629023
1555545600000000000,18190000000,18190000000,18070000000,18150000000,1157960
1555891200000000000,18100000000,18200000000,18095000000,18200000000,690016
1555977600000000000,18160000000,18230000000,18140000000,18230000000,941929
1556064000000000000,18200000000,18300000000,17950000000,17980000000,1725097
1556150400000000000,18000000000,18030000000,17755000000,17830000000,4836459
1556236800000000000,17890000000,18005000000,17780000000,17980000000,1957513
1556496000000000000,17890000000,17900000000,17700000000,17710000000,1708201
1556582400000000000,17720000000,17790000000,17620000000,17790000000,1532080
1556668800000000000,17780000000,17875000000,17600000000,17600000000,1724479
1556755200000000000,17610000000,17640000000,17500000000,17600000000,1933817
1556841600000000000,17550000000,17600000000,17500000000,17510000000,1454368
1557100800000000000,17510000000,17590000000,17450000000,17490000000,2165855
1557187200000000000,17500000000,17650000000,17485000000,17550000000,1636307
1557273600000000000,17570000000,17590000000,17480000000,17480000000,1435939
1557360000000000000,17480000000,17480000000,17350000000,17430000000,1747916
1557446400000000000,17300000000,17600000000,17300000000,17580000000,1278649
1557705600000000000,17560000000,17590000000,17405000000,17410000000,1418812
1557792000000000000,17450000000,17570000000,17390000000,17460000000,1796116
1557878400000000000,17500000000,17590000000,17470000000,17510000000,952549
1557964800000000000,17530000000,17580000000,17480000000,17550000000,713583
1558051200000000000,17500000000,17500000000,17360000000,17360000000,1233348
1558310400000000000,17380000000,17390000000,17000000000,17020000000,2316952
1558396800000000000,17000000000,17085000000,16870000000,16980000000,2016096
1558483200000000000,17000000000,17080000000,16930000000,17080000000,1491551
1558569600000000000,17060000000,17060000000,16950000000,17050000000,1257266
1558656000000000000,17090000000,17110000000,17005000000,17080000000,794988
1559001600000000000,17020000000,17100000000,16850000000,16960000000,2960911
1559088000000000000,16900000000,16950000000,16615000000,16950000000,1888008
1559174400000000000,16760000000,16810000000,16475000000,16510000000,1904628
1559260800000000000,16460000000,16460000000,16195000000,16460000000,2219711
