ts_event,open,high,low,close,volume
1525132800000000000,49180000000,51440000000,49180000000,51100000000,3068315
1525219200000000000,51200000000,51280000000,50375000000,50400000000,3208862
1525305600000000000,50240000000,50915000000,49880000000,50800000000,3647163
1525392000000000000,50710000000,52840000000,50180000000,52630000000,3493312
1525651200000000000,52790000000,53000000000,52160000000,52590000000,3273655
1525737600000000000,52470000000,53480000000,52300000000,53460000000,3907988
1525824000000000000,53600000000,54250000000,53270000000,54240000000,3047588
1525910400000000000,54440000000,56000000000,54100000000,55500000000,2808735
1525996800000000000,55390000000,55880000000,54550000000,54950000000,3781162
1526256000000000000,54870000000,56940000000,54870000000,55310000000,3654334
1526342400000000000,55260000000,55260000000,53480000000,53900000000,4178085
1526428800000000000,53800000000,55460000000,53800000000,55250000000,3150659
1526515200000000000,55080000000,55080000000,50790000000,51500000000,4862063
1526601600000000000,51750000000,51750000000,48530000000,49540000000,11546732
1526860800000000000,50500000000,51360000000,49370000000,50250000000,5170902
1526947200000000000,50480000000,51325000000,50000000000,50200000000,3742228
1527033600000000000,49760000000,50790000000,49600000000,50340000000,5062492
1527120000000000000,50800000000,50905000000,49870000000,50880000000,3360160
1527206400000000000,51330000000,51330000000,50410000000,50850000000,3409235
1527552000000000000,49990000000,52250000000,49990000000,52000000000,4926317
1527638400000000000,52130000000,52490000000,51450000000,51550000000,3671704
1527724800000000000,51500000000,51780000000,50620000000,50860000000,6793006
1527811200000000000,51050000000,52270000000,51010000000,52120000000,3239395
1528070400000000000,52240000000,52890000000,51890000000,52250000000,3210209
1528156800000000000,52150000000,53230000000,52150000000,53000000000,3382523
1528243200000000000,53120000000,53350000000,52110000000,52550000000,2743163
1528329600000000000,51950000000,52000000000,50410000000,51200000000,4924450
1528416000000000000,50570000000,51210000000,50240000000,51130000000,3148203
1528675200000000000,51000000000,51220000000,49565000000,50030000000,4296841
1528761600000000000,49900000000,50875000000,49830000000,50860000000,4163287
1528848000000000000,50070000000,51600000000,50020000000,50880000000,5581584
1528934400000000000,50980000000,51040000000,49620000000,49840000000,4687491
1529020800000000000,49530000000,49690000000,48760000000,49210000000,11371903
1529280000000000000,48800000000,48990000000,48010000000,48010000000,3665747
1529366400000000000,47710000000,48810000000,47220000000,48550000000,4076796
1529452800000000000,48500000000,49240000000,48150000000,49130000000,2904448
1529539200000000000,49210000000,49790000000,48670000000,48800000000,3663704
1529625600000000000,49100000000,49400000000,47740000000,47910000000,4041222
1529884800000000000,47390000000,47390000000,46090000000,46620000000,4249203
1529971200000000000,46900000000,47700000000,46560000000,46800000000,3720035
1530057600000000000,46200000000,47250000000,45200000000,45390000000,4701470
1530144000000000000,45550000000,45650000000,44600000000,45650000000,4074637
1530230400000000000,45650000000,46810000000,45550000000,46300000000,5048650
1530489600000000000,46000000000,46000000000,44920000000,45600000000,3708126
1530576000000000000,45750000000,46000000000,44730000000,44770000000,2618037
1530748800000000000,45000000000,45680000000,44990000000,45440000000,3380277
1530835200000000000,45260000000,46220000000,44890000000,46150000000,3488508
1531094400000000000,46800000000,46800000000,45520000000,46550000000,2750310
1531180800000000000,46520000000,46910000000,46150000000,46150000000,2546553
1531267200000000000,45600000000,46350000000,44990000000,45210000000,3861483
1531353600000000000,45340000000,45890000000,45340000000,45670000000,2603916
1531440000000000000,45380000000,46230000000,45380000000,46100000000,1775940
1531699200000000000,46100000000,46660000000,45960000000,46130000000,2180331
1531785600000000000,46050000000,47450000000,46030000000,47300000000,2577800
1531872000000000000,47540000000,49120000000,47540000000,48300000000,4361099
1531958400000000000,47870000000,48000000000,46565000000,46670000000,3458273
1532044800000000000,46750000000,47090000000,46210000000,46770000000,2866034
1532304000000000000,46500000000,46540000000,45440000000,46500000000,1852418
1532390400000000000,46220000000,47270000000,45830000000,46190000000,2453422
1532476800000000000,45730000000,46050000000,45140000000,45600000000,3154047
1532563200000000000,45960000000,49150000000,45790000000,48640000000,3835390
1532649600000000000,48520000000,49475000000,47890000000,48120000000,4701078
1532908800000000000,48100000000,48430000000,47620000000,47910000000,2391517
1532995200000000000,48000000000,49060000000,48000000000,48880000000,3023624
1533081600000000000,48730000000,49140000000,47770000000,48190000000,2217058
1533168000000000000,47510000000,48830000000,47120000000,47810000000,2607079
1533254400000000000,48110000000,48880000000,47850000000,48880000000,2115452
1533513600000000000,49330000000,49790000000,48910000000,49480000000,2093673
1533600000000000000,49670000000,49960000000,49090000000,49600000000,2020007
1533686400000000000,49430000000,50390000000,49420000000,50140000000,2073286
1533772800000000000,49550000000,49575000000,48170000000,49110000000,2700222
1533859200000000000,48530000000,48660000000,47905000000,48100000000,2442425
1534118400000000000,48000000000,48595000000,47670000000,48260000000,1864473
1534204800000000000,48340000000,48890000000,48230000000,48450000000,2123475
1534291200000000000,47600000000,48090000000,47180000000,47900000000,2940754
1534377600000000000,48070000000,48230000000,45000000000,45220000000,4063474
1534464000000000000,45020000000,45720000000,42625000000,43800000000,12908300
1534723200000000000,44760000000,44760000000,43030000000,43510000000,3693227
1534809600000000000,44160000000,44440000000,42850000000,43570000000,4308078
1534896000000000000,43760000000,43760000000,42950000000,42950000000,2741946
1534982400000000000,42980000000,43300000000,42650000000,42840000000,2665805
1535068800000000000,42950000000,43060000000,42520000000,42790000000,2342639
1535328000000000000,42800000000,44190000000,42750000000,43870000000,3258928
1535414400000000000,43800000000,43800000000,42950000000,43420000000,3676106
1535500800000000000,43500000000,43500000000,42870000000,43100000000,3278484
1535587200000000000,43100000000,43495000000,42890000000,43190000000,3173865
1535673600000000000,43060000000,43300000000,42830000000,43020000000,3083206
1536019200000000000,42750000000,43000000000,42045000000,42620000000,4065152
1536105600000000000,42180000000,42580000000,41920000000,42410000000,3946569
1536192000000000000,42490000000,42490000000,40110000000,40350000000,6534571
1536278400000000000,40100000000,40400000000,39630000000,39850000000,3432233
1536537600000000000,40110000000,40330000000,39390000000,39670000000,3911257
1536624000000000000,39430000000,39460000000,38510000000,39250000000,4205848
1536710400000000000,38450000000,38730000000,37390000000,38180000000,4987925
1536796800000000000,38900000000,39145000000,38620000000,38830000000,3840540
1536883200000000000,39240000000,39580000000,38880000000,39080000000,2895026
1537142400000000000,38940000000,39170000000,38500000000,38500000000,3708909
1537228800000000000,38710000000,39430000000,38710000000,39170000000,2949781
1537315200000000000,39160000000,39470000000,38860000000,39410000000,2605159
1537401600000000000,39230000000,40130000000,38750000000,38800000000,3495156
1537488000000000000,38940000000,39950000000,38940000000,39650000000,10350942
1537747200000000000,39560000000,39560000000,38860000000,39170000000,3393450
1537833600000000000,39250000000,39290000000,38510000000,38520000000,2822028
1537920000000000000,38230000000,38870000000,37920000000,38330000000,3864704
1538006400000000000,38310000000,38730000000,38070000000,38350000000,2218768
1538092800000000000,38010000000,39330000000,38010000000,38750000000,3774554
1538352000000000000,38470000000,38770000000,38050000000,38400000000,2801585
1538438400000000000,38230000000,39360000000,38110000000,38900000000,2392523
1538524800000000000,39150000000,39640000000,38700000000,38880000000,2000783
1538611200000000000,38520000000,38720000000,37500000000,37960000000,3713981
1538697600000000000,37860000000,38050000000,36980000000,37350000000,2868055
1538956800000000000,37300000000,37300000000,36320000000,36600000000,3132814
1539043200000000000,36130000000,36600000000,35690000000,35800000000,3495624
1539129600000000000,35360000000,35680000000,34030000000,34030000000,6807297
1539216000000000000,33550000000,34790000000,32750000000,33330000000,8453904
1539302400000000000,33900000000,34340000000,33300000000,33700000000,4941089
1539561600000000000,33540000000,33850000000,33020000000,33420000000,3042865
1539648000000000000,33800000000,36100000000,33720000000,36100000000,2958387
1539734400000000000,35600000000,36100000000,34890000000,35000000000,4161715
