ts_event,open,high,low,close,volume
1525172400000000000,10900000000,10900000000,10890000000,10890000000,2000
1525176000000000000,10850000000,10880000000,10850000000,10870000000,3152
1525179600000000000,10860000000,10990000000,10770000000,10940000000,1304965
1525183200000000000,10935000000,11030000000,10895000000,10910000000,1083675
1525186800000000000,10900000000,10995000000,10870000000,10940000000,787268
1525190400000000000,10935000000,10975000000,10925000000,10950000000,345849
1525194000000000000,10950000000,10985000000,10890000000,10980000000,658273
1525197600000000000,10985000000,11060000000,10980000000,11025000000,791426
1525201200000000000,11025000000,11150000000,11020000000,11120000000,1113903
1525204800000000000,11130000000,11180000000,11090000000,11130000000,3547980
1525208400000000000,11150000000,11150000000,11110000000,11120000000,13346
1525212000000000000,11130000000,11160000000,11130000000,11160000000,4404
1525215600000000000,11160000000,11160000000,11140000000,11150000000,3750
1525251600000000000,11080000000,11110000000,11080000000,11110000000,600
1525255200000000000,11070000000,11070000000,11070000000,11070000000,8120
1525258800000000000,11110000000,11150000000,11110000000,11110000000,4648
1525262400000000000,11130000000,11130000000,11090000000,11090000000,2853
1525266000000000000,11100000000,11150000000,10980000000,11080000000,1265284
1525269600000000000,11070000000,11110000000,11030000000,11080000000,685372
1525273200000000000,11075000000,11095000000,11000000000,11035000000,539588
1525276800000000000,11030000000,11045000000,10980000000,11005000000,672998
1525280400000000000,11005000000,11030000000,11000000000,11030000000,429308
1525284000000000000,11020000000,11085000000,11020000000,11040000000,699790
1525287600000000000,11040000000,11040000000,10970000000,10975000000,1051692
1525291200000000000,10970000000,10970000000,10960000000,10960000000,486647
1525294800000000000,10960000000,10970000000,10960000000,10960000000,2611
1525298400000000000,10960000000,10960000000,10960000000,10960000000,100
1525302000000000000,10970000000,10970000000,10970000000,10970000000,100
1525334400000000000,11000000000,11000000000,10970000000,10970000000,33
1525338000000000000,10930000000,10930000000,10930000000,10930000000,55
1525341600000000000,10980000000,10980000000,10980000000,10980000000,96
1525345200000000000,10980000000,10980000000,10970000000,10970000000,7017
1525348800000000000,10970000000,10980000000,10910000000,10910000000,20929
1525352400000000000,10920000000,11050000000,10860000000,11030000000,1422242
1525356000000000000,11030000000,11035000000,10850000000,10860000000,920826
1525359600000000000,10870000000,10940000000,10840000000,10900000000,599951
1525363200000000000,10900000000,11010000000,10865000000,11005000000,740175
1525366800000000000,11000000000,11020000000,10940000000,10940000000,434495
1525370400000000000,10935000000,11005000000,10910000000,10910000000,683377
1525374000000000000,10920000000,10990000000,10920000000,10930000000,949510
1525377600000000000,10930000000,10940000000,10930000000,10940000000,619597
1525381200000000000,10940000000,10950000000,10940000000,10950000000,3201
1525384800000000000,10940000000,10950000000,10940000000,10950000000,332
1525388400000000000,10940000000,10940000000,10940000000,10940000000,765
1525424400000000000,11010000000,11010000000,11010000000,11010000000,1
1525435200000000000,10950000000,10950000000,10910000000,10910000000,4991
1525438800000000000,10910000000,11185000000,10875000000,11180000000,1791062
1525442400000000000,11175000000,11290000000,11120000000,11200000000,1876382
1525446000000000000,11205000000,11280000000,11205000000,11235000000,830694
1525449600000000000,11230000000,11270000000,11205000000,11260000000,512190
1525453200000000000,11255000000,11265000000,11200000000,11260000000,470828
1525456800000000000,11260000000,11275000000,11240000000,11265000000,845894
1525460400000000000,11265000000,11290000000,11245000000,11280000000,1681818
1525464000000000000,11280000000,11290000000,11270000000,11280000000,1518332
1525467600000000000,11270000000,11290000000,11270000000,11280000000,3941
1525474800000000000,11280000000,11290000000,11280000000,11290000000,1040
1525683600000000000,11390000000,11390000000,11350000000,11360000000,613
1525687200000000000,11320000000,11340000000,11320000000,11340000000,1010
1525690800000000000,11320000000,11410000000,11320000000,11380000000,4911
1525694400000000000,11380000000,11400000000,11280000000,11360000000,28750
1525698000000000000,11370000000,11525000000,11300000000,11425000000,2347016
1525701600000000000,11430000000,11565000000,11380000000,11555000000,1510694
1525705200000000000,11555000000,11600000000,11505000000,11595000000,868350
1525708800000000000,11600000000,11600000000,11565000000,11580000000,979167
1525712400000000000,11575000000,11600000000,11545000000,11590000000,516435
1525716000000000000,11595000000,11675000000,11585000000,11620000000,1456875
1525719600000000000,11630000000,11650000000,11520000000,11590000000,1465847
1525723200000000000,11590000000,11610000000,11580000000,11590000000,1289375
1525726800000000000,11590000000,11590000000,11560000000,11560000000,854
1525730400000000000,11580000000,11580000000,11560000000,11560000000,290
1525734000000000000,11580000000,11600000000,11580000000,11600000000,850
1525766400000000000,11580000000,11580000000,11580000000,11580000000,110
1525770000000000000,11570000000,11570000000,11570000000,11570000000,60
1525773600000000000,11570000000,11580000000,11570000000,11580000000,314
1525777200000000000,11580000000,11580000000,11490000000,11520000000,12286
1525780800000000000,11520000000,11550000000,11510000000,11550000000,22796
1525784400000000000,11550000000,11650000000,11400000000,11460000000,1922544
1525788000000000000,11465000000,11545000000,11450000000,11520000000,678365
1525791600000000000,11520000000,11590000000,11490000000,11555000000,646269
1525795200000000000,11555000000,11565000000,11515000000,11535000000,378671
1525798800000000000,11530000000,11580000000,11520000000,11520000000,400598
1525802400000000000,11515000000,11585000000,11475000000,11520000000,986595
1525806000000000000,11520000000,11610000000,11510000000,11610000000,1128741
1525809600000000000,11610000000,11610000000,11590000000,11600000000,1480882
1525813200000000000,11600000000,11600000000,11590000000,11590000000,9337
1525816800000000000,11600000000,11600000000,11600000000,11600000000,10
1525820400000000000,11610000000,11610000000,11600000000,11600000000,625
1525852800000000000,11590000000,11610000000,11590000000,11610000000,260
1525856400000000000,11650000000,11650000000,11650000000,11650000000,150
1525860000000000000,11640000000,11640000000,11640000000,11640000000,200
1525863600000000000,11600000000,11670000000,11600000000,11630000000,2390
1525867200000000000,11650000000,11660000000,11630000000,11640000000,4015
1525870800000000000,11640000000,11875000000,11580000000,11865000000,1665901
1525874400000000000,11865000000,11950000000,11810000000,11835000000,1455251
1525878000000000000,11840000000,11930000000,11835000000,11915000000,726323
1525881600000000000,11920000000,11975000000,11905000000,11965000000,906826
1525885200000000000,11965000000,11980000000,11920000000,11965000000,525136
1525888800000000000,11965000000,11975000000,11935000000,11970000000,514273
