ts_event,open,high,low,close,volume
1525132800000000000,178570000000,180900000000,177510000000,180850000000,1039730
1525219200000000000,180110000000,184250000000,179590000000,182700000000,1892462
1525305600000000000,182500000000,183790000000,175780000000,181200000000,2068144
1525392000000000000,181640000000,191390000000,177350000000,188560000000,6903621
1525651200000000000,189150000000,196600000000,188920000000,195000000000,2391140
1525737600000000000,194710000000,197340000000,193040000000,196050000000,1918249
1525824000000000000,196560000000,197700000000,194610000000,195300000000,1114051
1525910400000000000,195980000000,199760000000,195190000000,195650000000,1303729
1525996800000000000,196400000000,196610000000,193390000000,194550000000,816395
1526256000000000000,195500000000,200000000000,195170000000,198480000000,1426717
1526342400000000000,197640000000,197690000000,193860000000,196100000000,1302356
1526428800000000000,197220000000,199750000000,196100000000,198090000000,1204716
1526515200000000000,197320000000,198420000000,195580000000,196670000000,1026936
1526601600000000000,196400000000,197750000000,194740000000,194810000000,890448
1526860800000000000,197050000000,199790000000,196400000000,197990000000,1108868
1526947200000000000,197900000000,198980000000,195700000000,196110000000,808587
1527033600000000000,194320000000,197370000000,192820000000,197370000000,991204
1527120000000000000,197000000000,199710000000,195700000000,198000000000,1248620
1527206400000000000,198100000000,201500000000,196800000000,199290000000,1470663
1527552000000000000,198300000000,202270000000,197000000000,198080000000,1454387
1527638400000000000,198500000000,200510000000,197500000000,198240000000,1451768
1527724800000000000,198700000000,199500000000,196850000000,198250000000,1079588
1527811200000000000,198950000000,204980000000,198600000000,204600000000,1805522
1528070400000000000,205000000000,209740000000,204700000000,208850000000,1617900
1528156800000000000,209000000000,211670000000,207180000000,208700000000,1635861
1528243200000000000,209600000000,210460000000,207300000000,208800000000,1288367
1528329600000000000,208920000000,209880000000,200880000000,203000000000,2581127
1528416000000000000,202000000000,206230000000,199900000000,205250000000,1914535
1528675200000000000,206000000000,207600000000,205030000000,206000000000,1166105
1528761600000000000,206790000000,209780000000,205800000000,209700000000,1520944
1528848000000000000,209400000000,209970000000,206520000000,207300000000,1488813
1528934400000000000,206980000000,211370000000,206310000000,210870000000,1800548
1529020800000000000,209200000000,210070000000,206010000000,207950000000,2675560
1529280000000000000,207000000000,208640000000,203880000000,206100000000,1422595
1529366400000000000,203340000000,204510000000,199500000000,204200000000,2597180
1529452800000000000,204980000000,207220000000,204780000000,206500000000,1657773
1529539200000000000,206000000000,206000000000,201060000000,201600000000,1301412
1529625600000000000,202980000000,203980000000,200260000000,201520000000,912012
1529884800000000000,199310000000,199900000000,188330000000,190000000000,4000376
1529971200000000000,192430000000,193980000000,188430000000,192500000000,2222632
1530057600000000000,188500000000,194000000000,184510000000,185300000000,2666976
1530144000000000000,186120000000,188960000000,182050000000,188450000000,2335321
1530230400000000000,191270000000,192200000000,182750000000,184960000000,3390860
1530489600000000000,182810000000,186280000000,180800000000,186080000000,1880039
1530576000000000000,187180000000,188500000000,184380000000,184740000000,1222265
1530748800000000000,185050000000,187460000000,182900000000,185300000000,2062872
1530835200000000000,185100000000,192490000000,185100000000,192000000000,1870527
1531094400000000000,193770000000,194740000000,190870000000,192720000000,1762746
1531180800000000000,193300000000,195110000000,189250000000,189250000000,1453801
1531267200000000000,189000000000,190050000000,187400000000,187840000000,1630315
1531353600000000000,189500000000,192570000000,188580000000,190800000000,1694178
1531440000000000000,191100000000,192110000000,189300000000,190000000000,1402845
1531699200000000000,190650000000,191370000000,189000000000,189700000000,1222311
1531785600000000000,189500000000,193280000000,187920000000,193230000000,1499097
1531872000000000000,193000000000,193200000000,189920000000,190920000000,1154995
1531958400000000000,190010000000,190490000000,186870000000,187500000000,1621276
1532044800000000000,188590000000,189680000000,186100000000,187350000000,1164614
1532304000000000000,186600000000,188100000000,184800000000,187550000000,990244
1532390400000000000,188030000000,193040000000,188030000000,189710000000,1738714
1532476800000000000,189510000000,198370000000,189410000000,194000000000,2390112
1532563200000000000,194300000000,196120000000,192630000000,195880000000,1724176
1532649600000000000,195950000000,197500000000,186950000000,189100000000,2002598
1532908800000000000,189500000000,190570000000,182090000000,185630000000,2176833
1532995200000000000,185210000000,189150000000,183990000000,187060000000,2060776
1533081600000000000,187100000000,189070000000,183710000000,185600000000,1705627
1533168000000000000,182630000000,183000000000,179780000000,182820000000,2286736
1533254400000000000,183060000000,185950000000,180080000000,180800000000,1939516
1533513600000000000,181370000000,181700000000,177490000000,178670000000,3213411
1533600000000000000,180550000000,182990000000,179560000000,180050000000,2629503
1533686400000000000,179650000000,180440000000,176570000000,177800000000,2218129
1533772800000000000,178600000000,180610000000,176770000000,177300000000,3281666
1533859200000000000,175300000000,180430000000,174500000000,180120000000,1918644
1534118400000000000,179500000000,180600000000,177000000000,177740000000,1715271
1534204800000000000,178600000000,178650000000,170780000000,172600000000,4286510
1534291200000000000,170500000000,171000000000,165400000000,170200000000,4988547
1534377600000000000,170780000000,175690000000,169990000000,172010000000,3352193
1534464000000000000,172160000000,174190000000,168450000000,173200000000,2801954
1534723200000000000,174780000000,178850000000,174380000000,176200000000,3091254
1534809600000000000,177150000000,179670000000,176450000000,176700000000,2434374
1534896000000000000,177060000000,179720000000,175510000000,177900000000,2876321
1534982400000000000,178000000000,186500000000,171560000000,173890000000,9770435
1535068800000000000,174000000000,176350000000,172450000000,174080000000,3322808
1535328000000000000,176100000000,181220000000,176000000000,181220000000,2760931
1535414400000000000,182100000000,182380000000,177500000000,178400000000,2098282
1535500800000000000,178410000000,179600000000,176860000000,178740000000,1453932
1535587200000000000,178000000000,178080000000,174130000000,174350000000,1777540
1535673600000000000,173990000000,176680000000,172670000000,175040000000,1313017
1536019200000000000,175050000000,175650000000,169630000000,170420000000,2555836
1536105600000000000,169500000000,169500000000,162300000000,164370000000,3391115
1536192000000000000,164000000000,166460000000,158700000000,159720000000,3698963
1536278400000000000,159700000000,164600000000,157500000000,158620000000,2594579
1536537600000000000,159300000000,161000000000,155000000000,156680000000,3917792
1536624000000000000,156600000000,158440000000,152780000000,158000000000,2613365
1536710400000000000,158100000000,162810000000,156200000000,162200000000,3588122
1536796800000000000,163980000000,167220000000,163700000000,166200000000,3341336
1536883200000000000,168000000000,168110000000,163390000000,164650000000,2171039
1537142400000000000,162700000000,163190000000,155950000000,156000000000,2378565
1537228800000000000,159500000000,161000000000,155220000000,157200000000,3580342
1537315200000000000,158670000000,163880000000,157510000000,163880000000,2700021
1537401600000000000,163430000000,167660000000,162230000000,166000000000,2170031
1537488000000000000,169870000000,170310000000,164300000000,164870000000,2209253
1537747200000000000,163000000000,163490000000,160120000000,163490000000,1385685
1537833600000000000,163160000000,165430000000,162210000000,164500000000,1075636
1537920000000000000,165140000000,167380000000,164780000000,165700000000,1449190
1538006400000000000,164700000000,167050000000,164000000000,166450000000,1303287
1538092800000000000,166100000000,166100000000,163300000000,164790000000,1230237
1538352000000000000,166390000000,166880000000,161500000000,161990000000,1277975
1538438400000000000,159350000000,161025000000,158000000000,160200000000,1674320
1538524800000000000,161200000000,164530000000,160230000000,162180000000,1417408
1538611200000000000,159900000000,160910000000,153880000000,155160000000,3238871
1538697600000000000,156000000000,157160000000,152250000000,154300000000,2336814
1538956800000000000,152500000000,152800000000,148360000000,151470000000,3192659
1539043200000000000,150000000000,150570000000,146480000000,146850000000,3664697
1539129600000000000,146150000000,146760000000,136120000000,136590000000,7049507
1539216000000000000,133940000000,145100000000,133130000000,144240000000,6078870
1539302400000000000,146000000000,149100000000,144520000000,147500000000,3536791
1539561600000000000,145010000000,145680000000,142300000000,144400000000,2126623
1539648000000000000,145080000000,151400000000,144700000000,150750000000,1977371
1539734400000000000,151200000000,151300000000,146370000000,147470000000,1847839
1539820800000000000,146890000000,147130000000,140910000000,142000000000,2505093
1539907200000000000,143720000000,146750000000,142630000000,142800000000,1839396
1540166400000000000,147100000000,150200000000,146110000000,148400000000,3051678
1540252800000000000,143920000000,147500000000,142600000000,146550000000,2409656
1540339200000000000,144880000000,146690000000,139340000000,139800000000,2274527
1540425600000000000,142300000000,144900000000,140450000000,141200000000,1628804
1540512000000000000,139020000000,145800000000,138550000000,142930000000,2627700
1540771200000000000,142840000000,144900000000,131360000000,133340000000,4669731
1540857600000000000,135210000000,138170000000,130100000000,137200000000,3164629
1540944000000000000,138860000000,142630000000,138790000000,142050000000,2645255
1541030400000000000,142980000000,152310000000,138620000000,148920000000,6397123
1541116800000000000,154500000000,160950000000,146290000000,147250000000,7093698
1541376000000000000,147350000000,149370000000,144230000000,144980000000,1927437
1541462400000000000,145300000000,149960000000,144000000000,147040000000,1947866
1541548800000000000,149700000000,152800000000,148950000000,152600000000,2041328
1541635200000000000,151370000000,152330000000,146700000000,148600000000,1818333
1541721600000000000,146000000000,146320000000,142480000000,145200000000,1952621
1541980800000000000,146000000000,146980000000,139980000000,142500000000,1972779
1542067200000000000,145760000000,149940000000,143910000000,147930000000,2358580
1542153600000000000,145510000000,152150000000,144500000000,150440000000,2956485
1542240000000000000,152000000000,157400000000,150900000000,154550000000,3488424
1542326400000000000,154030000000,155760000000,152150000000,154270000000,2701153
1542585600000000000,154000000000,155500000000,148200000000,148200000000,2195678
1542672000000000000,146900000000,148350000000,142870000000,144850000000,2650927
1542758400000000000,148400000000,151450000000,148220000000,149480000000,1826628
1542931200000000000,148020000000,151160000000,147000000000,149760000000,1092649
1543190400000000000,153830000000,156800000000,152360000000,153350000000,2122625
1543276800000000000,154500000000,157940000000,153350000000,156800000000,1959634
1543363200000000000,158000000000,159800000000,155250000000,159000000000,2596181
1543449600000000000,157680000000,158990000000,153550000000,156280000000,2403499
1543536000000000000,155650000000,161160000000,154800000000,160990000000,2120695
1543795200000000000,167670000000,169000000000,163500000000,163530000000,3744306
1543881600000000000,164100000000,165550000000,156490000000,158450000000,2445452
1544054400000000000,154010000000,156700000000,150580000000,156200000000,3127170
1544140800000000000,154200000000,158050000000,151750000000,153010000000,2163087
1544400000000000000,151150000000,153370000000,147480000000,151390000000,2206643
1544486400000000000,151410000000,156240000000,150900000000,151600000000,1835546
1544572800000000000,153900000000,156160000000,151400000000,152300000000,1951810
1544659200000000000,153000000000,153550000000,149510000000,149800000000,1546261
1544745600000000000,147920000000,150700000000,145730000000,148770000000,1738175
1545004800000000000,149190000000,149670000000,142240000000,144600000000,1543685
1545091200000000000,145440000000,145850000000,140160000000,140680000000,1800848
1545177600000000000,141990000000,142950000000,135730000000,136700000000,2608765
1545264000000000000,136300000000,138230000000,132930000000,135350000000,2437824
1545350400000000000,136050000000,138540000000,130240000000,130940000000,2658377
1545609600000000000,132450000000,134560000000,129140000000,130820000000,1227507
1545782400000000000,131790000000,138890000000,130190000000,138620000000,1666119
1545868800000000000,135560000000,138750000000,133900000000,137360000000,1391061
1545955200000000000,139500000000,140970000000,136830000000,139000000000,1211832
1546214400000000000,140980000000,142500000000,136040000000,137130000000,1291765
1546387200000000000,134000000000,137720000000,132770000000,133250000000,1539392
1546473600000000000,133520000000,135300000000,129830000000,130760000000,2340913
1546560000000000000,133440000000,141060000000,132700000000,140000000000,2544038
1546819200000000000,140400000000,144070000000,139040000000,143380000000,1662555
1546905600000000000,144450000000,147550000000,142070000000,147060000000,1954489
1546992000000000000,149100000000,153340000000,148820000000,151690000000,2248457
1547078400000000000,150040000000,152990000000,148880000000,151460000000,1249073
1547164800000000000,152000000000,153330000000,150150000000,151090000000,1077244
1547424000000000000,149630000000,150560000000,146540000000,149340000000,2027751
1547510400000000000,151150000000,154170000000,149990000000,151200000000,1707826
1547596800000000000,151780000000,155380000000,151250000000,154500000000,1594862
1547683200000000000,153660000000,158550000000,151880000000,156300000000,2126144
1547769600000000000,157720000000,159480000000,154740000000,156750000000,2209227
1548115200000000000,155560000000,155600000000,150210000000,152420000000,2057126
1548201600000000000,153690000000,155180000000,150950000000,152070000000,1125276
1548288000000000000,153120000000,156000000000,150530000000,155500000000,1467558
1548374400000000000,156680000000,160490000000,156380000000,159200000000,2204689
1548633600000000000,158390000000,159680000000,155310000000,158000000000,1215631
1548720000000000000,159330000000,160320000000,155930000000,158210000000,1760616
1548806400000000000,158800000000,167840000000,158100000000,167200000000,5382892
1548892800000000000,167870000000,169700000000,165700000000,167650000000,2460956
1548979200000000000,167850000000,169390000000,167210000000,168150000000,1498095
1549238400000000000,168150000000,168900000000,165610000000,166580000000,834890
1549324800000000000,167430000000,171940000000,167100000000,171830000000,1734081
1549411200000000000,170750000000,173070000000,170000000000,171300000000,1515863
1549497600000000000,170500000000,170500000000,164370000000,166450000000,1826041
1549584000000000000,165600000000,167650000000,163520000000,167480000000,995618
1549843200000000000,169100000000,170310000000,167350000000,167450000000,861426
1549929600000000000,169100000000,170490000000,168590000000,168900000000,1095090
1550016000000000000,169520000000,171040000000,168990000000,169100000000,925758
1550102400000000000,169900000000,170300000000,166610000000,168550000000,1038522
1550188800000000000,166930000000,168850000000,165430000000,166150000000,1476811
1550534400000000000,166850000000,171130000000,165180000000,170080000000,1259640
1550620800000000000,170900000000,172680000000,169350000000,171000000000,1707774
1550707200000000000,171000000000,171890000000,169800000000,171550000000,886433
1550793600000000000,173140000000,177800000000,172520000000,177700000000,1656559
1551052800000000000,179680000000,183700000000,179680000000,182000000000,2501370
1551139200000000000,180770000000,184340000000,178770000000,182800000000,1658545
1551225600000000000,181300000000,184920000000,180810000000,184480000000,1753277
1551312000000000000,182580000000,184600000000,181470000000,182930000000,1404665
1551398400000000000,185000000000,186890000000,183380000000,183960000000,1560595
1551657600000000000,186420000000,187330000000,184480000000,186950000000,2080871
1551744000000000000,188110000000,188490000000,184900000000,185080000000,1241648
1551830400000000000,185550000000,185650000000,183050000000,183890000000,1290676
1551916800000000000,182710000000,182770000000,176750000000,177900000000,1700317
1552003200000000000,173900000000,175340000000,171140000000,174700000000,1730539
1552262400000000000,177500000000,181710000000,176960000000,181360000000,1193663
1552348800000000000,182400000000,182490000000,179520000000,180660000000,819106
1552435200000000000,180580000000,182530000000,179280000000,181110000000,731841
1552521600000000000,180220000000,181550000000,178010000000,178900000000,989201
1552608000000000000,179900000000,181440000000,179680000000,180850000000,852721
1552867200000000000,182980000000,183100000000,180780000000,181830000000,702177
1552953600000000000,182000000000,183360000000,180830000000,181800000000,744077
1553040000000000000,182200000000,182450000000,178430000000,181200000000,1076997
1553126400000000000,180000000000,182100000000,178500000000,181450000000,811879
1553212800000000000,181030000000,181030000000,175360000000,175500000000,1418044
1553472000000000000,174000000000,178990000000,173730000000,178880000000,791402
1553558400000000000,179180000000,180650000000,177090000000,177960000000,835847
1553644800000000000,178630000000,179830000000,176900000000,177000000000,799121
1553731200000000000,176750000000,178520000000,176000000000,178320000000,971949
1553817600000000000,179500000000,182590000000,179000000000,182350000000,1661740
1554076800000000000,185340000000,185800000000,180500000000,180890000000,1582768
1554163200000000000,180900000000,183550000000,178640000000,179240000000,1168400
1554249600000000000,180070000000,181350000000,176770000000,178800000000,3020306
1554336000000000000,179170000000,181950000000,176890000000,181000000000,1985025
1554422400000000000,181450000000,185500000000,181370000000,185400000000,2059024
1554681600000000000,184350000000,187810000000,183630000000,186320000000,1741787
1554768000000000000,186640000000,187890000000,186190000000,186790000000,1534634
1554854400000000000,187550000000,187680000000,184010000000,186360000000,1359076
1554940800000000000,185400000000,186030000000,183740000000,185050000000,935330
1555027200000000000,186350000000,189790000000,186350000000,188600000000,1346398
1555286400000000000,188400000000,189400000000,182570000000,183300000000,1945627
1555372800000000000,185330000000,186160000000,183400000000,185850000000,1242374
1555459200000000000,186840000000,188190000000,185780000000,187400000000,1562606
1555545600000000000,187440000000,187440000000,185400000000,186880000000,808906
1555891200000000000,185360000000,186460000000,183610000000,185610000000,793224
1555977600000000000,185290000000,188150000000,185290000000,187350000000,1091479
1556064000000000000,187660000000,187970000000,184570000000,186200000000,952955
1556150400000000000,184980000000,188300000000,183960000000,186880000000,1114628
1556236800000000000,187200000000,188720000000,185530000000,186900000000,745937
1556496000000000000,187960000000,188450000000,186060000000,186400000000,719254
1556582400000000000,186940000000,188250000000,183840000000,186300000000,1426151
1556668800000000000,187000000000,193180000000,185910000000,189180000000,1894562
