ts_event,open,high,low,close,volume
1525132800000000000,30010000000,30020000000,29625000000,29980000000,5078873
1525219200000000000,30000000000,30060000000,29560000000,29650000000,5025659
1525305600000000000,29690000000,29690000000,28435000000,29190000000,10343678
1525392000000000000,29370000000,29415000000,28825000000,29290000000,5234004
1525651200000000000,29390000000,29780000000,29335000000,29670000000,3841187
1525737600000000000,29700000000,30120000000,29590000000,29940000000,5345427
1525824000000000000,30070000000,30870000000,30070000000,30840000000,6070730
1525910400000000000,30700000000,31065000000,30425000000,30810000000,4059999
1525996800000000000,30900000000,31025000000,30810000000,30940000000,3321527
1526256000000000000,31110000000,31220000000,31020000000,31110000000,3502258
1526342400000000000,31110000000,31360000000,30850000000,31150000000,5989903
1526428800000000000,31150000000,31240000000,31000000000,31060000000,3464410
1526515200000000000,30900000000,31075000000,30680000000,30810000000,3785279
1526601600000000000,30870000000,30870000000,30235000000,30290000000,4263181
1526860800000000000,30500000000,30670000000,30480000000,30510000000,2909503
1526947200000000000,30690000000,31130000000,30550000000,31050000000,4942940
1527033600000000000,30660000000,30820000000,30090000000,30450000000,5906927
1527120000000000000,30420000000,30420000000,29835000000,30190000000,6052180
1527206400000000000,30100000000,30190000000,29885000000,30120000000,4276391
1527552000000000000,29720000000,29930000000,28700000000,29000000000,14314759
1527638400000000000,29300000000,29595000000,29160000000,29500000000,5567257
1527724800000000000,29510000000,29550000000,28830000000,29010000000,6694446
1527811200000000000,29300000000,29660000000,29070000000,29380000000,5982960
1528070400000000000,29500000000,29600000000,29330000000,29380000000,3403690
1528156800000000000,29400000000,29400000000,29060000000,29110000000,3339002
1528243200000000000,29150000000,30060000000,29150000000,30050000000,5677903
1528329600000000000,30140000000,30300000000,29900000000,30050000000,5305352
1528416000000000000,29850000000,30050000000,29820000000,29950000000,4762000
1528675200000000000,30130000000,30405000000,30050000000,30120000000,3599637
1528761600000000000,30130000000,30265000000,29755000000,29920000000,4053945
1528848000000000000,29970000000,30350000000,29695000000,29970000000,5737873
1528934400000000000,29840000000,30050000000,29380000000,29500000000,6256552
1529020800000000000,29420000000,29500000000,28870000000,29200000000,6255578
1529280000000000000,29160000000,29495000000,28820000000,29250000000,4655473
1529366400000000000,29000000000,29370000000,28955000000,29240000000,5214562
1529452800000000000,29200000000,29490000000,29110000000,29310000000,4146662
1529539200000000000,29100000000,29445000000,29005000000,29220000000,5414458
1529625600000000000,29380000000,29515000000,28960000000,28960000000,4522725
1529884800000000000,28670000000,28900000000,28260000000,28510000000,6301926
1529971200000000000,28480000000,28700000000,28020000000,28570000000,4995208
1530057600000000000,28280000000,28840000000,28240000000,28280000000,5235595
1530144000000000000,28360000000,29090000000,28230000000,28950000000,5521065
1530230400000000000,29030000000,29200000000,28180000000,28200000000,7266166
1530489600000000000,28030000000,28320000000,27830000000,28270000000,4934144
1530576000000000000,28400000000,28430000000,27745000000,27780000000,3526224
1530748800000000000,28000000000,28075000000,27815000000,27880000000,3858783
1530835200000000000,27800000000,28145000000,27630000000,28050000000,3646633
1531094400000000000,28030000000,29090000000,28030000000,29070000000,5297439
1531180800000000000,29120000000,29330000000,28560000000,28560000000,5597866
1531267200000000000,28520000000,28905000000,28510000000,28690000000,4575087
1531353600000000000,28830000000,28960000000,28660000000,28850000000,4236473
1531440000000000000,28930000000,29000000000,28230000000,28540000000,6657887
1531699200000000000,28680000000,29845000000,28540000000,29720000000,11971283
1531785600000000000,29750000000,30190000000,29580000000,30030000000,7838806
1531872000000000000,30130000000,30290000000,29840000000,30130000000,5562788
1531958400000000000,30130000000,30130000000,29640000000,29680000000,6210525
1532044800000000000,29520000000,30155000000,29465000000,30120000000,6586683
1532304000000000000,30100000000,30850000000,30100000000,30750000000,6728541
1532390400000000000,30730000000,31110000000,30655000000,30770000000,6308599
1532476800000000000,30620000000,31105000000,30620000000,30940000000,5572114
1532563200000000000,30920000000,31210000000,30895000000,31000000000,4348924
1532649600000000000,31000000000,31135000000,30805000000,31060000000,6187016
1532908800000000000,31090000000,31450000000,31070000000,31320000000,5099066
1532995200000000000,31310000000,31410000000,30825000000,30890000000,5564807
1533081600000000000,31000000000,31545000000,31000000000,31200000000,7200526
1533168000000000000,31190000000,31305000000,30870000000,31270000000,4745624
1533254400000000000,31280000000,31510000000,31170000000,31490000000,4312978
1533513600000000000,31410000000,31585000000,31010000000,31470000000,3940102
1533600000000000000,31580000000,31795000000,31490000000,31510000000,4439350
1533686400000000000,31690000000,31910000000,31370000000,31740000000,4657890
1533772800000000000,31620000000,31785000000,31555000000,31600000000,3664680
1533859200000000000,31500000000,31500000000,30900000000,31200000000,6572254
1534118400000000000,31000000000,31180000000,30455000000,30500000000,6825765
1534204800000000000,30630000000,30895000000,30430000000,30810000000,4236088
1534291200000000000,30800000000,30800000000,30155000000,30370000000,6612008
1534377600000000000,30550000000,30835000000,30510000000,30760000000,3896218
1534464000000000000,30410000000,30850000000,30410000000,30730000000,3815374
1534723200000000000,30700000000,30970000000,30650000000,30860000000,4461680
1534809600000000000,30970000000,31240000000,30780000000,30780000000,4382659
1534896000000000000,30880000000,31080000000,30810000000,30980000000,3304248
1534982400000000000,30960000000,30990000000,30745000000,30810000000,3783039
1535068800000000000,30850000000,31070000000,30850000000,30860000000,3507558
1535328000000000000,30800000000,31490000000,30800000000,31310000000,5742400
1535414400000000000,31370000000,31430000000,31190000000,31250000000,3985355
1535500800000000000,31250000000,31310000000,31070000000,31150000000,3750365
1535587200000000000,31040000000,31145000000,30950000000,31000000000,4575532
1535673600000000000,30950000000,30950000000,30625000000,30920000000,4667012
1536019200000000000,30960000000,31180000000,30800000000,31140000000,4582734
1536105600000000000,31090000000,31240000000,30975000000,31150000000,4433133
1536192000000000000,31050000000,31110000000,30730000000,30820000000,4967014
1536278400000000000,30810000000,31110000000,30635000000,30730000000,6271558
1536537600000000000,30990000000,31000000000,30755000000,30820000000,3726853
1536624000000000000,30730000000,30900000000,30700000000,30850000000,4404351
1536710400000000000,30900000000,30960000000,30385000000,30420000000,6139395
1536796800000000000,30520000000,30670000000,30085000000,30190000000,7067065
1536883200000000000,30160000000,30380000000,30120000000,30340000000,3683627
1537142400000000000,30350000000,30480000000,30150000000,30250000000,3109578
1537228800000000000,30340000000,30420000000,30140000000,30210000000,4555238
1537315200000000000,30200000000,31200000000,30100000000,31080000000,9319028
1537401600000000000,31120000000,31365000000,31100000000,31220000000,9258060
1537488000000000000,31320000000,31370000000,30970000000,31000000000,4858431
1537747200000000000,30900000000,31200000000,30660000000,30750000000,3936042
1537833600000000000,30800000000,31040000000,30605000000,30740000000,3714940
1537920000000000000,30790000000,30790000000,30065000000,30260000000,6001936
1538006400000000000,30240000000,30330000000,29930000000,29980000000,4366219
1538092800000000000,29950000000,29950000000,29425000000,29460000000,6136545
1538352000000000000,29990000000,30000000000,29540000000,29640000000,5230374
1538438400000000000,29450000000,29715000000,29275000000,29580000000,4014419
1538524800000000000,29730000000,30175000000,29725000000,30010000000,5936100
1538611200000000000,30010000000,30785000000,30010000000,30420000000,7518012
1538697600000000000,30450000000,30650000000,30060000000,30220000000,6148022
1538956800000000000,30180000000,30420000000,29910000000,30280000000,5175250
1539043200000000000,30150000000,30180000000,29875000000,30030000000,6677665
1539129600000000000,30040000000,30130000000,29020000000,29020000000,11455928
1539216000000000000,28700000000,29245000000,28270000000,28700000000,17951339
