ts_event,open,high,low,close,volume
1571403600000000000,22300000000,22550000000,22150000000,22500000000,20167
1571407200000000000,22500000000,22560000000,22220000000,22240000000,30450
1571410800000000000,22250000000,22250000000,21980000000,22000000000,39475
1571414400000000000,21980000000,22100000000,21870000000,21920000000,44880
1571418000000000000,21920000000,21940000000,21840000000,21910000000,22777
1571421600000000000,21920000000,21920000000,21770000000,21830000000,26336
1571425200000000000,21830000000,21860000000,21760000000,21770000000,64523
1571662800000000000,21830000000,22090000000,21830000000,21940000000,29291
1571666400000000000,21950000000,21960000000,21540000000,21725000000,103888
1571670000000000000,21725000000,21795000000,21645000000,21780000000,82726
1571673600000000000,21775000000,21940000000,21720000000,21800000000,92992
1571677200000000000,21790000000,21880000000,21770000000,21880000000,63673
1571680800000000000,21870000000,22215000000,21840000000,22170000000,104182
1571684400000000000,22180000000,22320000000,22115000000,22120000000,154753
1571749200000000000,22240000000,22575000000,22240000000,22525000000,33160
1571752800000000000,22520000000,22620000000,22400000000,22540000000,90117
1571756400000000000,22550000000,22785000000,22520000000,22745000000,73204
1571760000000000000,22750000000,22830000000,22725000000,22730000000,60535
1571763600000000000,22730000000,22750000000,22645000000,22750000000,45076
1571767200000000000,22755000000,22865000000,22695000000,22710000000,51714
1571770800000000000,22710000000,22710000000,22630000000,22640000000,89704
1571774400000000000,22590000000,22590000000,22590000000,22590000000,425
1571835600000000000,22470000000,22650000000,22320000000,22570000000,15141
1571839200000000000,22570000000,22630000000,22350000000,22620000000,49023
1571842800000000000,22630000000,23110000000,22630000000,23110000000,56188
1571846400000000000,23120000000,23150000000,22980000000,23005000000,49014
1571850000000000000,23000000000,23050000000,22965000000,22990000000,39288
1571853600000000000,22980000000,23140000000,22940000000,23140000000,43032
1571857200000000000,23135000000,23200000000,23005000000,23115000000,126100
1571860800000000000,23170000000,23170000000,23170000000,23170000000,2
1571922000000000000,23020000000,23030000000,22190000000,22240000000,54963
1571925600000000000,22250000000,22250000000,21980000000,22090000000,75282
1571929200000000000,22080000000,22340000000,22040000000,22340000000,70560
1571932800000000000,22340000000,22355000000,22040000000,22095000000,48622
1571936400000000000,22100000000,22315000000,22080000000,22315000000,42036
1571940000000000000,22315000000,22345000000,22240000000,22290000000,51799
1571943600000000000,22290000000,22360000000,22250000000,22330000000,81223
1572008400000000000,22280000000,22570000000,22270000000,22450000000,10850
1572012000000000000,22450000000,22520000000,22240000000,22450000000,48251
1572015600000000000,22440000000,22565000000,22430000000,22480000000,47398
1572019200000000000,22480000000,22605000000,22480000000,22560000000,45786
1572022800000000000,22560000000,22590000000,22505000000,22540000000,33678
1572026400000000000,22545000000,22580000000,22475000000,22490000000,37497
1572030000000000000,22495000000,22500000000,22355000000,22380000000,153239
1572267600000000000,22350000000,22690000000,22350000000,22620000000,20247
1572271200000000000,22610000000,22630000000,22290000000,22290000000,38535
1572274800000000000,22290000000,22290000000,22050000000,22050000000,41386
1572278400000000000,22040000000,22090000000,21890000000,21965000000,56422
1572282000000000000,21965000000,21995000000,21830000000,21885000000,48303
1572285600000000000,21885000000,21935000000,21850000000,21905000000,40670
1572289200000000000,21905000000,22080000000,21845000000,21980000000,102891
1572354000000000000,21630000000,21910000000,21590000000,21610000000,29599
1572357600000000000,21610000000,22010000000,21610000000,21935000000,89948
1572361200000000000,21925000000,22445000000,21860000000,22350000000,137336
1572364800000000000,22350000000,22490000000,22315000000,22450000000,79092
1572368400000000000,22455000000,22455000000,22295000000,22385000000,58586
1572372000000000000,22400000000,22410000000,22170000000,22300000000,69643
1572375600000000000,22300000000,22310000000,21900000000,21900000000,247672
1572440400000000000,21900000000,22840000000,21900000000,22840000000,127822
1572444000000000000,22870000000,23105000000,22670000000,22840000000,125014
1572447600000000000,22840000000,22860000000,22130000000,22280000000,83184
1572451200000000000,22280000000,22400000000,21840000000,21970000000,57680
1572454800000000000,21970000000,22110000000,21880000000,21950000000,49061
1572458400000000000,21930000000,21930000000,21590000000,21740000000,65284
1572462000000000000,21740000000,21740000000,21540000000,21610000000,116322
1572465600000000000,21610000000,21610000000,21610000000,21610000000,25
1572523200000000000,21490000000,21490000000,21490000000,21490000000,100
1572526800000000000,21500000000,21500000000,20930000000,21420000000,48780
1572530400000000000,21400000000,21510000000,20920000000,21080000000,87353
1572534000000000000,21090000000,21385000000,21045000000,21240000000,107695
1572537600000000000,21245000000,21245000000,21045000000,21045000000,53633
1572541200000000000,21045000000,21175000000,21045000000,21165000000,48051
1572544800000000000,21165000000,21220000000,21080000000,21220000000,49653
1572548400000000000,21220000000,21390000000,21150000000,21390000000,132198
1572613200000000000,21560000000,21680000000,21400000000,21640000000,20502
1572616800000000000,21630000000,21930000000,21590000000,21690000000,61832
1572620400000000000,21690000000,21860000000,21610000000,21780000000,60028
1572624000000000000,21780000000,21790000000,21560000000,21620000000,37044
1572627600000000000,21620000000,21715000000,21600000000,21630000000,28230
1572631200000000000,21630000000,21960000000,21600000000,21885000000,51444
1572634800000000000,21885000000,21890000000,21745000000,21890000000,112046
1572638400000000000,21800000000,21800000000,21800000000,21800000000,1050
1572872400000000000,21940000000,21940000000,21940000000,21940000000,104
1572876000000000000,22110000000,22260000000,21990000000,22080000000,22106
1572879600000000000,22060000000,22380000000,21980000000,22270000000,54030
1572883200000000000,22275000000,22515000000,22220000000,22430000000,59565
1572886800000000000,22430000000,22485000000,22320000000,22480000000,50990
1572890400000000000,22475000000,22550000000,22270000000,22335000000,63669
1572894000000000000,22330000000,22330000000,22180000000,22290000000,81249
1572897600000000000,22285000000,22350000000,22220000000,22340000000,127389
1572958800000000000,22060000000,22060000000,22060000000,22060000000,23
1572962400000000000,22360000000,22800000000,22290000000,22710000000,12464
1572966000000000000,22690000000,22780000000,22590000000,22730000000,59187
1572969600000000000,22740000000,22750000000,22410000000,22525000000,52827
1572973200000000000,22520000000,22620000000,22420000000,22560000000,45828
1572976800000000000,22550000000,22570000000,22470000000,22490000000,31092
1572980400000000000,22480000000,22535000000,22445000000,22450000000,23791
1572984000000000000,22445000000,22620000000,22440000000,22620000000,66192
1573048800000000000,22650000000,22680000000,22160000000,22420000000,26726
1573052400000000000,22420000000,22570000000,22150000000,22160000000,54185
1573056000000000000,22140000000,22230000000,21980000000,22035000000,57870
1573059600000000000,22035000000,22220000000,21970000000,22010000000,42822
1573063200000000000,22020000000,22060000000,21940000000,22050000000,61152
1573066800000000000,22040000000,22040000000,21940000000,22000000000,47222
