ts_event,open,high,low,close,volume
1574348400000000000,12600000000,13000000000,9040000000,9330000000,1299407
1574352000000000000,9330000000,9430000000,8400000000,8530000000,1067420
1574355600000000000,8500000000,8720000000,8400000000,8460000000,93876
1574359200000000000,8460000000,8830000000,8210000000,8595000000,88465
1574362800000000000,8580000000,8700000000,8430000000,8630000000,50815
1574366400000000000,8620000000,9000000000,8260000000,8990000000,188519
1574370000000000000,8990000000,8990000000,8980000000,8980000000,52584
1574373600000000000,8980000000,8990000000,8910000000,8990000000,1347
1574377200000000000,8990000000,8990000000,8950000000,8950000000,437
1574427600000000000,8750000000,8750000000,8750000000,8750000000,1
1574431200000000000,8290000000,8350000000,7500000000,8270000000,119768
1574434800000000000,8280000000,8470000000,8010000000,8200000000,32989
1574438400000000000,8240000000,8340000000,8125000000,8190000000,4964
1574442000000000000,8270000000,8650000000,8270000000,8400000000,33086
1574445600000000000,8590000000,8840000000,8520000000,8800000000,9381
1574449200000000000,8840000000,8930000000,8650000000,8740000000,19690
1574452800000000000,8750000000,8970000000,8660000000,8960000000,68842
1574456400000000000,8980000000,9000000000,8980000000,9000000000,26266
1574463600000000000,8980000000,9000000000,8980000000,9000000000,800
1574686800000000000,8770000000,8770000000,8770000000,8770000000,2
1574690400000000000,8770000000,8980000000,7400000000,7780000000,110331
1574694000000000000,7780000000,8220000000,7700000000,7780000000,204482
1574697600000000000,7800000000,8020000000,7680000000,7950000000,23348
1574701200000000000,7960000000,7970000000,7805000000,7960000000,33875
1574704800000000000,7970000000,8000000000,7895000000,8000000000,12188
1574708400000000000,8000000000,8000000000,7905000000,7980000000,18183
1574712000000000000,7975000000,8390000000,7975000000,8270000000,49021
1574715600000000000,8290000000,8290000000,8290000000,8290000000,7449
1574776800000000000,8250000000,8480000000,8200000000,8300000000,27259
1574780400000000000,8350000000,8370000000,8005000000,8140000000,30542
1574784000000000000,8140000000,8200000000,8100000000,8180000000,11005
1574787600000000000,8180000000,8180000000,8110000000,8150000000,21430
1574791200000000000,8140000000,8170000000,8130000000,8160000000,17854
1574794800000000000,8170000000,8200000000,8130000000,8150000000,6417
1574798400000000000,8160000000,8300000000,8140000000,8210000000,87299
1574802000000000000,8190000000,8290000000,8190000000,8290000000,2770
1574805600000000000,8190000000,8190000000,8190000000,8190000000,90
1574809200000000000,8190000000,8190000000,8190000000,8190000000,850
1574852400000000000,8190000000,8190000000,8190000000,8190000000,50
1574863200000000000,8250000000,8250000000,8060000000,8140000000,12374
1574866800000000000,8170000000,8400000000,8060000000,8260000000,23652
1574870400000000000,8250000000,8300000000,8240000000,8300000000,9854
1574874000000000000,8300000000,8300000000,8250000000,8250000000,1520
1574877600000000000,8250000000,8260000000,8200000000,8240000000,980
1574884800000000000,8230000000,8300000000,8220000000,8240000000,7281
1574888400000000000,8250000000,8250000000,8250000000,8250000000,2810
1575032400000000000,8260000000,8260000000,8260000000,8260000000,351
1575036000000000000,8010000000,8320000000,8010000000,8250000000,5306
1575039600000000000,8240000000,8250000000,8030000000,8030000000,5282
1575043200000000000,8030000000,8250000000,8020000000,8115000000,9017
1575046800000000000,8170000000,8255000000,8170000000,8250000000,8845
1575050400000000000,8250000000,8250000000,8250000000,8250000000,2300
1575295200000000000,8250000000,8360000000,8070000000,8360000000,7106
1575298800000000000,8360000000,8360000000,8250000000,8340000000,6894
1575302400000000000,8350000000,8400000000,8290000000,8310000000,8028
1575306000000000000,8280000000,8330000000,8280000000,8330000000,710
1575309600000000000,8320000000,8320000000,8320000000,8320000000,100
1575313200000000000,8320000000,8320000000,8260000000,8260000000,114
1575316800000000000,8310000000,8370000000,8300000000,8350000000,507
1575320400000000000,8350000000,8350000000,8350000000,8350000000,300
1575381600000000000,8350000000,8360000000,8290000000,8300000000,5643
1575385200000000000,8300000000,8340000000,8260000000,8290000000,3588
1575388800000000000,8320000000,8400000000,8210000000,8300000000,6700
1575392400000000000,8350000000,8350000000,8230000000,8320000000,4539
1575396000000000000,8300000000,8300000000,8300000000,8300000000,400
1575399600000000000,8290000000,8290000000,8230000000,8230000000,152
1575403200000000000,8300000000,8300000000,8180000000,8180000000,424
1575406800000000000,8180000000,8180000000,8180000000,8180000000,567
1575468000000000000,8210000000,8220000000,8210000000,8220000000,538
1575471600000000000,8280000000,8300000000,8230000000,8280000000,8277
1575475200000000000,8270000000,8270000000,8210000000,8220000000,4034
1575478800000000000,8210000000,8210000000,8020000000,8030000000,2720
1575482400000000000,8120000000,8150000000,8120000000,8150000000,200
1575486000000000000,8140000000,8140000000,8060000000,8060000000,2000
1575489600000000000,8070000000,8090000000,8060000000,8080000000,878
1575493200000000000,8070000000,8070000000,8070000000,8070000000,100
1575550800000000000,8070000000,8070000000,8070000000,8070000000,1
1575554400000000000,8000000000,8080000000,8000000000,8000000000,2371
1575558000000000000,8000000000,8000000000,7530000000,7810000000,26139
1575561600000000000,7800000000,7940000000,7780000000,7860000000,4338
1575565200000000000,7880000000,7990000000,7880000000,7990000000,3138
1575568800000000000,7880000000,7950000000,7860000000,7930000000,1866
1575572400000000000,7870000000,7890000000,7840000000,7840000000,4483
1575576000000000000,7960000000,7980000000,7720000000,7790000000,9010
1575579600000000000,7850000000,7980000000,7710000000,7710000000,5289
1575583200000000000,7850000000,7850000000,7700000000,7700000000,200
1575640800000000000,8080000000,8100000000,7720000000,7730000000,7533
1575644400000000000,7790000000,7790000000,7120000000,7370000000,29240
