ts_event,open,high,low,close,volume
1525132800000000000,63680000000,64140000000,62920000000,64100000000,513981
1525219200000000000,64590000000,64720000000,62700000000,62840000000,440492
1525305600000000000,63660000000,63670000000,62280000000,63300000000,460153
1525392000000000000,63240000000,63800000000,62620000000,63560000000,285721
1525651200000000000,63500000000,63500000000,62590000000,62920000000,373475
1525737600000000000,63610000000,63970000000,62950000000,63140000000,402602
1525824000000000000,63520000000,63960000000,63220000000,63940000000,361982
1525910400000000000,64080000000,64550000000,63860000000,64050000000,263716
1525996800000000000,64260000000,64440000000,63530000000,64030000000,257082
1526256000000000000,64010000000,65760000000,63790000000,65760000000,326846
1526342400000000000,65280000000,65320000000,64650000000,65100000000,378124
1526428800000000000,65230000000,65990000000,65120000000,65460000000,339675
1526515200000000000,65800000000,65800000000,64580000000,64800000000,376856
1526601600000000000,65370000000,65370000000,64200000000,64840000000,314974
1526860800000000000,65000000000,65510000000,64585000000,64780000000,321665
1526947200000000000,64900000000,65370000000,64730000000,65060000000,496787
1527033600000000000,64880000000,65320000000,64040000000,64670000000,428454
1527120000000000000,64470000000,64535000000,63720000000,64150000000,471802
1527206400000000000,64400000000,64630000000,64030000000,64270000000,493065
1527552000000000000,63600000000,63750000000,62220000000,62510000000,615873
1527638400000000000,63050000000,63090000000,62360000000,62870000000,428660
1527724800000000000,63440000000,63600000000,62140000000,62290000000,537234
1527811200000000000,62680000000,63215000000,62610000000,63170000000,387446
1528070400000000000,63380000000,63580000000,63040000000,63340000000,341353
1528156800000000000,60320000000,61710000000,60280000000,60670000000,1401906
1528243200000000000,59980000000,61500000000,59980000000,61440000000,496373
1528329600000000000,61160000000,61940000000,61000000000,61400000000,418016
1528416000000000000,60690000000,61120000000,60470000000,60920000000,380387
1528675200000000000,61000000000,61520000000,61000000000,61140000000,296198
1528761600000000000,61280000000,62460000000,61250000000,62170000000,639263
1528848000000000000,62330000000,63880000000,62310000000,63790000000,885437
1528934400000000000,63710000000,65420000000,63660000000,64250000000,989900
1529020800000000000,62430000000,65250000000,62430000000,65170000000,706154
1529280000000000000,64180000000,64540000000,63990000000,64400000000,541901
1529366400000000000,64360000000,64360000000,63070000000,63460000000,365459
1529452800000000000,63950000000,64000000000,62630000000,63010000000,711023
1529539200000000000,62990000000,63490000000,62175000000,62400000000,425843
1529625600000000000,62580000000,64430000000,62580000000,64430000000,485560
1529884800000000000,62640000000,64300000000,56950000000,58580000000,2660148
1529971200000000000,59010000000,60000000000,58030000000,59750000000,987323
1530057600000000000,59460000000,60550000000,58065000000,58080000000,908967
1530144000000000000,58420000000,58580000000,56800000000,57160000000,1030606
1530230400000000000,57170000000,58140000000,57070000000,57310000000,880387
1530489600000000000,56980000000,57430000000,56560000000,57130000000,1143798
1530576000000000000,57250000000,57250000000,56450000000,57090000000,798030
1530748800000000000,57090000000,57150000000,56530000000,56910000000,808717
1530835200000000000,56760000000,57995000000,56410000000,57540000000,635985
1531094400000000000,58280000000,58300000000,57250000000,57900000000,759571
1531180800000000000,58020000000,58860000000,56520000000,58830000000,811654
1531267200000000000,57760000000,58450000000,57460000000,57990000000,799946
1531353600000000000,58040000000,58550000000,58020000000,58380000000,449017
1531440000000000000,58310000000,58620000000,57910000000,58060000000,568079
1531699200000000000,58070000000,58560000000,57650000000,58390000000,506877
1531785600000000000,58320000000,58860000000,58190000000,58590000000,412643
1531872000000000000,58640000000,59770000000,58300000000,59550000000,915812
1531958400000000000,59280000000,59380000000,58745000000,58840000000,569041
1532044800000000000,58780000000,59090000000,58095000000,58150000000,385309
1532304000000000000,58310000000,58400000000,57920000000,58140000000,317200
1532390400000000000,58720000000,58720000000,57390000000,57740000000,653977
1532476800000000000,57450000000,57810000000,56810000000,57760000000,582713
1532563200000000000,55540000000,58180000000,55540000000,58180000000,475421
1532649600000000000,57610000000,58370000000,57610000000,58230000000,515883
1532908800000000000,58310000000,59000000000,58040000000,58740000000,618318
1532995200000000000,58760000000,59490000000,58660000000,59240000000,436836
1533081600000000000,58930000000,59270000000,58410000000,58500000000,478846
1533168000000000000,58010000000,59120000000,57070000000,58870000000,1044630
1533254400000000000,58880000000,59460000000,58825000000,59050000000,544039
1533513600000000000,58660000000,58760000000,58020000000,58420000000,464465
1533600000000000000,58610000000,58730000000,58220000000,58690000000,501209
1533686400000000000,58880000000,59250000000,58500000000,58600000000,442921
1533772800000000000,59050000000,59570000000,58850000000,59340000000,679822
1533859200000000000,59720000000,60300000000,59470000000,59600000000,833900
1534118400000000000,59200000000,59570000000,58700000000,58995000000,735731
1534204800000000000,58990000000,59500000000,58600000000,59500000000,872495
1534291200000000000,58740000000,59200000000,58260000000,59200000000,635461
1534377600000000000,59100000000,60025000000,58970000000,59840000000,573971
1534464000000000000,59400000000,60635000000,59240000000,60610000000,548100
1534723200000000000,60580000000,60850000000,60300000000,60760000000,445516
1534809600000000000,60730000000,61640000000,60730000000,61450000000,562263
1534896000000000000,61590000000,62125000000,61130000000,61870000000,770480
1534982400000000000,60970000000,61120000000,60680000000,61010000000,581732
1535068800000000000,60890000000,61650000000,60890000000,61240000000,405570
1535328000000000000,61600000000,62020000000,61340000000,61695000000,426379
1535414400000000000,61670000000,61775000000,61220000000,61740000000,421440
1535500800000000000,61510000000,62530000000,61500000000,62300000000,733638
1535587200000000000,62080000000,62140000000,61360000000,61570000000,412219
1535673600000000000,61750000000,61830000000,61290000000,61490000000,498242
1536019200000000000,61240000000,61330000000,60890000000,61200000000,479008
1536105600000000000,60890000000,61250000000,60765000000,60960000000,474600
1536192000000000000,61110000000,61960000000,61070000000,61730000000,716977
1536278400000000000,61530000000,62190000000,61220000000,62070000000,477042
1536537600000000000,62050000000,62710000000,61990000000,61990000000,483407
1536624000000000000,61960000000,62150000000,61710000000,61850000000,325429
1536710400000000000,62080000000,62570000000,61460000000,62530000000,379935
1536796800000000000,61620000000,62820000000,61510000000,62700000000,592723
1536883200000000000,62930000000,64140000000,62580000000,63950000000,741105
1537142400000000000,64140000000,65360000000,64010000000,64830000000,997347
1537228800000000000,65130000000,65970000000,64540000000,65685000000,809046
1537315200000000000,65370000000,66365000000,65190000000,66210000000,585773
1537401600000000000,66500000000,67280000000,66250000000,66960000000,531547
1537488000000000000,66850000000,67590000000,66730000000,67160000000,509632
1537747200000000000,66870000000,67000000000,65910000000,66810000000,673408
1537833600000000000,66810000000,67040000000,65900000000,65900000000,507856
1537920000000000000,67060000000,67690000000,66250000000,66250000000,803716
1538006400000000000,66670000000,67620000000,61140000000,63520000000,2482589
1538092800000000000,63130000000,64360000000,63110000000,63760000000,1046987
1538352000000000000,63870000000,64760000000,63350000000,63560000000,842287
1538438400000000000,63520000000,63910000000,63120000000,63520000000,715994
1538524800000000000,62770000000,63370000000,62540000000,62980000000,863665
1538611200000000000,62610000000,62710000000,61375000000,61690000000,865432
1538697600000000000,61740000000,62000000000,60180000000,60600000000,862745
1538956800000000000,60390000000,61115000000,59950000000,61080000000,624594
1539043200000000000,60420000000,61230000000,59930000000,60520000000,667864
1539129600000000000,60640000000,60690000000,58820000000,58820000000,749398
1539216000000000000,58960000000,59290000000,57510000000,57850000000,1537755
1539302400000000000,59170000000,59170000000,57550000000,58410000000,705571
1539561600000000000,57980000000,58660000000,57720000000,57720000000,662088
1539648000000000000,58220000000,59290000000,58200000000,59290000000,560160
1539734400000000000,59100000000,59365000000,58490000000,59000000000,428873
1539820800000000000,59180000000,59180000000,57320000000,58020000000,518309
1539907200000000000,57480000000,57910000000,57050000000,57230000000,610396
1540166400000000000,57550000000,57650000000,56200000000,56690000000,591728
1540252800000000000,56350000000,57430000000,55530000000,57260000000,1031702
1540339200000000000,56570000000,56840000000,54660000000,55020000000,1095776
1540425600000000000,55530000000,56165000000,54500000000,55430000000,987042
1540512000000000000,55420000000,55710000000,54050000000,55360000000,1317111
1540771200000000000,54990000000,55550000000,53490000000,54070000000,931878
1540857600000000000,54060000000,54450000000,53570000000,54140000000,991941
1540944000000000000,54870000000,56420000000,54870000000,56030000000,922780
1541030400000000000,56560000000,57950000000,56260000000,57480000000,735881
1541116800000000000,58070000000,58260000000,56540000000,57080000000,601902
