ts_event,open,high,low,close,volume
1630281600000000000,10980000000,10980000000,9810000000,10980000000,78543
1630368000000000000,10880000000,11100000000,10610000000,10770000000,79896
1630454400000000000,10780000000,11210000000,10230000000,10310000000,85821
1630540800000000000,11540000000,11550000000,10380000000,11450000000,85093
1630627200000000000,11450000000,11560000000,10950000000,11490000000,56089
1630972800000000000,11850000000,12240000000,11370000000,11740000000,58031
1631059200000000000,11510000000,12230000000,11330000000,12170000000,96801
1631145600000000000,12060000000,13400000000,12060000000,13000000000,96399
1631232000000000000,13390000000,13740000000,12520000000,13250000000,261283
1631491200000000000,13200000000,13400000000,13090000000,13280000000,40078
1631577600000000000,13690000000,13690000000,12550000000,12550000000,39727
1631664000000000000,13000000000,13500000000,12750000000,13500000000,44186
1631750400000000000,13080000000,18920000000,13040000000,16000000000,87360
1631836800000000000,17280000000,17490000000,13420000000,13420000000,84939
1632096000000000000,12970000000,13050000000,11470000000,12310000000,77135
1632182400000000000,12280000000,13040000000,12060000000,12310000000,31098
1632268800000000000,12870000000,13290000000,12060000000,12130000000,56358
1632355200000000000,12250000000,12270000000,11140000000,11250000000,37986
1632441600000000000,10900000000,11960000000,10670000000,11960000000,67477
1632700800000000000,11060000000,11220000000,10160000000,10360000000,47487
1632787200000000000,10250000000,10410000000,9900000000,10350000000,45253
1632873600000000000,10340000000,11900000000,10340000000,11900000000,45948
1632960000000000000,11600000000,11830000000,10110000000,10340000000,45027
1633046400000000000,10560000000,10880000000,9720000000,9760000000,72425
1633305600000000000,9970000000,9970000000,8750000000,9670000000,66289
1633392000000000000,9700000000,10670000000,9600000000,10370000000,49092
1633478400000000000,10390000000,10875000000,9620000000,9860000000,63971
1633564800000000000,9980000000,10150000000,8790000000,8910000000,73902
1633651200000000000,9010000000,9070000000,7470000000,7710000000,132547
1633910400000000000,7790000000,7820000000,6120000000,6170000000,1128938
1633996800000000000,6180000000,6410000000,5300000000,5410000000,863745
1634083200000000000,5520000000,5780000000,5140000000,5600000000,573877
1634169600000000000,5630000000,6140000000,5560000000,6080000000,337696
1634256000000000000,6260000000,7350000000,6170000000,7080000000,1058878
1634515200000000000,7100000000,8100000000,6500000000,7850000000,1114897
1634601600000000000,8050000000,8470000000,7140000000,7490000000,763858
1634688000000000000,7490000000,9520000000,7470000000,8730000000,1140876
1634774400000000000,8730000000,8780000000,8050000000,8120000000,418929
1634860800000000000,8150000000,8300000000,7660000000,7900000000,305172
1635120000000000000,7910000000,9480000000,7830000000,9400000000,284246
1635206400000000000,9000000000,9380000000,8140000000,8520000000,204508
1635292800000000000,8110000000,8510000000,7800000000,7980000000,233910
1635379200000000000,7900000000,8390000000,7585000000,7770000000,182766
1635465600000000000,7700000000,7930000000,7440000000,7930000000,162877
1635724800000000000,7780000000,9980000000,7740000000,8500000000,1413749
1635811200000000000,8900000000,9090000000,8200000000,8750000000,330616
1635897600000000000,8840000000,9000000000,8320000000,8830000000,182901
1635984000000000000,8990000000,9700000000,8390000000,8550000000,201290
1636070400000000000,8600000000,8950000000,8470000000,8800000000,148736
1636329600000000000,9600000000,9600000000,8900000000,9250000000,204035
1636416000000000000,9900000000,9900000000,8930000000,9310000000,147919
1636502400000000000,9140000000,9500000000,8580000000,8650000000,145809
1636588800000000000,8750000000,8990000000,8030000000,8030000000,168611
1636675200000000000,7880000000,8510000000,7700000000,8400000000,176722
1636934400000000000,8550000000,8900000000,8320000000,8550000000,162537
1637020800000000000,8170000000,8600000000,8170000000,8280000000,172132
1637107200000000000,8280000000,8400000000,7800000000,8110000000,107634
1637193600000000000,8150000000,8240000000,7590000000,7780000000,131835
1637280000000000000,7780000000,8700000000,7590000000,8230000000,199605
1637539200000000000,7700000000,8480000000,7700000000,8290000000,187089
1637625600000000000,8290000000,8315000000,7830000000,8010000000,123767
1637712000000000000,7900000000,8050000000,7585000000,7800000000,73728
1637884800000000000,7600000000,7830000000,7220000000,7500000000,152394
1638144000000000000,7710000000,7900000000,7530000000,7600000000,135672
1638230400000000000,7780000000,7980000000,7200000000,7880000000,820236
1638316800000000000,7930000000,7960000000,7410000000,7410000000,123479
1638403200000000000,7570000000,7900000000,7260000000,7620000000,118581
1638489600000000000,7600000000,7700000000,6910000000,7240000000,171144
1638748800000000000,7000000000,7000000000,6220000000,6450000000,210023
1638835200000000000,6680000000,6750000000,6280000000,6290000000,107636
1638921600000000000,6290000000,6630000000,6150000000,6500000000,237593
1639008000000000000,6430000000,6620000000,5855000000,5910000000,151020
1639094400000000000,6090000000,6090000000,5440000000,5570000000,134601
1639353600000000000,5410000000,5580000000,4940000000,5010000000,128793
1639440000000000000,5000000000,5110000000,4580000000,4850000000,145122
1639526400000000000,4900000000,5240000000,4890000000,5160000000,245330
1639612800000000000,5220000000,5580000000,4970000000,4970000000,176198
1639699200000000000,4970000000,5110000000,4520000000,4590000000,1698089
1639958400000000000,4400000000,4890000000,4360000000,4890000000,116551
1640044800000000000,4780000000,4910000000,4670000000,4870000000,96270
1640131200000000000,4880000000,4990000000,4720000000,4980000000,67887
1640217600000000000,4980000000,5230000000,4870000000,5210000000,65599
1640563200000000000,5260000000,5390000000,4960000000,5030000000,105219
1640649600000000000,4950000000,4950000000,4480000000,4650000000,120677
1640736000000000000,4650000000,4740000000,4450000000,4480000000,151949
1640822400000000000,4480000000,4740000000,4480000000,4620000000,165504
1640908800000000000,4610000000,4885000000,4600000000,4630000000,88765
1641168000000000000,4620000000,4720000000,4450000000,4610000000,97921
1641254400000000000,4600000000,4640000000,4340000000,4430000000,104440
1641340800000000000,4430000000,4490000000,3970000000,4000000000,88769
1641427200000000000,4090000000,4530000000,3910000000,4330000000,204392
1641513600000000000,4320000000,4360000000,3950000000,3960000000,152978
1641772800000000000,3890000000,3960000000,3700000000,3790000000,129446
1641859200000000000,3710000000,3860000000,3580000000,3730000000,249466
1641945600000000000,3720000000,3960000000,3630000000,3690000000,230905
1642032000000000000,3740000000,3820000000,3390000000,3400000000,142133
1642118400000000000,3560000000,3560000000,3250000000,3370000000,148731
1642464000000000000,3310000000,3540000000,3310000000,3340000000,149124
1642550400000000000,3360000000,3430000000,3060000000,3080000000,122556
1642636800000000000,3160000000,3450000000,3140000000,3250000000,111275
1642723200000000000,3130000000,3140000000,2720000000,2720000000,316578
1642982400000000000,2650000000,2905000000,2540000000,2800000000,241605
1643068800000000000,2980000000,2980000000,2630000000,2790000000,143142
1643155200000000000,2940000000,3150000000,2900000000,3000000000,149891
1643241600000000000,2980000000,3220000000,2720000000,2750000000,156033
1643328000000000000,2750000000,2890000000,2640000000,2890000000,162585
1643587200000000000,2760000000,3250000000,2710000000,3250000000,242388
1643673600000000000,3250000000,3490000000,2910000000,3040000000,175872
1643760000000000000,3070000000,3190000000,2750000000,2750000000,159404
1643846400000000000,2810000000,2840000000,2620000000,2630000000,133138
1643932800000000000,2690000000,2880000000,2620000000,2770000000,194292
1644192000000000000,2980000000,3140000000,2840000000,2930000000,167032
1644278400000000000,2910000000,2915000000,2795000000,2890000000,99701
1644364800000000000,2960000000,3230000000,2880000000,3230000000,265123
1644451200000000000,3140000000,3435000000,3060000000,3230000000,186138
1644537600000000000,3160000000,3310000000,3040000000,3130000000,134072
1644796800000000000,3130000000,3250000000,2995000000,3070000000,111501
1644883200000000000,3230000000,3380000000,3130000000,3380000000,64801
1644969600000000000,3240000000,3240000000,3010000000,3190000000,171884
1645056000000000000,2960000000,3235000000,2960000000,3080000000,88898
1645142400000000000,3060000000,3060000000,2805000000,2810000000,174427
