ts_event,open,high,low,close,volume
1579824000000000000,5400000000,5400000000,5130000000,5150000000,1938
1580083200000000000,5290000000,5290000000,5000000000,5000000000,2842
1580169600000000000,5200000000,5200000000,4950000000,4950000000,436
1580256000000000000,5000000000,5000000000,4760000000,4900000000,984
1580342400000000000,4850000000,4860000000,4690000000,4690000000,1043
1580428800000000000,4600000000,4750000000,4600000000,4660000000,1619
1580688000000000000,4600000000,4860000000,4600000000,4860000000,5949
1580774400000000000,4960000000,5175000000,4950000000,4950000000,7500
1580860800000000000,5070000000,5070000000,4950000000,5030000000,690
1580947200000000000,5090000000,5090000000,5000000000,5000000000,5140
1581033600000000000,5000000000,5000000000,4850000000,4890000000,1895
1581292800000000000,4950000000,4950000000,4160000000,4450000000,8374
1581379200000000000,4250000000,4500000000,3910000000,4340000000,5773
1581465600000000000,4400000000,4450000000,4290000000,4380000000,1745
1581552000000000000,4190000000,4240000000,3860000000,4000000000,4420
1581638400000000000,4060000000,4060000000,3980000000,4020000000,2249
1581984000000000000,4020000000,4050000000,4000000000,4000000000,6088
1582070400000000000,4040000000,4040000000,3300000000,3450000000,11764
1582156800000000000,3590000000,3590000000,2730000000,3290000000,19892
1582243200000000000,3410000000,3470000000,3100000000,3200000000,21556
1582502400000000000,3110000000,3110000000,2750000000,2950000000,20026
1582588800000000000,3040000000,3150000000,2775000000,2775000000,8892
1582675200000000000,3040000000,3040000000,2500000000,2890000000,11315
1582761600000000000,2930000000,2930000000,2650000000,2800000000,6788
1582848000000000000,2320000000,2720000000,2280000000,2720000000,8259
1583107200000000000,2740000000,2800000000,2680000000,2700000000,1766
1583193600000000000,3210000000,3900000000,2500000000,2760000000,180832
1583280000000000000,2950000000,3090000000,2440000000,2600000000,48588
1583366400000000000,2730000000,2740000000,2450000000,2510000000,37621
1583452800000000000,2600000000,2650000000,2450000000,2520000000,14392
1583712000000000000,2370000000,2420000000,1710000000,1900000000,38112
1583798400000000000,1910000000,2000000000,1700000000,1700000000,6763
1583884800000000000,1720000000,1730000000,1320000000,1450000000,30208
1583971200000000000,1450000000,1660000000,1090000000,1500000000,26370
1584057600000000000,1700000000,1820000000,1210000000,1360000000,19308
1584316800000000000,1330000000,1400000000,1200000000,1250000000,20920
1584403200000000000,1400000000,1410000000,990000000,1340000000,25185
