ts_event,open,high,low,close,volume
1525132800000000000,31310000000,32100000000,31215000000,31900000000,6200519
1525219200000000000,31940000000,32000000000,31170000000,31300000000,5789271
1525305600000000000,31250000000,31300000000,30550000000,31280000000,5985969
1525392000000000000,30890000000,32045000000,30890000000,32000000000,4798955
1525651200000000000,32130000000,32500000000,31820000000,31900000000,4421026
1525737600000000000,32000000000,32010000000,30520000000,30640000000,12979062
1525824000000000000,30670000000,30970000000,30430000000,30750000000,5316498
1525910400000000000,30750000000,31610000000,30700000000,31200000000,7337594
1525996800000000000,31570000000,31950000000,31510000000,31900000000,4016528
1526256000000000000,31880000000,32245000000,31810000000,32030000000,5334336
1526342400000000000,31910000000,32070000000,31730000000,31990000000,5594671
1526428800000000000,32150000000,32680000000,32040000000,32650000000,6136857
1526515200000000000,32700000000,32840000000,32380000000,32410000000,5784394
1526601600000000000,32440000000,32760000000,32280000000,32670000000,5060252
1526860800000000000,32770000000,32890000000,32190000000,32190000000,4340043
1526947200000000000,32360000000,32730000000,32310000000,32510000000,3585839
1527033600000000000,32030000000,32240000000,31720000000,31880000000,5764842
1527120000000000000,31880000000,32050000000,31285000000,31630000000,4853734
1527206400000000000,31750000000,32010000000,31590000000,31690000000,3783722
1527552000000000000,31840000000,31890000000,31375000000,31570000000,6252032
1527638400000000000,31540000000,31700000000,31320000000,31420000000,4965150
1527724800000000000,31490000000,31570000000,30670000000,31240000000,11328985
1527811200000000000,31350000000,31440000000,31125000000,31270000000,4782937
1528070400000000000,31240000000,31510000000,31160000000,31300000000,4377658
1528156800000000000,31310000000,31310000000,31040000000,31080000000,5948022
1528243200000000000,31140000000,32495000000,30970000000,32300000000,7051486
1528329600000000000,32540000000,32655000000,31980000000,32000000000,5947578
1528416000000000000,31860000000,32180000000,31845000000,32080000000,6151956
1528675200000000000,31980000000,32430000000,31890000000,32210000000,6775925
1528761600000000000,32200000000,32610000000,30790000000,31480000000,8275937
1528848000000000000,31290000000,32645000000,30750000000,32100000000,10273392
1528934400000000000,32400000000,34110000000,32400000000,34110000000,10047645
1529020800000000000,34140000000,34530000000,33590000000,33910000000,25784059
1529280000000000000,33750000000,33750000000,32560000000,32580000000,7954291
1529366400000000000,32230000000,33080000000,32200000000,32850000000,6876596
1529452800000000000,32810000000,33710000000,32345000000,33450000000,9726548
1529539200000000000,33100000000,33840000000,32645000000,33010000000,7059373
1529625600000000000,33040000000,34140000000,32950000000,33760000000,33850912
1529884800000000000,33750000000,34100000000,32910000000,33200000000,7930418
1529971200000000000,33260000000,33260000000,32670000000,32770000000,12721425
1530057600000000000,32650000000,32900000000,32290000000,32400000000,8022266
1530144000000000000,32450000000,32695000000,32080000000,32630000000,7455186
1530230400000000000,32510000000,33600000000,32500000000,32830000000,12761228
1530489600000000000,32440000000,33220000000,32420000000,33220000000,4909631
1530576000000000000,33350000000,33605000000,33000000000,33030000000,3617249
1530748800000000000,33240000000,33390000000,32920000000,32950000000,3053565
1530835200000000000,33140000000,33700000000,33000000000,33700000000,4143017
1531094400000000000,33750000000,33800000000,33250000000,33670000000,4009096
1531180800000000000,33730000000,33740000000,33000000000,33000000000,3290661
1531267200000000000,33100000000,34170000000,33030000000,33750000000,7958639
1531353600000000000,33740000000,34700000000,33600000000,34500000000,5471450
1531440000000000000,34500000000,35150000000,34500000000,34600000000,5312592
1531699200000000000,34740000000,35270000000,34650000000,34670000000,6777952
1531785600000000000,35000000000,35010000000,34215000000,34300000000,4226499
1531872000000000000,34270000000,34450000000,33980000000,34010000000,4395620
1531958400000000000,34450000000,35290000000,34450000000,34860000000,9590603
1532044800000000000,34800000000,34940000000,34290000000,34350000000,8287786
1532304000000000000,34160000000,34290000000,33820000000,34170000000,5854555
1532390400000000000,34180000000,34290000000,33250000000,33250000000,5546921
1532476800000000000,33390000000,33700000000,32810000000,33700000000,6162113
1532563200000000000,33470000000,35220000000,33470000000,34690000000,11764270
1532649600000000000,34790000000,35610000000,34760000000,35090000000,5812245
1532908800000000000,34900000000,35700000000,34870000000,34980000000,5031062
1532995200000000000,35530000000,36100000000,35530000000,35790000000,6997289
1533081600000000000,35670000000,35880000000,35320000000,35400000000,6639043
1533168000000000000,35050000000,35200000000,34620000000,34670000000,5029867
1533254400000000000,34880000000,35430000000,34730000000,35410000000,4140906
1533513600000000000,35590000000,35750000000,35100000000,35100000000,3612827
1533600000000000000,35350000000,35520000000,35200000000,35400000000,3334837
1533686400000000000,35460000000,35500000000,34830000000,34840000000,3274349
1533772800000000000,35100000000,35810000000,35050000000,35350000000,4392779
1533859200000000000,35300000000,35340000000,34950000000,35080000000,3056770
1534118400000000000,35130000000,35150000000,34785000000,35040000000,5124564
1534204800000000000,35040000000,35490000000,35030000000,35260000000,3181202
1534291200000000000,35140000000,35270000000,34680000000,35100000000,4895890
1534377600000000000,35140000000,35850000000,35050000000,35510000000,4209623
1534464000000000000,35510000000,35850000000,35360000000,35630000000,3426971
1534723200000000000,35700000000,35725000000,35300000000,35430000000,2710325
1534809600000000000,35440000000,36010000000,35440000000,35600000000,3747590
1534896000000000000,35700000000,35740000000,35460000000,35500000000,2041908
1534982400000000000,35380000000,35480000000,35260000000,35430000000,3830823
1535068800000000000,35390000000,36780000000,35320000000,36500000000,5855681
1535328000000000000,36660000000,36680000000,36400000000,36430000000,3234653
1535414400000000000,36540000000,36695000000,36210000000,36350000000,2708431
1535500800000000000,36270000000,36895000000,36230000000,36700000000,3698668
1535587200000000000,36750000000,36750000000,36420000000,36680000000,2928218
1535673600000000000,36600000000,37080000000,36570000000,37080000000,6305196
1536019200000000000,36800000000,36850000000,36220000000,36400000000,4656057
1536105600000000000,36290000000,36475000000,36160000000,36160000000,3735327
1536192000000000000,36180000000,36290000000,35720000000,36080000000,4648042
1536278400000000000,35850000000,36360000000,35750000000,36200000000,4522655
1536537600000000000,36390000000,36560000000,36280000000,36350000000,4166226
1536624000000000000,36300000000,36490000000,36230000000,36400000000,4720156
