ts_event,open,high,low,close,volume
1618358400000000000,381000000000,429540000000,310000000000,338000000000,35454289
1618444800000000000,365100000000,369000000000,317320000000,328000000000,13289834
1618531200000000000,324250000000,345910000000,315620000000,344400000000,6209450
1618790400000000000,336000000000,341010000000,326300000000,331600000000,3080035
1618876800000000000,330150000000,337100000000,312080000000,320500000000,8154275
1618963200000000000,320000000000,327450000000,302200000000,308950000000,2576667
1619049600000000000,308860000000,313500000000,285250000000,288850000000,4370135
1619136000000000000,283660000000,303000000000,276800000000,294250000000,2543887
1619395200000000000,300530000000,308950000000,296890000000,303800000000,1953496
1619481600000000000,309000000000,309880000000,299500000000,302490000000,1101007
1619568000000000000,303300000000,304570000000,297510000000,298900000000,705585
1619654400000000000,300000000000,301100000000,292130000000,294860000000,685784
1619740800000000000,295480000000,302700000000,291000000000,298250000000,1283097
1620000000000000000,302500000000,305000000000,293940000000,294200000000,855328
1620086400000000000,294170000000,295780000000,275610000000,279470000000,1463374
1620172800000000000,280660000000,289100000000,269050000000,272300000000,1314259
1620259200000000000,275100000000,279500000000,250520000000,256700000000,2039279
1620345600000000000,256760000000,267100000000,256580000000,264480000000,1106585
1620604800000000000,265970000000,297550000000,259280000000,288260000000,2476918
1620691200000000000,284430000000,307000000000,276000000000,306970000000,1828628
1620777600000000000,305050000000,307000000000,267000000000,270040000000,1853753
1620864000000000000,269510000000,285000000000,247500000000,266800000000,2810465
1620950400000000000,270520000000,283500000000,256400000000,258700000000,2793063
1621209600000000000,253260000000,254300000000,238330000000,240350000000,2114408
1621296000000000000,245000000000,252140000000,237220000000,238900000000,1996568
1621382400000000000,231000000000,232710000000,208000000000,220310000000,4432371
1621468800000000000,226010000000,238800000000,225000000000,236750000000,2648496
1621555200000000000,235400000000,238950000000,222500000000,224300000000,1876176
1621814400000000000,226500000000,232760000000,224050000000,225980000000,2521425
1621900800000000000,228530000000,243990000000,226250000000,242000000000,2615123
1621987200000000000,247020000000,249400000000,239410000000,241800000000,1670789
1622073600000000000,241800000000,247240000000,240180000000,246990000000,1113586
1622160000000000000,243560000000,246000000000,234460000000,235900000000,1098102
1622505600000000000,238750000000,244650000000,237150000000,240750000000,965909
1622592000000000000,240500000000,243970000000,238700000000,239880000000,641076
1622678400000000000,240400000000,242400000000,229500000000,229600000000,688315
1622764800000000000,229410000000,233340000000,226330000000,229500000000,925012
1623024000000000000,229070000000,232560000000,226560000000,228000000000,655039
1623110400000000000,228000000000,229450000000,217420000000,221170000000,1275688
1623196800000000000,222000000000,229810000000,217410000000,225000000000,1439990
1623283200000000000,225000000000,229780000000,220660000000,222510000000,913292
1623369600000000000,223000000000,225750000000,221940000000,223020000000,579368
1623628800000000000,230350000000,240190000000,227600000000,239900000000,1231388
1623715200000000000,241000000000,241300000000,230960000000,232250000000,712692
1623801600000000000,234000000000,234740000000,226280000000,226900000000,651075
1623888000000000000,228000000000,233230000000,226240000000,230750000000,713807
1623974400000000000,229000000000,232690000000,226170000000,228500000000,1272966
1624233600000000000,226000000000,226000000000,218770000000,220800000000,1086953
1624320000000000000,220650000000,223150000000,210770000000,222000000000,1189870
1624406400000000000,223830000000,230590000000,223830000000,226420000000,751927
1624492800000000000,226420000000,230920000000,226030000000,230920000000,624183
1624579200000000000,230110000000,230450000000,223250000000,224190000000,658920
1624838400000000000,227600000000,248030000000,225880000000,246700000000,1692162
