ts_event,open,high,low,close,volume
1525176000000000000,44150000000,44150000000,44150000000,44150000000,50
1525179600000000000,44150000000,44360000000,43850000000,44330000000,955517
1525183200000000000,44330000000,44335000000,43995000000,44180000000,768420
1525186800000000000,44170000000,44250000000,43940000000,43950000000,713997
1525190400000000000,43960000000,44320000000,43960000000,44310000000,460102
1525194000000000000,44315000000,44480000000,44205000000,44480000000,587969
1525197600000000000,44470000000,44770000000,44460000000,44710000000,572891
1525201200000000000,44710000000,44950000000,44590000000,44830000000,1316789
1525204800000000000,44830000000,45320000000,44800000000,44920000000,1162964
1525208400000000000,45100000000,45100000000,44830000000,44830000000,1810
1525212000000000000,44780000000,44780000000,44780000000,44780000000,5
1525258800000000000,44900000000,44900000000,44900000000,44900000000,6376
1525262400000000000,44850000000,45050000000,44850000000,44900000000,3596
1525266000000000000,44840000000,45050000000,44320000000,44505000000,1037081
1525269600000000000,44505000000,44615000000,44330000000,44360000000,635034
1525273200000000000,44360000000,44425000000,43940000000,44100000000,597398
1525276800000000000,44095000000,44140000000,44025000000,44110000000,396769
1525280400000000000,44115000000,44260000000,44100000000,44160000000,359443
1525284000000000000,44170000000,44460000000,44150000000,44200000000,803206
1525287600000000000,44210000000,44340000000,43800000000,43860000000,1532511
1525291200000000000,43860000000,43880000000,43700000000,43700000000,2229677
1525294800000000000,43710000000,43840000000,43710000000,43840000000,588
1525338000000000000,44000000000,44070000000,44000000000,44060000000,2698
1525341600000000000,44060000000,44140000000,44040000000,44140000000,2492
1525345200000000000,44060000000,44060000000,43940000000,43940000000,10173
1525348800000000000,43940000000,43950000000,43920000000,43930000000,3743
1525352400000000000,43940000000,44170000000,43710000000,44140000000,824425
1525356000000000000,44140000000,44170000000,43440000000,43520000000,889835
1525359600000000000,43520000000,43965000000,43480000000,43950000000,1009198
1525363200000000000,43950000000,44540000000,43815000000,44480000000,810680
1525366800000000000,44480000000,44730000000,44340000000,44570000000,729638
1525370400000000000,44570000000,44810000000,44490000000,44540000000,699339
1525374000000000000,44550000000,44690000000,44340000000,44450000000,1261552
1525377600000000000,44440000000,44600000000,44440000000,44450000000,2242550
1525381200000000000,44450000000,44450000000,44330000000,44330000000,7910
1525431600000000000,44440000000,44440000000,44440000000,44440000000,5
1525435200000000000,44310000000,44310000000,44250000000,44250000000,747
1525438800000000000,44000000000,44540000000,43900000000,44470000000,851686
1525442400000000000,44470000000,44990000000,44375000000,44970000000,874697
1525446000000000000,44970000000,45250000000,44950000000,45160000000,751741
1525449600000000000,45170000000,45340000000,45135000000,45300000000,419171
1525453200000000000,45300000000,45430000000,45300000000,45430000000,445692
1525456800000000000,45430000000,45495000000,45290000000,45295000000,545164
1525460400000000000,45295000000,45360000000,45175000000,45290000000,1221475
1525464000000000000,45300000000,45350000000,45270000000,45320000000,1798479
1525467600000000000,45350000000,45350000000,45350000000,45350000000,101
1525680000000000000,45650000000,45650000000,45650000000,45650000000,16
1525690800000000000,45590000000,45590000000,45550000000,45550000000,2363
1525694400000000000,45510000000,45550000000,45500000000,45550000000,394
1525698000000000000,45410000000,45725000000,45340000000,45690000000,1021588
1525701600000000000,45690000000,45840000000,45580000000,45840000000,546952
1525705200000000000,45840000000,45850000000,45700000000,45805000000,428177
1525708800000000000,45810000000,45825000000,45700000000,45805000000,369803
1525712400000000000,45805000000,45890000000,45700000000,45880000000,431536
1525716000000000000,45885000000,46000000000,45730000000,45810000000,578365
1525719600000000000,45810000000,45870000000,45570000000,45730000000,969272
1525723200000000000,45730000000,45730000000,45730000000,45730000000,1944244
1525770000000000000,45620000000,45620000000,45620000000,45620000000,10
1525777200000000000,45650000000,45650000000,45650000000,45650000000,1000
1525780800000000000,45640000000,45660000000,45630000000,45660000000,2694
1525784400000000000,45820000000,45990000000,45540000000,45620000000,684014
1525788000000000000,45610000000,45700000000,45385000000,45550000000,792914
1525791600000000000,45540000000,45800000000,45460000000,45630000000,649031
1525795200000000000,45620000000,45680000000,45490000000,45560000000,434007
1525798800000000000,45550000000,45780000000,45545000000,45640000000,469808
1525802400000000000,45650000000,45860000000,45390000000,45520000000,797443
1525806000000000000,45530000000,45800000000,45460000000,45720000000,1101522
1525809600000000000,45710000000,45930000000,45670000000,45930000000,2496240
1525816800000000000,45720000000,45870000000,45720000000,45870000000,125
1525852800000000000,45920000000,45920000000,45920000000,45920000000,73
1525860000000000000,45820000000,45820000000,45780000000,45780000000,200
1525863600000000000,45790000000,45890000000,45790000000,45790000000,243
1525867200000000000,45890000000,45890000000,45850000000,45880000000,3231
1525870800000000000,45850000000,46030000000,45670000000,45720000000,1082167
1525874400000000000,45720000000,45750000000,45190000000,45260000000,1288412
1525878000000000000,45260000000,45390000000,45200000000,45350000000,687809
1525881600000000000,45355000000,45810000000,45340000000,45770000000,589089
1525885200000000000,45770000000,46050000000,45760000000,46040000000,603007
1525888800000000000,46045000000,46095000000,45920000000,46010000000,680655
1525892400000000000,46000000000,46050000000,45900000000,46040000000,1003995
1525896000000000000,46040000000,46100000000,46020000000,46040000000,1649054
1525899600000000000,45900000000,46090000000,45830000000,45830000000,118
1525903200000000000,46090000000,46090000000,46090000000,46090000000,93
1525950000000000000,46000000000,46000000000,45930000000,46000000000,330
1525953600000000000,46000000000,46040000000,45850000000,45980000000,574
1525957200000000000,46040000000,46050000000,45680000000,45750000000,840244
1525960800000000000,45750000000,46150000000,45670000000,46000000000,1031342
1525964400000000000,46005000000,46105000000,45965000000,46005000000,662867
1525968000000000000,46000000000,46200000000,45995000000,46140000000,543323
1525971600000000000,46150000000,46265000000,46080000000,46125000000,630236
1525975200000000000,46130000000,46270000000,46050000000,46270000000,536110
1525978800000000000,46275000000,46340000000,46190000000,46300000000,1409022
1525982400000000000,46300000000,46300000000,45850000000,45850000000,1324039
1525986000000000000,45990000000,46190000000,45990000000,46190000000,117
1525989600000000000,46190000000,46200000000,46190000000,46200000000,100
1526036400000000000,46430000000,46430000000,46430000000,46430000000,1
1526040000000000000,46400000000,46440000000,46400000000,46440000000,281
1526043600000000000,46350000000,46350000000,45780000000,45920000000,809548
1526047200000000000,45915000000,46245000000,45905000000,46245000000,710781
1526050800000000000,46245000000,46245000000,46050000000,46060000000,476412
1526054400000000000,46060000000,46130000000,45890000000,45990000000,521532
1526058000000000000,45990000000,46010000000,45910000000,45960000000,440197
1526061600000000000,45960000000,45960000000,45830000000,45920000000,433806
1526065200000000000,45915000000,45970000000,45845000000,45940000000,982896
1526068800000000000,45930000000,45930000000,45910000000,45910000000,2760560
1526072400000000000,46000000000,46000000000,46000000000,46000000000,5
1526076000000000000,45970000000,45970000000,45970000000,45970000000,200
1526079600000000000,46060000000,46060000000,46060000000,46060000000,50
1526284800000000000,46110000000,46110000000,45910000000,45910000000,21
1526288400000000000,45940000000,45940000000,45940000000,45940000000,4
1526292000000000000,46050000000,46050000000,46050000000,46050000000,6
1526295600000000000,46050000000,46050000000,46000000000,46000000000,15
1526299200000000000,46100000000,46200000000,46100000000,46150000000,1274
1526302800000000000,46160000000,46210000000,45750000000,46020000000,1001108
1526306400000000000,46030000000,46225000000,46020000000,46020000000,847924
1526310000000000000,46020000000,46150000000,45955000000,45985000000,551934
1526313600000000000,45985000000,46070000000,45850000000,45855000000,453636
1526317200000000000,45860000000,45900000000,45725000000,45895000000,521402
1526320800000000000,45900000000,45915000000,45690000000,45890000000,581377
1526324400000000000,45890000000,45935000000,45690000000,45700000000,1484879
1526328000000000000,45700000000,45710000000,45700000000,45700000000,1710935
1526374800000000000,45630000000,45630000000,45630000000,45630000000,100
1526385600000000000,45530000000,45550000000,45460000000,45460000000,240
1526389200000000000,45500000000,45540000000,44935000000,45000000000,1251992
1526392800000000000,44990000000,45430000000,44955000000,45260000000,886524
1526396400000000000,45260000000,45420000000,45190000000,45310000000,691530
1526400000000000000,45315000000,45365000000,45190000000,45280000000,552795
1526403600000000000,45280000000,45395000000,45195000000,45260000000,786794
1526407200000000000,45260000000,45550000000,45255000000,45420000000,723667
1526410800000000000,45425000000,45520000000,45310000000,45470000000,1060364
1526414400000000000,45480000000,45580000000,45460000000,45580000000,1958725
1526421600000000000,45570000000,45570000000,45490000000,45490000000,1248
1526461200000000000,45450000000,45450000000,45450000000,45450000000,27
1526472000000000000,45440000000,45470000000,45440000000,45470000000,600
1526475600000000000,45450000000,45540000000,45140000000,45360000000,814116
1526479200000000000,45370000000,45390000000,45195000000,45270000000,842604
1526482800000000000,45270000000,45270000000,45055000000,45115000000,630233
1526486400000000000,45115000000,45365000000,45090000000,45290000000,610767
1526490000000000000,45300000000,45305000000,45120000000,45230000000,583053
1526493600000000000,45220000000,45270000000,45095000000,45270000000,594447
1526497200000000000,45270000000,45275000000,45010000000,45150000000,1695002
1526500800000000000,45160000000,45160000000,43060000000,43240000000,2048233
1526504400000000000,43250000000,43540000000,43160000000,43540000000,42827
1526508000000000000,43520000000,43600000000,43410000000,43410000000,12446
1526511600000000000,43420000000,43450000000,43370000000,43450000000,4099
1526547600000000000,43520000000,43520000000,43250000000,43250000000,413
1526551200000000000,43250000000,43400000000,43080000000,43390000000,18269
1526554800000000000,43370000000,43550000000,43250000000,43390000000,33694
1526558400000000000,43450000000,43480000000,43150000000,43210000000,56845
1526562000000000000,43290000000,43610000000,43010000000,43485000000,2557034
1526565600000000000,43490000000,43990000000,43490000000,43850000000,1750569
1526569200000000000,43840000000,44160000000,43640000000,43640000000,1147467
1526572800000000000,43650000000,43950000000,43540000000,43550000000,808992
1526576400000000000,43545000000,43650000000,43380000000,43510000000,931427
1526580000000000000,43515000000,43665000000,43420000000,43605000000,753128
1526583600000000000,43605000000,43695000000,43375000000,43460000000,1687634
1526587200000000000,43460000000,43580000000,43400000000,43550000000,1844068
1526590800000000000,43460000000,43460000000,43460000000,43460000000,2000
1526594400000000000,43470000000,43470000000,43470000000,43470000000,701
1526637600000000000,43530000000,43600000000,43530000000,43600000000,384
1526641200000000000,43550000000,43550000000,43480000000,43480000000,276
1526644800000000000,43490000000,43490000000,43300000000,43300000000,2185
1526648400000000000,43300000000,43500000000,43180000000,43370000000,1892813
1526652000000000000,43360000000,43570000000,43300000000,43485000000,898778
1526655600000000000,43490000000,43550000000,43355000000,43400000000,659894
1526659200000000000,43410000000,43410000000,43240000000,43320000000,468941
1526662800000000000,43310000000,43375000000,43180000000,43190000000,448263
1526666400000000000,43190000000,43240000000,43120000000,43230000000,468790
1526670000000000000,43230000000,43310000000,43210000000,43210000000,1126336
1526673600000000000,43210000000,43240000000,43190000000,43190000000,1421313
1526684400000000000,43180000000,43180000000,43170000000,43170000000,500
1526907600000000000,43510000000,43940000000,43420000000,43845000000,937278
1526911200000000000,43850000000,43920000000,43735000000,43865000000,511039
1526914800000000000,43865000000,43910000000,43420000000,43640000000,482526
1526918400000000000,43645000000,43700000000,43510000000,43530000000,389668
1526922000000000000,43530000000,43740000000,43530000000,43685000000,420615
1526925600000000000,43685000000,43690000000,43510000000,43635000000,398830
1526929200000000000,43635000000,43800000000,43580000000,43755000000,1007838
1526932800000000000,43750000000,43750000000,43600000000,43650000000,1824686
1526983200000000000,43840000000,43900000000,43810000000,43830000000,308
1526986800000000000,43920000000,43920000000,43890000000,43890000000,95
1526990400000000000,43820000000,43820000000,43810000000,43810000000,517
1526994000000000000,43810000000,43890000000,43670000000,43725000000,720648
1526997600000000000,43720000000,43815000000,43475000000,43765000000,618570
1527001200000000000,43765000000,43890000000,43715000000,43750000000,425724
1527004800000000000,43760000000,43860000000,43660000000,43710000000,275050
