ts_event,open,high,low,close,volume
1525132800000000000,59320000000,60100000000,59030000000,59850000000,1601637
1525219200000000000,59640000000,60380000000,58750000000,58750000000,2035409
1525305600000000000,58990000000,59510000000,57980000000,59380000000,1731410
1525392000000000000,58970000000,60410000000,58580000000,60150000000,1707834
1525651200000000000,60260000000,60740000000,60110000000,60500000000,1269902
1525737600000000000,60400000000,61160000000,60140000000,60610000000,1981131
1525824000000000000,60790000000,62440000000,60640000000,62260000000,1974763
1525910400000000000,62760000000,62990000000,62080000000,62770000000,1363953
1525996800000000000,62960000000,63880000000,62800000000,63090000000,1592206
1526256000000000000,63780000000,63790000000,62700000000,62880000000,1227372
1526342400000000000,62550000000,62800000000,62140000000,62610000000,1377269
1526428800000000000,62660000000,63640000000,62600000000,63360000000,1516325
1526515200000000000,63090000000,64070000000,63040000000,63510000000,1004945
1526601600000000000,63550000000,63970000000,63130000000,63790000000,1200076
1526860800000000000,64090000000,64670000000,63960000000,64000000000,1201929
1526947200000000000,64110000000,64540000000,63420000000,63520000000,1561741
1527033600000000000,63000000000,63600000000,62640000000,63550000000,1394040
1527120000000000000,63630000000,64650000000,63530000000,64470000000,1405729
1527206400000000000,64390000000,64810000000,64320000000,64680000000,1454882
1527552000000000000,64110000000,64460000000,63630000000,64220000000,1418714
1527638400000000000,64360000000,65930000000,64290000000,65640000000,1365790
1527724800000000000,65580000000,65900000000,64480000000,64790000000,2703833
1527811200000000000,64620000000,65950000000,64620000000,65530000000,1403604
1528070400000000000,65560000000,65810000000,64380000000,64730000000,1510102
1528156800000000000,64650000000,64950000000,63850000000,64610000000,1269258
1528243200000000000,64800000000,65340000000,64140000000,65330000000,1164781
1528329600000000000,65330000000,65800000000,65130000000,65750000000,1519072
1528416000000000000,66000000000,67140000000,65750000000,67140000000,1656934
1528675200000000000,66740000000,67660000000,66610000000,67300000000,1746341
1528761600000000000,67250000000,67690000000,66680000000,66750000000,1312688
1528848000000000000,66880000000,67080000000,65870000000,66130000000,1680481
1528934400000000000,66370000000,66640000000,65650000000,65860000000,1606156
1529020800000000000,65500000000,66770000000,65270000000,66650000000,4503021
1529280000000000000,66100000000,66540000000,65860000000,66110000000,1289127
1529366400000000000,65040000000,65520000000,64700000000,64830000000,2406595
1529452800000000000,65010000000,65190000000,64590000000,64870000000,1175157
1529539200000000000,64750000000,64950000000,63860000000,64050000000,1772748
1529625600000000000,64660000000,65220000000,64500000000,64820000000,3005030
1529884800000000000,64760000000,64920000000,63460000000,64240000000,2097091
1529971200000000000,63940000000,64560000000,63940000000,64180000000,1306979
1530057600000000000,64530000000,65420000000,63780000000,63830000000,1964970
1530144000000000000,63880000000,64120000000,62730000000,63590000000,1933020
1530230400000000000,63890000000,64560000000,63670000000,63800000000,2179532
1530489600000000000,63550000000,64510000000,63540000000,64260000000,1565350
1530576000000000000,64450000000,64690000000,63740000000,63850000000,791005
1530748800000000000,64240000000,64630000000,63860000000,64360000000,1561934
1530835200000000000,64540000000,65320000000,64170000000,65000000000,1153370
1531094400000000000,65270000000,66900000000,65270000000,66900000000,1549118
1531180800000000000,66690000000,66690000000,65290000000,66080000000,1302271
1531267200000000000,65990000000,65990000000,64350000000,64810000000,1506409
1531353600000000000,65130000000,65580000000,64080000000,64240000000,2743598
