ts_event,open,high,low,close,volume
1634742000000000000,8010000000,8700000000,7150000000,7170000000,510907
1634745600000000000,7180000000,7490000000,7050000000,7360000000,66071
1634749200000000000,7420000000,7420000000,7280000000,7350000000,4220
1634752800000000000,7330000000,7440000000,7280000000,7360000000,58367
1634756400000000000,7420000000,7570000000,7390000000,7400000000,112307
1634760000000000000,7400000000,7400000000,7400000000,7400000000,17206
1634803200000000000,7380000000,7380000000,7380000000,7380000000,2
1634806800000000000,7310000000,7310000000,7260000000,7260000000,762
1634814000000000000,7280000000,7300000000,7280000000,7300000000,819
1634817600000000000,7240000000,7250000000,7190000000,7250000000,611
1634821200000000000,7260000000,7400000000,6410000000,7260000000,104827
1634824800000000000,7260000000,7650000000,7260000000,7370000000,23315
1634828400000000000,7400000000,7500000000,7320000000,7420000000,8226
1634832000000000000,7400000000,7450000000,7300000000,7350000000,8103
1634835600000000000,7390000000,7790000000,7310000000,7640000000,71742
1634839200000000000,7570000000,8160000000,7560000000,7700000000,119242
1634842800000000000,7820000000,8060000000,7350000000,7540000000,250089
1634846400000000000,7540000000,7890000000,7540000000,7890000000,7461
1634850000000000000,7690000000,7890000000,7690000000,7890000000,7068
1634853600000000000,7850000000,7850000000,7700000000,7700000000,311
1634857200000000000,7700000000,7700000000,7700000000,7700000000,1000
1634900400000000000,7990000000,8040000000,7940000000,7990000000,1530
1634904000000000000,7880000000,7980000000,7740000000,7900000000,2906
1634907600000000000,7970000000,7990000000,7550000000,7790000000,24977
1634911200000000000,7800000000,8470000000,7730000000,8170000000,202898
1634914800000000000,8180000000,8180000000,7610000000,7800000000,146624
1634918400000000000,7740000000,7840000000,7050000000,7080000000,62768
1634922000000000000,7200000000,7610000000,6980000000,7250000000,189546
1634925600000000000,7275000000,7505000000,7180000000,7210000000,61028
1634929200000000000,7270000000,7550000000,7150000000,7540000000,107886
1634932800000000000,7450000000,7800000000,7350000000,7440000000,13623
1634936400000000000,7550000000,7560000000,7450000000,7450000000,2157
1634940000000000000,7500000000,7500000000,7350000000,7450000000,1133
1634943600000000000,7450000000,7500000000,7450000000,7500000000,6944
1635156000000000000,7450000000,7450000000,7450000000,7450000000,100
1635159600000000000,7550000000,7550000000,7030000000,7340000000,3854
1635163200000000000,7260000000,7450000000,7120000000,7280000000,4045
1635166800000000000,7270000000,7910000000,7100000000,7700000000,179357
1635170400000000000,7710000000,8300000000,7500000000,8160000000,260037
1635174000000000000,8165000000,8300000000,8000000000,8080000000,47686
1635177600000000000,8020000000,9500000000,8000000000,9370000000,524506
1635181200000000000,9400000000,9900000000,8330000000,8860000000,769661
1635184800000000000,8850000000,9190000000,8060000000,8735000000,261398
1635188400000000000,8730000000,8770000000,8200000000,8390000000,139866
1635192000000000000,8390000000,8480000000,8150000000,8300000000,26572
1635195600000000000,8300000000,8700000000,8230000000,8600000000,1877
1635199200000000000,8560000000,8650000000,8530000000,8610000000,1435
1635202800000000000,8730000000,8770000000,8560000000,8560000000,1521
1635235200000000000,8440000000,8530000000,8440000000,8500000000,433
1635238800000000000,8500000000,8880000000,8440000000,8730000000,4053
1635242400000000000,8720000000,8730000000,8620000000,8700000000,691
1635246000000000000,8610000000,8610000000,8230000000,8230000000,6605
1635249600000000000,8190000000,8550000000,8130000000,8410000000,14615
1635253200000000000,8410000000,8440000000,7550000000,7750000000,177135
1635256800000000000,7790000000,9520000000,7620000000,8750000000,691622
1635260400000000000,8735000000,9150000000,8530000000,8870000000,96055
1635264000000000000,8895000000,9020000000,8210000000,8410000000,68219
1635267600000000000,8420000000,8650000000,8350000000,8490000000,13717
1635271200000000000,8490000000,8580000000,8310000000,8320000000,14175
1635274800000000000,8320000000,8380000000,8100000000,8235000000,46189
1635278400000000000,8270000000,8270000000,8070000000,8100000000,6503
1635289200000000000,8270000000,8310000000,8250000000,8250000000,483
1635321600000000000,8120000000,8120000000,7950000000,8100000000,1582
1635325200000000000,7960000000,8130000000,7870000000,7870000000,2980
1635328800000000000,7870000000,8010000000,7870000000,7910000000,2050
1635332400000000000,8060000000,8100000000,8010000000,8100000000,2438
1635336000000000000,8190000000,8190000000,8000000000,8000000000,1870
1635339600000000000,8000000000,8390000000,7840000000,8100000000,29044
1635343200000000000,8120000000,8130000000,7800000000,7850000000,38739
1635346800000000000,7850000000,8250000000,7600000000,7920000000,38650
1635350400000000000,7920000000,8030000000,7840000000,7850000000,4970
1635354000000000000,7860000000,7860000000,7700000000,7770000000,17726
1635357600000000000,7760000000,8240000000,7730000000,7890000000,71761
1635361200000000000,7910000000,8270000000,7890000000,8100000000,46586
1635364800000000000,8170000000,8170000000,8010000000,8010000000,2858
1635368400000000000,8060000000,8060000000,8060000000,8060000000,200
1635372000000000000,8070000000,8080000000,8070000000,8080000000,1111
1635375600000000000,8150000000,8320000000,8150000000,8320000000,500
1635408000000000000,8320000000,8320000000,8310000000,8310000000,607
1635411600000000000,8310000000,8320000000,8120000000,8120000000,1793
1635415200000000000,8120000000,8120000000,8120000000,8120000000,160
1635418800000000000,8120000000,8120000000,8120000000,8120000000,118
1635422400000000000,8030000000,8040000000,8030000000,8040000000,633
1635426000000000000,8200000000,8200000000,7810000000,7930000000,22829
1635429600000000000,7910000000,7940000000,7770000000,7800000000,16100
1635433200000000000,7800000000,7850000000,7500000000,7830000000,17168
1635436800000000000,7850000000,8150000000,7810000000,8010000000,10879
1635440400000000000,7990000000,8090000000,7850000000,8060000000,7212
1635444000000000000,8060000000,8080000000,7880000000,7970000000,12371
1635447600000000000,7960000000,8750000000,7890000000,8480000000,380685
1635451200000000000,8490000000,8700000000,8340000000,8380000000,25673
1635454800000000000,8500000000,8500000000,8420000000,8420000000,18
1635458400000000000,8370000000,8370000000,8290000000,8290000000,3173
1635462000000000000,8390000000,8390000000,8390000000,8390000000,2490
1635505200000000000,8490000000,8520000000,8490000000,8500000000,701
1635508800000000000,8400000000,8590000000,8390000000,8590000000,7412
1635512400000000000,8500000000,8540000000,8260000000,8380000000,28060
1635516000000000000,8380000000,8500000000,8200000000,8260000000,29137
1635519600000000000,8290000000,8680000000,8230000000,8440000000,11616
1635523200000000000,8410000000,8410000000,8200000000,8200000000,3469
1635526800000000000,8180000000,8220000000,7890000000,8000000000,36689
1635530400000000000,8010000000,8070000000,7880000000,7940000000,11824
1635534000000000000,7960000000,8060000000,7840000000,7860000000,43396
1635537600000000000,7890000000,7890000000,7890000000,7890000000,1434
1635541200000000000,7940000000,7940000000,7900000000,7900000000,104
1635544800000000000,7900000000,7900000000,7900000000,7900000000,356
1635768000000000000,8000000000,8000000000,8000000000,8000000000,103
1635771600000000000,7930000000,8080000000,7300000000,7820000000,157175
1635775200000000000,7840000000,7970000000,7550000000,7700000000,65410
1635778800000000000,7650000000,7850000000,7620000000,7740000000,13073
1635782400000000000,7760000000,7820000000,7730000000,7750000000,6926
1635786000000000000,7730000000,7750000000,7600000000,7720000000,21891
1635789600000000000,7670000000,7680000000,7190000000,7410000000,77978
1635793200000000000,7470000000,7610000000,7320000000,7380000000,38440
1635796800000000000,7360000000,7400000000,7330000000,7330000000,2004
1635804000000000000,7500000000,7500000000,7470000000,7480000000,1247
1635807600000000000,7460000000,7460000000,7460000000,7460000000,87
1635843600000000000,7360000000,7360000000,7360000000,7360000000,21
