ts_event,open,high,low,close,volume
1587686400000000000,29900000000,29900000000,17720000000,19900000000,1847042
1587945600000000000,20100000000,22500000000,19500000000,19800000000,2081291
1588032000000000000,19990000000,20020000000,18000000000,18410000000,915786
1588118400000000000,18770000000,19870000000,18290000000,19640000000,532142
1588204800000000000,19990000000,20490000000,18880000000,19410000000,792811
1588291200000000000,19010000000,20350000000,19010000000,20200000000,797944
1588550400000000000,20880000000,21760000000,19580000000,21500000000,976352
1588636800000000000,20990000000,22100000000,20750000000,21870000000,718380
1588723200000000000,21840000000,24470000000,21630000000,23770000000,1718395
1588809600000000000,23990000000,26850000000,22510000000,23960000000,2375574
1588896000000000000,24420000000,24950000000,23180000000,23450000000,855224
1589155200000000000,23700000000,25540000000,22750000000,25470000000,1228910
1589241600000000000,24510000000,28150000000,24510000000,26540000000,2765654
1589328000000000000,26500000000,27940000000,23520000000,26750000000,2228647
1589414400000000000,26200000000,27640000000,25020000000,25770000000,2154041
1589500800000000000,25310000000,29390000000,24300000000,28650000000,3841314
1589760000000000000,29230000000,31780000000,28500000000,29870000000,2714853
1589846400000000000,29900000000,30400000000,28230000000,29330000000,1426757
1589932800000000000,29570000000,30990000000,29430000000,29870000000,933665
1590019200000000000,29900000000,29900000000,27540000000,28690000000,1232319
1590105600000000000,28550000000,29460000000,27570000000,29400000000,895504
1590451200000000000,29860000000,35000000000,29700000000,34430000000,1943180
1590537600000000000,34200000000,35700000000,32000000000,35160000000,2745161
1590624000000000000,35000000000,39600000000,34410000000,37420000000,3804329
1590710400000000000,37100000000,40400000000,36650000000,40050000000,2527107
1590969600000000000,40260000000,43960000000,39700000000,43050000000,4225031
1591056000000000000,43700000000,45340000000,39810000000,41430000000,5641713
1591142400000000000,41270000000,42730000000,38560000000,39460000000,3558067
1591228800000000000,40070000000,42470000000,38200000000,41000000000,2786983
1591315200000000000,40510000000,42150000000,39070000000,39600000000,1952012
1591574400000000000,39410000000,41000000000,35550000000,39010000000,2717202
1591660800000000000,38000000000,40600000000,36750000000,38910000000,1823815
1591747200000000000,38800000000,40820000000,38000000000,38250000000,1378289
1591833600000000000,38000000000,38650000000,35260000000,37160000000,2098045
1591920000000000000,37190000000,38400000000,35720000000,37100000000,1497479
1592179200000000000,35230000000,42150000000,34800000000,41340000000,4073499
1592265600000000000,41780000000,42440000000,37250000000,38400000000,2667987
1592352000000000000,38110000000,42070000000,37900000000,40210000000,6230096
1592438400000000000,40100000000,42800000000,39740000000,41380000000,5199487
1592524800000000000,41030000000,42540000000,39890000000,41800000000,22747024
1592784000000000000,42750000000,43750000000,38140000000,39600000000,7469863
1592870400000000000,38900000000,40530000000,37780000000,38780000000,5281929
1592956800000000000,39240000000,39560000000,36500000000,37030000000,2498180
1593043200000000000,37390000000,37390000000,34220000000,36600000000,3505345
1593129600000000000,36060000000,37500000000,32660000000,32750000000,5344929
1593388800000000000,34000000000,34380000000,30820000000,33860000000,3858403
1593475200000000000,33540000000,34650000000,32350000000,33700000000,2827004
1593561600000000000,33550000000,35140000000,33280000000,33900000000,2423176
1593648000000000000,33870000000,35050000000,32850000000,33000000000,1732306
1593993600000000000,33250000000,34240000000,32140000000,32200000000,1975074
1594080000000000000,32250000000,32290000000,30300000000,30700000000,2064370
1594166400000000000,30680000000,33980000000,30550000000,33850000000,2236704
1594252800000000000,33100000000,34470000000,31850000000,33000000000,1842395
1594339200000000000,32810000000,33090000000,31750000000,32270000000,1371701
1594598400000000000,32000000000,32890000000,29250000000,29920000000,2451734
1594684800000000000,29500000000,31000000000,27550000000,30700000000,3137399
1594771200000000000,30800000000,34100000000,30750000000,33300000000,2473496
1594857600000000000,32230000000,36100000000,31800000000,35970000000,4034606
1594944000000000000,36390000000,37790000000,34600000000,35450000000,2289831
1595203200000000000,35190000000,37000000000,34760000000,36430000000,1745600
1595289600000000000,35660000000,38830000000,35600000000,37950000000,2893587
1595376000000000000,37550000000,38300000000,35840000000,37510000000,1813994
1595462400000000000,37750000000,38410000000,35420000000,36360000000,2098424
1595548800000000000,36230000000,37770000000,34190000000,37540000000,2341065
1595808000000000000,38200000000,39250000000,32390000000,35710000000,5212677
1595894400000000000,35150000000,36490000000,34305000000,34700000000,1921042
1595980800000000000,34630000000,36230000000,33580000000,36040000000,1991745
1596067200000000000,35890000000,35900000000,34150000000,35350000000,1795572
1596153600000000000,35370000000,35870000000,32270000000,32760000000,2751931
1596412800000000000,33030000000,33380000000,31650000000,32710000000,1827001
1596499200000000000,32600000000,33800000000,32320000000,33050000000,1094687
1596585600000000000,33060000000,33890000000,32110000000,32500000000,921440
1596672000000000000,32550000000,34460000000,32370000000,34100000000,1283107
1596758400000000000,33800000000,35410000000,33530000000,34080000000,1710979
1597017600000000000,34100000000,34410000000,30520000000,31600000000,2903239
1597104000000000000,31610000000,33225000000,31500000000,32140000000,1783215
1597190400000000000,32050000000,34250000000,31920000000,33740000000,1847016
1597276800000000000,33700000000,36300000000,33610000000,35830000000,2659592
1597363200000000000,36050000000,36400000000,32420000000,33940000000,4920087
1597622400000000000,33850000000,35730000000,33470000000,34810000000,1526542
1597708800000000000,35000000000,37600000000,34680000000,37500000000,2469280
1597795200000000000,37500000000,38160000000,36000000000,36050000000,1651671
1597881600000000000,36050000000,37020000000,35100000000,36160000000,1291170
1597968000000000000,36320000000,36595000000,34640000000,35130000000,1555600
1598227200000000000,35150000000,36220000000,34280000000,35800000000,1562968
1598313600000000000,35850000000,40050000000,35460000000,39800000000,5543952
1598400000000000000,39060000000,40710000000,37270000000,37670000000,3339056
1598486400000000000,37300000000,40430000000,36160000000,39080000000,3031383
1598572800000000000,38360000000,38610000000,36190000000,36670000000,3452129
1598832000000000000,37250000000,37500000000,34850000000,35560000000,1952475
1598918400000000000,35370000000,37180000000,35210000000,36850000000,1518364
1599004800000000000,36900000000,43710000000,36780000000,40330000000,10441428
1599091200000000000,40800000000,40890000000,36750000000,37010000000,3760501
1599177600000000000,36750000000,38970000000,34470000000,36970000000,2995021
1599523200000000000,37050000000,38170000000,35520000000,36940000000,1915931
1599609600000000000,37000000000,40910000000,37000000000,40800000000,3223419
1599696000000000000,39890000000,44680000000,39780000000,43500000000,5368617
1599782400000000000,44390000000,44390000000,40320000000,41270000000,2788331
1600041600000000000,42010000000,49310000000,40330000000,48540000000,7731405
1600128000000000000,48540000000,49880000000,46520000000,47750000000,5060786
1600214400000000000,48210000000,53250000000,48160000000,52200000000,6510093
1600300800000000000,52000000000,54300000000,48060000000,53100000000,5595327
1600387200000000000,53260000000,55880000000,52120000000,54750000000,5006615
1600646400000000000,54150000000,54150000000,49100000000,51200000000,4951117
1600732800000000000,51350000000,54760000000,50960000000,53480000000,3172258
1600819200000000000,53340000000,54970000000,50010000000,50090000000,3110912
