ts_event,open,high,low,close,volume
1525132800000000000,42100000000,42240000000,41170000000,41720000000,2034638
1525219200000000000,41910000000,42010000000,40980000000,41070000000,2542940
1525305600000000000,41230000000,41250000000,40270000000,40730000000,3429053
1525392000000000000,40620000000,41035000000,40190000000,40720000000,2099981
1525651200000000000,40640000000,40680000000,40005000000,40100000000,2048856
1525737600000000000,39990000000,40350000000,39530000000,40120000000,3061540
1525824000000000000,39990000000,40560000000,39680000000,40400000000,3094781
1525910400000000000,40770000000,41975000000,40700000000,41700000000,3800509
1525996800000000000,41830000000,41930000000,40850000000,40970000000,3774217
1526256000000000000,41440000000,41440000000,40330000000,40700000000,2647926
1526342400000000000,40050000000,40315000000,39255000000,40260000000,4029933
1526428800000000000,39960000000,41000000000,39960000000,41000000000,3574633
1526515200000000000,40650000000,40650000000,38860000000,39160000000,5220409
1526601600000000000,38660000000,38690000000,37620000000,38300000000,6084416
1526860800000000000,38950000000,39200000000,38085000000,38440000000,3071224
1526947200000000000,38900000000,39700000000,38550000000,39310000000,4280092
1527033600000000000,38540000000,39080000000,37920000000,37980000000,3962794
1527120000000000000,37990000000,38250000000,37530000000,38190000000,5115553
1527206400000000000,37990000000,38370000000,37110000000,37350000000,4741921
1527552000000000000,34600000000,36095000000,34590000000,35300000000,8307997
1527638400000000000,35750000000,35890000000,34840000000,35850000000,6224002
1527724800000000000,36080000000,36110000000,35525000000,35640000000,2871441
1527811200000000000,35950000000,36435000000,34860000000,36000000000,9313735
1528070400000000000,36100000000,36570000000,36020000000,36490000000,4090630
1528156800000000000,36000000000,36330000000,34875000000,34880000000,7315661
1528243200000000000,34980000000,35055000000,34150000000,34270000000,6415847
1528329600000000000,34300000000,34300000000,31285000000,33190000000,17654306
1528416000000000000,32750000000,34625000000,32630000000,34160000000,16187450
1528675200000000000,34430000000,34650000000,33650000000,33770000000,5040841
1528761600000000000,33860000000,34570000000,33760000000,34160000000,4820122
1528848000000000000,34290000000,34290000000,33170000000,33880000000,5703270
1528934400000000000,34050000000,34280000000,32655000000,32710000000,5487904
1529020800000000000,32490000000,33145000000,32345000000,33040000000,5400942
1529280000000000000,32720000000,32870000000,32190000000,32530000000,3401298
1529366400000000000,31430000000,33125000000,31390000000,32660000000,5105216
1529452800000000000,33100000000,33400000000,32485000000,32670000000,3719353
1529539200000000000,32330000000,32750000000,31500000000,31500000000,4167585
1529625600000000000,32230000000,32360000000,31745000000,32200000000,4541294
1529884800000000000,32220000000,32460000000,31620000000,32320000000,4336181
1529971200000000000,32190000000,32640000000,31820000000,32140000000,2848786
1530057600000000000,32160000000,32270000000,30985000000,31180000000,4575582
1530144000000000000,31310000000,32030000000,31250000000,31820000000,4471090
1530230400000000000,32220000000,32450000000,31875000000,32120000000,3196920
1530489600000000000,31600000000,31930000000,31500000000,31930000000,1883374
1530576000000000000,32200000000,32790000000,32100000000,32590000000,2906481
1530748800000000000,33000000000,33000000000,32090000000,32250000000,3152160
1530835200000000000,32160000000,33250000000,32040000000,33190000000,4004385
1531094400000000000,33330000000,33620000000,32935000000,33540000000,1917095
1531180800000000000,33400000000,33720000000,33305000000,33680000000,2909931
1531267200000000000,33060000000,33500000000,32700000000,32770000000,4872259
1531353600000000000,33260000000,33605000000,33080000000,33350000000,3240321
1531440000000000000,33380000000,34130000000,33235000000,34130000000,3034836
1531699200000000000,34040000000,34130000000,33680000000,33880000000,1817609
1531785600000000000,33850000000,34880000000,33835000000,34790000000,3019767
1531872000000000000,34630000000,34880000000,34370000000,34400000000,2432833
1531958400000000000,33830000000,34930000000,33380000000,34930000000,5250756
1532044800000000000,35350000000,36280000000,35200000000,35630000000,6948616
1532304000000000000,35460000000,35510000000,35130000000,35320000000,2501405
1532390400000000000,35930000000,36430000000,35910000000,36250000000,3386454
