ts_event,open,high,low,close,volume
1525132800000000000,39950000000,40430000000,39660000000,40200000000,912082
1525219200000000000,40380000000,40585000000,39925000000,40390000000,795917
1525305600000000000,40390000000,41180000000,40040000000,40850000000,908338
1525392000000000000,41010000000,41200000000,40890000000,41090000000,454341
1525651200000000000,41140000000,41560000000,41100000000,41310000000,529062
1525737600000000000,41180000000,41180000000,40575000000,40740000000,777681
1525824000000000000,40650000000,40790000000,39910000000,39980000000,791450
1525910400000000000,40260000000,40620000000,40165000000,40590000000,446776
1525996800000000000,40640000000,40760000000,40350000000,40640000000,282137
1526256000000000000,40490000000,40540000000,40085000000,40340000000,397455
1526342400000000000,40110000000,40310000000,39875000000,40210000000,780538
1526428800000000000,40150000000,40260000000,39590000000,39730000000,548455
1526515200000000000,39400000000,40000000000,39250000000,39340000000,642589
1526601600000000000,39440000000,39660000000,39110000000,39450000000,527581
1526860800000000000,39500000000,39710000000,39110000000,39640000000,477514
1526947200000000000,39690000000,40110000000,39630000000,39960000000,486200
1527033600000000000,39940000000,40550000000,39900000000,40500000000,606156
1527120000000000000,40300000000,40545000000,39940000000,40520000000,653400
1527206400000000000,40490000000,40880000000,40420000000,40600000000,626344
1527552000000000000,40440000000,40880000000,40350000000,40715000000,623403
1527638400000000000,40720000000,41385000000,40460000000,41210000000,636055
1527724800000000000,41160000000,41710000000,40920000000,41450000000,545200
1527811200000000000,41360000000,41370000000,40410000000,40990000000,709766
1528070400000000000,41090000000,41330000000,40430000000,40550000000,852364
1528156800000000000,40640000000,40750000000,40235000000,40440000000,576837
1528243200000000000,40610000000,40620000000,39655000000,39680000000,719294
1528329600000000000,39810000000,40530000000,39630000000,40250000000,608387
1528416000000000000,40140000000,40310000000,39740000000,40000000000,553688
1528675200000000000,40070000000,40220000000,39730000000,39920000000,585846
1528761600000000000,39930000000,40560000000,39930000000,40480000000,782468
1528848000000000000,40610000000,41120000000,40360000000,40520000000,671279
1528934400000000000,40670000000,41110000000,40420000000,41050000000,569821
1529020800000000000,40970000000,41570000000,40580000000,41430000000,863728
1529280000000000000,41490000000,41835000000,41490000000,41720000000,496807
1529366400000000000,41750000000,42130000000,41250000000,41610000000,892867
1529452800000000000,41700000000,41935000000,41410000000,41790000000,449449
1529539200000000000,41730000000,41910000000,41200000000,41430000000,925417
1529625600000000000,41570000000,41720000000,41360000000,41500000000,427395
