ts_event,open,high,low,close,volume
1525132800000000000,11270000000,11350000000,11100000000,11230000000,3917157
1525219200000000000,11270000000,11290000000,11125000000,11200000000,2986188
1525305600000000000,11200000000,11220000000,10970000000,11220000000,2730080
1525392000000000000,10990000000,11405000000,10990000000,11360000000,2225854
1525651200000000000,11140000000,11440000000,11140000000,11350000000,1896761
1525737600000000000,11400000000,11400000000,11235000000,11270000000,1628672
1525824000000000000,11210000000,11270000000,11020000000,11060000000,2566430
1525910400000000000,11050000000,11245000000,11030000000,11220000000,1769852
1525996800000000000,11210000000,11250000000,11160000000,11170000000,920897
1526256000000000000,11250000000,11290000000,11170000000,11190000000,1232182
1526342400000000000,11090000000,11245000000,11050000000,11200000000,2134293
1526428800000000000,11150000000,11440000000,11150000000,11440000000,1907913
1526515200000000000,11410000000,11475000000,11390000000,11460000000,1343968
1526601600000000000,11440000000,11460000000,11300000000,11330000000,1396590
1526860800000000000,11390000000,11545000000,11390000000,11500000000,2231810
1526947200000000000,11600000000,11700000000,11510000000,11510000000,1884300
1527033600000000000,11480000000,11570000000,11340000000,11450000000,1631745
1527120000000000000,11580000000,11650000000,11450000000,11630000000,1932544
1527206400000000000,11640000000,11640000000,11470000000,11480000000,1327525
1527552000000000000,11530000000,11615000000,11360000000,11450000000,2218454
1527638400000000000,11490000000,11610000000,11460000000,11500000000,1611877
1527724800000000000,11590000000,11730000000,11365000000,11530000000,4773334
1527811200000000000,11570000000,11765000000,11570000000,11700000000,2318148
1528070400000000000,11750000000,11780000000,11695000000,11730000000,1877783
1528156800000000000,11730000000,11860000000,11690000000,11830000000,2446065
1528243200000000000,11900000000,11995000000,11760000000,11970000000,2428346
1528329600000000000,11970000000,12140000000,11960000000,12020000000,2691010
1528416000000000000,12000000000,12120000000,11990000000,12095000000,1999545
1528675200000000000,12120000000,12145000000,12000000000,12030000000,2383023
1528761600000000000,12090000000,12145000000,12020000000,12080000000,3011244
1528848000000000000,12140000000,12140000000,11965000000,12000000000,2071388
1528934400000000000,12030000000,12030000000,11840000000,11890000000,2322282
1529020800000000000,11870000000,12025000000,11805000000,11860000000,3515504
1529280000000000000,11850000000,12040000000,11810000000,11940000000,2508948
1529366400000000000,11880000000,11950000000,11670000000,11860000000,2559826
1529452800000000000,11930000000,12050000000,11830000000,11880000000,1994963
1529539200000000000,11790000000,11820000000,11645000000,11660000000,2215974
1529625600000000000,11720000000,11870000000,11625000000,11650000000,2565249
1529884800000000000,11630000000,11670000000,11390000000,11510000000,2916001
1529971200000000000,11540000000,11630000000,11490000000,11530000000,2814408
1530057600000000000,11440000000,11635000000,11405000000,11430000000,2495039
1530144000000000000,11420000000,11420000000,11155000000,11270000000,3126285
1530230400000000000,11280000000,11370000000,11030000000,11110000000,3425619
1530489600000000000,11140000000,11240000000,10910000000,11100000000,3730945
1530576000000000000,11150000000,11170000000,10945000000,11070000000,1394106
1530748800000000000,11100000000,11150000000,11025000000,11050000000,2181006
1530835200000000000,11050000000,11100000000,10925000000,11070000000,2070620
1531094400000000000,11120000000,11255000000,11035000000,11190000000,1918188
