ts_event,open,high,low,close,volume
1525132800000000000,46900000000,46965000000,46250000000,46850000000,2403767
1525219200000000000,47150000000,47200000000,46660000000,46670000000,1964419
1525305600000000000,46240000000,46625000000,45660000000,46445000000,3696174
1525392000000000000,46150000000,46765000000,45790000000,46660000000,2249805
1525651200000000000,46380000000,46515000000,46215000000,46300000000,1634503
1525737600000000000,46940000000,47020000000,46610000000,46890000000,2386253
1525824000000000000,47400000000,47475000000,47065000000,47360000000,2408334
1525910400000000000,47620000000,48150000000,47580000000,48100000000,2466044
1525996800000000000,48200000000,48270000000,47980000000,48210000000,2171636
1526256000000000000,48740000000,48925000000,48560000000,48630000000,1945204
1526342400000000000,48080000000,48080000000,47585000000,47810000000,2278768
1526428800000000000,48380000000,48695000000,48225000000,48590000000,1693754
1526515200000000000,48060000000,48210000000,47700000000,47795000000,1840865
1526601600000000000,48150000000,48150000000,47735000000,47880000000,1267327
1526860800000000000,48310000000,48410000000,48090000000,48260000000,1191563
1526947200000000000,48190000000,48540000000,47990000000,48140000000,1312486
1527033600000000000,47130000000,47570000000,47040000000,47560000000,1805368
1527120000000000000,47240000000,47360000000,46770000000,47290000000,1395212
1527206400000000000,47010000000,47160000000,46875000000,47135000000,1346966
1527552000000000000,46770000000,46780000000,45895000000,46130000000,2619420
1527638400000000000,46090000000,46465000000,45895000000,46430000000,2006342
1527724800000000000,46600000000,46975000000,46460000000,46700000000,2291219
1527811200000000000,46930000000,47400000000,46910000000,47350000000,1740191
1528070400000000000,47790000000,48030000000,47790000000,47970000000,1641601
1528156800000000000,48100000000,48150000000,47890000000,48070000000,1005983
1528243200000000000,48360000000,48810000000,48200000000,48810000000,1736834
1528329600000000000,48880000000,48930000000,48225000000,48550000000,2333860
1528416000000000000,47970000000,48290000000,47865000000,48210000000,1639414
1528675200000000000,48070000000,48130000000,47945000000,48060000000,1216225
1528761600000000000,48090000000,48100000000,47705000000,47950000000,1393800
1528848000000000000,47690000000,47760000000,47110000000,47160000000,3483309
1528934400000000000,47300000000,47350000000,47025000000,47140000000,1752298
1529020800000000000,46680000000,46820000000,46250000000,46790000000,3452194
1529280000000000000,46230000000,46400000000,45780000000,46400000000,2838720
