ts_event,open,high,low,close,volume
1608627600000000000,21800000000,23000000000,21550000000,22000000000,1424
1608631200000000000,22000000000,22000000000,20800000000,20800000000,2283
1608634800000000000,21150000000,21650000000,20810000000,20810000000,643
1608638400000000000,20830000000,21490000000,20700000000,21200000000,23508
1608642000000000000,21250000000,22500000000,21210000000,22100000000,47717
1608645600000000000,22100000000,24900000000,19600000000,21450000000,787423
1608649200000000000,21400000000,21490000000,20310000000,20700000000,232912
1608652800000000000,20700000000,20890000000,18100000000,19550000000,295570
1608656400000000000,19580000000,20200000000,19000000000,19260000000,134763
1608660000000000000,19270000000,19550000000,18500000000,18510000000,137286
1608663600000000000,18510000000,18800000000,18270000000,18360000000,109747
1608667200000000000,18360000000,19440000000,18200000000,18900000000,394380
1608670800000000000,18890000000,19440000000,18850000000,19440000000,42219
1608674400000000000,19440000000,19640000000,19440000000,19600000000,5676
1608678000000000000,19750000000,19750000000,19200000000,19400000000,3320
1608714000000000000,19150000000,19150000000,19150000000,19150000000,1
1608717600000000000,19490000000,19490000000,19490000000,19490000000,50
1608721200000000000,19850000000,20210000000,19850000000,20000000000,9241
1608724800000000000,19990000000,20000000000,19510000000,19850000000,26528
1608728400000000000,19860000000,20840000000,19860000000,20100000000,70421
1608732000000000000,20100000000,20350000000,19000000000,19300000000,426801
1608735600000000000,19270000000,20220000000,19000000000,19470000000,330347
1608739200000000000,19500000000,19740000000,19300000000,19560000000,89083
1608742800000000000,19570000000,19580000000,19070000000,19230000000,111440
1608746400000000000,19200000000,19410000000,19000000000,19260000000,73327
1608750000000000000,19225000000,19810000000,19220000000,19310000000,123312
1608753600000000000,19330000000,19680000000,19210000000,19400000000,139034
1608757200000000000,19400000000,19480000000,19320000000,19400000000,19340
1608760800000000000,19480000000,19660000000,19460000000,19610000000,817
1608764400000000000,19590000000,19590000000,19590000000,19590000000,100
1608800400000000000,19750000000,19750000000,19700000000,19700000000,930
1608804000000000000,19700000000,20000000000,19600000000,19800000000,4159
1608807600000000000,19810000000,20000000000,19800000000,20000000000,1136
1608811200000000000,20000000000,20620000000,19470000000,19500000000,10227
1608814800000000000,19500000000,19500000000,19140000000,19410000000,9744
1608818400000000000,19410000000,19690000000,18000000000,18450000000,348327
1608822000000000000,18450000000,18530000000,17530000000,17870000000,264305
1608825600000000000,17870000000,18150000000,17270000000,17690000000,242644
1608829200000000000,17680000000,17970000000,17420000000,17800000000,199135
1608832800000000000,17810000000,17850000000,17570000000,17700000000,5639
1608836400000000000,17660000000,17730000000,17660000000,17730000000,7
1608840000000000000,17810000000,17900000000,17800000000,17900000000,334
1608843600000000000,17800000000,17800000000,17800000000,17800000000,1
1609146000000000000,18000000000,18500000000,17800000000,18450000000,3421
1609149600000000000,18300000000,18400000000,17800000000,18080000000,5007
1609153200000000000,18200000000,18200000000,17700000000,18000000000,488
1609156800000000000,18000000000,18190000000,16500000000,16830000000,38793
1609160400000000000,16850000000,17240000000,16850000000,17180000000,24860
1609164000000000000,17160000000,17300000000,16300000000,16750000000,443871
1609167600000000000,16760000000,16800000000,15500000000,15820000000,291797
1609171200000000000,15810000000,16130000000,15700000000,15860000000,159678
1609174800000000000,15850000000,16250000000,15800000000,16040000000,114301
1609178400000000000,16070000000,16070000000,15600000000,15630000000,86172
1609182000000000000,15620000000,15690000000,15500000000,15600000000,167084
1609185600000000000,15580000000,15690000000,15310000000,15380000000,201302
1609189200000000000,15390000000,15480000000,15390000000,15400000000,5093
1609192800000000000,15400000000,15500000000,15400000000,15500000000,1336
1609196400000000000,15450000000,15630000000,15450000000,15500000000,1586
1609232400000000000,15650000000,15650000000,15650000000,15650000000,68
1609236000000000000,15750000000,16000000000,15750000000,15800000000,471
1609239600000000000,15800000000,15900000000,15750000000,15900000000,936
1609243200000000000,15950000000,15950000000,15380000000,15410000000,8808
1609246800000000000,15400000000,15580000000,15380000000,15500000000,6357
1609250400000000000,15520000000,15520000000,14250000000,14370000000,235693
1609254000000000000,14390000000,14950000000,14030000000,14830000000,205896
1609257600000000000,14850000000,14900000000,14340000000,14600000000,81726
1609261200000000000,14600000000,14800000000,14420000000,14450000000,88301
1609264800000000000,14450000000,15280000000,14450000000,15230000000,173326
1609268400000000000,15220000000,15270000000,14840000000,15060000000,78462
1609272000000000000,15050000000,15050000000,14450000000,14630000000,144798
1609275600000000000,14630000000,14660000000,14450000000,14450000000,13838
1609282800000000000,14560000000,14600000000,14560000000,14580000000,457
1609318800000000000,14600000000,14600000000,14500000000,14500000000,26
1609322400000000000,14630000000,14890000000,14630000000,14850000000,1305
1609326000000000000,14800000000,14840000000,14700000000,14820000000,412
1609329600000000000,14840000000,14840000000,14380000000,14500000000,6580
1609333200000000000,14590000000,14750000000,14430000000,14660000000,22813
1609336800000000000,14670000000,14950000000,14500000000,14890000000,123565
1609340400000000000,14900000000,15730000000,14880000000,15030000000,259324
1609344000000000000,15080000000,15100000000,14640000000,14740000000,166229
1609347600000000000,14760000000,14840000000,14530000000,14620000000,179957
1609351200000000000,14620000000,14800000000,14520000000,14770000000,186239
1609354800000000000,14770000000,14770000000,14500000000,14530000000,53163
1609358400000000000,14540000000,14560000000,14290000000,14290000000,146772
1609362000000000000,14320000000,14410000000,14250000000,14400000000,8665
1609365600000000000,14400000000,14650000000,14400000000,14500000000,1074
1609369200000000000,14500000000,14500000000,14500000000,14500000000,5
1609405200000000000,14420000000,14990000000,14420000000,14990000000,113
1609408800000000000,14500000000,14500000000,14500000000,14500000000,23
1609412400000000000,14640000000,14760000000,14640000000,14750000000,123
1609416000000000000,14510000000,14590000000,14480000000,14500000000,1161
1609419600000000000,14600000000,14620000000,14360000000,14400000000,1958
1609423200000000000,14400000000,14590000000,13770000000,13990000000,271360
1609426800000000000,13990000000,14120000000,13840000000,13920000000,81120
1609430400000000000,13910000000,14070000000,13820000000,13840000000,79656
1609434000000000000,13840000000,13980000000,13530000000,13560000000,238552
1609437600000000000,13540000000,13780000000,13530000000,13600000000,78511
1609441200000000000,13630000000,13860000000,13600000000,13740000000,80511
1609444800000000000,13740000000,13910000000,13670000000,13800000000,156107
1609448400000000000,13800000000,13840000000,13750000000,13790000000,8805
1609452000000000000,13800000000,13870000000,13730000000,13800000000,483
1609455600000000000,13800000000,13870000000,13660000000,13660000000,2116
1609750800000000000,13800000000,13990000000,13800000000,13820000000,114
1609754400000000000,13820000000,13820000000,13790000000,13790000000,1564
1609758000000000000,13990000000,14000000000,13850000000,13850000000,463
1609761600000000000,13950000000,13950000000,13500000000,13610000000,7357
1609765200000000000,13590000000,13670000000,13530000000,13590000000,3675
1609768800000000000,13590000000,13850000000,12700000000,12920000000,348858
1609772400000000000,12900000000,12930000000,12300000000,12390000000,277749
1609776000000000000,12340000000,12400000000,12110000000,12210000000,121005
1609779600000000000,12220000000,12420000000,12000000000,12420000000,127747
1609783200000000000,12440000000,12580000000,12310000000,12520000000,81828
1609786800000000000,12520000000,12530000000,12270000000,12360000000,42710
1609790400000000000,12370000000,12500000000,12110000000,12500000000,193405
1609794000000000000,12500000000,12920000000,12500000000,12690000000,40061
1609797600000000000,12670000000,12710000000,12670000000,12690000000,752
1609801200000000000,12690000000,14700000000,12690000000,13990000000,64435
1609837200000000000,13800000000,13900000000,13350000000,13490000000,2322
1609840800000000000,13300000000,13380000000,13100000000,13350000000,6989
1609844400000000000,13390000000,13500000000,13390000000,13500000000,2817
1609848000000000000,13700000000,14220000000,13570000000,13710000000,26235
1609851600000000000,13700000000,13740000000,13360000000,13390000000,15113
1609855200000000000,13370000000,14360000000,13370000000,13900000000,422589
1609858800000000000,13940000000,14280000000,13730000000,13780000000,130946
1609862400000000000,13790000000,14420000000,13730000000,14240000000,110974
1609866000000000000,14250000000,14340000000,14030000000,14140000000,59014
1609869600000000000,14140000000,14230000000,14020000000,14210000000,38448
1609873200000000000,14225000000,14360000000,14150000000,14160000000,72108
1609876800000000000,14150000000,14280000000,13960000000,14050000000,183117
1609880400000000000,14090000000,14090000000,14000000000,14010000000,46308
1609884000000000000,14060000000,14100000000,13910000000,14100000000,1859
1609887600000000000,14150000000,14490000000,14150000000,14400000000,6398
1609923600000000000,14090000000,14760000000,14090000000,14650000000,7378
1609927200000000000,14620000000,14640000000,14570000000,14570000000,678
1609930800000000000,14480000000,14570000000,14400000000,14500000000,4573
1609934400000000000,14400000000,14650000000,14400000000,14450000000,4601
1609938000000000000,14450000000,14480000000,14270000000,14350000000,17683
1609941600000000000,14330000000,15070000000,14260000000,14310000000,228740
1609945200000000000,14310000000,14780000000,14300000000,14690000000,121532
1609948800000000000,14680000000,14760000000,14510000000,14650000000,67872
1609952400000000000,14670000000,14850000000,14500000000,14640000000,96491
