ts_event,open,high,low,close,volume
1525132800000000000,1022000000000,1045000000000,1010550000000,1039000000000,616922
1525219200000000000,1044000000000,1044000000000,1023000000000,1026250000000,727676
1525305600000000000,1026310000000,1030780000000,1007830000000,1025000000000,675135
1525392000000000000,1026000000000,1051870000000,1018070000000,1050700000000,649029
1525651200000000000,1055000000000,1065220000000,1050640000000,1058010000000,573310
1525737600000000000,1056100000000,1065210000000,1049120000000,1059000000000,427146
1525824000000000000,1063110000000,1094120000000,1060570000000,1090000000000,857268
1525910400000000000,1093170000000,1109500000000,1090000000000,1104100000000,586675
1525996800000000000,1102000000000,1109020000000,1097140000000,1103050000000,587846
1526256000000000000,1105000000000,1118170000000,1103000000000,1106000000000,639603
1526342400000000000,1103500000000,1104740000000,1078670000000,1083300000000,660937
1526428800000000000,1081800000000,1094300000000,1081740000000,1087750000000,545035
1526515200000000000,1083000000000,1091000000000,1076450000000,1082640000000,453360
1526601600000000000,1083000000000,1083000000000,1061220000000,1068530000000,629720
1526860800000000000,1061700000000,1093190000000,1061700000000,1084900000000,448422
1526947200000000000,1087300000000,1091690000000,1072220000000,1076550000000,396892
1527033600000000000,1065460000000,1088000000000,1063020000000,1083520000000,370066
1527120000000000000,1084730000000,1087880000000,1072300000000,1086180000000,321042
1527206400000000000,1087010000000,1089720000000,1082300000000,1082300000000,321277
1527552000000000000,1073060000000,1081080000000,1063200000000,1071070000000,614190
1527638400000000000,1071000000000,1078990000000,1066490000000,1076100000000,462102
1527724800000000000,1076700000000,1110000000000,1075960000000,1105500000000,1310037
1527811200000000000,1102400000000,1138160000000,1102400000000,1135880000000,924368
1528070400000000000,1138630000000,1157770000000,1136870000000,1153390000000,622710
1528156800000000000,1153300000000,1161190000000,1147170000000,1152790000000,637309
1528243200000000000,1153000000000,1155000000000,1136500000000,1144990000000,522913
1528329600000000000,1150000000000,1150990000000,1126120000000,1133400000000,573631
1528416000000000000,1127170000000,1139050000000,1120940000000,1132710000000,507668
1528675200000000000,1130240000000,1147780000000,1130240000000,1140800000000,455155
1528761600000000000,1141000000000,1149750000000,1139020000000,1149500000000,476102
1528848000000000000,1152300000000,1155550000000,1143400000000,1144000000000,573012
1528934400000000000,1144440000000,1166000000000,1143050000000,1161000000000,584604
1529020800000000000,1157900000000,1163830000000,1153630000000,1158190000000,1227557
1529280000000000000,1155000000000,1186100000000,1150990000000,1182000000000,528582
1529366400000000000,1164800000000,1182860000000,1161650000000,1179000000000,762584
1529452800000000000,1185000000000,1201420000000,1179230000000,1187000000000,827220
1529539200000000000,1184000000000,1190460000000,1163420000000,1166510000000,704060
1529625600000000000,1172390000000,1175000000000,1159350000000,1165530000000,682516
1529884800000000000,1155000000000,1158880000000,1119960000000,1139280000000,919823
1529971200000000000,1140480000000,1146720000000,1129250000000,1136000000000,681534
1530057600000000000,1120700000000,1146350000000,1116010000000,1117900000000,571519
1530144000000000000,1118000000000,1133990000000,1106140000000,1126780000000,588268
1530230400000000000,1136000000000,1141210000000,1126940000000,1127000000000,634217
1530489600000000000,1125000000000,1142990000000,1106800000000,1142400000000,427222
1530576000000000000,1148000000000,1150000000000,1114400000000,1118500000000,308648
1530748800000000000,1121000000000,1144360000000,1121000000000,1138060000000,441931
1530835200000000000,1141280000000,1157000000000,1137450000000,1157000000000,396836
1531094400000000000,1161660000000,1169900000000,1157140000000,1169900000000,449887
1531180800000000000,1168780000000,1173500000000,1156690000000,1157000000000,389386
1531267200000000000,1156610000000,1180450000000,1155550000000,1171200000000,529043
1531353600000000000,1173000000000,1202700000000,1173000000000,1202700000000,783524
1531440000000000000,1204990000000,1210620000000,1195670000000,1204420000000,597664
1531699200000000000,1206500000000,1208460000000,1164040000000,1184000000000,441825
1531785600000000000,1185940000000,1218710000000,1182440000000,1214000000000,689743
1531872000000000000,1200000000000,1221600000000,1187000000000,1211150000000,659839
1531958400000000000,1208480000000,1216540000000,1197720000000,1201840000000,548448
1532044800000000000,1201950000000,1210645000000,1196000000000,1197900000000,678546
1532304000000000000,1195770000000,1285840000000,1192100000000,1254700000000,1078743
1532390400000000000,1256000000000,1275000000000,1244440000000,1257440000000,1586367
1532476800000000000,1258040000000,1278250000000,1245350000000,1257140000000,919559
1532563200000000000,1263000000000,1295200000000,1251100000000,1285020000000,846268
1532649600000000000,1290150000000,1293000000000,1244500000000,1252000000000,818596
1532908800000000000,1253130000000,1255000000000,1224160000000,1231000000000,734426
1532995200000000000,1233400000000,1240760000000,1216190000000,1231600000000,685147
1533081600000000000,1231000000000,1248250000000,1225000000000,1231410000000,605918
1533168000000000000,1223620000000,1244340000000,1217780000000,1243000000000,597088
1533254400000000000,1243000000000,1248480000000,1229330000000,1238000000000,451595
1533513600000000000,1239000000000,1242600000000,1230500000000,1236500000000,407112
