ts_event,open,high,low,close,volume
1525132800000000000,14880000000,14890000000,14680000000,14810000000,1865470
1525219200000000000,14760000000,14850000000,14635000000,14660000000,2455425
1525305600000000000,14590000000,14610000000,14270000000,14470000000,1846516
1525392000000000000,14310000000,14795000000,14265000000,14700000000,1530043
1525651200000000000,14750000000,14835000000,14600000000,14730000000,1256468
1525737600000000000,14720000000,15015000000,14690000000,14890000000,1808119
1525824000000000000,14940000000,15180000000,14880000000,15090000000,3107570
1525910400000000000,15070000000,15220000000,14985000000,15140000000,1430041
1525996800000000000,15160000000,15225000000,15080000000,15130000000,2076392
1526256000000000000,15140000000,15195000000,15030000000,15100000000,1168478
1526342400000000000,15050000000,15295000000,15050000000,15140000000,2147142
1526428800000000000,15120000000,15225000000,15060000000,15090000000,2643344
1526515200000000000,15100000000,15360000000,15020000000,15360000000,2115763
1526601600000000000,15290000000,15330000000,15120000000,15120000000,2320731
1526860800000000000,14900000000,15350000000,14790000000,15220000000,2173609
1526947200000000000,15260000000,15505000000,15210000000,15350000000,1810555
1527033600000000000,15320000000,15440000000,15080000000,15180000000,1619336
1527120000000000000,15180000000,15180000000,14880000000,15130000000,1603525
1527206400000000000,15070000000,15165000000,15020000000,15070000000,1614559
1527552000000000000,14930000000,14950000000,14390000000,14460000000,3223338
1527638400000000000,14590000000,14890000000,14570000000,14860000000,2258402
1527724800000000000,14810000000,14975000000,14715000000,14870000000,3435316
1527811200000000000,15130000000,15360000000,15050000000,15230000000,2855822
1528070400000000000,15220000000,15360000000,15220000000,15270000000,1943135
1528156800000000000,15220000000,15280000000,15125000000,15280000000,1375022
1528243200000000000,15300000000,15630000000,15300000000,15630000000,2325695
1528329600000000000,15600000000,15755000000,15465000000,15560000000,1919898
1528416000000000000,15550000000,15730000000,15445000000,15690000000,2275491
1528675200000000000,15710000000,15840000000,15525000000,15560000000,1569322
1528761600000000000,15670000000,15740000000,15530000000,15590000000,2794483
1528848000000000000,15650000000,15830000000,15475000000,15550000000,2605002
1528934400000000000,15580000000,15650000000,15290000000,15420000000,2171905
1529020800000000000,15260000000,15415000000,15050000000,15330000000,6887880
1529280000000000000,15240000000,15400000000,15135000000,15330000000,2814089
1529366400000000000,15230000000,15395000000,15140000000,15370000000,1707989
1529452800000000000,15420000000,15505000000,15410000000,15500000000,1457717
1529539200000000000,15450000000,15740000000,15290000000,15640000000,2722484
1529625600000000000,15720000000,15800000000,15330000000,15470000000,3008327
1529884800000000000,15320000000,15350000000,15015000000,15200000000,1716913
1529971200000000000,15220000000,15220000000,14955000000,15060000000,2027740
1530057600000000000,15070000000,15135000000,14810000000,14880000000,2105531
1530144000000000000,14910000000,15240000000,14810000000,15240000000,2078117
1530230400000000000,15010000000,15180000000,14735000000,14770000000,4041597
1530489600000000000,14670000000,14875000000,14670000000,14830000000,2414624
1530576000000000000,14870000000,14960000000,14690000000,14850000000,1355029
1530748800000000000,14850000000,14880000000,14685000000,14760000000,1844909
1530835200000000000,14720000000,14910000000,14630000000,14870000000,1645869
1531094400000000000,14940000000,15210000000,14870000000,15210000000,1878056
1531180800000000000,15210000000,15280000000,14880000000,14880000000,1916112
1531267200000000000,14940000000,15030000000,14810000000,14830000000,2033397
1531353600000000000,14910000000,14930000000,14620000000,14770000000,1548163
1531440000000000000,14740000000,14760000000,14510000000,14650000000,2145563
1531699200000000000,14700000000,14930000000,14680000000,14900000000,2932293
1531785600000000000,14900000000,15035000000,14860000000,14920000000,1444119
1531872000000000000,14930000000,15105000000,14920000000,15050000000,2314000
1531958400000000000,15020000000,15045000000,14860000000,14980000000,2689094
1532044800000000000,14980000000,15140000000,14910000000,15100000000,2900265
1532304000000000000,15120000000,15400000000,15100000000,15370000000,3504651
1532390400000000000,15380000000,15420000000,15150000000,15290000000,2780797
1532476800000000000,15060000000,15310000000,14960000000,15100000000,2889272
1532563200000000000,15160000000,15395000000,15145000000,15310000000,2903620
1532649600000000000,15360000000,15650000000,15330000000,15650000000,2059256
1532908800000000000,15510000000,15710000000,15480000000,15490000000,1931757
1532995200000000000,15580000000,15640000000,15360000000,15440000000,2131868
1533081600000000000,15490000000,15605000000,15390000000,15490000000,2513421
1533168000000000000,15430000000,15720000000,15370000000,15720000000,2244498
1533254400000000000,15730000000,15810000000,15650000000,15730000000,2047219
1533513600000000000,15730000000,15810000000,15640000000,15790000000,1591370
1533600000000000000,15790000000,15960000000,15780000000,15870000000,2251150
1533686400000000000,15900000000,16125000000,15850000000,16020000000,2145417
1533772800000000000,16070000000,16210000000,15900000000,15930000000,1922820
1533859200000000000,15710000000,15895000000,15660000000,15820000000,2083921
1534118400000000000,15850000000,15950000000,15700000000,15710000000,2178496
1534204800000000000,15740000000,16020000000,15740000000,15930000000,2923176
1534291200000000000,15830000000,16025000000,15780000000,15870000000,2532029
1534377600000000000,15960000000,16110000000,15930000000,16010000000,2277900
1534464000000000000,16020000000,16130000000,15985000000,16100000000,1848505
1534723200000000000,16100000000,16180000000,16015000000,16110000000,1362275
1534809600000000000,16110000000,16325000000,16020000000,16020000000,1730634
1534896000000000000,16200000000,16305000000,16090000000,16210000000,1475031
1534982400000000000,16210000000,16240000000,16065000000,16180000000,2592833
1535068800000000000,16240000000,16250000000,16110000000,16210000000,1944098
1535328000000000000,16280000000,16385000000,16220000000,16270000000,1379678
1535414400000000000,16310000000,16320000000,16170000000,16270000000,2197866
1535500800000000000,16260000000,16370000000,16130000000,16310000000,1871995
1535587200000000000,16310000000,16345000000,16225000000,16260000000,4742141
1535673600000000000,16210000000,16260000000,16160000000,16210000000,2436011
1536019200000000000,16220000000,16425000000,16130000000,16400000000,2276040
1536105600000000000,16380000000,16500000000,16340000000,16400000000,2482296
1536192000000000000,16400000000,16525000000,16340000000,16340000000,2846506
1536278400000000000,16380000000,16445000000,16190000000,16230000000,2672394
1536537600000000000,16300000000,16330000000,16115000000,16160000000,2433953
1536624000000000000,16130000000,16380000000,16100000000,16250000000,1899107
1536710400000000000,16260000000,16290000000,15845000000,15870000000,3005388
1536796800000000000,15940000000,16000000000,15625000000,15770000000,3595253
1536883200000000000,15730000000,15740000000,15600000000,15660000000,3711361
1537142400000000000,15710000000,15725000000,15530000000,15650000000,3415760
1537228800000000000,15650000000,15720000000,15480000000,15720000000,2202659
1537315200000000000,15510000000,15820000000,15510000000,15720000000,2278261
1537401600000000000,15780000000,16030000000,15780000000,15980000000,2181179
1537488000000000000,15800000000,16055000000,15800000000,16050000000,5305313
1537747200000000000,15950000000,15990000000,15740000000,15770000000,2260998
1537833600000000000,15830000000,15860000000,15655000000,15670000000,2172826
1537920000000000000,15690000000,15705000000,15290000000,15440000000,2274956
1538006400000000000,15320000000,15350000000,15030000000,15070000000,3949726
1538092800000000000,15000000000,15150000000,14850000000,15150000000,4190803
1538352000000000000,15060000000,15070000000,14870000000,14930000000,2945714
1538438400000000000,14920000000,15035000000,14755000000,14900000000,3003268
1538524800000000000,14930000000,15330000000,14910000000,15240000000,4157185
1538611200000000000,15270000000,15595000000,15270000000,15400000000,4234760
1538697600000000000,15480000000,15560000000,15250000000,15360000000,4146360
1538956800000000000,15300000000,15595000000,15250000000,15560000000,2547238
1539043200000000000,15500000000,15615000000,15410000000,15440000000,2597130
1539129600000000000,15500000000,15665000000,15100000000,15100000000,3811279
1539216000000000000,15110000000,15240000000,14700000000,14700000000,4757224
1539302400000000000,15180000000,15180000000,14070000000,14730000000,4805144
1539561600000000000,14420000000,14460000000,14200000000,14200000000,3026138
1539648000000000000,13980000000,14340000000,13980000000,14250000000,2662865
1539734400000000000,14250000000,14535000000,14130000000,14390000000,2035513
1539820800000000000,14370000000,14505000000,14150000000,14200000000,2877525
1539907200000000000,14150000000,14440000000,14070000000,14200000000,3259120
1540166400000000000,14650000000,14990000000,13635000000,13700000000,3969215
1540252800000000000,13780000000,13985000000,13210000000,13920000000,3974987
1540339200000000000,13830000000,13830000000,13110000000,13110000000,2833913
1540425600000000000,13290000000,13710000000,13200000000,13590000000,3549491
1540512000000000000,13400000000,13790000000,13370000000,13610000000,4951222
1540771200000000000,13810000000,14095000000,13740000000,13880000000,3174601
1540857600000000000,13950000000,14100000000,13685000000,14050000000,4535101
1540944000000000000,14220000000,14570000000,14170000000,14300000000,3723133
1541030400000000000,14420000000,14475000000,14270000000,14380000000,2786564
1541116800000000000,14330000000,14540000000,14070000000,14340000000,4908044
1541376000000000000,14290000000,14450000000,14235000000,14370000000,3183997
1541462400000000000,14360000000,14680000000,14330000000,14590000000,2739027
1541548800000000000,14640000000,14780000000,14380000000,14660000000,2861360
1541635200000000000,14600000000,14850000000,14580000000,14730000000,2824017
1541721600000000000,14670000000,14835000000,14550000000,14670000000,2798349
1541980800000000000,14630000000,14745000000,14555000000,14570000000,2074707
1542067200000000000,14540000000,14780000000,14520000000,14630000000,3154600
1542153600000000000,14730000000,14750000000,14145000000,14460000000,3291331
1542240000000000000,14460000000,14790000000,14165000000,14780000000,4866798
1542326400000000000,14680000000,14990000000,14605000000,14990000000,3889201
1542585600000000000,14820000000,14965000000,14630000000,14840000000,3883160
1542672000000000000,14720000000,14785000000,14485000000,14570000000,3910842
1542758400000000000,14610000000,14735000000,14390000000,14420000000,3111910
1542931200000000000,14430000000,14570000000,14275000000,14470000000,1312695
1543190400000000000,14610000000,14865000000,14610000000,14750000000,2219920
1543276800000000000,14730000000,14825000000,14560000000,14630000000,2499650
1543363200000000000,14680000000,14770000000,14460000000,14680000000,2765883
1543449600000000000,14560000000,14645000000,14385000000,14500000000,2341373
1543536000000000000,14440000000,14645000000,14440000000,14580000000,3353880
1543795200000000000,14920000000,14920000000,14380000000,14510000000,3031518
1543881600000000000,14410000000,14450000000,13605000000,13680000000,3738743
1544054400000000000,13500000000,13675000000,13160000000,13630000000,4844694
1544140800000000000,13630000000,13780000000,13375000000,13500000000,5526024
1544400000000000000,13430000000,13430000000,12850000000,13020000000,2665119
1544486400000000000,13180000000,13250000000,12695000000,12700000000,2707909
1544572800000000000,12870000000,13040000000,12670000000,12720000000,3459449
1544659200000000000,12780000000,12810000000,12345000000,12440000000,3222571
1544745600000000000,12350000000,12510000000,12150000000,12180000000,3514083
1545004800000000000,12530000000,12530000000,11870000000,12030000000,4573822
1545091200000000000,11980000000,12060000000,11700000000,11760000000,3648492
1545177600000000000,11850000000,11980000000,11440000000,11670000000,5209388
1545264000000000000,11430000000,11730000000,11410000000,11590000000,4894123
1545350400000000000,11650000000,11750000000,11480000000,11540000000,15422121
1545609600000000000,11370000000,11600000000,11210000000,11270000000,2417149
1545782400000000000,11170000000,11800000000,11130000000,11800000000,2774636
1545868800000000000,11610000000,11840000000,11415000000,11840000000,2766794
1545955200000000000,11870000000,12030000000,11755000000,11890000000,2465962
1546214400000000000,12000000000,12070000000,11725000000,11920000000,3088259
1546387200000000000,11900000000,12160000000,11725000000,12140000000,3698032
1546473600000000000,12060000000,12265000000,12010000000,12040000000,2936269
1546560000000000000,12200000000,12400000000,12200000000,12380000000,2801863
1546819200000000000,12310000000,12595000000,12220000000,12440000000,2863888
1546905600000000000,12510000000,12580000000,12290000000,12550000000,2815800
1546992000000000000,12600000000,12695000000,12430000000,12650000000,2224072
1547078400000000000,12610000000,12660000000,12440000000,12560000000,2739868
1547164800000000000,12530000000,12720000000,12420000000,12630000000,2467730
1547424000000000000,12600000000,12860000000,12500000000,12780000000,2809323
1547510400000000000,12820000000,12890000000,12620000000,12880000000,2377392
1547596800000000000,13000000000,13320000000,12920000000,13270000000,2468443
1547683200000000000,13200000000,13430000000,13090000000,13360000000,2737024
