ts_event,open,high,low,close,volume
1525132800000000000,85310000000,85390000000,85180000000,85380000000,809170
1525219200000000000,85390000000,85550000000,85315000000,85370000000,818837
1525305600000000000,85380000000,85390000000,85220000000,85340000000,1980729
1525392000000000000,85280000000,85450000000,85160000000,85420000000,1439346
1525651200000000000,85430000000,85530000000,85410000000,85460000000,952573
1525737600000000000,85460000000,85460000000,85310000000,85380000000,945705
1525824000000000000,85370000000,85540000000,85350000000,85510000000,615931
1525910400000000000,85560000000,85790000000,85540000000,85700000000,970060
1525996800000000000,85780000000,85830000000,85630000000,85750000000,585166
1526256000000000000,85730000000,85810000000,85590000000,85740000000,737126
1526342400000000000,85560000000,85580000000,85275000000,85340000000,1263540
1526428800000000000,85330000000,85470000000,85290000000,85440000000,770917
1526515200000000000,85390000000,85550000000,85360000000,85470000000,1082342
1526601600000000000,85370000000,85460000000,85340000000,85390000000,767252
1526860800000000000,85430000000,85570000000,85410000000,85510000000,573378
1526947200000000000,85600000000,85625000000,85520000000,85560000000,519741
1527033600000000000,85450000000,85650000000,85440000000,85640000000,842935
1527120000000000000,85590000000,85710000000,85530000000,85685000000,1112489
1527206400000000000,85550000000,85630000000,85460000000,85560000000,785299
1527552000000000000,85370000000,85400000000,85160000000,85220000000,1467690
1527638400000000000,85350000000,85490000000,85290000000,85480000000,743074
1527724800000000000,85490000000,85500000000,85360000000,85390000000,822011
1527811200000000000,85190000000,85220000000,85150000000,85180000000,521707
1528070400000000000,85270000000,85410000000,85270000000,85360000000,745120
1528156800000000000,85350000000,85515000000,85300000000,85470000000,866015
1528243200000000000,85420000000,85705000000,85385000000,85680000000,621533
1528329600000000000,85670000000,85765000000,85570000000,85630000000,983553
1528416000000000000,85580000000,85730000000,85570000000,85650000000,617336
1528675200000000000,85700000000,85840000000,85700000000,85800000000,579809
1528761600000000000,85830000000,85965000000,85770000000,85890000000,832197
1528848000000000000,85950000000,86050000000,85830000000,85930000000,1119400
1528934400000000000,86090000000,86185000000,86040000000,86170000000,1151722
1529020800000000000,86120000000,86155000000,85990000000,86130000000,1466329
1529280000000000000,86050000000,86120000000,85980000000,86080000000,1057519
1529366400000000000,85880000000,86030000000,85880000000,85990000000,877645
1529452800000000000,86030000000,86130000000,86030000000,86080000000,760105
1529539200000000000,86040000000,86060000000,85875000000,85920000000,776273
1529625600000000000,86090000000,86090000000,85885000000,85900000000,689092
1529884800000000000,85770000000,85810000000,85635000000,85720000000,1292266
1529971200000000000,85740000000,85740000000,85605000000,85720000000,630045
1530057600000000000,85650000000,85710000000,85470000000,85510000000,1373760
1530144000000000000,85340000000,85410000000,85170000000,85300000000,1238358
1530230400000000000,85440000000,85520000000,85060000000,85070000000,1277495
1530489600000000000,84630000000,84790000000,84600000000,84760000000,1398772
1530576000000000000,84830000000,84920000000,84740000000,84770000000,562825
1530748800000000000,84850000000,85130000000,84850000000,85080000000,948879
1530835200000000000,85130000000,85330000000,85125000000,85320000000,597461
1531094400000000000,85360000000,85535000000,85360000000,85460000000,963531
1531180800000000000,85500000000,85580000000,85460000000,85480000000,591086
1531267200000000000,85400000000,85450000000,85325000000,85370000000,1002184
1531353600000000000,85480000000,85645000000,85450000000,85630000000,667426
1531440000000000000,85690000000,85720000000,85620000000,85630000000,624097
1531699200000000000,85600000000,85610000000,85510000000,85550000000,597728
1531785600000000000,85470000000,85645000000,85450000000,85610000000,487978
1531872000000000000,85640000000,85680000000,85530000000,85640000000,515749
1531958400000000000,85560000000,85635000000,85495000000,85600000000,531066
1532044800000000000,85630000000,85690000000,85580000000,85650000000,571707
