ts_event,open,high,low,close,volume
1662595200000000000,24750000000,24750000000,24470000000,24470000000,17
1662681600000000000,24490000000,24490000000,23310000000,23310000000,37
1662940800000000000,23160000000,23160000000,22550000000,22750000000,274
1663027200000000000,23410000000,23410000000,23410000000,23410000000,400
1663286400000000000,25500000000,25500000000,25110000000,25170000000,128
1663545600000000000,25610000000,25610000000,25320000000,25320000000,1052
1663718400000000000,25880000000,25880000000,25870000000,25880000000,548
1663804800000000000,26460000000,26560000000,26460000000,26560000000,1509
1663891200000000000,27080000000,27430000000,27080000000,27220000000,29
1664150400000000000,27330000000,27330000000,27330000000,27330000000,25
1664236800000000000,27020000000,27270000000,26500000000,27190000000,1361
1664323200000000000,27230000000,27230000000,26860000000,26860000000,33
1664409600000000000,26490000000,26490000000,26490000000,26490000000,100
1664496000000000000,26500000000,26660000000,26190000000,26660000000,215
1664755200000000000,26920000000,26920000000,26040000000,26210000000,233
1664841600000000000,25850000000,25850000000,24850000000,24850000000,720
1664928000000000000,24900000000,24900000000,24900000000,24900000000,10
1665100800000000000,25710000000,26420000000,25710000000,26420000000,762
1665360000000000000,26370000000,26380000000,26370000000,26380000000,200
1665532800000000000,27320000000,27320000000,27030000000,27030000000,9
1665705600000000000,26240000000,26240000000,26240000000,26240000000,220
1665964800000000000,26530000000,26530000000,26530000000,26530000000,180
1666051200000000000,26240000000,26240000000,26180000000,26180000000,470
1666137600000000000,27000000000,27160000000,27000000000,27160000000,706
1666310400000000000,27450000000,27450000000,26900000000,26900000000,21
1666569600000000000,26530000000,26530000000,26530000000,26530000000,50
1667174400000000000,25080000000,25080000000,25080000000,25080000000,2
1667260800000000000,26680000000,26680000000,26680000000,26680000000,1
1667347200000000000,26080000000,26900000000,26080000000,26900000000,200
1667433600000000000,28100000000,28100000000,28030000000,28030000000,6
1667520000000000000,27460000000,27460000000,27460000000,27460000000,200
1667779200000000000,27380000000,27380000000,27380000000,27380000000,31
1667952000000000000,29110000000,30100000000,29110000000,30000000000,715
1668038400000000000,28600000000,28600000000,28510000000,28510000000,200
1668124800000000000,27560000000,27560000000,27550000000,27550000000,101
1668470400000000000,27260000000,27360000000,27260000000,27360000000,200
1668556800000000000,28040000000,28530000000,28040000000,28510000000,978
1668729600000000000,27930000000,27940000000,27930000000,27940000000,1000
1669161600000000000,29320000000,29320000000,29320000000,29320000000,200
1669593600000000000,29090000000,29230000000,29090000000,29230000000,101
1669680000000000000,29290000000,29290000000,29280000000,29280000000,211
1669766400000000000,29260000000,29260000000,29260000000,29260000000,1
1669852800000000000,28280000000,28280000000,28280000000,28280000000,1
1670457600000000000,29410000000,29410000000,29410000000,29410000000,35
1670544000000000000,29305000000,29305000000,29220000000,29220000000,1001
1670803200000000000,29705000000,29705000000,29700000000,29700000000,101
1670889600000000000,28240000000,28240000000,28240000000,28240000000,37
1670976000000000000,29160000000,29160000000,29160000000,29160000000,50
1671148800000000000,30670000000,30670000000,30670000000,30670000000,5
1671408000000000000,30940000000,30940000000,30940000000,30940000000,1
1671667200000000000,31950000000,31950000000,31950000000,31950000000,300
1672099200000000000,31430000000,31910000000,31430000000,31910000000,4
1672185600000000000,31850000000,31850000000,31850000000,31850000000,5
1672272000000000000,32000000000,32000000000,32000000000,32000000000,5
1672704000000000000,31070000000,31360000000,31000000000,31360000000,201
1672790400000000000,31200000000,31200000000,31200000000,31200000000,100
1672876800000000000,30640000000,30850000000,30640000000,30850000000,362
1673222400000000000,29880000000,29880000000,28990000000,28990000000,13
1673395200000000000,28070000000,28070000000,28070000000,28070000000,100
1673481600000000000,27980000000,27980000000,27670000000,27780000000,168
1673568000000000000,27120000000,27120000000,27120000000,27120000000,179
1673913600000000000,26140000000,26140000000,25640000000,25640000000,405
1674086400000000000,26650000000,26650000000,26650000000,26650000000,1
1674432000000000000,25440000000,25440000000,24870000000,24870000000,6
1674518400000000000,24520000000,24520000000,24520000000,24520000000,100
1674604800000000000,25340000000,25860000000,25340000000,25860000000,2
1675036800000000000,25380000000,25380000000,25380000000,25380000000,1
1675296000000000000,23410000000,23410000000,22890000000,22890000000,223
1675382400000000000,23400000000,23400000000,22750000000,22750000000,101
1675900800000000000,23920000000,23920000000,23920000000,23920000000,20
1676332800000000000,25250000000,25250000000,25250000000,25250000000,500
1676937600000000000,24070000000,24070000000,24070000000,24070000000,4
1678147200000000000,26000000000,26050000000,26000000000,26050000000,515
1678406400000000000,28110000000,28110000000,28100000000,28100000000,149
1678665600000000000,28120000000,28120000000,27650000000,27650000000,697
1678752000000000000,25770000000,25770000000,25770000000,25770000000,194
1678924800000000000,26380000000,26380000000,26000000000,26000000000,151
1679011200000000000,25470000000,25470000000,25470000000,25470000000,123
1679270400000000000,24380000000,24380000000,24380000000,24380000000,203
1679529600000000000,24860000000,24860000000,24860000000,24860000000,2
1680048000000000000,24420000000,24420000000,24180000000,24180000000,72
1680652800000000000,24130000000,24130000000,24130000000,24130000000,10
1680739200000000000,24290000000,24290000000,24090000000,24090000000,11
1681171200000000000,22460000000,22460000000,22460000000,22460000000,100
1681344000000000000,21570000000,21570000000,21570000000,21570000000,1
1682294400000000000,21950000000,21950000000,21950000000,21950000000,5
1682640000000000000,20840000000,20840000000,20840000000,20840000000,1
1704931200000000000,27270000000,30000000000,26280000000,26800000000,15514621
1705017600000000000,26630000000,26680000000,23800000000,24460000000,6479970
1705363200000000000,24750000000,24940000000,24040000000,24660000000,3274074
1705449600000000000,24700000000,24700000000,24160000000,24290000000,4534495
1705536000000000000,24440000000,24470000000,23200000000,23560000000,4597982
1705622400000000000,23670000000,24150000000,23040000000,23890000000,4465952
1705881600000000000,23390000000,23580000000,22510000000,22540000000,2993134
1705968000000000000,22490000000,22760000000,22020000000,22760000000,2852487
1706054400000000000,22810000000,23150000000,22550000000,22850000000,2541122
1706140800000000000,22960000000,23050000000,22585000000,22810000000,1512804
1706227200000000000,23040000000,24150000000,22960000000,24150000000,2427353
