ts_event,open,high,low,close,volume
1525132800000000000,101480000000,101500000000,101300000000,101360000000,555030
1525219200000000000,101390000000,101500000000,101300000000,101390000000,489327
1525305600000000000,101660000000,101765000000,101560000000,101630000000,822277
1525392000000000000,101850000000,101850000000,101500000000,101640000000,565197
1525651200000000000,101630000000,101650000000,101540000000,101610000000,274553
1525737600000000000,101430000000,101510000000,101330000000,101450000000,245168
1525824000000000000,101200000000,101290000000,101000000000,101000000000,383732
1525910400000000000,101370000000,101460000000,101310000000,101400000000,174859
1525996800000000000,101460000000,101460000000,101310000000,101410000000,501476
1526256000000000000,101600000000,101600000000,101180000000,101180000000,875401
1526342400000000000,100850000000,100850000000,100490000000,100610000000,1690089
1526428800000000000,100670000000,100690000000,100420000000,100440000000,414849
1526515200000000000,100460000000,100520000000,100335000000,100350000000,212318
1526601600000000000,100500000000,100800000000,100500000000,100750000000,331148
1526860800000000000,100700000000,100830000000,100650000000,100830000000,1079141
1526947200000000000,100820000000,100830000000,100690000000,100780000000,162108
1527033600000000000,101190000000,101360000000,101080000000,101360000000,1201921
1527120000000000000,101400000000,101640000000,101400000000,101500000000,451181
1527206400000000000,101750000000,101910000000,101750000000,101910000000,535847
1527552000000000000,102280000000,103195000000,102250000000,102990000000,2334545
1527638400000000000,102430000000,102715000000,102375000000,102550000000,688694
1527724800000000000,102570000000,102725000000,102350000000,102590000000,803496
1527811200000000000,101800000000,102090000000,101770000000,101930000000,769002
1528070400000000000,101980000000,101980000000,101570000000,101570000000,496833
1528156800000000000,101850000000,101960000000,101720000000,101830000000,310659
1528243200000000000,101560000000,101580000000,101370000000,101430000000,721933
1528329600000000000,101420000000,102130000000,101400000000,101820000000,811909
1528416000000000000,101740000000,101850000000,101680000000,101710000000,443353
1528675200000000000,101550000000,101660000000,101510000000,101660000000,329336
1528761600000000000,101470000000,101600000000,101450000000,101550000000,384572
1528848000000000000,101580000000,101910000000,101165000000,101910000000,845367
1528934400000000000,101710000000,101760000000,101550000000,101730000000,1583059
1529020800000000000,101960000000,102095000000,101805000000,101850000000,1533162
1529280000000000000,102030000000,102030000000,101800000000,101870000000,639275
1529366400000000000,102180000000,102270000000,102060000000,102070000000,770582
1529452800000000000,102140000000,102140000000,101810000000,101810000000,482438
1529539200000000000,101980000000,102170000000,101980000000,102080000000,413721
1529625600000000000,101990000000,102160000000,101910000000,102100000000,398955
1529884800000000000,102200000000,102400000000,102200000000,102280000000,2169354
1529971200000000000,102270000000,102355000000,102210000000,102300000000,344718
1530057600000000000,102540000000,102720000000,102490000000,102690000000,511235
1530144000000000000,102680000000,102710000000,102510000000,102580000000,212108
1530230400000000000,102580000000,102675000000,102500000000,102500000000,301157
1530489600000000000,102420000000,102440000000,102020000000,102020000000,198459
1530576000000000000,102180000000,102510000000,102180000000,102510000000,309953
1530748800000000000,102480000000,102630000000,102465000000,102490000000,358089
1530835200000000000,102650000000,102705000000,102530000000,102610000000,276419
1531094400000000000,102390000000,102430000000,102325000000,102340000000,661418
1531180800000000000,102260000000,102350000000,102220000000,102300000000,838353
1531267200000000000,102460000000,102510000000,102320000000,102510000000,364125
1531353600000000000,102350000000,102480000000,102340000000,102420000000,314019
1531440000000000000,102550000000,102635000000,102490000000,102610000000,302849
1531699200000000000,102490000000,102490000000,102260000000,102430000000,740781
1531785600000000000,102500000000,102500000000,102355000000,102380000000,160858
1531872000000000000,102430000000,102440000000,102275000000,102300000000,226004
1531958400000000000,102370000000,102660000000,102350000000,102580000000,596532
1532044800000000000,102500000000,102500000000,102190000000,102240000000,282769
1532304000000000000,102100000000,102105000000,101705000000,101730000000,525225
1532390400000000000,101700000000,101835000000,101640000000,101820000000,513562
1532476800000000000,101880000000,101970000000,101660000000,101730000000,616143
1532563200000000000,101820000000,101870000000,101595000000,101640000000,191005
1532649600000000000,101840000000,101840000000,101680000000,101740000000,273912
1532908800000000000,101580000000,101750000000,101570000000,101680000000,573186
1532995200000000000,101780000000,101900000000,101720000000,101760000000,475643
1533081600000000000,101260000000,101400000000,101195000000,101320000000,566415
1533168000000000000,101420000000,101480000000,101320000000,101410000000,361321
1533254400000000000,101550000000,101740000000,101540000000,101720000000,621365
1533513600000000000,101790000000,101950000000,101765000000,101770000000,469102
1533600000000000000,101710000000,101710000000,101550000000,101560000000,247149
1533686400000000000,101560000000,101700000000,101560000000,101640000000,631329
1533772800000000000,101810000000,101930000000,101790000000,101930000000,1036052
1533859200000000000,102200000000,102495000000,102175000000,102340000000,405244
1534118400000000000,102310000000,102450000000,102240000000,102350000000,237263
1534204800000000000,102320000000,102320000000,102195000000,102200000000,406899
1534291200000000000,102480000000,102670000000,102440000000,102490000000,1040934
1534377600000000000,102480000000,102520000000,102285000000,102480000000,476386
1534464000000000000,102550000000,102630000000,102410000000,102470000000,240274
1534723200000000000,102700000000,102855000000,102680000000,102820000000,368092
1534809600000000000,102750000000,102750000000,102610000000,102720000000,281891
1534896000000000000,102890000000,102960000000,102780000000,102870000000,771458
1534982400000000000,102910000000,102945000000,102845000000,102850000000,125095
1535068800000000000,102680000000,102930000000,102645000000,102930000000,226803
1535328000000000000,102730000000,102770000000,102640000000,102720000000,283518
1535414400000000000,102490000000,102520000000,102390000000,102420000000,313654
1535500800000000000,102470000000,102470000000,102300000000,102440000000,452358
1535587200000000000,102540000000,102740000000,102510000000,102740000000,411308
1535673600000000000,102800000000,102830000000,102600000000,102610000000,356484
1536019200000000000,102230000000,102310000000,102115000000,102170000000,646528
1536105600000000000,102150000000,102230000000,102050000000,102160000000,274489
1536192000000000000,102210000000,102445000000,102210000000,102380000000,396483
1536278400000000000,102060000000,102060000000,101875000000,101910000000,910235
1536537600000000000,101890000000,102000000000,101890000000,101990000000,362014
1536624000000000000,101740000000,101790000000,101600000000,101640000000,1139106
1536710400000000000,101760000000,101800000000,101710000000,101720000000,241784
1536796800000000000,101860000000,101860000000,101650000000,101690000000,260591
1536883200000000000,101500000000,101620000000,101470000000,101520000000,466686
1537142400000000000,101410000000,101580000000,101380000000,101550000000,524869
1537228800000000000,101400000000,101420000000,101095000000,101120000000,742400
1537315200000000000,101090000000,101100000000,100800000000,100980000000,851717
1537401600000000000,100830000000,101060000000,100805000000,100950000000,453519
1537488000000000000,100900000000,101050000000,100890000000,101020000000,257393
1537747200000000000,100880000000,101010000000,100830000000,100890000000,352774
1537833600000000000,100770000000,100810000000,100690000000,100790000000,564727
1537920000000000000,100890000000,101135000000,100840000000,101130000000,513054
1538006400000000000,101100000000,101150000000,100990000000,101110000000,449063
1538092800000000000,101300000000,101340000000,101120000000,101120000000,872092
1538352000000000000,100790000000,100880000000,100710000000,100740000000,858793
1538438400000000000,100860000000,101030000000,100860000000,100910000000,642441
1538524800000000000,100780000000,100790000000,100050000000,100050000000,1342772
1538611200000000000,100050000000,100120000000,99885000000,99960000000,1130976
1538697600000000000,100000000000,100000000000,99605000000,99740000000,957696
1538956800000000000,99820000000,99855000000,99740000000,99760000000,316300
1539043200000000000,99760000000,99960000000,99760000000,99930000000,569329
1539129600000000000,99710000000,100400000000,99665000000,100400000000,654301
1539216000000000000,100160000000,100550000000,100070000000,100420000000,1670182
1539302400000000000,100320000000,100520000000,100240000000,100270000000,527567
1539561600000000000,100390000000,100430000000,100270000000,100350000000,452992
1539648000000000000,100270000000,100355000000,100205000000,100290000000,522111
1539734400000000000,100320000000,100420000000,100040000000,100050000000,872887
1539820800000000000,100000000000,100400000000,99950000000,100220000000,506276
1539907200000000000,100160000000,100230000000,100035000000,100110000000,1039139
1540166400000000000,100220000000,100260000000,100125000000,100130000000,355454
1540252800000000000,100580000000,100790000000,100345000000,100390000000,1156313
1540339200000000000,100660000000,100955000000,100610000000,100890000000,922194
1540425600000000000,100720000000,100900000000,100595000000,100900000000,767031
1540512000000000000,101100000000,101290000000,101040000000,101160000000,822533
1540771200000000000,101010000000,101230000000,100860000000,101090000000,616737
1540857600000000000,100980000000,101060000000,100870000000,100920000000,838504
1540944000000000000,100610000000,100730000000,100555000000,100660000000,797288
1541030400000000000,100360000000,100565000000,100340000000,100540000000,685085
1541116800000000000,100330000000,100340000000,99935000000,99980000000,1056882
1541376000000000000,100160000000,100195000000,100030000000,100060000000,634288
1541462400000000000,100140000000,100140000000,99915000000,99940000000,588986
1541548800000000000,100090000000,100160000000,99780000000,99780000000,577622
1541635200000000000,99940000000,100015000000,99740000000,99740000000,463735
1541721600000000000,99920000000,100220000000,99920000000,100190000000,665303
1541980800000000000,100380000000,100510000000,100380000000,100470000000,577531
1542067200000000000,100420000000,100570000000,100345000000,100520000000,766745
1542153600000000000,100500000000,100950000000,100395000000,100700000000,710830
1542240000000000000,100900000000,101060000000,100710000000,100830000000,517320
1542326400000000000,101010000000,101180000000,100985000000,101140000000,1196793
1542585600000000000,100990000000,101310000000,100990000000,101210000000,600849
1542672000000000000,101320000000,101420000000,101200000000,101210000000,605885
1542758400000000000,101200000000,101250000000,101075000000,101250000000,313082
1542931200000000000,101450000000,101465000000,101310000000,101310000000,136179
1543190400000000000,101180000000,101230000000,101125000000,101220000000,408865
1543276800000000000,101490000000,101490000000,101190000000,101320000000,438288
1543363200000000000,101300000000,101450000000,101170000000,101320000000,570608
1543449600000000000,101590000000,101720000000,101270000000,101270000000,761402
1543536000000000000,101660000000,101840000000,101660000000,101840000000,646684
1543795200000000000,101700000000,101850000000,101410000000,101850000000,1585496
1543881600000000000,101970000000,102450000000,101945000000,102260000000,2045812
1544054400000000000,102750000000,102960000000,102460000000,102460000000,2639765
1544140800000000000,102490000000,102850000000,102360000000,102820000000,2569776
1544400000000000000,102840000000,103030000000,102720000000,102780000000,3229842
1544486400000000000,102640000000,102850000000,102500000000,102610000000,1887187
1544572800000000000,102450000000,102500000000,101870000000,101870000000,1555978
1544659200000000000,102450000000,102495000000,102340000000,102390000000,597374
1544745600000000000,102580000000,102700000000,102520000000,102560000000,654145
1545004800000000000,102660000000,102925000000,102650000000,102860000000,1350982
1545091200000000000,102750000000,102945000000,102690000000,102910000000,786506
1545177600000000000,103050000000,103480000000,102780000000,103380000000,1422029
1545264000000000000,103370000000,103460000000,103095000000,103140000000,1150335
1545350400000000000,103200000000,103220000000,103060000000,103190000000,935210
1545609600000000000,103380000000,103500000000,103270000000,103500000000,1676885
1545782400000000000,103470000000,103610000000,102930000000,103080000000,1497821
1545868800000000000,103430000000,103630000000,103230000000,103350000000,1073551
1545955200000000000,103420000000,103820000000,103395000000,103810000000,808015
1546214400000000000,103680000000,104660000000,103635000000,104180000000,1846138
1546387200000000000,104310000000,105000000000,104185000000,105000000000,2408889
