ts_event,open,high,low,close,volume
1525132800000000000,51550000000,53840000000,51440000000,53550000000,7005650
1525219200000000000,53510000000,53530000000,52150000000,52340000000,7413883
1525305600000000000,52260000000,52550000000,51210000000,52320000000,9441305
1525392000000000000,52150000000,52890000000,51000000000,52780000000,8279576
1525651200000000000,53140000000,53580000000,52830000000,53160000000,5459309
1525737600000000000,53820000000,53820000000,52810000000,53620000000,5993918
1525824000000000000,53140000000,54490000000,53140000000,54400000000,6837391
1525910400000000000,54340000000,55010000000,54105000000,54600000000,6313210
1525996800000000000,54910000000,55185000000,54430000000,54670000000,5506437
1526256000000000000,54980000000,55240000000,54730000000,54810000000,6693216
1526342400000000000,54990000000,54990000000,53560000000,53830000000,7649394
1526428800000000000,54290000000,54690000000,53840000000,54610000000,6056612
1526515200000000000,54620000000,55440000000,54420000000,54780000000,4903482
1526601600000000000,54820000000,54820000000,53420000000,53420000000,7018652
1526860800000000000,54190000000,55220000000,53865000000,54410000000,7135792
1526947200000000000,54430000000,55040000000,54050000000,54480000000,5899906
1527033600000000000,53990000000,55230000000,53700000000,55140000000,7393830
1527120000000000000,55300000000,55300000000,54135000000,54810000000,6306997
1527206400000000000,54940000000,55500000000,54540000000,55500000000,6704638
1527552000000000000,54930000000,55810000000,54200000000,55320000000,7990676
1527638400000000000,55620000000,56200000000,55600000000,55610000000,7042297
1527724800000000000,55990000000,55990000000,55060000000,55320000000,14799526
1527811200000000000,55400000000,57130000000,55350000000,57120000000,7688146
1528070400000000000,57230000000,57590000000,56780000000,56840000000,5472742
1528156800000000000,57020000000,57680000000,56210000000,56970000000,6722223
1528243200000000000,57000000000,57060000000,56085000000,56950000000,7199441
1528329600000000000,57010000000,57050000000,55620000000,55920000000,7547284
1528416000000000000,55020000000,55700000000,54660000000,55050000000,8974652
1528675200000000000,55200000000,55200000000,54270000000,54550000000,7324300
1528761600000000000,54630000000,55040000000,54220000000,54890000000,6582421
1528848000000000000,54960000000,55700000000,54790000000,55020000000,7061050
1528934400000000000,55000000000,55860000000,55000000000,55400000000,6816420
1529020800000000000,55390000000,55440000000,54580000000,55010000000,19044671
1529280000000000000,54700000000,54700000000,52340000000,53010000000,11310663
1529366400000000000,52590000000,53000000000,51880000000,52880000000,10635343
1529452800000000000,53200000000,53740000000,52690000000,53640000000,6750376
