ts_event,open,high,low,close,volume
1525132800000000000,153030000000,154440000000,151720000000,154280000000,4525529
1525219200000000000,154160000000,155780000000,153680000000,154390000000,3126192
1525305600000000000,154200000000,154490000000,152160000000,153880000000,4459215
1525392000000000000,153860000000,156500000000,152810000000,155710000000,2881968
1525651200000000000,156250000000,157860000000,156100000000,156950000000,2659411
1525737600000000000,156800000000,158060000000,156580000000,157830000000,2954665
1525824000000000000,158500000000,159100000000,157380000000,158740000000,2756136
1525910400000000000,159000000000,160170000000,158750000000,159530000000,2802889
1525996800000000000,159750000000,160130000000,157690000000,159950000000,2377226
1526256000000000000,160000000000,160690000000,158930000000,159400000000,2941662
1526342400000000000,159070000000,159590000000,158175000000,159030000000,3817732
1526428800000000000,159200000000,161320000000,159180000000,161140000000,3146650
1526515200000000000,160900000000,162000000000,160720000000,161860000000,3215851
1526601600000000000,162000000000,162320000000,161470000000,161750000000,2741855
1526860800000000000,162220000000,163230000000,162200000000,163050000000,2558034
1526947200000000000,163420000000,163440000000,161650000000,161660000000,2066887
1527033600000000000,161160000000,162280000000,160940000000,162000000000,2326486
1527120000000000000,162240000000,162350000000,160630000000,162300000000,2203964
1527206400000000000,162500000000,162570000000,161480000000,161700000000,1936759
1527552000000000000,160340000000,162220000000,159890000000,161480000000,3597166
1527638400000000000,162180000000,164380000000,162040000000,163850000000,3690022
1527724800000000000,164220000000,164580000000,162340000000,162950000000,4208217
1527811200000000000,163580000000,164370000000,163290000000,164100000000,3414885
1528070400000000000,164700000000,164790000000,163320000000,164600000000,2432951
1528156800000000000,164630000000,165870000000,164340000000,165740000000,2319682
1528243200000000000,165750000000,167110000000,165590000000,166830000000,2937705
1528329600000000000,167040000000,167225000000,165230000000,166230000000,3164873
1528416000000000000,165530000000,166600000000,165360000000,166490000000,2609844
1528675200000000000,166560000000,167110000000,166160000000,166900000000,2455474
1528761600000000000,166570000000,167940000000,166570000000,167640000000,2467479
1528848000000000000,167630000000,167860000000,166630000000,166900000000,2776414
1528934400000000000,166750000000,167950000000,166610000000,167770000000,2972230
1529020800000000000,167230000000,167970000000,166530000000,167710000000,4074638
1529280000000000000,166900000000,168780000000,166610000000,168090000000,3070815
1529366400000000000,166610000000,168770000000,166550000000,168750000000,4406954
1529452800000000000,169400000000,170200000000,168960000000,170180000000,3736011
1529539200000000000,169660000000,170250000000,167780000000,168390000000,4820599
1529625600000000000,168750000000,169120000000,167310000000,167920000000,5999342
1529884800000000000,167270000000,167430000000,164150000000,165210000000,6560972
1529971200000000000,165170000000,166660000000,164770000000,166300000000,3282010
1530057600000000000,165190000000,166510000000,163290000000,163680000000,4968400
1530144000000000000,164070000000,164220000000,162260000000,164090000000,4586090
1530230400000000000,164680000000,165040000000,163500000000,163520000000,3672537
1530489600000000000,162950000000,165070000000,162480000000,164920000000,3097998
1530576000000000000,164610000000,165700000000,164610000000,164900000000,1861929
1530748800000000000,165950000000,166890000000,164840000000,166400000000,2757686
1530835200000000000,166870000000,168520000000,166320000000,168430000000,2638838
1531094400000000000,169150000000,169560000000,168385000000,169520000000,2466086
1531180800000000000,169340000000,169870000000,167250000000,167250000000,2999864
1531267200000000000,167280000000,168610000000,167050000000,167380000000,3409955
1531353600000000000,167850000000,168250000000,166640000000,168000000000,3058545
1531440000000000000,167500000000,168730000000,167430000000,167690000000,2602818
1531699200000000000,167670000000,168020000000,165960000000,166820000000,2761330
1531785600000000000,166900000000,167990000000,166590000000,167710000000,2515135
1531872000000000000,167460000000,168055000000,166570000000,168010000000,2059640
1531958400000000000,167770000000,169250000000,167260000000,168940000000,3064269
1532044800000000000,169040000000,169300000000,168350000000,168500000000,2488622
1532304000000000000,168040000000,169140000000,167810000000,168980000000,1867249
1532390400000000000,169240000000,169750000000,166230000000,166700000000,3713225
1532476800000000000,166800000000,167680000000,166150000000,167420000000,3164599
1532563200000000000,167600000000,169360000000,167490000000,168620000000,3273142
1532649600000000000,168870000000,168940000000,164800000000,165090000000,4262552
1532908800000000000,164570000000,166010000000,164040000000,164240000000,3116188
1532995200000000000,164210000000,166620000000,164190000000,165910000000,3410536
1533081600000000000,165650000000,166240000000,164500000000,165800000000,3386866
1533168000000000000,165090000000,167270000000,164430000000,167230000000,2711685
