ts_event,open,high,low,close,volume
1525132800000000000,19140000000,19490000000,19060000000,19440000000,2611376
1525219200000000000,19430000000,19740000000,19315000000,19340000000,869979
1525305600000000000,19320000000,19360000000,19065000000,19220000000,794138
1525392000000000000,19150000000,19470000000,19020000000,19360000000,748933
1525651200000000000,19380000000,19440000000,19090000000,19250000000,821017
1525737600000000000,19220000000,19550000000,19150000000,19250000000,1943116
1525824000000000000,19250000000,19250000000,18710000000,18720000000,1484393
1525910400000000000,18770000000,18925000000,18690000000,18810000000,960992
1525996800000000000,18810000000,19010000000,18760000000,19010000000,972518
1526256000000000000,18990000000,19150000000,18780000000,18910000000,1442232
1526342400000000000,18760000000,19150000000,18670000000,19010000000,874157
1526428800000000000,19050000000,19760000000,18970000000,19470000000,1735696
1526515200000000000,19470000000,19580000000,19320000000,19320000000,797698
1526601600000000000,19270000000,19340000000,19030000000,19040000000,852269
1526860800000000000,19170000000,19350000000,19110000000,19190000000,1548920
1526947200000000000,19220000000,19380000000,18855000000,18930000000,836124
1527033600000000000,18900000000,18920000000,18590000000,18670000000,679380
1527120000000000000,18730000000,19080000000,18530000000,19040000000,740370
1527206400000000000,19090000000,19930000000,19050000000,19390000000,1937151
1527552000000000000,19260000000,19490000000,19010000000,19200000000,1505912
1527638400000000000,19250000000,19330000000,18830000000,18980000000,1288838
1527724800000000000,19000000000,19195000000,18840000000,18890000000,1127099
1527811200000000000,19060000000,19120000000,18755000000,18770000000,1352473
1528070400000000000,18870000000,19160000000,18860000000,19110000000,1339530
1528156800000000000,19030000000,19140000000,18820000000,18860000000,838487
1528243200000000000,18850000000,18850000000,18460000000,18780000000,1453157
1528329600000000000,18810000000,18975000000,18735000000,18770000000,1405946
1528416000000000000,18740000000,18850000000,18635000000,18840000000,1867049
1528675200000000000,18870000000,19340000000,18870000000,19080000000,946248
1528761600000000000,19110000000,19110000000,18720000000,18990000000,1699808
1528848000000000000,18940000000,19145000000,18800000000,19010000000,1053620
1528934400000000000,19020000000,19150000000,18905000000,19040000000,1126085
1529020800000000000,18930000000,19225000000,18860000000,19190000000,1992636
1529280000000000000,19050000000,19255000000,18900000000,19250000000,842460
1529366400000000000,19090000000,19170000000,18915000000,18970000000,1058378
1529452800000000000,19000000000,19130000000,18905000000,19020000000,718437
1529539200000000000,18980000000,19425000000,18980000000,19270000000,780963
1529625600000000000,19200000000,19480000000,18950000000,18980000000,1959368
1529884800000000000,18910000000,19080000000,18700000000,18790000000,996292
1529971200000000000,18830000000,18920000000,18670000000,18750000000,816743
1530057600000000000,18740000000,18960000000,18580000000,18960000000,1383544
1530144000000000000,18910000000,18980000000,18710000000,18860000000,987124
1530230400000000000,18960000000,19195000000,18890000000,18980000000,1600032
1530489600000000000,18850000000,19150000000,18795000000,19100000000,795482
1530576000000000000,19000000000,19340000000,18880000000,18880000000,494161
1530748800000000000,19170000000,19310000000,19090000000,19280000000,629365
1530835200000000000,19330000000,19540000000,19200000000,19450000000,738816
1531094400000000000,19480000000,19735000000,19370000000,19640000000,1105685
1531180800000000000,19600000000,19630000000,19380000000,19610000000,827729
1531267200000000000,19400000000,19500000000,18970000000,19290000000,1129641
1531353600000000000,19620000000,19660000000,19020000000,19150000000,1104977
1531440000000000000,19040000000,19410000000,19040000000,19280000000,707039
1531699200000000000,19330000000,19540000000,19330000000,19400000000,788369
1531785600000000000,19350000000,19730000000,19310000000,19570000000,961658
1531872000000000000,19810000000,20105000000,19610000000,19970000000,1810641
1531958400000000000,19940000000,19985000000,19710000000,19830000000,827997
1532044800000000000,19840000000,19930000000,19670000000,19830000000,1320341
1532304000000000000,19770000000,20095000000,19510000000,20000000000,1024886
1532390400000000000,20000000000,20000000000,17760000000,17840000000,4703298
1532476800000000000,17900000000,17900000000,17000000000,17130000000,2391595
1532563200000000000,17130000000,18080000000,17100000000,18010000000,2173474
1532649600000000000,17950000000,18220000000,17875000000,18050000000,1871009
1532908800000000000,17990000000,18100000000,17870000000,17910000000,1405709
1532995200000000000,17890000000,18265000000,17850000000,18000000000,1538641
