ts_event,open,high,low,close,volume
1525132800000000000,56320000000,56420000000,55300000000,55950000000,1783000
1525219200000000000,56000000000,57530000000,54115000000,56300000000,2729438
1525305600000000000,56000000000,56650000000,54940000000,55200000000,2716649
1525392000000000000,55220000000,58440000000,54700000000,58100000000,2671317
1525651200000000000,58640000000,59240000000,58190000000,58830000000,2329422
1525737600000000000,58860000000,59190000000,57615000000,58920000000,2504601
1525824000000000000,59150000000,59350000000,58090000000,58200000000,1809695
1525910400000000000,58700000000,59350000000,58550000000,59220000000,1432357
1525996800000000000,59040000000,59860000000,58990000000,59250000000,1452402
1526256000000000000,59280000000,59590000000,58920000000,59170000000,1539400
1526342400000000000,59050000000,59480000000,58620000000,59010000000,2012531
1526428800000000000,59200000000,59490000000,58530000000,59490000000,1652190
1526515200000000000,59170000000,59170000000,57720000000,58020000000,1675099
1526601600000000000,57810000000,57810000000,55720000000,56880000000,3536809
1526860800000000000,57200000000,57340000000,55900000000,56220000000,1756122
1526947200000000000,56780000000,57250000000,56210000000,56580000000,1438717
1527033600000000000,56310000000,57040000000,56250000000,56890000000,1135881
1527120000000000000,57500000000,57500000000,56380000000,56520000000,936669
1527206400000000000,57080000000,58120000000,56890000000,57940000000,1265910
1527552000000000000,57660000000,57860000000,56940000000,57290000000,1447451
1527638400000000000,57770000000,59060000000,57460000000,58960000000,1804609
1527724800000000000,58840000000,58990000000,57150000000,57480000000,2921538
1527811200000000000,57600000000,58170000000,57300000000,57790000000,1513552
1528070400000000000,57650000000,58650000000,57650000000,58420000000,1342190
1528156800000000000,58460000000,58790000000,57670000000,57860000000,2063416
1528243200000000000,57990000000,57990000000,57010000000,57780000000,1518901
1528329600000000000,57790000000,58150000000,57070000000,57650000000,1359165
1528416000000000000,57440000000,58600000000,57440000000,58600000000,1746253
1528675200000000000,58500000000,60180000000,58490000000,60050000000,2137034
1528761600000000000,59990000000,60650000000,59280000000,60120000000,1478403
1528848000000000000,60350000000,60680000000,59660000000,60100000000,1374885
1528934400000000000,60200000000,61010000000,59870000000,60740000000,1247279
1529020800000000000,60770000000,61640000000,60390000000,61530000000,4277596
1529280000000000000,61570000000,62620000000,60470000000,61020000000,1562378
1529366400000000000,60240000000,62180000000,60240000000,62140000000,1978003
1529452800000000000,61800000000,63330000000,61410000000,63200000000,2030745
1529539200000000000,63010000000,63260000000,62260000000,62620000000,1782438
1529625600000000000,62660000000,63440000000,62660000000,63230000000,1705457
1529884800000000000,62900000000,64530000000,62820000000,63420000000,1707001
1529971200000000000,63640000000,63690000000,62350000000,63080000000,1840821
1530057600000000000,63020000000,63800000000,62520000000,62690000000,1320540
1530144000000000000,62830000000,63300000000,62510000000,62650000000,1326436
1530230400000000000,62800000000,63220000000,62160000000,62850000000,1263405
1530489600000000000,62490000000,62580000000,61520000000,62200000000,1327522
1530576000000000000,62360000000,63120000000,62360000000,62530000000,697048
1530748800000000000,62550000000,64090000000,62550000000,64090000000,1193139
1530835200000000000,63950000000,64620000000,63680000000,64300000000,1104898
1531094400000000000,64510000000,64750000000,63620000000,63970000000,1052327
1531180800000000000,64350000000,64360000000,63330000000,63860000000,1156722
1531267200000000000,63610000000,64270000000,63510000000,63740000000,822668
1531353600000000000,64500000000,64500000000,63300000000,63640000000,903851
1531440000000000000,63590000000,64590000000,63550000000,63850000000,1211650
1531699200000000000,63800000000,64230000000,62550000000,62650000000,1449259
1531785600000000000,62850000000,63380000000,62510000000,63050000000,1374466
1531872000000000000,63470000000,63740000000,61540000000,61590000000,1618889
1531958400000000000,61370000000,62010000000,60900000000,61200000000,1956563
1532044800000000000,61340000000,61360000000,60550000000,60680000000,1761374
1532304000000000000,60620000000,61000000000,60150000000,61000000000,1231567
1532390400000000000,60220000000,60550000000,59150000000,59680000000,2115271
1532476800000000000,59880000000,60170000000,58940000000,60050000000,1354803
1532563200000000000,60120000000,61700000000,60120000000,60450000000,1347225
1532649600000000000,60780000000,61030000000,59890000000,60830000000,1237967
1532908800000000000,60250000000,60620000000,59850000000,60500000000,1240290
1532995200000000000,60670000000,61170000000,59500000000,59850000000,3154990
1533081600000000000,59900000000,60340000000,59250000000,59280000000,1147110
1533168000000000000,59560000000,59680000000,58240000000,59400000000,1736221
1533254400000000000,59600000000,64990000000,59600000000,64450000000,4156855
1533513600000000000,64300000000,64300000000,62150000000,62400000000,2326999
1533600000000000000,62520000000,62540000000,60000000000,60670000000,2125981
1533686400000000000,60680000000,60850000000,59510000000,60200000000,2818166
1533772800000000000,60640000000,60640000000,59680000000,60000000000,2480070
1533859200000000000,59850000000,59920000000,59100000000,59600000000,1736094
1534118400000000000,59700000000,59700000000,58840000000,59460000000,1834655
1534204800000000000,59100000000,60060000000,59100000000,59500000000,1372105
1534291200000000000,59270000000,59580000000,58980000000,59090000000,1755031
