ts_event,open,high,low,close,volume
1627257600000000000,25240000000,28430000000,24320000000,26920000000,6206491
1627344000000000000,26830000000,27600000000,25000000000,25050000000,2509758
1627430400000000000,25890000000,26200000000,23980000000,24080000000,1882176
1627516800000000000,24250000000,24690000000,23090000000,23090000000,1321116
1627603200000000000,23020000000,24230000000,22690000000,23850000000,1497104
1627862400000000000,23900000000,24440000000,23470000000,23780000000,1353959
1627948800000000000,23770000000,24100000000,22960000000,23360000000,947313
1628035200000000000,23450000000,23780000000,22550000000,22730000000,864089
1628121600000000000,22820000000,23290000000,22640000000,22830000000,758426
1628208000000000000,22850000000,23900000000,22750000000,23450000000,1139071
1628467200000000000,23570000000,23790000000,23030000000,23740000000,785043
1628553600000000000,23500000000,25230000000,23500000000,24520000000,1909816
1628640000000000000,24520000000,25000000000,24000000000,24210000000,1060937
1628726400000000000,24560000000,24580000000,23750000000,23800000000,751423
1628812800000000000,23820000000,24250000000,23280000000,23480000000,958297
1629072000000000000,23430000000,23500000000,22440000000,22680000000,1095213
1629158400000000000,22710000000,22760000000,22100000000,22350000000,870916
1629244800000000000,22510000000,23200000000,22160000000,22350000000,1024727
1629331200000000000,22300000000,22600000000,21520000000,21660000000,806909
1629417600000000000,21770000000,22100000000,21510000000,21700000000,810529
1629676800000000000,21800000000,22200000000,21430000000,21900000000,962371
1629763200000000000,22000000000,22970000000,21710000000,22200000000,1519325
1629849600000000000,22270000000,22800000000,21770000000,21910000000,1521429
1629936000000000000,21950000000,22070000000,21400000000,21570000000,1008476
1630022400000000000,21600000000,21770000000,20900000000,21000000000,1759264
1630281600000000000,21050000000,21070000000,19860000000,20400000000,2233541
1630368000000000000,20380000000,20750000000,19920000000,20060000000,1933053
1630454400000000000,19890000000,19900000000,15280000000,17950000000,27033029
1630540800000000000,18000000000,18910000000,17900000000,18880000000,6292074
1630627200000000000,18870000000,19760000000,18670000000,19420000000,4741792
1630972800000000000,19560000000,20190000000,19010000000,19780000000,3939180
1631059200000000000,19750000000,20400000000,18700000000,18920000000,3139823
1631145600000000000,18850000000,20050000000,18580000000,19950000000,4394223
1631232000000000000,19990000000,20620000000,19900000000,19950000000,2633034
1631491200000000000,20000000000,20590000000,19200000000,19370000000,3036504
1631577600000000000,19410000000,19740000000,18700000000,19000000000,4396483
1631664000000000000,18990000000,20160000000,18950000000,20100000000,10609908
1631750400000000000,20170000000,23200000000,20120000000,22500000000,13708560
1631836800000000000,22550000000,23510000000,21910000000,22940000000,39090245
1632096000000000000,22800000000,24760000000,21540000000,24160000000,14515769
1632182400000000000,24310000000,27930000000,24240000000,26400000000,19337945
