ts_event,open,high,low,close,volume
1553817600000000000,87240000000,88600000000,77220000000,77450000000,30617252
1554076800000000000,78250000000,79050000000,67780000000,68800000000,15407046
1554163200000000000,67600000000,70200000000,65310000000,68700000000,6598234
1554249600000000000,69160000000,72000000000,69000000000,69600000000,4762711
1554336000000000000,69500000000,72880000000,69500000000,72100000000,3161989
1554422400000000000,72120000000,76100000000,72120000000,74300000000,3311062
1554681600000000000,73500000000,75010000000,70000000000,70030000000,1531238
1554768000000000000,70230000000,70710000000,67110000000,67390000000,2039066
1554854400000000000,67500000000,68220000000,59750000000,60440000000,6864997
1554940800000000000,60100000000,62300000000,60100000000,61020000000,2789842
1555027200000000000,61540000000,61700000000,57660000000,59910000000,3056547
1555286400000000000,60100000000,60160000000,55560000000,56400000000,3174807
1555372800000000000,56880000000,57940000000,56080000000,56110000000,1935477
1555459200000000000,56380000000,59670000000,55620000000,59400000000,2555856
1555545600000000000,59110000000,59860000000,57610000000,58060000000,1715522
1555891200000000000,58000000000,61220000000,57460000000,60850000000,1390674
1555977600000000000,61530000000,63000000000,59350000000,60240000000,2564106
1556064000000000000,61000000000,61000000000,57760000000,57910000000,1275750
1556150400000000000,58500000000,58500000000,55870000000,56120000000,1113026
1556236800000000000,57000000000,57520000000,54320000000,57240000000,1610819
1556496000000000000,57300000000,60710000000,56040000000,59910000000,1750280
1556582400000000000,60200000000,61400000000,58220000000,60000000000,1514414
1556668800000000000,60350000000,60710000000,58440000000,58570000000,996438
1556755200000000000,58850000000,62010000000,57330000000,61700000000,1605951
1556841600000000000,61700000000,62980000000,60110000000,62500000000,2299253
1557100800000000000,60250000000,61500000000,59650000000,60410000000,1283776
1557187200000000000,60570000000,63990000000,56610000000,57730000000,3337133
1557273600000000000,59500000000,60480000000,52760000000,53100000000,6387761
1557360000000000000,53000000000,56450000000,52240000000,55340000000,2598737
1557446400000000000,55510000000,56740000000,50030000000,51130000000,6232965
1557705600000000000,48980000000,50570000000,47180000000,47620000000,2560078
1557792000000000000,48880000000,51380000000,47990000000,50200000000,1824308
1557878400000000000,50400000000,54850000000,49870000000,54200000000,1965396
1557964800000000000,54080000000,56710000000,53580000000,55370000000,1823342
1558051200000000000,54680000000,55200000000,53460000000,53500000000,971435
1558310400000000000,53870000000,54700000000,51830000000,54570000000,737075
1558396800000000000,55000000000,56030000000,53530000000,55450000000,996194
1558483200000000000,55000000000,58050000000,54640000000,57500000000,988171
1558569600000000000,57500000000,58490000000,56350000000,57780000000,905760
1558656000000000000,58530000000,58790000000,56610000000,57100000000,726916
1559001600000000000,57200000000,57980000000,55420000000,56400000000,885791
1559088000000000000,56450000000,56730000000,54060000000,56170000000,823791
1559174400000000000,56410000000,57000000000,54070000000,56000000000,712979
1559260800000000000,54730000000,58450000000,54480000000,57950000000,1609913
1559520000000000000,57620000000,61770000000,57410000000,59430000000,1453894
1559606400000000000,60600000000,61500000000,57550000000,59000000000,1397785
1559692800000000000,59640000000,63230000000,59210000000,62250000000,1774921
1559779200000000000,62040000000,63200000000,60400000000,61720000000,1087300
1559865600000000000,61350000000,62220000000,59150000000,59150000000,1084678
1560124800000000000,59150000000,60580000000,56700000000,56990000000,796242
1560211200000000000,58040000000,59230000000,56310000000,58100000000,731447
1560297600000000000,57700000000,58860000000,57000000000,58600000000,446303
1560384000000000000,59000000000,61350000000,58750000000,60170000000,841576
1560470400000000000,61100000000,61390000000,59970000000,60830000000,594997
1560729600000000000,61000000000,64140000000,60400000000,63600000000,1285722
1560816000000000000,63030000000,64760000000,61650000000,64400000000,1391062
1560902400000000000,64600000000,65070000000,63150000000,63510000000,961960
1560988800000000000,64490000000,64490000000,62110000000,62830000000,804710
1561075200000000000,62250000000,64300000000,62200000000,63620000000,2265572
1561334400000000000,64240000000,64330000000,62860000000,63740000000,840907
1561420800000000000,63760000000,64270000000,62660000000,64000000000,820741
1561507200000000000,64500000000,64640000000,62770000000,62850000000,556086
1561593600000000000,62500000000,65360000000,62500000000,65350000000,1286026
1561680000000000000,65590000000,66640000000,64440000000,65670000000,2494740
1561939200000000000,66640000000,66640000000,61500000000,62020000000,1173810
1562025600000000000,62500000000,63000000000,60250000000,60480000000,798594
1562112000000000000,60800000000,61170000000,60380000000,60640000000,282103
1562284800000000000,60700000000,61050000000,58750000000,59420000000,867186
1562544000000000000,59500000000,60070000000,58500000000,59790000000,742262
1562630400000000000,59760000000,62130000000,59670000000,61740000000,817612
1562716800000000000,61900000000,62680000000,61440000000,62280000000,501365
