ts_event,open,high,low,close,volume
1525176000000000000,1630000000,1650000000,1630000000,1650000000,700
1525179600000000000,1690000000,1710000000,1620000000,1670000000,63456
1525183200000000000,1670000000,1690000000,1665000000,1680000000,13077
1525186800000000000,1660000000,1660000000,1640000000,1645000000,13761
1525190400000000000,1645000000,1650000000,1580000000,1620000000,55201
1525194000000000000,1640000000,1680000000,1630000000,1640000000,20018
1525197600000000000,1630000000,1660000000,1630000000,1660000000,5106
1525201200000000000,1640000000,1650000000,1600000000,1620000000,71791
1525204800000000000,1610000000,1630000000,1610000000,1630000000,7900
1525208400000000000,1630000000,1630000000,1630000000,1630000000,713
1525212000000000000,1630000000,1630000000,1630000000,1630000000,279
1525262400000000000,1690000000,1690000000,1690000000,1690000000,200
1525266000000000000,1700000000,1700000000,1610000000,1655000000,22193
1525269600000000000,1655000000,1655000000,1600000000,1645000000,24456
1525273200000000000,1640000000,1640000000,1600000000,1610000000,30156
1525276800000000000,1605000000,1615000000,1600000000,1600000000,16539
1525280400000000000,1605000000,1605000000,1600000000,1600000000,6557
1525284000000000000,1605000000,1605000000,1550000000,1600000000,82862
1525287600000000000,1600000000,1600000000,1555000000,1560000000,27638
1525291200000000000,1570000000,1570000000,1550000000,1550000000,1715
1525352400000000000,1620000000,1620000000,1560000000,1620000000,19844
1525356000000000000,1630000000,1680000000,1620000000,1650000000,78883
1525359600000000000,1650000000,1650000000,1640000000,1640000000,3351
1525363200000000000,1660000000,1685000000,1650000000,1660000000,29657
1525366800000000000,1670000000,1715000000,1660000000,1715000000,70508
1525370400000000000,1720000000,1770000000,1690000000,1690000000,191993
1525374000000000000,1700000000,1770000000,1700000000,1770000000,146022
1525377600000000000,1760000000,1780000000,1760000000,1780000000,6678
1525381200000000000,1780000000,1820000000,1780000000,1820000000,21875
1525384800000000000,1810000000,1810000000,1810000000,1810000000,1000
1525388400000000000,1810000000,1880000000,1810000000,1880000000,7325
1525435200000000000,1850000000,1850000000,1780000000,1800000000,6445
1525438800000000000,1800000000,1800000000,1710000000,1750000000,115690
1525442400000000000,1740000000,1740000000,1710000000,1710000000,28179
1525446000000000000,1710000000,1740000000,1660000000,1680000000,42584
1525449600000000000,1670000000,1680000000,1650000000,1670000000,25394
1525453200000000000,1690000000,1695000000,1690000000,1690000000,1800
1525456800000000000,1700000000,1700000000,1660000000,1660000000,5043
1525460400000000000,1660000000,1660000000,1610000000,1650000000,42595
1525464000000000000,1650000000,1650000000,1650000000,1650000000,829
1525474800000000000,1680000000,1680000000,1680000000,1680000000,1521
1525690800000000000,1560000000,1560000000,1550000000,1550000000,200
1525698000000000000,1540000000,1600000000,1520000000,1600000000,43906
1525701600000000000,1590000000,1600000000,1575000000,1590000000,29932
1525705200000000000,1585000000,1620000000,1585000000,1620000000,7706
1525708800000000000,1620000000,1630000000,1615000000,1630000000,27606
1525712400000000000,1630000000,1630000000,1615000000,1615000000,20377
1525716000000000000,1610000000,1620000000,1595000000,1600000000,6559
1525719600000000000,1600000000,1620000000,1590000000,1590000000,9605
1525723200000000000,1590000000,1600000000,1590000000,1600000000,7820
1525780800000000000,1520000000,1520000000,1520000000,1520000000,100
1525784400000000000,1560000000,1580000000,1500000000,1540000000,58118
1525788000000000000,1540000000,1540000000,1480000000,1520000000,57112
1525791600000000000,1520000000,1520000000,1490000000,1520000000,44896
1525795200000000000,1530000000,1530000000,1500000000,1510000000,14924
1525798800000000000,1510000000,1520000000,1500000000,1500000000,16233
1525802400000000000,1500000000,1500000000,1450000000,1490000000,28985
1525806000000000000,1480000000,1500000000,1460000000,1460000000,80520
1525809600000000000,1450000000,1450000000,1450000000,1450000000,11097
1525813200000000000,1490000000,1500000000,1490000000,1500000000,307
1525870800000000000,1480000000,1490000000,1480000000,1490000000,21211
1525874400000000000,1490000000,1540000000,1490000000,1490000000,19527
1525878000000000000,1490000000,1535000000,1490000000,1520000000,24135
1525881600000000000,1520000000,1570000000,1510000000,1540000000,27349
1525885200000000000,1550000000,1580000000,1510000000,1510000000,27144
1525888800000000000,1530000000,1530000000,1510000000,1520000000,2068
1525892400000000000,1530000000,1540000000,1490000000,1500000000,31218
1525896000000000000,1510000000,1520000000,1490000000,1490000000,3022
1525899600000000000,1490000000,1490000000,1490000000,1490000000,700
1525906800000000000,1550000000,1550000000,1550000000,1550000000,100
1525953600000000000,1560000000,1560000000,1560000000,1560000000,100
1525957200000000000,1510000000,1540000000,1510000000,1530000000,42989
1525960800000000000,1520000000,1530000000,1470000000,1490000000,33363
1525964400000000000,1490000000,1500000000,1470000000,1470000000,12539
1525968000000000000,1460000000,1480000000,1460000000,1470000000,2813
1525971600000000000,1470000000,1470000000,1450000000,1460000000,19587
1525975200000000000,1450000000,1450000000,1410000000,1410000000,27857
1525978800000000000,1410000000,1440000000,1400000000,1430000000,17512
1525982400000000000,1430000000,1430000000,1420000000,1420000000,891
1525986000000000000,1460000000,1460000000,1460000000,1460000000,146
1525989600000000000,1460000000,1460000000,1460000000,1460000000,77
1525993200000000000,1460000000,1460000000,1460000000,1460000000,322
1526036400000000000,1420000000,1420000000,1420000000,1420000000,2059
1526040000000000000,1370000000,1370000000,1270000000,1360000000,857
1526043600000000000,1340000000,1400000000,1320000000,1380000000,63738
1526047200000000000,1390000000,1400000000,1380000000,1380000000,9663
1526050800000000000,1380000000,1380000000,1360000000,1370000000,9783
1526054400000000000,1370000000,1370000000,1370000000,1370000000,600
1526058000000000000,1380000000,1380000000,1380000000,1380000000,2495
1526061600000000000,1380000000,1390000000,1380000000,1390000000,18400
1526065200000000000,1390000000,1390000000,1380000000,1385000000,9922
1526068800000000000,1370000000,1380000000,1370000000,1380000000,8450
1526302800000000000,1350000000,1380000000,1320000000,1360000000,34733
1526306400000000000,1360000000,1440000000,1360000000,1400000000,63399
1526310000000000000,1400000000,1420000000,1380000000,1380000000,21604
1526313600000000000,1390000000,1400000000,1390000000,1390000000,5749
1526317200000000000,1390000000,1400000000,1380000000,1400000000,13818
1526320800000000000,1410000000,1420000000,1400000000,1410000000,2165
1526324400000000000,1410000000,1430000000,1380000000,1410000000,32433
1526328000000000000,1440000000,1440000000,1440000000,1440000000,1712
1526385600000000000,1440000000,1440000000,1440000000,1440000000,100
1526389200000000000,1410000000,1430000000,1400000000,1400000000,18449
1526392800000000000,1410000000,1410000000,1390000000,1395000000,15295
1526396400000000000,1390000000,1390000000,1390000000,1390000000,17670
1526400000000000000,1395000000,1395000000,1390000000,1390000000,1450
1526403600000000000,1390000000,1400000000,1390000000,1400000000,3013
1526407200000000000,1400000000,1410000000,1400000000,1405000000,400
1526410800000000000,1395000000,1400000000,1390000000,1400000000,9346
1526414400000000000,1390000000,1440000000,1380000000,1440000000,8047
1526418000000000000,1450000000,1640000000,1420000000,1420000000,24564
1526468400000000000,1400000000,1400000000,1310000000,1310000000,1178
1526472000000000000,1370000000,1370000000,1370000000,1370000000,200
1526475600000000000,1370000000,1390000000,1340000000,1350000000,20579
1526479200000000000,1360000000,1370000000,1360000000,1370000000,3581
1526482800000000000,1365000000,1365000000,1350000000,1350000000,3436
1526486400000000000,1360000000,1375000000,1360000000,1370000000,2136
1526490000000000000,1365000000,1370000000,1360000000,1360000000,1950
1526493600000000000,1370000000,1385000000,1370000000,1385000000,5958
1526497200000000000,1380000000,1420000000,1380000000,1410000000,36613
1526500800000000000,1400000000,1400000000,1400000000,1400000000,546
1526562000000000000,1410000000,1410000000,1380000000,1390000000,8334
1526565600000000000,1390000000,1410000000,1390000000,1410000000,4885
1526569200000000000,1410000000,1430000000,1405000000,1415000000,14561
1526572800000000000,1415000000,1420000000,1415000000,1420000000,900
1526576400000000000,1430000000,1440000000,1430000000,1430000000,13131
1526580000000000000,1430000000,1435000000,1430000000,1430000000,9601
1526583600000000000,1430000000,1560000000,1430000000,1470000000,85581
1526587200000000000,1480000000,1480000000,1480000000,1480000000,680
1526641200000000000,1430000000,1430000000,1400000000,1400000000,400
1526648400000000000,1440000000,1480000000,1430000000,1440000000,10810
1526652000000000000,1450000000,1470000000,1450000000,1460000000,5398
1526655600000000000,1460000000,1470000000,1460000000,1470000000,2335
1526659200000000000,1470000000,1490000000,1470000000,1490000000,11650
1526662800000000000,1490000000,1515000000,1490000000,1515000000,10743
1526666400000000000,1510000000,1520000000,1495000000,1505000000,14905
1526670000000000000,1500000000,1520000000,1470000000,1470000000,17586
1526673600000000000,1470000000,1470000000,1460000000,1460000000,4720
1526900400000000000,1490000000,1490000000,1490000000,1490000000,200
1526904000000000000,1490000000,1490000000,1430000000,1430000000,1730
1526907600000000000,1430000000,1460000000,1410000000,1460000000,13955
1526911200000000000,1470000000,1470000000,1420000000,1440000000,8998
1526914800000000000,1440000000,1445000000,1440000000,1440000000,5988
1526922000000000000,1430000000,1430000000,1430000000,1430000000,6637
1526925600000000000,1430000000,1435000000,1430000000,1435000000,800
1526929200000000000,1430000000,1435000000,1395000000,1395000000,27787
1526932800000000000,1390000000,1390000000,1390000000,1390000000,48
1526936400000000000,1410000000,1410000000,1410000000,1410000000,273
1526940000000000000,1420000000,1420000000,1420000000,1420000000,500
1526994000000000000,1380000000,1380000000,1330000000,1330000000,42328
1526997600000000000,1330000000,1355000000,1330000000,1350000000,12621
1527001200000000000,1355000000,1355000000,1355000000,1355000000,233
1527004800000000000,1350000000,1350000000,1350000000,1350000000,340
1527008400000000000,1355000000,1355000000,1355000000,1355000000,200
1527012000000000000,1350000000,1350000000,1345000000,1345000000,19877
1527015600000000000,1350000000,1350000000,1340000000,1340000000,12093
1527019200000000000,1350000000,1350000000,1350000000,1350000000,150
1527022800000000000,1340000000,1340000000,1320000000,1320000000,1501
1527076800000000000,1290000000,1290000000,1290000000,1290000000,200
1527080400000000000,1290000000,1310000000,1270000000,1280000000,14261
1527084000000000000,1280000000,1300000000,1270000000,1290000000,25921
1527087600000000000,1280000000,1280000000,1280000000,1280000000,17298
1527091200000000000,1275000000,1275000000,1260000000,1260000000,30618
1527094800000000000,1260000000,1260000000,1260000000,1260000000,800
1527098400000000000,1275000000,1280000000,1275000000,1280000000,3845
1527102000000000000,1285000000,1310000000,1285000000,1300000000,5820
1527105600000000000,1290000000,1290000000,1290000000,1290000000,150
1527166800000000000,1300000000,1310000000,1270000000,1290000000,12375
1527170400000000000,1280000000,1300000000,1270000000,1280000000,4555
1527174000000000000,1285000000,1290000000,1285000000,1285000000,929
1527177600000000000,1285000000,1285000000,1285000000,1285000000,2
1527181200000000000,1280000000,1280000000,1280000000,1280000000,26153
1527184800000000000,1280000000,1300000000,1280000000,1300000000,1903
1527188400000000000,1295000000,1300000000,1290000000,1290000000,7010
1527195600000000000,1280000000,1280000000,1280000000,1280000000,69
1527253200000000000,1300000000,1330000000,1300000000,1330000000,10341
1527256800000000000,1340000000,1340000000,1320000000,1320000000,9438
1527267600000000000,1310000000,1310000000,1300000000,1300000000,4100
1527271200000000000,1295000000,1295000000,1295000000,1295000000,200
1527274800000000000,1295000000,1295000000,1295000000,1295000000,1000
1527278400000000000,1300000000,1300000000,1300000000,1300000000,265
1527595200000000000,1320000000,1350000000,1320000000,1350000000,2500
1527598800000000000,1350000000,1350000000,1310000000,1310000000,15817
1527602400000000000,1320000000,1330000000,1310000000,1330000000,4510
1527606000000000000,1330000000,1330000000,1320000000,1320000000,700
1527613200000000000,1310000000,1310000000,1310000000,1310000000,3202
1527620400000000000,1310000000,1320000000,1310000000,1320000000,1880
1527624000000000000,1320000000,1320000000,1320000000,1320000000,6300
1527685200000000000,1330000000,1330000000,1310000000,1320000000,2517
1527688800000000000,1300000000,1320000000,1300000000,1320000000,7378
1527692400000000000,1320000000,1320000000,1320000000,1320000000,400
1527696000000000000,1310000000,1310000000,1310000000,1310000000,5586
1527703200000000000,1300000000,1300000000,1300000000,1300000000,79
1527706800000000000,1300000000,1300000000,1280000000,1290000000,14420
1527768000000000000,1300000000,1300000000,1300000000,1300000000,405
1527771600000000000,1300000000,1300000000,1280000000,1280000000,14075
1527775200000000000,1280000000,1290000000,1280000000,1290000000,4872
1527778800000000000,1295000000,1300000000,1295000000,1300000000,9519
1527786000000000000,1305000000,1310000000,1300000000,1310000000,3500
1527789600000000000,1310000000,1345000000,1310000000,1330000000,38426
1527793200000000000,1340000000,1410000000,1340000000,1380000000,36127
1527796800000000000,1390000000,1390000000,1360000000,1360000000,4284
1527858000000000000,1380000000,1380000000,1330000000,1330000000,11623
1527861600000000000,1330000000,1345000000,1330000000,1340000000,1047
1527865200000000000,1340000000,1340000000,1340000000,1340000000,1525
1527868800000000000,1330000000,1360000000,1330000000,1360000000,11618
1527872400000000000,1360000000,1360000000,1360000000,1360000000,700
1527876000000000000,1350000000,1350000000,1350000000,1350000000,1000
1527879600000000000,1345000000,1350000000,1345000000,1345000000,2080
1527883200000000000,1350000000,1350000000,1350000000,1350000000,1264
1527894000000000000,1380000000,1380000000,1380000000,1380000000,66
1528117200000000000,1360000000,1360000000,1350000000,1350000000,14424
1528120800000000000,1360000000,1360000000,1340000000,1340000000,14808
1528124400000000000,1340000000,1340000000,1330000000,1330000000,1025
1528128000000000000,1330000000,1330000000,1310000000,1310000000,3691
1528131600000000000,1310000000,1310000000,1295000000,1295000000,2260
1528135200000000000,1290000000,1290000000,1280000000,1285000000,3816
1528138800000000000,1285000000,1285000000,1260000000,1270000000,21929
1528142400000000000,1280000000,1280000000,1270000000,1270000000,2600
1528146000000000000,1280000000,1280000000,1280000000,1280000000,2102
1528153200000000000,1280000000,1280000000,1280000000,1280000000,1798
1528203600000000000,1270000000,1270000000,1250000000,1260000000,7803
1528207200000000000,1270000000,1275000000,1260000000,1270000000,11127
1528210800000000000,1280000000,1325000000,1280000000,1325000000,5986
1528214400000000000,1325000000,1325000000,1290000000,1310000000,9142
1528218000000000000,1310000000,1310000000,1310000000,1310000000,200
1528221600000000000,1320000000,1350000000,1310000000,1350000000,19667
1528225200000000000,1340000000,1360000000,1330000000,1330000000,18729
1528228800000000000,1330000000,1330000000,1330000000,1330000000,1240
1528232400000000000,1350000000,1350000000,1350000000,1350000000,100
1528290000000000000,1350000000,1350000000,1290000000,1310000000,21089
1528293600000000000,1330000000,1400000000,1330000000,1360000000,8647
1528297200000000000,1380000000,1380000000,1320000000,1350000000,14953
1528300800000000000,1350000000,1380000000,1340000000,1340000000,30048
1528304400000000000,1355000000,1355000000,1355000000,1355000000,100
1528308000000000000,1360000000,1380000000,1360000000,1380000000,7888
1528311600000000000,1380000000,1380000000,1335000000,1335000000,25122
1528315200000000000,1330000000,1330000000,1330000000,1330000000,2253
1528376400000000000,1330000000,1340000000,1330000000,1330000000,5647
1528380000000000000,1330000000,1330000000,1310000000,1310000000,12034
1528383600000000000,1310000000,1320000000,1310000000,1320000000,2433
1528387200000000000,1325000000,1335000000,1325000000,1335000000,603
1528390800000000000,1345000000,1345000000,1345000000,1345000000,200
1528394400000000000,1340000000,1340000000,1320000000,1320000000,969
1528398000000000000,1320000000,1320000000,1300000000,1300000000,16327
1528401600000000000,1310000000,1310000000,1310000000,1310000000,50
1528405200000000000,1290000000,1290000000,1290000000,1290000000,1680
1528459200000000000,1310000000,1350000000,1310000000,1350000000,1400
1528462800000000000,1330000000,1350000000,1300000000,1300000000,9298
1528466400000000000,1310000000,1310000000,1300000000,1300000000,860
1528470000000000000,1300000000,1300000000,1300000000,1300000000,1106
1528473600000000000,1300000000,1300000000,1300000000,1300000000,3800
1528480800000000000,1295000000,1295000000,1290000000,1290000000,785
1528484400000000000,1295000000,1295000000,1290000000,1290000000,1278
1528488000000000000,1290000000,1290000000,1290000000,1290000000,555
1528722000000000000,1260000000,1260000000,1210000000,1220000000,70011
1528725600000000000,1220000000,1220000000,1205000000,1220000000,32394
1528729200000000000,1220000000,1250000000,1220000000,1240000000,6268
1528732800000000000,1240000000,1240000000,1225000000,1230000000,3360
1528736400000000000,1240000000,1245000000,1230000000,1230000000,12850
1528740000000000000,1230000000,1230000000,1230000000,1230000000,2202
1528743600000000000,1235000000,1235000000,1200000000,1205000000,74602
1528747200000000000,1200000000,1230000000,1200000000,1230000000,2190
1528758000000000000,1230000000,1230000000,1230000000,1230000000,300
1528808400000000000,1230000000,1230000000,1220000000,1220000000,39177
1528812000000000000,1220000000,1220000000,1220000000,1220000000,5905
1528815600000000000,1230000000,1230000000,1230000000,1230000000,1100
1528819200000000000,1230000000,1230000000,1220000000,1220000000,17020
1528822800000000000,1210000000,1210000000,1210000000,1210000000,7974
1528830000000000000,1200000000,1200000000,1170000000,1175000000,11811
1528833600000000000,1170000000,1170000000,1170000000,1170000000,66
1528894800000000000,1180000000,1200000000,1180000000,1190000000,12207
1528898400000000000,1190000000,1190000000,1160000000,1170000000,27789
1528902000000000000,1170000000,1170000000,1170000000,1170000000,218
1528905600000000000,1180000000,1180000000,1180000000,1180000000,1100
1528909200000000000,1170000000,1175000000,1170000000,1175000000,3422
1528912800000000000,1170000000,1180000000,1170000000,1180000000,500
1528916400000000000,1180000000,1185000000,1180000000,1185000000,300
1528920000000000000,1190000000,1190000000,1190000000,1190000000,600
1528981200000000000,1190000000,1190000000,1160000000,1160000000,13436
1528984800000000000,1170000000,1180000000,1160000000,1180000000,10002
