ts_event,open,high,low,close,volume
1525132800000000000,39450000000,41000000000,38560000000,39630000000,2618416
1525219200000000000,39360000000,39490000000,37430000000,37800000000,4623605
1525305600000000000,37870000000,38120000000,37510000000,37700000000,2833238
1525392000000000000,37770000000,39300000000,37490000000,38910000000,4816421
1525651200000000000,39030000000,39160000000,38620000000,38700000000,2204463
1525737600000000000,38700000000,38700000000,38320000000,38550000000,2566554
1525824000000000000,38680000000,38950000000,38520000000,38920000000,2059454
1525910400000000000,38880000000,39180000000,38780000000,39180000000,1720893
1525996800000000000,39100000000,39350000000,38970000000,39230000000,2372528
1526256000000000000,39270000000,39460000000,39140000000,39220000000,1971594
1526342400000000000,39340000000,39710000000,39070000000,39540000000,3348725
1526428800000000000,39500000000,39710000000,39310000000,39680000000,2231311
1526515200000000000,39320000000,39820000000,39320000000,39550000000,1913216
1526601600000000000,39510000000,39675000000,38945000000,39590000000,4965285
1526860800000000000,39720000000,39900000000,39245000000,39420000000,2032406
1526947200000000000,39400000000,39770000000,39340000000,39350000000,2233318
1527033600000000000,39040000000,39630000000,39040000000,39450000000,2792306
1527120000000000000,39440000000,39630000000,39180000000,39590000000,1672524
1527206400000000000,39470000000,39830000000,39370000000,39830000000,1552396
1527552000000000000,39810000000,39810000000,38990000000,39330000000,2608328
1527638400000000000,39370000000,39940000000,39320000000,39760000000,1507563
1527724800000000000,39730000000,39750000000,39020000000,39300000000,3904756
1527811200000000000,39390000000,39855000000,39230000000,39460000000,2053555
1528070400000000000,39700000000,39860000000,39510000000,39780000000,1650440
1528156800000000000,39700000000,39800000000,39140000000,39250000000,2516791
1528243200000000000,39260000000,39530000000,38940000000,39500000000,2216004
1528329600000000000,39220000000,39570000000,39110000000,39320000000,2027400
1528416000000000000,39350000000,39840000000,39300000000,39780000000,2268892
1528675200000000000,39770000000,40350000000,39700000000,40230000000,2195408
1528761600000000000,40060000000,40510000000,39940000000,40360000000,2397216
1528848000000000000,40390000000,40510000000,39960000000,40060000000,2381028
1528934400000000000,40080000000,40580000000,39890000000,40400000000,2354029
1529020800000000000,40480000000,40975000000,40100000000,40850000000,7769302
1529280000000000000,40680000000,40790000000,39980000000,40100000000,3326332
1529366400000000000,39850000000,40580000000,39580000000,40340000000,3537979
1529452800000000000,40380000000,40800000000,40045000000,40660000000,1990687
1529539200000000000,40590000000,40830000000,40450000000,40740000000,2598789
1529625600000000000,40820000000,41400000000,40735000000,41290000000,3567047
1529884800000000000,41330000000,41690000000,41035000000,41450000000,2803282
1529971200000000000,41510000000,41570000000,41010000000,41270000000,1507484
1530057600000000000,40930000000,41480000000,40735000000,41000000000,2250194
1530144000000000000,40800000000,41250000000,40750000000,40900000000,1942227
1530230400000000000,40750000000,41360000000,40700000000,41060000000,3562144
1530489600000000000,40930000000,41030000000,40520000000,40860000000,1639628
1530576000000000000,41060000000,41200000000,40760000000,40810000000,1105711
1530748800000000000,40980000000,41890000000,40980000000,41810000000,2970239
1530835200000000000,41870000000,42590000000,41860000000,42270000000,3633493
1531094400000000000,42370000000,42505000000,42030000000,42170000000,1432000
1531180800000000000,42240000000,42320000000,41980000000,42080000000,1608946
1531267200000000000,41910000000,42280000000,41910000000,42250000000,1381653
1531353600000000000,42280000000,42590000000,42190000000,42560000000,1916783
1531440000000000000,42430000000,42840000000,42370000000,42830000000,1574613
1531699200000000000,42860000000,42860000000,42130000000,42300000000,2133760
1531785600000000000,42250000000,42950000000,42060000000,42830000000,2458325
1531872000000000000,42760000000,42780000000,42075000000,42130000000,2218117
1531958400000000000,42080000000,42505000000,41910000000,42020000000,2139767
1532044800000000000,42280000000,42550000000,42090000000,42450000000,2257220
1532304000000000000,42370000000,42370000000,41500000000,41680000000,1824212
1532390400000000000,41570000000,41790000000,41080000000,41520000000,2401485
1532476800000000000,41500000000,43700000000,39400000000,43000000000,2669390
1532563200000000000,43070000000,43640000000,42870000000,43200000000,4003328
1532649600000000000,43270000000,43500000000,42815000000,42900000000,2561310
1532908800000000000,42830000000,43190000000,42680000000,43110000000,1889887
1532995200000000000,43010000000,43620000000,42890000000,43620000000,2473317
1533081600000000000,43270000000,43320000000,42800000000,42830000000,2054553
1533168000000000000,42570000000,43430000000,42550000000,43400000000,2153223
1533254400000000000,43500000000,44230000000,43260000000,43600000000,2475440
1533513600000000000,43730000000,43770000000,43180000000,43180000000,1689532
1533600000000000000,43260000000,43270000000,42650000000,42650000000,1774420
1533686400000000000,42930000000,43020000000,41970000000,41970000000,1579881
1533772800000000000,42490000000,42550000000,42115000000,42120000000,1448329
1533859200000000000,42060000000,42235000000,41860000000,42000000000,1560782
1534118400000000000,41970000000,42090000000,41680000000,41880000000,1331912
1534204800000000000,41970000000,42220000000,41790000000,41790000000,1281474
1534291200000000000,41620000000,41930000000,41540000000,41810000000,1650094
1534377600000000000,41930000000,42310000000,41780000000,42110000000,1813936
1534464000000000000,42010000000,42820000000,42010000000,42710000000,1957284
1534723200000000000,42750000000,43145000000,42690000000,42940000000,1705878
1534809600000000000,42900000000,43020000000,42100000000,42100000000,1466393
1534896000000000000,42450000000,42500000000,41940000000,42260000000,1033419
1534982400000000000,42070000000,42400000000,41910000000,42170000000,2190330
1535068800000000000,42140000000,42575000000,42050000000,42390000000,1601055
