ts_event,open,high,low,close,volume
1625011200000000000,15100000000,15180000000,15050000000,15130000000,85440
1625097600000000000,15510000000,15560000000,14840000000,14900000000,18646
1625184000000000000,15630000000,15640000000,14930000000,15030000000,44193
1625529600000000000,15500000000,16000000000,14880000000,15000000000,122099
1625616000000000000,15200000000,15250000000,14840000000,14900000000,65025
1625702400000000000,14890000000,14890000000,14230000000,14740000000,31278
1625788800000000000,14770000000,15650000000,14750000000,14950000000,31664
1626048000000000000,15100000000,15640000000,14870000000,15160000000,59735
1626134400000000000,15200000000,15400000000,14860000000,14920000000,48632
1626220800000000000,15100000000,15100000000,14730000000,14930000000,29949
1626307200000000000,14760000000,15000000000,14410000000,14550000000,31580
1626393600000000000,14540000000,14700000000,14330000000,14380000000,18676
1626652800000000000,14380000000,14380000000,14030000000,14350000000,21424
1626739200000000000,14410000000,14680000000,14240000000,14490000000,18481
1626825600000000000,14500000000,14800000000,14470000000,14800000000,10553
1626912000000000000,14670000000,14900000000,14640000000,14890000000,14990
1626998400000000000,14710000000,14980000000,14710000000,14920000000,15827
1627257600000000000,14800000000,14800000000,14600000000,14700000000,21573
1627344000000000000,14710000000,14710000000,14130000000,14480000000,17248
1627430400000000000,14360000000,14780000000,14360000000,14780000000,9400
1627516800000000000,14900000000,14900000000,14580000000,14580000000,22829
1627603200000000000,14400000000,14700000000,14360000000,14580000000,9956
1627862400000000000,14700000000,14780000000,14540000000,14700000000,13331
1627948800000000000,14600000000,14610000000,14400000000,14570000000,18844
1628035200000000000,14600000000,14990000000,14410000000,14730000000,16115
1628121600000000000,14730000000,14920000000,14560000000,14750000000,36177
1628208000000000000,14730000000,14890000000,14580000000,14680000000,18466
1628467200000000000,14650000000,14900000000,14640000000,14830000000,20163
1628553600000000000,14820000000,14960000000,14610000000,14670000000,27250
1628640000000000000,14670000000,14800000000,14510000000,14670000000,54637
1628726400000000000,14700000000,14800000000,14600000000,14710000000,9617
1628812800000000000,14750000000,14820000000,14670000000,14800000000,14061
1629072000000000000,15470000000,15470000000,14420000000,14510000000,15693
1629158400000000000,14440000000,14480000000,14205000000,14230000000,14997
1629244800000000000,14800000000,14800000000,14250000000,14300000000,19405
