ts_event,open,high,low,close,volume
1525132800000000000,19880000000,20360000000,19800000000,20360000000,971346
1525219200000000000,20310000000,20630000000,20230000000,20510000000,1195357
1525305600000000000,20220000000,20880000000,19430000000,20840000000,3697599
1525392000000000000,20700000000,21310000000,20550000000,21250000000,1934309
1525651200000000000,21500000000,21500000000,20745000000,20800000000,2242289
1525737600000000000,20780000000,21150000000,20710000000,21060000000,1980858
1525824000000000000,21020000000,21420000000,21020000000,21300000000,1721267
1525910400000000000,21430000000,21450000000,21215000000,21440000000,1212650
1525996800000000000,21310000000,21390000000,20820000000,21020000000,1883822
1526256000000000000,21820000000,22710000000,21670000000,21930000000,5331808
1526342400000000000,21800000000,21860000000,21410000000,21530000000,1841187
1526428800000000000,21790000000,21890000000,21480000000,21850000000,2517308
1526515200000000000,21800000000,22120000000,21570000000,21630000000,1661871
1526601600000000000,21490000000,21680000000,21290000000,21420000000,1266239
1526860800000000000,21870000000,22020000000,21360000000,21440000000,2418291
1526947200000000000,21620000000,22085000000,21500000000,21920000000,1603625
1527033600000000000,21830000000,22085000000,21720000000,22050000000,1635263
1527120000000000000,22150000000,22500000000,21765000000,22400000000,1186731
1527206400000000000,22450000000,22750000000,22160000000,22490000000,4226968
1527552000000000000,22260000000,22540000000,21790000000,21970000000,1746015
1527638400000000000,22170000000,22180000000,21580000000,22090000000,2501411
1527724800000000000,22120000000,22120000000,21290000000,21690000000,4429648
1527811200000000000,21530000000,22670000000,21530000000,22150000000,2240711
1528070400000000000,22450000000,22460000000,21820000000,22030000000,1908346
1528156800000000000,22200000000,22320000000,21810000000,22300000000,1914287
1528243200000000000,22060000000,22130000000,21735000000,22110000000,1325071
1528329600000000000,22500000000,22950000000,22180000000,22200000000,3241270
1528416000000000000,21850000000,21980000000,21360000000,21750000000,2249581
1528675200000000000,21710000000,21910000000,21270000000,21370000000,2886971
1528761600000000000,21380000000,21640000000,21320000000,21610000000,1337281
1528848000000000000,21690000000,22090000000,21610000000,22000000000,4572824
1528934400000000000,22040000000,22700000000,21480000000,22650000000,1737168
1529020800000000000,21980000000,21980000000,21565000000,21910000000,2899340
1529280000000000000,21730000000,21820000000,21445000000,21770000000,1682636
1529366400000000000,21320000000,21540000000,20775000000,21320000000,3684681
1529452800000000000,21440000000,21970000000,21355000000,21800000000,1447853
1529539200000000000,21940000000,22090000000,21225000000,21240000000,1281296
1529625600000000000,21390000000,21430000000,20935000000,21310000000,2444368
1529884800000000000,20980000000,21020000000,19985000000,20170000000,2157437
1529971200000000000,20290000000,20470000000,19810000000,20450000000,2317942
1530057600000000000,20730000000,20900000000,20120000000,20120000000,2967468
1530144000000000000,22400000000,22800000000,21100000000,21810000000,6751566
1530230400000000000,21710000000,22050000000,21370000000,21400000000,3869255
1530489600000000000,21120000000,21490000000,20760000000,21450000000,2396900
1530576000000000000,21600000000,21600000000,20920000000,21110000000,3078737
1530748800000000000,21170000000,21360000000,20930000000,21340000000,3125720
1530835200000000000,21500000000,21745000000,21130000000,21630000000,2399717
1531094400000000000,22000000000,22030000000,21550000000,22010000000,3576118
1531180800000000000,22260000000,22915000000,22220000000,22500000000,11014560
1531267200000000000,22150000000,22450000000,21725000000,21740000000,4169346
1531353600000000000,21910000000,22260000000,21750000000,22140000000,3240745
1531440000000000000,22220000000,22220000000,21730000000,21860000000,2020127
1531699200000000000,21860000000,21970000000,21130000000,21200000000,3378589
1531785600000000000,21070000000,21770000000,20930000000,21700000000,2324854
1531872000000000000,21700000000,21900000000,21375000000,21580000000,1579823
1531958400000000000,21570000000,21735000000,21295000000,21700000000,3610199
1532044800000000000,21650000000,22115000000,21460000000,21840000000,1973625
1532304000000000000,21800000000,21900000000,21345000000,21740000000,2733083
1532390400000000000,21990000000,22190000000,21450000000,21550000000,2635015
1532476800000000000,21520000000,21790000000,21200000000,21660000000,1711947
1532563200000000000,21650000000,22200000000,21650000000,22200000000,2365183
1532649600000000000,22050000000,22360000000,21550000000,21670000000,2788839
1532908800000000000,21790000000,21800000000,20990000000,21240000000,1305242
1532995200000000000,21400000000,21620000000,21050000000,21310000000,2440223
1533081600000000000,21300000000,21610000000,21090000000,21200000000,2272362
1533168000000000000,21050000000,21570000000,20970000000,21570000000,1490118
1533254400000000000,21120000000,21635000000,21120000000,21360000000,2269901
1533513600000000000,21560000000,21870000000,21240000000,21870000000,1098355
1533600000000000000,21950000000,22180000000,21880000000,22000000000,1512377
1533686400000000000,22120000000,22250000000,21995000000,22100000000,1109560
1533772800000000000,22020000000,22050000000,21680000000,21690000000,952767
1533859200000000000,21200000000,21340000000,20810000000,20910000000,1756754
1534118400000000000,20910000000,21080000000,20770000000,20790000000,1676562
1534204800000000000,20860000000,20910000000,20475000000,20490000000,1589190
1534291200000000000,20260000000,20410000000,19895000000,20090000000,2581296
1534377600000000000,20300000000,20400000000,20060000000,20270000000,1666592
1534464000000000000,20080000000,20120000000,19720000000,19780000000,3020103
1534723200000000000,19870000000,20090000000,19490000000,19840000000,2794725
1534809600000000000,19960000000,20390000000,19860000000,20300000000,1733344
1534896000000000000,20210000000,20550000000,20140000000,20440000000,1374249
1534982400000000000,20460000000,20645000000,20215000000,20370000000,1538047
1535068800000000000,20740000000,20740000000,20330000000,20490000000,1099521
1535328000000000000,20720000000,20920000000,20480000000,20490000000,1955891
1535414400000000000,20520000000,20670000000,20360000000,20590000000,2033871
1535500800000000000,20610000000,21235000000,20550000000,21150000000,1969484
1535587200000000000,21090000000,21150000000,20770000000,20850000000,1218706
1535673600000000000,20880000000,21080000000,20620000000,20680000000,1969598
1536019200000000000,20580000000,20885000000,20440000000,20860000000,2171326
1536105600000000000,20700000000,20720000000,20400000000,20500000000,2422165
1536192000000000000,20590000000,21500000000,19070000000,20850000000,3744481
1536278400000000000,21000000000,21450000000,19280000000,19440000000,6754624
1536537600000000000,19600000000,19620000000,18830000000,18980000000,4434969
1536624000000000000,18580000000,19130000000,18560000000,18800000000,3212547
1536710400000000000,18700000000,18700000000,18170000000,18180000000,2716853
1536796800000000000,18360000000,18665000000,18130000000,18540000000,2859366
1536883200000000000,18560000000,19070000000,18470000000,18990000000,3572235
1537142400000000000,18720000000,18860000000,18070000000,18070000000,2133454
1537228800000000000,18600000000,18700000000,18360000000,18630000000,3972118
1537315200000000000,18740000000,18930000000,18310000000,18460000000,2818486
1537401600000000000,18510000000,19000000000,18490000000,19000000000,2678529
1537488000000000000,18750000000,18920000000,18560000000,18850000000,5783867
1537747200000000000,18680000000,18890000000,18520000000,18880000000,2226906
1537833600000000000,18900000000,18980000000,18490000000,18670000000,2616924
1537920000000000000,18520000000,18720000000,18350000000,18490000000,2165001
1538006400000000000,18560000000,18970000000,18420000000,18950000000,2431353
1538092800000000000,18750000000,19300000000,18640000000,19300000000,3938214
1538352000000000000,19390000000,19485000000,19120000000,19230000000,2605854
1538438400000000000,19210000000,19635000000,19190000000,19500000000,2633851
1538524800000000000,19500000000,19620000000,19140000000,19580000000,2999926
1538611200000000000,19450000000,19640000000,19155000000,19390000000,2276855
1538697600000000000,19220000000,19420000000,18330000000,18790000000,2681929
1538956800000000000,18980000000,18980000000,18080000000,18270000000,2762416
1539043200000000000,18250000000,18660000000,18000000000,18430000000,4081407
1539129600000000000,18350000000,18380000000,17010000000,17010000000,4051194
1539216000000000000,17740000000,18190000000,17200000000,18100000000,5252138
1539302400000000000,18220000000,18490000000,17840000000,18150000000,3141931
1539561600000000000,17890000000,18475000000,17890000000,18200000000,2650621
1539648000000000000,18490000000,19240000000,18290000000,19240000000,5351435
1539734400000000000,19010000000,19070000000,18385000000,18970000000,3078727
1539820800000000000,18740000000,18870000000,17965000000,18100000000,2678383
1539907200000000000,18200000000,18440000000,17575000000,17750000000,2041307
1540166400000000000,17910000000,18070000000,17410000000,17970000000,3219665
1540252800000000000,17880000000,17900000000,17100000000,17270000000,3789383
1540339200000000000,17270000000,17440000000,16530000000,17060000000,3118724
1540425600000000000,17080000000,17160000000,16500000000,16500000000,4290073
1540512000000000000,16490000000,16490000000,15340000000,15840000000,5712133
1540771200000000000,15830000000,16205000000,15310000000,15600000000,2580615
1540857600000000000,15620000000,16140000000,15480000000,15640000000,3073567
1540944000000000000,16270000000,16620000000,16180000000,16410000000,2263262
1541030400000000000,16440000000,17660000000,16440000000,17020000000,3628845
1541116800000000000,17840000000,17840000000,16880000000,17600000000,2812010
1541376000000000000,17440000000,17540000000,16980000000,17280000000,1949029
1541462400000000000,17090000000,17270000000,16735000000,16860000000,2758089
1541548800000000000,16980000000,17170000000,16570000000,16930000000,2533700
1541635200000000000,16640000000,16930000000,16605000000,16890000000,2510963
1541721600000000000,16600000000,16600000000,16185000000,16390000000,2166690
1541980800000000000,16220000000,16220000000,15570000000,15790000000,2093101
1542067200000000000,15810000000,16145000000,15620000000,15980000000,2976204
1542153600000000000,15790000000,16080000000,15590000000,15820000000,2076460
1542240000000000000,15750000000,16370000000,15570000000,15900000000,3453677
1542326400000000000,15750000000,16090000000,15630000000,15970000000,2859164
1542585600000000000,15770000000,15900000000,15150000000,15270000000,2632909
