ts_event,open,high,low,close,volume
1525161600000000000,94460000000,94460000000,94460000000,94460000000,2
1525172400000000000,93520000000,93520000000,93400000000,93400000000,499
1525176000000000000,93400000000,93520000000,93390000000,93510000000,1304
1525179600000000000,93540000000,93680000000,92790000000,93640000000,922115
1525183200000000000,93630000000,94210000000,93330000000,93940000000,1410619
1525186800000000000,93930000000,94030000000,93455000000,93520000000,828077
1525190400000000000,93510000000,94070000000,93510000000,94010000000,905075
1525194000000000000,94010000000,94530000000,93730000000,94530000000,712018
1525197600000000000,94530000000,94940000000,94490000000,94860000000,698163
1525201200000000000,94870000000,95290000000,94660000000,94980000000,1984366
1525204800000000000,94980000000,95500000000,94650000000,95350000000,2462637
1525208400000000000,95340000000,95340000000,95100000000,95150000000,10572
1525212000000000000,95250000000,95250000000,95250000000,95250000000,15
1525215600000000000,95310000000,95330000000,95310000000,95330000000,117
1525248000000000000,95250000000,95300000000,95250000000,95250000000,380
1525251600000000000,95380000000,95590000000,95230000000,95590000000,1530
1525258800000000000,95320000000,95320000000,95180000000,95180000000,520
1525262400000000000,95200000000,95200000000,94750000000,94870000000,4781
1525266000000000000,94900000000,95170000000,94260000000,94290000000,1158254
1525269600000000000,94300000000,94650000000,94010000000,94150000000,948437
1525273200000000000,94150000000,94330000000,93440000000,93810000000,831213
1525276800000000000,93800000000,94270000000,93620000000,94050000000,585106
1525280400000000000,94050000000,94470000000,94040000000,94140000000,410750
1525284000000000000,94150000000,94790000000,93910000000,94000000000,730995
1525287600000000000,94010000000,94355000000,93190000000,93510000000,1992887
1525291200000000000,93510000000,93600000000,93110000000,93110000000,2813805
1525294800000000000,93200000000,93460000000,93200000000,93450000000,810
1525298400000000000,93450000000,93450000000,93440000000,93440000000,850
1525302000000000000,93330000000,93470000000,93330000000,93470000000,984
1525334400000000000,93510000000,93800000000,93500000000,93500000000,47
1525341600000000000,93510000000,93510000000,93500000000,93500000000,2
1525345200000000000,93780000000,93780000000,93200000000,93200000000,4873
1525348800000000000,93100000000,93320000000,93000000000,93160000000,4408
1525352400000000000,93200000000,94050000000,92700000000,94010000000,1114294
1525356000000000000,94010000000,94040000000,92450000000,92670000000,1259139
1525359600000000000,92670000000,93360000000,92500000000,93210000000,1043586
1525363200000000000,93210000000,94230000000,92830000000,94150000000,950065
1525366800000000000,94150000000,94375000000,93700000000,94160000000,970061
1525370400000000000,94180000000,94925000000,94050000000,94370000000,1011934
1525374000000000000,94370000000,94740000000,93840000000,94080000000,1707196
1525377600000000000,94070000000,94410000000,94060000000,94300000000,3086593
1525381200000000000,94250000000,94260000000,94170000000,94260000000,318
1525384800000000000,94340000000,94400000000,94250000000,94250000000,536
1525388400000000000,94300000000,94400000000,94300000000,94400000000,713
1525420800000000000,94150000000,94210000000,94150000000,94210000000,72
1525424400000000000,94290000000,94290000000,94160000000,94160000000,206
1525431600000000000,94070000000,94070000000,93910000000,93910000000,1206
1525435200000000000,94000000000,94010000000,93690000000,93690000000,3487
1525438800000000000,93880000000,93890000000,92920000000,93570000000,982754
1525442400000000000,93570000000,94900000000,93380000000,94800000000,915440
1525446000000000000,94820000000,95110000000,94650000000,94860000000,737548
1525449600000000000,94870000000,95115000000,94800000000,94910000000,390048
1525453200000000000,94910000000,95090000000,94780000000,95020000000,373315
1525456800000000000,95020000000,95365000000,94960000000,95130000000,597068
1525460400000000000,95140000000,95340000000,94880000000,95160000000,1428217
1525464000000000000,95160000000,95320000000,95010000000,95320000000,1836337
1525467600000000000,95340000000,95340000000,95170000000,95170000000,71
1525471200000000000,95270000000,95270000000,95130000000,95200000000,180
1525474800000000000,95290000000,95290000000,95290000000,95290000000,100
1525680000000000000,95400000000,95400000000,95400000000,95400000000,40
1525683600000000000,95480000000,95480000000,95480000000,95480000000,42
1525687200000000000,95730000000,95730000000,95730000000,95730000000,12
1525690800000000000,95560000000,95680000000,95560000000,95680000000,1773
1525694400000000000,95660000000,95770000000,95510000000,95510000000,3573
1525698000000000000,95510000000,96280000000,95100000000,96050000000,1242890
1525701600000000000,96050000000,96260000000,95790000000,96140000000,638127
1525705200000000000,96140000000,96550000000,95940000000,96480000000,635408
1525708800000000000,96490000000,96610000000,96260000000,96450000000,462345
1525712400000000000,96460000000,96700000000,96270000000,96610000000,425699
1525716000000000000,96600000000,96680000000,96110000000,96260000000,498447
1525719600000000000,96250000000,96370000000,95670000000,96230000000,1193934
1525723200000000000,96220000000,96320000000,96150000000,96300000000,1715673
1525734000000000000,96030000000,96100000000,96010000000,96080000000,2041
1525766400000000000,96220000000,96220000000,96220000000,96220000000,50
1525770000000000000,96010000000,96010000000,96010000000,96010000000,184
1525773600000000000,96010000000,96010000000,95900000000,95900000000,157
1525777200000000000,96000000000,96000000000,95900000000,95920000000,313
1525780800000000000,95800000000,96130000000,95800000000,96110000000,5731
1525784400000000000,96130000000,96150000000,95210000000,95450000000,950161
1525788000000000000,95460000000,95950000000,95360000000,95630000000,655054
1525791600000000000,95630000000,96160000000,95510000000,95640000000,627814
1525795200000000000,95640000000,95710000000,95120000000,95200000000,434835
1525798800000000000,95200000000,95750000000,95150000000,95570000000,451704
1525802400000000000,95580000000,96100000000,95070000000,95380000000,802383
1525806000000000000,95380000000,95840000000,95280000000,95840000000,1192074
1525809600000000000,95810000000,95880000000,95700000000,95700000000,2377075
1525813200000000000,95760000000,95790000000,95760000000,95790000000,94
1525820400000000000,95800000000,95800000000,95800000000,95800000000,4
1525852800000000000,95040000000,95040000000,95040000000,95040000000,2
1525863600000000000,96250000000,96250000000,96250000000,96250000000,103
1525867200000000000,96050000000,96100000000,96050000000,96050000000,1725
1525870800000000000,96050000000,96380000000,95430000000,95500000000,848455
1525874400000000000,95500000000,96020000000,95110000000,95230000000,798115
1525878000000000000,95240000000,95590000000,95060000000,95490000000,611002
1525881600000000000,95495000000,96250000000,95490000000,96190000000,702996
1525885200000000000,96190000000,96930000000,96160000000,96720000000,765792
1525888800000000000,96710000000,96890000000,96540000000,96800000000,546344
1525892400000000000,96790000000,96970000000,96580000000,96950000000,1499572
1525896000000000000,96940000000,96940000000,96800000000,96890000000,3899585
1525899600000000000,96920000000,96940000000,96860000000,96940000000,1215
1525903200000000000,96820000000,96850000000,96810000000,96850000000,540
1525906800000000000,96810000000,96910000000,96810000000,96910000000,712
1525946400000000000,97020000000,97060000000,97020000000,97050000000,507
1525950000000000000,96940000000,97060000000,96940000000,97060000000,756
1525953600000000000,97010000000,97170000000,97010000000,97100000000,2272
1525957200000000000,97130000000,97570000000,97100000000,97230000000,782125
1525960800000000000,97250000000,97780000000,97070000000,97620000000,496566
1525964400000000000,97620000000,97830000000,97540000000,97580000000,336600
1525968000000000000,97585000000,97870000000,97480000000,97680000000,430894
1525971600000000000,97680000000,97790000000,97240000000,97350000000,476796
1525975200000000000,97350000000,97550000000,97050000000,97530000000,519664
1525978800000000000,97540000000,97950000000,97370000000,97900000000,1163663
1525982400000000000,97900000000,97910000000,97850000000,97850000000,3370762
1525989600000000000,97760000000,97760000000,97740000000,97750000000,1104
1525993200000000000,97730000000,97780000000,97730000000,97780000000,104
1526036400000000000,97980000000,98110000000,97980000000,98110000000,142
1526040000000000000,98160000000,98160000000,97900000000,97930000000,3190
1526043600000000000,97870000000,97890000000,97040000000,97490000000,566688
1526047200000000000,97485000000,97850000000,97440000000,97770000000,469171
1526050800000000000,97770000000,97770000000,97340000000,97510000000,342954
1526054400000000000,97520000000,97580000000,97210000000,97360000000,333855
1526058000000000000,97360000000,97510000000,97260000000,97355000000,267186
1526061600000000000,97360000000,97425000000,97090000000,97180000000,435118
1526065200000000000,97180000000,97730000000,97130000000,97710000000,1042100
1526068800000000000,97700000000,97720000000,97650000000,97680000000,3219888
1526072400000000000,97690000000,97690000000,97690000000,97690000000,100
1526076000000000000,97700000000,97740000000,97700000000,97740000000,181
1526079600000000000,97700000000,97750000000,97700000000,97750000000,634
1526288400000000000,98000000000,98240000000,98000000000,98040000000,1263
1526292000000000000,98190000000,98190000000,98050000000,98050000000,718
1526295600000000000,98090000000,98090000000,97960000000,98080000000,630
1526299200000000000,98000000000,98000000000,97920000000,97920000000,1550
1526302800000000000,97950000000,98420000000,97310000000,98220000000,1060632
1526306400000000000,98230000000,98570000000,98050000000,98380000000,481341
1526310000000000000,98370000000,98685000000,98300000000,98360000000,364763
1526313600000000000,98350000000,98490000000,98010000000,98060000000,322787
1526317200000000000,98070000000,98160000000,97780000000,98110000000,427748
1526320800000000000,98120000000,98140000000,97760000000,98020000000,383360
1526324400000000000,98020000000,98070000000,97720000000,98040000000,1051591
1526328000000000000,98030000000,98030000000,97900000000,97950000000,1831038
1526331600000000000,97950000000,97950000000,97950000000,97950000000,1149
1526335200000000000,98000000000,98020000000,98000000000,98020000000,180
1526338800000000000,98000000000,98000000000,98000000000,98000000000,3
1526374800000000000,97900000000,97900000000,97900000000,97900000000,108
1526378400000000000,98000000000,98000000000,98000000000,98000000000,136
1526382000000000000,97990000000,98000000000,97850000000,97850000000,553
1526385600000000000,97630000000,97700000000,97210000000,97220000000,1193
1526389200000000000,97210000000,97850000000,96340000000,96460000000,1406133
