ts_event,open,high,low,close,volume
1525132800000000000,47200000000,47310000000,35800000000,36970000000,5551462
1525219200000000000,36990000000,37500000000,34060000000,34300000000,4003900
1525305600000000000,34750000000,36760000000,34500000000,36150000000,1416159
1525392000000000000,37000000000,37000000000,34730000000,34900000000,1219528
1525651200000000000,34960000000,36110000000,34870000000,35680000000,1048651
1525737600000000000,35200000000,38150000000,35140000000,37700000000,1140675
1525824000000000000,38000000000,38740000000,33480000000,36930000000,2532811
1525910400000000000,37510000000,39570000000,37370000000,38710000000,1877488
1525996800000000000,39000000000,40840000000,38700000000,40500000000,1316984
1526256000000000000,40750000000,41490000000,37990000000,38350000000,1049510
1526342400000000000,38090000000,39360000000,37730000000,39290000000,1225725
1526428800000000000,39300000000,39860000000,38920000000,39720000000,553562
1526515200000000000,39380000000,41040000000,39320000000,40390000000,598481
1526601600000000000,40300000000,41180000000,40200000000,40640000000,713346
1526860800000000000,41000000000,41140000000,39940000000,40860000000,573879
1526947200000000000,40550000000,41320000000,39850000000,39850000000,625408
1527033600000000000,39550000000,40990000000,39100000000,40870000000,517243
1527120000000000000,40800000000,41530000000,40570000000,41270000000,501230
1527206400000000000,41270000000,42360000000,41260000000,41840000000,522172
1527552000000000000,41790000000,41990000000,40200000000,40840000000,711729
1527638400000000000,41300000000,42410000000,40850000000,41750000000,590756
1527724800000000000,41550000000,42470000000,41120000000,41170000000,1048883
1527811200000000000,41440000000,42670000000,41360000000,42030000000,632246
1528070400000000000,42700000000,42700000000,41580000000,42330000000,452340
1528156800000000000,42400000000,43180000000,42190000000,42780000000,521525
1528243200000000000,43210000000,43250000000,42080000000,42750000000,517654
1528329600000000000,42620000000,42660000000,40490000000,40870000000,734129
1528416000000000000,40740000000,41840000000,40630000000,41430000000,649753
1528675200000000000,42500000000,44060000000,41930000000,42220000000,831811
1528761600000000000,42220000000,44280000000,42080000000,43300000000,696330
1528848000000000000,43430000000,44000000000,42780000000,43180000000,452080
1528934400000000000,43290000000,44070000000,43200000000,43440000000,525688
1529020800000000000,43380000000,43380000000,42500000000,42940000000,613604
1529280000000000000,42540000000,43990000000,42320000000,43880000000,550075
1529366400000000000,43340000000,44150000000,42700000000,44150000000,544907
1529452800000000000,44120000000,44380000000,42910000000,43300000000,860192
1529539200000000000,43350000000,44510000000,43250000000,43690000000,841415
1529625600000000000,43560000000,43600000000,42200000000,42740000000,1569809
