ts_event,open,high,low,close,volume
1525168800000000000,46000000000,46000000000,45950000000,45950000000,150
1525172400000000000,46060000000,46250000000,46010000000,46010000000,3599
1525176000000000000,46040000000,46040000000,45690000000,45700000000,6535
1525179600000000000,45700000000,46840000000,45430000000,46735000000,1451940
1525183200000000000,46730000000,46780000000,46000000000,46480000000,1408290
1525186800000000000,46470000000,46835000000,46290000000,46650000000,760841
1525190400000000000,46640000000,46760000000,46310000000,46420000000,637793
1525194000000000000,46430000000,46685000000,46120000000,46670000000,498260
1525197600000000000,46670000000,46680000000,46360000000,46380000000,477568
1525201200000000000,46380000000,46860000000,46380000000,46780000000,927890
1525204800000000000,46790000000,48100000000,46700000000,47380000000,530451
1525208400000000000,47420000000,47420000000,46510000000,46770000000,46954
1525212000000000000,46750000000,47000000000,46600000000,47000000000,10642
1525215600000000000,46950000000,46950000000,46600000000,46700000000,4709
1525248000000000000,46780000000,46780000000,46780000000,46780000000,100
1525251600000000000,46820000000,46820000000,46750000000,46750000000,1449
1525255200000000000,46540000000,46540000000,46000000000,46000000000,1430
1525258800000000000,45860000000,46000000000,45590000000,45930000000,20616
1525262400000000000,45900000000,46370000000,45880000000,46120000000,83794
1525266000000000000,46130000000,46680000000,45680000000,46270000000,1568819
1525269600000000000,46275000000,46735000000,46220000000,46470000000,976468
1525273200000000000,46470000000,46575000000,45990000000,46160000000,791124
1525276800000000000,46155000000,46280000000,46055000000,46160000000,434422
1525280400000000000,46160000000,46230000000,45910000000,46040000000,359991
1525284000000000000,46040000000,46440000000,45990000000,46070000000,624755
1525287600000000000,46065000000,46230000000,45810000000,45890000000,1309265
1525291200000000000,45890000000,46000000000,45850000000,45850000000,1125800
1525294800000000000,45850000000,45890000000,45800000000,45800000000,5489
1525298400000000000,45790000000,45830000000,45790000000,45790000000,434
1525302000000000000,45830000000,45850000000,45750000000,45800000000,2404
1525334400000000000,46070000000,46140000000,46070000000,46140000000,143
1525338000000000000,45960000000,46150000000,45810000000,45990000000,755
1525341600000000000,45990000000,45990000000,45690000000,45690000000,75
1525345200000000000,45760000000,45840000000,45620000000,45620000000,915
1525348800000000000,45600000000,45680000000,45460000000,45460000000,17595
1525352400000000000,45600000000,46360000000,45470000000,46090000000,976469
1525356000000000000,46090000000,46170000000,45360000000,45460000000,1114848
1525359600000000000,45460000000,46020000000,45335000000,45980000000,750240
1525363200000000000,45990000000,46410000000,45630000000,46270000000,754622
1525366800000000000,46255000000,46340000000,46015000000,46090000000,605474
1525370400000000000,46090000000,46510000000,46030000000,46180000000,704745
1525374000000000000,46200000000,46865000000,46200000000,46620000000,1128349
1525377600000000000,46620000000,46690000000,46600000000,46620000000,513483
1525384800000000000,46750000000,46750000000,46750000000,46750000000,9
1525388400000000000,46630000000,46650000000,46630000000,46650000000,75
1525420800000000000,46020000000,46640000000,46020000000,46640000000,175
1525424400000000000,46040000000,46640000000,46040000000,46610000000,268
1525428000000000000,46580000000,46580000000,46510000000,46510000000,120
1525431600000000000,46600000000,46610000000,46340000000,46530000000,11733
1525435200000000000,46600000000,46720000000,46400000000,46440000000,4882
1525438800000000000,46500000000,47150000000,46150000000,46610000000,1001893
1525442400000000000,46605000000,47110000000,46335000000,47020000000,923433
1525446000000000000,47030000000,47695000000,47030000000,47650000000,1116061
1525449600000000000,47660000000,47680000000,47215000000,47275000000,495760
1525453200000000000,47280000000,47435000000,47035000000,47420000000,515876
1525456800000000000,47415000000,47625000000,47360000000,47510000000,542536
1525460400000000000,47510000000,47600000000,47365000000,47570000000,1124183
1525464000000000000,47580000000,47620000000,47540000000,47590000000,530028
1525471200000000000,47620000000,47620000000,47570000000,47570000000,1071
