ts_event,open,high,low,close,volume
1525132800000000000,312540000000,314460000000,306750000000,313800000000,1725554
1525219200000000000,313960000000,317110000000,310400000000,312960000000,1478626
1525305600000000000,314000000000,314800000000,305710000000,311530000000,1697324
1525392000000000000,312250000000,320980000000,307670000000,320190000000,2601469
1525651200000000000,321990000000,329020000000,319300000000,326550000000,1800742
1525737600000000000,326300000000,327400000000,323120000000,327000000000,1354384
1525824000000000000,326950000000,331870000000,326890000000,330100000000,1483333
1525910400000000000,330400000000,332250000000,327390000000,329350000000,1510589
1525996800000000000,329570000000,331250000000,324860000000,326800000000,1491327
1526256000000000000,326500000000,330550000000,326500000000,328380000000,1219644
1526342400000000000,328400000000,329000000000,322450000000,325400000000,1419324
1526428800000000000,325900000000,329720000000,325230000000,328130000000,1059695
1526515200000000000,327870000000,330430000000,323180000000,325530000000,1460322
1526601600000000000,325400000000,326700000000,322780000000,323910000000,1193032
1526860800000000000,325600000000,332900000000,325500000000,332830000000,1899176
1526947200000000000,333900000000,336620000000,331170000000,331620000000,1683247
1527033600000000000,329860000000,345300000000,327100000000,345040000000,2561242
1527120000000000000,345500000000,353990000000,341140000000,350570000000,3163024
1527206400000000000,352000000000,354360000000,345000000000,351340000000,2355162
1527552000000000000,350990000000,356070000000,346730000000,350180000000,3018574
1527638400000000000,351300000000,354000000000,349300000000,353520000000,1733908
1527724800000000000,353600000000,355530000000,350240000000,351650000000,2602655
1527811200000000000,353540000000,360650000000,352820000000,360650000000,1828306
1528070400000000000,362000000000,363400000000,355510000000,363190000000,2144648
1528156800000000000,363000000000,369840000000,361430000000,366120000000,2079058
1528243200000000000,367100000000,369700000000,363330000000,367540000000,2576492
1528329600000000000,368620000000,368980000000,357820000000,361400000000,2336603
1528416000000000000,356840000000,362400000000,353700000000,360450000000,1436098
1528675200000000000,361220000000,365670000000,360570000000,362000000000,1210067
1528761600000000000,362100000000,365950000000,357510000000,360600000000,1291021
1528848000000000000,361980000000,384240000000,361980000000,380700000000,4154504
1528934400000000000,381950000000,395020000000,380550000000,394440000000,3490942
1529020800000000000,394180000000,398880000000,387540000000,391150000000,3990971
1529280000000000000,389080000000,393150000000,386600000000,388100000000,1844509
1529366400000000000,384300000000,405290000000,384000000000,405010000000,4097896
1529452800000000000,411500000000,419450000000,409600000000,418680000000,4003491
1529539200000000000,422230000000,423580000000,406470000000,415650000000,4096393
1529625600000000000,417960000000,420400000000,409690000000,410610000000,2766655
1529884800000000000,406250000000,409320000000,381000000000,385000000000,5716526
1529971200000000000,388550000000,404750000000,388550000000,401350000000,3570224
1530057600000000000,394000000000,411570000000,390000000000,394000000000,3759768
1530144000000000000,395750000000,398610000000,387050000000,395750000000,2843400
1530230400000000000,400900000000,402100000000,390550000000,391310000000,2237003
1530489600000000000,389000000000,398380000000,380000000000,397930000000,2422719
1530576000000000000,399370000000,401400000000,389500000000,391000000000,1492563
1530748800000000000,393860000000,399240000000,390850000000,397800000000,2294605
1530835200000000000,397500000000,410880000000,394690000000,410850000000,2215724
1531094400000000000,412590000000,420000000000,411100000000,420000000000,2698012
1531180800000000000,421380000000,421840000000,409160000000,410300000000,2221306
1531267200000000000,410080000000,419770000000,408820000000,418000000000,2234488
1531353600000000000,415130000000,418000000000,407800000000,412500000000,3218604
1531440000000000000,414000000000,414890000000,395100000000,396850000000,3756773
1531699200000000000,399800000000,403400000000,342010000000,343890000000,5553131
1531785600000000000,346630000000,385000000000,343720000000,381910000000,16000658
1531872000000000000,384500000000,384500000000,372360000000,375990000000,5219819
1531958400000000000,375000000000,375740000000,363000000000,366000000000,3946869
1532044800000000000,364900000000,370500000000,360000000000,360000000000,3296592
1532304000000000000,358210000000,364400000000,353660000000,364300000000,2326127
1532390400000000000,364900000000,367400000000,354560000000,356800000000,2526384
1532476800000000000,355800000000,363000000000,349000000000,355050000000,2026429
1532563200000000000,356000000000,365540000000,354500000000,364920000000,1740750
1532649600000000000,365700000000,367000000000,351700000000,355250000000,2094029
1532908800000000000,354340000000,355200000000,334040000000,336600000000,4404633
1532995200000000000,335010000000,342490000000,328000000000,339650000000,3430149
1533081600000000000,340000000000,344420000000,334060000000,339800000000,2001331
1533168000000000000,337800000000,347000000000,334000000000,347000000000,1742510
1533254400000000000,347000000000,348390000000,338460000000,342700000000,1828499
1533513600000000000,342940000000,351940000000,341230000000,351000000000,1822672
1533600000000000000,352250000000,357300000000,349050000000,352000000000,1853839
1533686400000000000,352200000000,352970000000,346610000000,348270000000,1408506
1533772800000000000,347380000000,352400000000,345770000000,349200000000,1211383
1533859200000000000,347000000000,349030000000,344440000000,346240000000,1196831
1534118400000000000,344880000000,347150000000,338530000000,341370000000,1530721
1534204800000000000,342000000000,343200000000,336260000000,337700000000,1421758
1534291200000000000,336800000000,336800000000,320990000000,327010000000,3521347
1534377600000000000,328720000000,331190000000,321100000000,321400000000,1713856
1534464000000000000,321500000000,324300000000,312960000000,316480000000,2862927
1534723200000000000,317780000000,331600000000,310950000000,329710000000,3290272
1534809600000000000,329800000000,341520000000,329580000000,335000000000,3409777
