ts_event,open,high,low,close,volume
1591228800000000000,36380000000,38880000000,31370000000,33890000000,3086129
1591315200000000000,34500000000,36300000000,32760000000,36100000000,2054033
1591574400000000000,39000000000,95000000000,38990000000,89200000000,10566427
1591660800000000000,87740000000,97280000000,56990000000,72670000000,18826269
1591747200000000000,78000000000,84920000000,60010000000,60500000000,4767805
1591833600000000000,61120000000,68990000000,53000000000,62000000000,4083198
1591920000000000000,65200000000,69690000000,61000000000,63640000000,1870316
1592179200000000000,62680000000,70480000000,59250000000,68000000000,3372140
1592265600000000000,68500000000,75800000000,61210000000,63200000000,3733947
1592352000000000000,64000000000,68970000000,61400000000,64270000000,4645856
1592438400000000000,64550000000,68300000000,62330000000,67600000000,2640592
1592524800000000000,67270000000,69800000000,64590000000,65330000000,2222582
1592784000000000000,65900000000,70000000000,63440000000,69320000000,2561575
1592870400000000000,69300000000,75920000000,68300000000,74000000000,3166549
1592956800000000000,74000000000,76300000000,69010000000,72730000000,2738547
1593043200000000000,71500000000,74720000000,70250000000,71150000000,1598135
1593129600000000000,71100000000,73630000000,62880000000,66750000000,2323708
1593388800000000000,67250000000,71920000000,65400000000,66300000000,2182786
1593475200000000000,66350000000,70790000000,64160000000,67400000000,1872409
1593561600000000000,66600000000,68880000000,63500000000,64850000000,1309826
1593648000000000000,66000000000,66660000000,55000000000,58230000000,4948254
1593993600000000000,59090000000,61000000000,47980000000,48550000000,4227965
1594080000000000000,48710000000,49100000000,40050000000,41800000000,4731954
1594166400000000000,45000000000,56880000000,42750000000,56690000000,8669703
1594252800000000000,58290000000,60900000000,54000000000,56230000000,5737222
1594339200000000000,56000000000,56750000000,52130000000,54850000000,1910215
1594598400000000000,54800000000,57200000000,53050000000,53400000000,1717821
1594684800000000000,53900000000,54100000000,51000000000,53110000000,1339069
1594771200000000000,53140000000,55590000000,51900000000,55200000000,1648255
1594857600000000000,54580000000,54580000000,51900000000,52400000000,1313510
1594944000000000000,53200000000,53200000000,38000000000,41800000000,3776034
