ts_event,open,high,low,close,volume
1639072800000000000,11250000000,12220000000,10150000000,10340000000,5848308
1639076400000000000,10290000000,10530000000,10010000000,10340000000,786897
1639080000000000000,10330000000,10700000000,10090000000,10310000000,1358457
1639083600000000000,10240000000,10680000000,10220000000,10480000000,87899
1639087200000000000,10480000000,10880000000,10480000000,10770000000,38595
1639090800000000000,10700000000,11050000000,10610000000,10960000000,64145
1639126800000000000,11000000000,11480000000,10850000000,11380000000,99805
1639130400000000000,11380000000,11400000000,10900000000,11290000000,135705
1639134000000000000,11250000000,11330000000,11210000000,11280000000,43237
1639137600000000000,11260000000,11290000000,10800000000,11140000000,70932
1639141200000000000,11220000000,11980000000,11140000000,11850000000,517836
1639144800000000000,11850000000,11910000000,9800000000,10335000000,1738469
1639148400000000000,10340000000,11130000000,10300000000,10660000000,661690
1639152000000000000,10670000000,11230000000,10420000000,11215000000,375155
1639155600000000000,11230000000,11710000000,11140000000,11170000000,449795
1639159200000000000,11165000000,11190000000,10760000000,11070000000,286859
1639162800000000000,11065000000,11280000000,11000000000,11150000000,254508
1639166400000000000,11150000000,11825000000,11030000000,11790000000,471756
1639170000000000000,11840000000,11840000000,11630000000,11700000000,10820
1639173600000000000,11690000000,11780000000,11520000000,11520000000,7427
1639177200000000000,11520000000,11880000000,11500000000,11610000000,23401
1639386000000000000,11820000000,11860000000,11400000000,11570000000,43802
1639389600000000000,11570000000,11570000000,11270000000,11540000000,58610
1639393200000000000,11530000000,11680000000,11480000000,11650000000,12658
1639396800000000000,11650000000,11700000000,11480000000,11550000000,10910
1639400400000000000,11610000000,11840000000,11610000000,11760000000,135454
1639404000000000000,11760000000,11760000000,10810000000,10850000000,516827
1639407600000000000,10840000000,11140000000,10820000000,11000000000,476640
1639411200000000000,11020000000,11060000000,10500000000,10540000000,283886
1639414800000000000,10550000000,10570000000,10320000000,10510000000,552708
1639418400000000000,10520000000,10590000000,10480000000,10590000000,81079
1639422000000000000,10590000000,10815000000,10570000000,10740000000,146225
1639425600000000000,10740000000,10900000000,10705000000,10840000000,134413
1639429200000000000,10760000000,10840000000,10630000000,10630000000,3913
1639432800000000000,10650000000,10650000000,10600000000,10610000000,1509
1639436400000000000,10620000000,10640000000,10520000000,10590000000,4716
1639472400000000000,10600000000,10680000000,10500000000,10500000000,2544
1639476000000000000,10500000000,10560000000,10400000000,10510000000,2603
1639479600000000000,10510000000,10570000000,10470000000,10470000000,11738
