ts_event,open,high,low,close,volume
1525165200000000000,224300000000,224300000000,224300000000,224300000000,100
1525168800000000000,224000000000,224000000000,223800000000,223800000000,88
1525172400000000000,224200000000,224210000000,224200000000,224210000000,105
1525176000000000000,224340000000,224700000000,224300000000,224630000000,845
1525179600000000000,224610000000,224830000000,222200000000,224450000000,326925
1525183200000000000,224390000000,225490000000,223000000000,223900000000,277058
1525186800000000000,223870000000,225020000000,223440000000,223840000000,178282
1525190400000000000,223860000000,224850000000,223470000000,224050000000,135369
1525194000000000000,224110000000,224290000000,222810000000,224240000000,159811
1525197600000000000,224240000000,225500000000,224120000000,225100000000,194732
1525201200000000000,225120000000,227250000000,224770000000,227100000000,465010
1525204800000000000,227140000000,228730000000,226500000000,228200000000,182352
1525208400000000000,228300000000,228300000000,227140000000,227300000000,2267
1525212000000000000,227500000000,228250000000,227500000000,228250000000,2974
1525215600000000000,228300000000,228730000000,228300000000,228500000000,678
1525248000000000000,228060000000,228060000000,228060000000,228060000000,2
1525251600000000000,228560000000,228780000000,228400000000,228780000000,330
1525255200000000000,228110000000,228110000000,227310000000,227310000000,258
1525258800000000000,228380000000,228790000000,227620000000,227620000000,1521
1525262400000000000,227480000000,227750000000,226600000000,226800000000,1125
1525266000000000000,226990000000,228330000000,225260000000,227110000000,291038
1525269600000000000,227070000000,228680000000,226910000000,227420000000,222263
1525273200000000000,227520000000,227900000000,225700000000,226550000000,218518
1525276800000000000,226520000000,227210000000,226190000000,227020000000,128124
1525280400000000000,227150000000,227630000000,226960000000,227150000000,83921
1525284000000000000,227220000000,228800000000,226970000000,227610000000,249329
1525287600000000000,227610000000,228200000000,226110000000,226310000000,364750
1525291200000000000,226310000000,226950000000,225560000000,225560000000,270153
1525294800000000000,225790000000,225950000000,225790000000,225950000000,447
1525298400000000000,225820000000,226170000000,225700000000,225880000000,2247
1525302000000000000,226000000000,226000000000,225620000000,225620000000,713
1525334400000000000,229950000000,230390000000,229050000000,229760000000,687
1525338000000000000,229730000000,230450000000,229500000000,230000000000,1775
1525341600000000000,230000000000,230500000000,229900000000,230500000000,2177
1525345200000000000,229200000000,229900000000,227500000000,227550000000,9149
1525348800000000000,227990000000,228380000000,227500000000,228000000000,7074
1525352400000000000,227850000000,228750000000,226020000000,228280000000,433411
1525356000000000000,228250000000,229410000000,225740000000,226460000000,455287
1525359600000000000,226460000000,228100000000,225980000000,227960000000,371586
1525363200000000000,227960000000,231860000000,227220000000,231640000000,437376
1525366800000000000,231640000000,232880000000,230800000000,232020000000,431206
