ts_event,open,high,low,close,volume
1525132800000000000,22010000000,22300000000,21930000000,22300000000,2091352
1525219200000000000,22210000000,22505000000,21975000000,22180000000,2013258
1525305600000000000,22200000000,22200000000,21445000000,22080000000,3300739
1525392000000000000,21900000000,22775000000,21900000000,22640000000,1702049
1525651200000000000,22720000000,23130000000,22680000000,22860000000,1144614
1525737600000000000,22900000000,23200000000,22725000000,22920000000,1459119
1525824000000000000,23000000000,23440000000,22980000000,23270000000,1539980
1525910400000000000,23400000000,23620000000,23000000000,23000000000,1020139
1525996800000000000,23520000000,23810000000,23270000000,23390000000,1085479
1526256000000000000,23620000000,24100000000,23620000000,23670000000,1091134
1526342400000000000,23540000000,23805000000,23500000000,23660000000,1347900
1526428800000000000,23610000000,23885000000,23465000000,23830000000,1048416
1526515200000000000,23800000000,23845000000,23400000000,23630000000,1007918
1526601600000000000,23400000000,23890000000,23400000000,23700000000,1234769
1526860800000000000,23970000000,24230000000,23560000000,23900000000,869129
1526947200000000000,23950000000,24450000000,23950000000,24180000000,1166703
1527033600000000000,23990000000,24190000000,23830000000,24150000000,1071461
1527120000000000000,24180000000,25780000000,24160000000,25120000000,4033888
1527206400000000000,25300000000,25960000000,24950000000,25960000000,2623420
1527552000000000000,25620000000,26110000000,25220000000,25440000000,2364798
1527638400000000000,25690000000,26040000000,25420000000,25420000000,1508824
1527724800000000000,25470000000,25840000000,25020000000,25190000000,14398616
1527811200000000000,25480000000,25915000000,25090000000,25700000000,1953703
1528070400000000000,25890000000,26215000000,25665000000,26200000000,2782689
1528156800000000000,26250000000,26250000000,25770000000,26220000000,1943043
1528243200000000000,26230000000,26250000000,25845000000,26160000000,1274732
1528329600000000000,26100000000,26370000000,25430000000,25790000000,2412635
1528416000000000000,25410000000,25480000000,25060000000,25200000000,1859468
1528675200000000000,25230000000,25390000000,24980000000,25100000000,1275358
1528761600000000000,25200000000,25520000000,24870000000,25110000000,2405004
1528848000000000000,24980000000,25570000000,24980000000,25300000000,1547771
1528934400000000000,25500000000,25920000000,25370000000,25830000000,1826930
1529020800000000000,25700000000,25710000000,25130000000,25400000000,3194795
1529280000000000000,25170000000,25400000000,24765000000,25370000000,1272603
1529366400000000000,24660000000,25130000000,24280000000,24760000000,2203599
