ts_event,open,high,low,close,volume
1608508800000000000,30950000000,32500000000,26330000000,31300000000,2029076
1608595200000000000,31500000000,33350000000,28540000000,29700000000,1006803
1608681600000000000,29300000000,30060000000,26810000000,27390000000,1101564
1608768000000000000,27500000000,29450000000,26910000000,27100000000,720799
1609113600000000000,28120000000,28200000000,24010000000,24580000000,1054333
1609200000000000000,24560000000,25850000000,22030000000,25700000000,1153686
1609286400000000000,25400000000,25980000000,23750000000,24350000000,522404
1609372800000000000,24000000000,24500000000,22310000000,22600000000,1005829
1609718400000000000,22730000000,24510000000,21420000000,24150000000,937004
1609804800000000000,24250000000,27600000000,23700000000,27500000000,817937
1609891200000000000,26900000000,28480000000,26000000000,27900000000,1301325
1609977600000000000,28120000000,29200000000,27550000000,28400000000,883928
1610064000000000000,28600000000,28820000000,26110000000,26510000000,1107890
1610323200000000000,26700000000,26940000000,25850000000,26010000000,550896
1610409600000000000,26230000000,28690000000,25810000000,27800000000,690169
1610496000000000000,27760000000,28580000000,26700000000,26960000000,582463
1610582400000000000,26980000000,27500000000,26220000000,26800000000,567016
1610668800000000000,26530000000,27000000000,25000000000,25920000000,734221
1611014400000000000,26000000000,29400000000,25510000000,28780000000,880857
1611100800000000000,28690000000,31250000000,28200000000,30820000000,1369141
1611187200000000000,31000000000,31720000000,29380000000,29800000000,1186095
1611273600000000000,29730000000,30390000000,28580000000,29330000000,731836
1611532800000000000,29400000000,30400000000,26600000000,27790000000,1470773
1611619200000000000,27800000000,29970000000,27010000000,27890000000,1720172
1611705600000000000,27650000000,27800000000,24530000000,24710000000,2111583
1611792000000000000,25180000000,26150000000,23920000000,25150000000,1099235
1611878400000000000,25020000000,26350000000,24680000000,25600000000,1403368
1612137600000000000,26300000000,27360000000,25520000000,26720000000,1005402
1612224000000000000,26290000000,28790000000,26290000000,26900000000,1788983
1612310400000000000,26900000000,29910000000,26650000000,28900000000,2494566
1612396800000000000,28720000000,29620000000,27680000000,28260000000,2005363
1612483200000000000,28480000000,28800000000,26320000000,26900000000,8570370
1612742400000000000,27750000000,28800000000,27250000000,27680000000,3724507
1612828800000000000,28000000000,31990000000,27730000000,31600000000,5487771
1612915200000000000,32000000000,35360000000,31290000000,34890000000,8554854
1613001600000000000,34500000000,39210000000,34440000000,35500000000,4472507
1613088000000000000,35000000000,37170000000,33730000000,34800000000,2350443
1613433600000000000,34900000000,36000000000,31820000000,32660000000,2892450
1613520000000000000,32750000000,33490000000,30280000000,31550000000,2089417
1613606400000000000,31710000000,31780000000,29070000000,31350000000,2803718
1613692800000000000,31800000000,33460000000,31240000000,31960000000,1943474
1613952000000000000,30580000000,31390000000,28500000000,29790000000,1893385
1614038400000000000,29800000000,29800000000,25100000000,28890000000,3327250
1614124800000000000,29000000000,30820000000,28210000000,30540000000,2270286
1614211200000000000,30820000000,31630000000,28000000000,28420000000,2320809
1614297600000000000,28350000000,29500000000,26660000000,27900000000,2218343
1614556800000000000,29000000000,30780000000,29000000000,30400000000,1667773
1614643200000000000,30210000000,32250000000,29150000000,31670000000,2053873
1614729600000000000,32000000000,32990000000,28300000000,28300000000,2617743
1614816000000000000,28200000000,28710000000,23250000000,23260000000,3879709
1614902400000000000,23000000000,24230000000,17010000000,21900000000,8454303
1615161600000000000,20700000000,22640000000,18870000000,20100000000,3191344
1615248000000000000,20700000000,22290000000,20510000000,22000000000,2481965
1615334400000000000,22370000000,24140000000,21110000000,23880000000,2143415
1615420800000000000,24000000000,27200000000,24000000000,26500000000,2290885
1615507200000000000,25400000000,27140000000,24200000000,26720000000,2214115
1615766400000000000,26950000000,29150000000,26500000000,28800000000,2418090
1615852800000000000,28810000000,30030000000,26450000000,27100000000,3454755
1615939200000000000,27100000000,28360000000,25260000000,28100000000,7625721
1616025600000000000,27420000000,28280000000,26090000000,26110000000,6857310
1616112000000000000,26810000000,28500000000,26000000000,27450000000,20294389
1616371200000000000,27370000000,28380000000,27030000000,27730000000,6366877
1616457600000000000,27500000000,27790000000,25110000000,25640000000,7080584
1616544000000000000,25640000000,26500000000,22360000000,22650000000,2030014
1616630400000000000,22510000000,23780000000,20600000000,22800000000,3249141
1616716800000000000,23210000000,23730000000,20910000000,22400000000,1839701
1616976000000000000,22100000000,22410000000,20350000000,20580000000,2587866
1617062400000000000,20450000000,20900000000,19260000000,20900000000,2294733
1617148800000000000,20900000000,21560000000,20505000000,21280000000,1960821
1617235200000000000,21500000000,22790000000,21430000000,21960000000,1525698
1617580800000000000,22000000000,22580000000,20520000000,20850000000,1717091
1617667200000000000,20920000000,22260000000,20300000000,21800000000,2520941
1617753600000000000,22000000000,22310000000,20460000000,20840000000,1511522
1617840000000000000,21000000000,21320000000,19950000000,20320000000,1640881
1617926400000000000,20350000000,20810000000,20030000000,20550000000,1094315
1618185600000000000,20510000000,20510000000,19050000000,19780000000,2077830
1618272000000000000,19800000000,20650000000,19400000000,20540000000,1765866
1618358400000000000,20620000000,21240000000,19930000000,20120000000,2173337
1618444800000000000,20170000000,20695000000,19290000000,19880000000,1590432
1618531200000000000,19900000000,19930000000,18220000000,18700000000,3572359
1618790400000000000,18700000000,18800000000,17110000000,17250000000,7562562
1618876800000000000,17410000000,17590000000,15890000000,16210000000,5381578
1618963200000000000,16490000000,18580000000,15990000000,18530000000,5274993
1619049600000000000,18560000000,19195000000,18020000000,18880000000,3674914
1619136000000000000,18700000000,19680000000,18300000000,19550000000,2055067
1619395200000000000,19690000000,21640000000,19110000000,21400000000,3255369
1619481600000000000,21480000000,22660000000,20490000000,21330000000,2896178
1619568000000000000,21220000000,22150000000,20730000000,21950000000,1274936
1619654400000000000,22000000000,22490000000,20355000000,20600000000,2231027
1619740800000000000,20110000000,21060000000,19790000000,20390000000,1431307
1620000000000000000,20270000000,20550000000,19240000000,19400000000,1665050
1620086400000000000,19500000000,19500000000,18020000000,19450000000,2122923
1620172800000000000,19380000000,20190000000,18440000000,18440000000,1614099
1620259200000000000,18650000000,18910000000,17500000000,17750000000,2306943
1620345600000000000,17890000000,19230000000,17810000000,18630000000,1918166
1620604800000000000,18500000000,18970000000,16505000000,16550000000,2957684
1620691200000000000,16030000000,18500000000,14530000000,18020000000,3614374
1620777600000000000,17970000000,18460000000,14910000000,15290000000,5743002
1620864000000000000,15280000000,15840000000,13440000000,14140000000,4243865
1620950400000000000,14800000000,15510000000,14330000000,15430000000,2053247
1621209600000000000,15120000000,15430000000,14470000000,15300000000,1919456
1621296000000000000,15520000000,15980000000,14475000000,15270000000,3362859
1621382400000000000,15270000000,15270000000,14480000000,14730000000,3282350
1621468800000000000,14700000000,15370000000,14490000000,15320000000,2361009
1621555200000000000,15200000000,15580000000,14985000000,15030000000,1994086
1621814400000000000,15120000000,15550000000,14835000000,15170000000,3068162
1621900800000000000,15290000000,15570000000,14700000000,14810000000,3427858
1621987200000000000,14950000000,16050000000,14740000000,15850000000,3123300
1622073600000000000,15700000000,16110000000,15160000000,15940000000,8472514
1622160000000000000,16000000000,16350000000,15560000000,15730000000,1686356
1622505600000000000,15730000000,15990000000,14980000000,15330000000,2182832
1622592000000000000,15330000000,16590000000,14930000000,16490000000,2832681
1622678400000000000,16450000000,16890000000,15600000000,16150000000,3006303
1622764800000000000,16300000000,16695000000,16130000000,16400000000,1873621
1623024000000000000,16410000000,16995000000,15880000000,16900000000,1914689
1623110400000000000,16850000000,18330000000,16400000000,18140000000,4233418
1623196800000000000,18150000000,18710000000,17370000000,17400000000,3159036
1623283200000000000,17480000000,17770000000,16730000000,17200000000,1906407
1623369600000000000,17460000000,17550000000,16980000000,17250000000,1401314
1623628800000000000,17290000000,17820000000,17040000000,17300000000,1768114
1623715200000000000,17350000000,17570000000,16260000000,16400000000,2094194
1623801600000000000,16300000000,17010000000,16160000000,16600000000,2816608
1623888000000000000,16630000000,17140000000,16000000000,16990000000,5397584
1623974400000000000,16830000000,17110000000,16300000000,16720000000,7737834
1624233600000000000,16700000000,16870000000,16235000000,16510000000,3414058
1624320000000000000,16460000000,16815000000,16245000000,16700000000,4679800
1624406400000000000,16700000000,17360000000,16600000000,17170000000,4387973
1624492800000000000,17290000000,17530000000,17000000000,17200000000,2208616
1624579200000000000,17200000000,17560000000,16605000000,17200000000,18663602
1624838400000000000,17130000000,17960000000,16935000000,17900000000,2024461
1624924800000000000,17880000000,18020000000,17300000000,17350000000,2084043
1625011200000000000,17370000000,17900000000,17200000000,17790000000,2071706
1625097600000000000,17700000000,18000000000,17000000000,17050000000,2440003
1625184000000000000,17040000000,17380000000,16790000000,16840000000,1588023
1625529600000000000,16850000000,17335000000,16710000000,17200000000,2264892
1625616000000000000,17080000000,17240000000,15920000000,16000000000,3275677
1625702400000000000,15800000000,16015000000,15120000000,15780000000,1941340
1625788800000000000,15950000000,16380000000,15530000000,16200000000,1781451
1626048000000000000,16190000000,16675000000,16030000000,16470000000,1372303
1626134400000000000,16480000000,16600000000,15640000000,15650000000,1644306
1626220800000000000,15700000000,15830000000,14940000000,15110000000,1483959
1626307200000000000,15160000000,15470000000,14580000000,14950000000,1766256
1626393600000000000,15010000000,15170000000,14255000000,14500000000,1812084
1626652800000000000,14420000000,14430000000,13720000000,14250000000,2073289
1626739200000000000,14450000000,14830000000,13870000000,14610000000,2485616
1626825600000000000,14750000000,15165000000,14390000000,15100000000,2096342
1626912000000000000,15030000000,15190000000,14310000000,14600000000,2356361
1626998400000000000,14690000000,14690000000,13900000000,14350000000,1368967
1627257600000000000,14030000000,14590000000,13950000000,14100000000,1286253
1627344000000000000,14140000000,14420000000,13640000000,14150000000,2189833
1627430400000000000,14300000000,15340000000,14260000000,15300000000,2578872
1627516800000000000,15350000000,15460000000,14780000000,14780000000,3054780
1627603200000000000,14610000000,15040000000,14610000000,14900000000,1262599
1627862400000000000,14820000000,15270000000,14660000000,14910000000,1204264
1627948800000000000,14960000000,15000000000,14110000000,14250000000,1455942
1628035200000000000,14250000000,14610000000,14130000000,14370000000,1532403
1628121600000000000,14480000000,14990000000,14020000000,14840000000,1351574
1628208000000000000,14500000000,14800000000,14280000000,14490000000,1004123
1628467200000000000,14410000000,15345000000,14140000000,15140000000,1668277
1628553600000000000,15120000000,15250000000,14610000000,14920000000,1541170
1628640000000000000,14970000000,18000000000,14285000000,17390000000,5850967
1628726400000000000,17270000000,18470000000,15885000000,17840000000,10316068
1628812800000000000,17790000000,18450000000,17260000000,17320000000,4230882
1629072000000000000,17330000000,17360000000,15220000000,15660000000,3043700
1629158400000000000,15670000000,15760000000,14675000000,14750000000,6116077
1629244800000000000,14830000000,15170000000,14370000000,14370000000,4431033
1629331200000000000,14370000000,15100000000,13810000000,14860000000,4294426
1629417600000000000,14860000000,15440000000,14720000000,15220000000,3333724
1629676800000000000,15200000000,16400000000,15200000000,16250000000,3091346
1629763200000000000,16330000000,17315000000,16310000000,17180000000,2694947
1629849600000000000,17010000000,17340000000,16710000000,17150000000,2747184
1629936000000000000,17250000000,17795000000,16610000000,16610000000,1607541
1630022400000000000,16880000000,17410000000,16710000000,17200000000,1538926
1630281600000000000,17300000000,17680000000,16950000000,17490000000,2925522
1630368000000000000,17560000000,18010000000,17310000000,17700000000,2312755
1630454400000000000,17730000000,18490000000,17560000000,18350000000,2134491
1630540800000000000,18250000000,18900000000,18180000000,18560000000,2077538
1630627200000000000,18580000000,19260000000,18300000000,19160000000,1983071
1630972800000000000,19170000000,19935000000,19010000000,19740000000,4313399
1631059200000000000,19400000000,19700000000,18430000000,18660000000,3128799
1631145600000000000,18200000000,19255000000,18200000000,18900000000,1365984
1631232000000000000,18940000000,19340000000,18710000000,18780000000,1298638
1631491200000000000,18900000000,18900000000,16560000000,17070000000,3586599
1631577600000000000,17040000000,17375000000,16660000000,17000000000,7326492
