ts_event,open,high,low,close,volume
1645056000000000000,29380000000,30440000000,29100000000,29200000000,2257944
1645142400000000000,29570000000,29640000000,27620000000,28420000000,4786267
1645488000000000000,28380000000,29140000000,27650000000,27850000000,3492062
1645574400000000000,28190000000,28930000000,27810000000,28280000000,3791993
1645660800000000000,27610000000,29090000000,27030000000,28730000000,3624518
1645747200000000000,28610000000,29680000000,28380000000,29470000000,2307342
1646006400000000000,29000000000,30890000000,28500000000,30600000000,9925870
1646092800000000000,30440000000,33040000000,29830000000,32350000000,5098028
1646179200000000000,32500000000,35730000000,32360000000,35080000000,7458171
1646265600000000000,35060000000,35520000000,34450000000,35250000000,4670456
1646352000000000000,34510000000,35570000000,33690000000,33910000000,5151234
1646611200000000000,33630000000,34170000000,33150000000,33150000000,4706226
1646697600000000000,33500000000,35400000000,33340000000,33940000000,4013192
1646784000000000000,33910000000,35170000000,33560000000,33560000000,2193588
1646870400000000000,34000000000,34000000000,32550000000,32950000000,3363544
1646956800000000000,33560000000,33660000000,32500000000,32670000000,2132907
1647216000000000000,32620000000,36460000000,32480000000,35790000000,6424504
1647302400000000000,35750000000,36160000000,34460000000,35200000000,4304472
1647388800000000000,35210000000,36350000000,35210000000,36260000000,2915492
1647475200000000000,36300000000,37560000000,35700000000,36720000000,2577163
1647561600000000000,36980000000,37250000000,35990000000,37150000000,16453680
1647820800000000000,36900000000,37740000000,35840000000,36000000000,3374488
1647907200000000000,36400000000,38490000000,36400000000,37430000000,3417319
1647993600000000000,36950000000,38455000000,36950000000,37600000000,2728672
1648080000000000000,37700000000,37990000000,37340000000,37800000000,1766208
1648166400000000000,37850000000,38695000000,37650000000,38450000000,2010864
1648425600000000000,38630000000,39210000000,37000000000,37250000000,2954534
1648512000000000000,37280000000,38390000000,37280000000,38100000000,2144871
1648598400000000000,38450000000,38620000000,37840000000,38100000000,1388666
1648684800000000000,38100000000,38190000000,37500000000,37800000000,2327483
1648771200000000000,37700000000,38150000000,36815000000,37560000000,3028122
1649030400000000000,37480000000,37820000000,36290000000,37550000000,3208357
1649116800000000000,37790000000,38040000000,36650000000,36700000000,2604886
1649203200000000000,36400000000,36670000000,35400000000,35870000000,2725593
1649289600000000000,35880000000,35880000000,34385000000,35160000000,3759578
1649376000000000000,35450000000,36050000000,35080000000,35960000000,2077885
1649635200000000000,35600000000,37000000000,35550000000,36000000000,2304391
1649721600000000000,36100000000,36870000000,35890000000,35990000000,2447400
1649808000000000000,36090000000,36425000000,35810000000,36240000000,1389411
1649894400000000000,36200000000,36980000000,36000000000,36410000000,1522040
1650240000000000000,36340000000,36520000000,35670000000,36000000000,1669166
1650326400000000000,35510000000,36500000000,33980000000,34200000000,1759592
1650412800000000000,34490000000,34600000000,31835000000,33480000000,5251070
1650499200000000000,33420000000,33890000000,31890000000,32250000000,2320454
1650585600000000000,32010000000,32460000000,30725000000,31190000000,2933946
1650844800000000000,30610000000,31430000000,30355000000,31190000000,2477552
1650931200000000000,31180000000,31180000000,29110000000,29400000000,2854909
1651017600000000000,29210000000,29630000000,28590000000,29150000000,2778115
1651104000000000000,29010000000,29320000000,28090000000,28700000000,1880113
1651190400000000000,28380000000,29770000000,28380000000,29110000000,2451778
1651449600000000000,29110000000,30730000000,28920000000,30650000000,3732080
1651536000000000000,30550000000,31170000000,27580000000,29950000000,4746960
1651622400000000000,30000000000,30320000000,28700000000,30180000000,3080784
1651708800000000000,30200000000,30670000000,29280000000,29770000000,2560606
1651795200000000000,29310000000,29510000000,27585000000,27910000000,2907646
1652054400000000000,27750000000,27750000000,26740000000,27600000000,3120395
1652140800000000000,27650000000,28130000000,27120000000,27500000000,2601029
1652227200000000000,27610000000,27850000000,26635000000,26700000000,2346814
1652313600000000000,26550000000,27820000000,26110000000,26900000000,3498329
1652400000000000000,27400000000,28410000000,27370000000,28260000000,2158867
1652659200000000000,27880000000,30390000000,27770000000,30060000000,2838138
1652745600000000000,30510000000,32600000000,30260000000,32390000000,6589847
1652832000000000000,32450000000,33390000000,31170000000,31170000000,3459459
1652918400000000000,30810000000,32830000000,30790000000,32340000000,2786622
1653004800000000000,32670000000,32800000000,31380000000,32760000000,2866774
1653264000000000000,32770000000,33590000000,32230000000,32810000000,2449370
1653350400000000000,32070000000,32560000000,31060000000,31980000000,2009292
1653436800000000000,31800000000,32700000000,31590000000,32530000000,3095381
1653523200000000000,32350000000,33030000000,32225000000,32240000000,2025406
1653609600000000000,32610000000,34020000000,32450000000,34010000000,2070284
1653955200000000000,34010000000,34510000000,33210000000,34480000000,4522947
1654041600000000000,34470000000,34550000000,31710000000,32270000000,3794980
1654128000000000000,31760000000,31890000000,30385000000,31400000000,5320182
1654214400000000000,31090000000,31550000000,30490000000,30760000000,2478658
1654473600000000000,30800000000,31490000000,30340000000,30440000000,1584052
1654560000000000000,30500000000,30625000000,29910000000,30580000000,1503760
1654646400000000000,30550000000,31070000000,30300000000,30850000000,1476532
1654732800000000000,30740000000,31050000000,29110000000,29250000000,2184047
1654819200000000000,29300000000,29300000000,28010000000,28180000000,2738516
1655078400000000000,27990000000,28760000000,25525000000,25960000000,4956211
1655164800000000000,26020000000,26080000000,25170000000,25520000000,2777518
1655251200000000000,25810000000,26125000000,25230000000,25950000000,3204297
1655337600000000000,25860000000,25860000000,23700000000,24440000000,4394669
1655424000000000000,24250000000,25110000000,24040000000,25050000000,6216413
1655769600000000000,25160000000,26000000000,24460000000,24650000000,3399054
1655856000000000000,24400000000,24730000000,24150000000,24380000000,2282694
1655942400000000000,25150000000,25260000000,24025000000,24590000000,1306281
1656028800000000000,24560000000,25880000000,24490000000,25880000000,2558617
1656288000000000000,25980000000,26200000000,25505000000,26040000000,1298515
1656374400000000000,25910000000,26600000000,25510000000,25550000000,1444596
1656460800000000000,25520000000,25950000000,24620000000,25100000000,1164756
1656547200000000000,25040000000,25150000000,24290000000,24600000000,2287282
1656633600000000000,24650000000,25470000000,24580000000,25470000000,1889209
1656979200000000000,25030000000,25290000000,23850000000,25190000000,2544446
1657065600000000000,25100000000,25390000000,24575000000,24980000000,1767650
1657152000000000000,24330000000,26040000000,24330000000,25820000000,1809624
1657238400000000000,25900000000,26000000000,25320000000,25500000000,2370476
1657497600000000000,25330000000,25430000000,24115000000,24170000000,2137613
1657584000000000000,24100000000,25390000000,23900000000,24920000000,1725444
1657670400000000000,25090000000,25380000000,24260000000,25010000000,1480593
1657756800000000000,24810000000,24810000000,23870000000,24220000000,1698194
1657843200000000000,24440000000,25020000000,24170000000,24690000000,1788815
1658102400000000000,24490000000,25175000000,23690000000,24550000000,2964645
1658188800000000000,25000000000,25530000000,24535000000,25440000000,2277469
1658275200000000000,25500000000,26135000000,25150000000,25920000000,3633961
1658361600000000000,25930000000,26060000000,25430000000,25960000000,1361930
1658448000000000000,25750000000,25900000000,24915000000,25300000000,2251569
1658707200000000000,25400000000,25830000000,25100000000,25140000000,2391605
1658793600000000000,24650000000,24650000000,23870000000,24280000000,2397106
1658880000000000000,24350000000,24680000000,24115000000,24470000000,1801887
1658966400000000000,24530000000,24530000000,23600000000,24100000000,2418741
1659052800000000000,24270000000,24280000000,23360000000,23640000000,6875047
1659312000000000000,23780000000,24210000000,23155000000,24100000000,2341451
1659398400000000000,23980000000,25140000000,23870000000,24600000000,1804167
1659484800000000000,24550000000,25405000000,24480000000,25110000000,2842374
1659571200000000000,25400000000,25890000000,23640000000,25150000000,3223747
1659657600000000000,24740000000,24840000000,23550000000,24220000000,3519813
1659916800000000000,24320000000,25870000000,24290000000,25300000000,2978092
1660003200000000000,25290000000,25730000000,24510000000,24700000000,3044826
1660089600000000000,24840000000,25590000000,24790000000,25230000000,1998803
1660176000000000000,25240000000,26705000000,25240000000,25900000000,2665614
1660262400000000000,25700000000,26250000000,25500000000,26140000000,1546916
1660521600000000000,25990000000,27380000000,25890000000,26840000000,2895976
1660608000000000000,26900000000,27480000000,26370000000,27300000000,2354620
1660694400000000000,27300000000,27310000000,26180000000,26180000000,1648271
1660780800000000000,26500000000,26590000000,25635000000,26010000000,1556652
1660867200000000000,25890000000,26185000000,25490000000,25870000000,2252533
1661126400000000000,25660000000,25720000000,24525000000,24700000000,2485160
1661212800000000000,24720000000,24890000000,24410000000,24520000000,2073434
1661299200000000000,24400000000,25270000000,24400000000,25130000000,1814254
1661385600000000000,25140000000,25950000000,25060000000,25830000000,1770210
1661472000000000000,25930000000,26130000000,24880000000,25000000000,4432191
1661731200000000000,24680000000,24950000000,24300000000,24510000000,1879104
1661817600000000000,24550000000,24700000000,23165000000,24060000000,3469979
1661904000000000000,24120000000,24270000000,23310000000,23310000000,3125727
1661990400000000000,23220000000,23500000000,22940000000,23480000000,2686744
1662076800000000000,23300000000,23790000000,22940000000,23160000000,2481101
1662422400000000000,23480000000,23480000000,22190000000,22880000000,4028998
1662508800000000000,22910000000,23190000000,22610000000,23000000000,2492153
1662595200000000000,22990000000,23000000000,22340000000,22840000000,2831128
1662681600000000000,22540000000,23680000000,22540000000,23640000000,2706734
1662940800000000000,23680000000,24330000000,23600000000,24300000000,2055014
1663027200000000000,24380000000,24470000000,22455000000,22580000000,3726163
1663113600000000000,22540000000,22560000000,21325000000,21960000000,3756732
1663200000000000000,21950000000,23390000000,21800000000,22800000000,3781513
1663286400000000000,23000000000,23265000000,22425000000,23070000000,18155208
1663545600000000000,22970000000,23180000000,22430000000,23150000000,2135372
1663632000000000000,23080000000,23080000000,22435000000,22530000000,2071214
1663718400000000000,22620000000,22730000000,21340000000,21400000000,2334464
1663804800000000000,21360000000,22000000000,20850000000,20990000000,2183135
1663891200000000000,20610000000,20860000000,19875000000,20200000000,3420302
1664150400000000000,20200000000,20440000000,19600000000,19710000000,2433119
1664236800000000000,19970000000,20350000000,19275000000,19420000000,1999417
1664323200000000000,19390000000,19965000000,19160000000,19840000000,2028953
1664409600000000000,19540000000,19690000000,18810000000,18950000000,2670792
1664496000000000000,19100000000,19730000000,18940000000,19090000000,2869997
1664755200000000000,19010000000,19760000000,18915000000,19640000000,2163508
1664841600000000000,19780000000,20075000000,19410000000,19950000000,2965449
1664928000000000000,19680000000,19810000000,18915000000,19560000000,3205893
1665014400000000000,19480000000,19700000000,18910000000,19040000000,2571637
1665100800000000000,19000000000,19130000000,18490000000,18610000000,2335545
1665360000000000000,18650000000,18915000000,18405000000,18540000000,1737313
1665446400000000000,18500000000,18685000000,17995000000,18330000000,2305440
