ts_event,open,high,low,close,volume
1525172400000000000,36400000000,36500000000,36000000000,36000000000,1543
1525176000000000000,36000000000,36100000000,35800000000,35800000000,15914
1525179600000000000,35790000000,36040000000,35370000000,35785000000,534927
1525183200000000000,35780000000,35800000000,34920000000,34940000000,1012865
1525186800000000000,34940000000,35035000000,34645000000,34700000000,660914
1525190400000000000,34710000000,35225000000,34695000000,35220000000,529170
1525194000000000000,35215000000,35235000000,35040000000,35210000000,351664
1525197600000000000,35220000000,35285000000,35030000000,35060000000,359444
1525201200000000000,35065000000,35415000000,34980000000,35380000000,1327381
1525204800000000000,35160000000,35250000000,35160000000,35250000000,550
1525208400000000000,35450000000,35450000000,35450000000,35450000000,100
1525248000000000000,35520000000,35520000000,35520000000,35520000000,112
1525251600000000000,35520000000,35520000000,35520000000,35520000000,100
1525258800000000000,35420000000,35420000000,35400000000,35400000000,212
1525262400000000000,35470000000,35470000000,35400000000,35400000000,107
1525266000000000000,35330000000,35410000000,35090000000,35260000000,203643
1525269600000000000,35260000000,35310000000,35040000000,35180000000,324105
1525273200000000000,35180000000,35215000000,34995000000,35070000000,314479
1525276800000000000,35065000000,35165000000,35035000000,35070000000,316434
1525280400000000000,35075000000,35170000000,35050000000,35170000000,274393
1525284000000000000,35160000000,35270000000,34925000000,34925000000,479928
1525287600000000000,34930000000,34950000000,34750000000,34880000000,1134786
1525291200000000000,34890000000,34890000000,34800000000,34800000000,2322
1525348800000000000,34900000000,34900000000,34760000000,34760000000,105
1525352400000000000,34870000000,34870000000,34640000000,34740000000,212019
1525356000000000000,34740000000,34740000000,34440000000,34505000000,362169
1525359600000000000,34500000000,34590000000,34430000000,34495000000,295226
1525363200000000000,34500000000,34800000000,34440000000,34790000000,247153
1525366800000000000,34800000000,34880000000,34710000000,34720000000,251713
1525370400000000000,34720000000,34820000000,34675000000,34700000000,250850
1525374000000000000,34705000000,34770000000,34645000000,34770000000,474010
1525438800000000000,34760000000,34760000000,34380000000,34545000000,146233
1525442400000000000,34540000000,34730000000,34490000000,34680000000,247275
1525446000000000000,34680000000,34770000000,34630000000,34710000000,209914
1525449600000000000,34715000000,34810000000,34625000000,34790000000,124295
1525453200000000000,34800000000,34860000000,34770000000,34855000000,130401
1525456800000000000,34850000000,34995000000,34845000000,34925000000,187114
1525460400000000000,34930000000,34975000000,34780000000,34840000000,295666
1525698000000000000,34860000000,35050000000,34720000000,35040000000,183866
1525701600000000000,35040000000,35100000000,34905000000,34950000000,245661
1525705200000000000,34945000000,35010000000,34920000000,34945000000,194075
1525708800000000000,34940000000,35035000000,34930000000,34995000000,145169
1525712400000000000,34990000000,35100000000,34980000000,35100000000,139095
1525716000000000000,35105000000,35125000000,34955000000,34955000000,174144
1525719600000000000,34955000000,35005000000,34860000000,34940000000,347535
1525723200000000000,34950000000,34980000000,34950000000,34980000000,101
1525726800000000000,34940000000,35140000000,34940000000,35140000000,3929
1525784400000000000,34950000000,34995000000,34720000000,34990000000,154004
1525788000000000000,35000000000,35085000000,34870000000,34960000000,255677
1525791600000000000,34960000000,35045000000,34840000000,34910000000,252469
1525795200000000000,34910000000,35005000000,34910000000,34950000000,148389
1525798800000000000,34940000000,34985000000,34910000000,34940000000,107896
1525802400000000000,34950000000,35050000000,34815000000,34870000000,285764
1525806000000000000,34870000000,35085000000,34840000000,34990000000,364200
1525809600000000000,34980000000,35050000000,34980000000,35050000000,1300
1525867200000000000,35180000000,35180000000,35180000000,35180000000,10
1525870800000000000,35020000000,35050000000,34900000000,34910000000,136270
1525874400000000000,34910000000,35010000000,34880000000,34930000000,302152
1525878000000000000,34940000000,35125000000,34935000000,35090000000,221168
1525881600000000000,35085000000,35380000000,35055000000,35375000000,165385
1525885200000000000,35380000000,35400000000,35300000000,35325000000,125969
1525888800000000000,35320000000,35350000000,35210000000,35225000000,155605
1525892400000000000,35220000000,35230000000,35110000000,35180000000,334703
1525896000000000000,35240000000,35240000000,35240000000,35240000000,479
1525950000000000000,34970000000,34970000000,34970000000,34970000000,500
1525957200000000000,35030000000,35310000000,34910000000,35190000000,149634
1525960800000000000,35185000000,35190000000,35020000000,35020000000,190553
1525964400000000000,35020000000,35050000000,34955000000,35040000000,213043
1525968000000000000,35035000000,35135000000,35000000000,35035000000,340426
1525971600000000000,35035000000,35120000000,35025000000,35035000000,234694
1525975200000000000,35035000000,35100000000,34930000000,35060000000,261882
1525978800000000000,35055000000,35105000000,34980000000,35030000000,404535
1526036400000000000,35150000000,35150000000,35150000000,35150000000,100
1526043600000000000,35130000000,35445000000,35080000000,35360000000,142013
1526047200000000000,35360000000,35400000000,35260000000,35320000000,161628
1526050800000000000,35325000000,35340000000,35160000000,35200000000,114819
1526054400000000000,35200000000,35305000000,35200000000,35295000000,86979
1526058000000000000,35295000000,35330000000,35245000000,35330000000,100541
1526061600000000000,35320000000,35520000000,35120000000,35485000000,295459
1526065200000000000,35480000000,35555000000,35455000000,35510000000,436048
1526068800000000000,35540000000,35610000000,35500000000,35500000000,1624
1526072400000000000,35330000000,35590000000,35320000000,35590000000,4128
1526284800000000000,35450000000,35690000000,35430000000,35690000000,13
1526288400000000000,35670000000,35670000000,35670000000,35670000000,2
1526295600000000000,35660000000,35660000000,35660000000,35660000000,100
1526299200000000000,35610000000,35610000000,35610000000,35610000000,1
1526302800000000000,35600000000,35915000000,35490000000,35870000000,147326
