ts_event,open,high,low,close,volume
1546005600000000000,9790000000,10150000000,9790000000,10150000000,595
1546009200000000000,10850000000,11190000000,10850000000,11190000000,492
1546012800000000000,12350000000,12350000000,11740000000,11740000000,497
1546264800000000000,11260000000,11760000000,11260000000,11760000000,100
1546268400000000000,11760000000,11760000000,11760000000,11760000000,900
1546272000000000000,15880000000,15880000000,15520000000,15520000000,30
1546275600000000000,15000000000,15000000000,15000000000,15000000000,1
1546279200000000000,15000000000,15000000000,13260000000,13260000000,377
1546286400000000000,14970000000,14970000000,14500000000,14500000000,2
1546437600000000000,14970000000,16000000000,14970000000,16000000000,41
1546441200000000000,16470000000,16470000000,16470000000,16470000000,100
1546524000000000000,15000000000,15000000000,15000000000,15000000000,1000
1546527600000000000,25000000000,25000000000,21000000000,21900000000,356
1546531200000000000,18260000000,23040000000,18000000000,19780000000,1112
1546534800000000000,19250000000,21040000000,19250000000,21040000000,801
1546538400000000000,21700000000,25000000000,21700000000,24910000000,975
1546542000000000000,26560000000,26560000000,24810000000,26400000000,19
1546545600000000000,25910000000,26750000000,25700000000,26750000000,393
1546549200000000000,26000000000,26000000000,26000000000,26000000000,10
1546556400000000000,26000000000,26000000000,26000000000,26000000000,5
1546610400000000000,32100000000,41650000000,32100000000,36400000000,919
1546614000000000000,39990000000,64500000000,39990000000,63450000000,2748
1546617600000000000,64000000000,80640000000,52580000000,52580000000,2622
1546621200000000000,50000000000,72500000000,45000000000,63220000000,2284
1546624800000000000,70130000000,80000000000,68630000000,68630000000,1050
1546628400000000000,44700000000,59950000000,44700000000,55000000000,1750
1546632000000000000,58900000000,72500000000,52000000000,54060000000,1850
1546635600000000000,52000000000,52000000000,50500000000,50800000000,111
1546869600000000000,60000000000,88800000000,60000000000,62990000000,2157
1546873200000000000,64950000000,72850000000,60000000000,72000000000,1374
1546876800000000000,71410000000,75550000000,65000000000,75000000000,1026
1546880400000000000,76340000000,80000000000,72300000000,73000000000,256
1546884000000000000,74460000000,79700000000,73000000000,73000000000,146
1546887600000000000,73000000000,73000000000,62310000000,66900000000,650
1546891200000000000,66750000000,66900000000,62000000000,62000000000,598
