ts_event,open,high,low,close,volume
1555545600000000000,23750000000,25180000000,23050000000,24460000000,8222942
1555891200000000000,24490000000,25660000000,23500000000,24830000000,1717667
1555977600000000000,24830000000,27720000000,24750000000,25960000000,1537912
1556064000000000000,26280000000,27080000000,25950000000,27000000000,738718
1556150400000000000,26880000000,29340000000,26700000000,29120000000,1120144
1556236800000000000,29120000000,30650000000,28370000000,29610000000,1527006
1556496000000000000,29690000000,34880000000,29690000000,34700000000,2116059
1556582400000000000,34650000000,36150000000,30530000000,30850000000,3637195
1556668800000000000,31200000000,32880000000,30500000000,31350000000,1173941
1556755200000000000,31250000000,31890000000,28880000000,29420000000,1239207
1556841600000000000,30000000000,30550000000,28120000000,28230000000,802388
1557100800000000000,27310000000,29990000000,26890000000,29500000000,743167
1557187200000000000,29700000000,29760000000,28160000000,28620000000,475538
1557273600000000000,29680000000,30180000000,28340000000,29010000000,469412
1557360000000000000,29120000000,29260000000,28440000000,28800000000,333119
1557446400000000000,28750000000,29420000000,27660000000,28990000000,403410
1557705600000000000,28400000000,28400000000,26400000000,26700000000,602356
1557792000000000000,26710000000,29400000000,26700000000,29300000000,493500
1557878400000000000,28990000000,29600000000,28150000000,28630000000,325175
1557964800000000000,28800000000,31150000000,24750000000,26100000000,2310900
1558051200000000000,26200000000,28100000000,25260000000,26940000000,2458060
1558310400000000000,26950000000,27240000000,25720000000,26100000000,598392
1558396800000000000,26190000000,26550000000,25310000000,25450000000,572202
1558483200000000000,25250000000,25300000000,24100000000,24410000000,602827
1558569600000000000,24100000000,24330000000,23600000000,23850000000,437708
1558656000000000000,24200000000,25980000000,23890000000,25520000000,704504
1559001600000000000,25420000000,26370000000,25420000000,25790000000,481735
1559088000000000000,25650000000,25760000000,24970000000,25550000000,185845
1559174400000000000,25710000000,25780000000,25140000000,25350000000,142562
1559260800000000000,25180000000,25630000000,24750000000,24810000000,202504
1559520000000000000,24610000000,25130000000,24235000000,24400000000,394938
1559606400000000000,24800000000,24940000000,24080000000,24340000000,278862
1559692800000000000,24500000000,25500000000,23910000000,24790000000,235940
1559779200000000000,24940000000,25970000000,24900000000,25650000000,323071
1559865600000000000,25610000000,27730000000,25610000000,27500000000,566203
1560124800000000000,27700000000,28950000000,27070000000,27960000000,440059
1560211200000000000,28190000000,28300000000,26170000000,26350000000,430900
1560297600000000000,26500000000,27500000000,26210000000,27050000000,344789
1560384000000000000,27050000000,27390000000,26680000000,26980000000,188541
1560470400000000000,26920000000,27950000000,26510000000,27420000000,339750
1560729600000000000,27150000000,28730000000,27150000000,28120000000,609433
1560816000000000000,28450000000,29800000000,28220000000,28950000000,1062265
1560902400000000000,29180000000,29180000000,27565000000,28120000000,426378
1560988800000000000,28770000000,29070000000,27440000000,27550000000,484844
1561075200000000000,27480000000,27940000000,27230000000,27940000000,292079
1561334400000000000,28000000000,28070000000,26575000000,26600000000,307745
1561420800000000000,26630000000,27090000000,25820000000,26160000000,436805
1561507200000000000,26500000000,26690000000,25880000000,26220000000,190023
1561593600000000000,26300000000,27440000000,26300000000,27370000000,327918
1561680000000000000,27400000000,27630000000,26610000000,27210000000,308995
1561939200000000000,27890000000,28050000000,26450000000,26680000000,418489
1562025600000000000,26900000000,27140000000,26420000000,26990000000,282958
1562112000000000000,27050000000,27670000000,26940000000,27500000000,231891
1562284800000000000,27400000000,27460000000,26820000000,27160000000,273065
1562544000000000000,27250000000,27850000000,26660000000,26810000000,284253
1562630400000000000,26950000000,27020000000,26510000000,26870000000,210760
1562716800000000000,26930000000,27360000000,26310000000,26550000000,269701
1562803200000000000,26750000000,26750000000,25880000000,26090000000,278931
1562889600000000000,26150000000,26750000000,26130000000,26380000000,198074
1563148800000000000,26590000000,26880000000,26380000000,26670000000,222736
1563235200000000000,27050000000,27470000000,26310000000,26430000000,135764
1563321600000000000,26600000000,26690000000,25810000000,25810000000,237196
1563408000000000000,25800000000,25850000000,25340000000,25820000000,189869
1563494400000000000,25850000000,26170000000,25500000000,25500000000,213740
1563753600000000000,25540000000,26460000000,25350000000,26290000000,350448
1563840000000000000,26440000000,26840000000,26110000000,26740000000,365972
1563926400000000000,26580000000,27995000000,26580000000,27900000000,532880
1564012800000000000,27820000000,28000000000,27100000000,27700000000,325904
1564099200000000000,27600000000,28380000000,27320000000,27620000000,326922
1564358400000000000,27920000000,28300000000,27190000000,27990000000,378817
1564444800000000000,27820000000,28990000000,27320000000,28620000000,529611
1564531200000000000,28840000000,29580000000,28430000000,28980000000,428977
1564617600000000000,28990000000,33000000000,27920000000,32100000000,1350328
1564704000000000000,31830000000,35210000000,31830000000,33590000000,4557333
1564963200000000000,33600000000,33810000000,32180000000,33000000000,1410007
1565049600000000000,33850000000,34430000000,32020000000,32680000000,767578
1565136000000000000,32740000000,32740000000,31530000000,32060000000,513976
1565222400000000000,32100000000,33610000000,31700000000,33000000000,367249
1565308800000000000,33000000000,34080000000,32800000000,33550000000,443260
1565568000000000000,33700000000,36090000000,32960000000,33710000000,1132723
1565654400000000000,33630000000,34830000000,33550000000,34500000000,368952
1565740800000000000,34020000000,34020000000,31850000000,32150000000,516638
1565827200000000000,32820000000,33250000000,31530000000,32050000000,589706
1565913600000000000,32100000000,32900000000,32010000000,32280000000,302150
1566172800000000000,32410000000,34150000000,32410000000,33300000000,475246
1566259200000000000,33400000000,35050000000,32900000000,34140000000,639210
1566345600000000000,35000000000,36800000000,34610000000,36800000000,1082183
1566432000000000000,36750000000,36880000000,35020000000,35430000000,777343
1566518400000000000,36320000000,36320000000,34000000000,34350000000,582410
1566777600000000000,35600000000,35600000000,34460000000,35350000000,355179
1566864000000000000,35600000000,36090000000,33290000000,33860000000,541836
1566950400000000000,33850000000,34160000000,33010000000,33700000000,273016
1567036800000000000,34200000000,35140000000,34190000000,34750000000,233304
1567123200000000000,34800000000,34970000000,33640000000,34230000000,155848
1567468800000000000,34400000000,34670000000,33230000000,33670000000,314156
1567555200000000000,34200000000,34480000000,32340000000,32600000000,481466
1567641600000000000,33010000000,33180000000,30800000000,31030000000,696257
1567728000000000000,31400000000,31500000000,30000000000,30470000000,659467
1567987200000000000,30350000000,30620000000,27590000000,28200000000,1510668
1568073600000000000,28300000000,29130000000,27350000000,28790000000,993222
1568160000000000000,29040000000,30530000000,28530000000,30530000000,644669
1568246400000000000,30350000000,30450000000,29120000000,29890000000,695786
1568332800000000000,29900000000,30050000000,28800000000,28910000000,385978
1568592000000000000,28570000000,29820000000,28570000000,29260000000,399376
1568678400000000000,29030000000,30260000000,28680000000,30000000000,878157
1568764800000000000,29990000000,30110000000,28710000000,29500000000,560991
1568851200000000000,29650000000,30540000000,29030000000,30130000000,755871
1568937600000000000,30010000000,30730000000,29610000000,30150000000,1016353
1569196800000000000,30110000000,30110000000,28340000000,28600000000,682612
1569283200000000000,28700000000,28790000000,26740000000,27010000000,925945
1569369600000000000,27090000000,27550000000,26770000000,27120000000,558161
1569456000000000000,27400000000,27730000000,27150000000,27280000000,465846
1569542400000000000,27500000000,27560000000,25870000000,26520000000,852121
1569801600000000000,26680000000,26680000000,25150000000,26500000000,829082
1569888000000000000,26450000000,26990000000,26260000000,26440000000,563648
1569974400000000000,26440000000,26880000000,25530000000,26500000000,615433
1570060800000000000,26110000000,27680000000,25790000000,27090000000,682669
1570147200000000000,27380000000,28040000000,26890000000,27300000000,677100
1570406400000000000,27550000000,27550000000,26350000000,26570000000,500596
1570492800000000000,26200000000,26200000000,25310000000,25580000000,506145
1570579200000000000,25900000000,25955000000,25450000000,25450000000,367326
1570665600000000000,25650000000,26290000000,25360000000,25900000000,419671
1570752000000000000,26000000000,27510000000,25980000000,26900000000,992679
1571011200000000000,26530000000,26850000000,25800000000,25820000000,722207
1571097600000000000,25650000000,26000000000,24270000000,25370000000,8191800
1571184000000000000,25250000000,25940000000,24810000000,25800000000,2480926
1571270400000000000,26000000000,26520000000,25490000000,26000000000,1770380
1571356800000000000,26100000000,26170000000,24900000000,25240000000,1368166
1571616000000000000,26220000000,26940000000,25640000000,26750000000,1710645
1571702400000000000,26530000000,27000000000,25650000000,25650000000,1208073
