ts_event,open,high,low,close,volume
1601424000000000000,10150000000,11410000000,9110000000,9860000000,44330127
1601510400000000000,10200000000,10330000000,9230000000,9400000000,15021419
1601596800000000000,9100000000,9300000000,8880000000,9070000000,6638811
1601856000000000000,9300000000,9550000000,8920000000,9030000000,2841648
1601942400000000000,9030000000,10180000000,8900000000,9700000000,6381408
1602028800000000000,9980000000,10700000000,9960000000,10150000000,4275765
1602115200000000000,10150000000,10395000000,9990000000,10080000000,2450675
1602201600000000000,10100000000,10320000000,9890000000,9970000000,1403534
1602460800000000000,10170000000,10200000000,9660000000,9860000000,1401057
1602547200000000000,9880000000,9920000000,9410000000,9540000000,1456654
1602633600000000000,9550000000,9690000000,9250000000,9400000000,715025
1602720000000000000,9160000000,9930000000,9080000000,9920000000,947428
1602806400000000000,9880000000,9950000000,9650000000,9700000000,1002947
1603065600000000000,9720000000,9900000000,9530000000,9590000000,956326
1603152000000000000,9590000000,9655000000,9280000000,9300000000,547388
1603238400000000000,9270000000,9550000000,9200000000,9220000000,674218
1603324800000000000,9290000000,9750000000,9220000000,9690000000,1252605
1603411200000000000,9750000000,9820000000,9480000000,9520000000,859364
1603670400000000000,9480000000,9990000000,9410000000,9910000000,2064903
1603756800000000000,9950000000,11340000000,9810000000,10950000000,4778383
1603843200000000000,10800000000,10985000000,10110000000,10790000000,2575089
1603929600000000000,10980000000,11100000000,10550000000,10600000000,2078190
1604016000000000000,10550000000,10680000000,9850000000,10160000000,1373947
1604275200000000000,10390000000,10570000000,10230000000,10490000000,791823
1604361600000000000,10610000000,10940000000,10445000000,10550000000,3117128
1604448000000000000,10550000000,10920000000,10550000000,10810000000,1402414
1604534400000000000,10950000000,12150000000,10850000000,11900000000,4774424
1604620800000000000,11880000000,14960000000,11450000000,14090000000,7306796
1604880000000000000,15200000000,15890000000,13900000000,15020000000,5788148
1604966400000000000,14800000000,15150000000,13190000000,14180000000,2227079
1605052800000000000,14240000000,16550000000,14200000000,16410000000,3434159
1605139200000000000,16750000000,17060000000,13330000000,14610000000,8195908
1605225600000000000,14600000000,16000000000,13900000000,15870000000,6136153
1605484800000000000,16200000000,17700000000,15010000000,16050000000,7163882
1605571200000000000,16100000000,18745000000,15500000000,17580000000,9280091
1605657600000000000,17700000000,19250000000,17550000000,18340000000,6565563
1605744000000000000,18230000000,18990000000,17960000000,18790000000,4818109
1605830400000000000,18950000000,19655000000,18000000000,18130000000,7665410
1606089600000000000,18700000000,21680000000,18320000000,21570000000,6507040
1606176000000000000,22000000000,24270000000,20630000000,23920000000,9849687
1606262400000000000,24200000000,29750000000,22550000000,28940000000,17371781
1606435200000000000,30500000000,33500000000,26120000000,28280000000,20770036
1606694400000000000,27560000000,30150000000,24120000000,26850000000,12357068
1606780800000000000,27800000000,28400000000,24450000000,24750000000,6701732
1606867200000000000,24500000000,24780000000,21150000000,23100000000,14740052
1606953600000000000,24300000000,25400000000,22900000000,23940000000,5933346
1607040000000000000,24340000000,25230000000,23520000000,23840000000,3737147
1607299200000000000,24250000000,30440000000,23770000000,30120000000,7755934
1607385600000000000,30050000000,31230000000,27260000000,28470000000,8334376
1607472000000000000,28600000000,29200000000,25340000000,26460000000,5055342
1607558400000000000,26630000000,28030000000,25080000000,27010000000,3086164
1607644800000000000,26270000000,28260000000,25900000000,27230000000,3187849
1607904000000000000,27490000000,28300000000,26750000000,27100000000,2624747
1607990400000000000,27420000000,27710000000,25530000000,26280000000,2566980
1608076800000000000,26430000000,26800000000,25120000000,26100000000,2735073
1608163200000000000,26300000000,27440000000,26050000000,27390000000,3100210
1608249600000000000,26580000000,26850000000,25800000000,26000000000,4317546
1608508800000000000,25700000000,28920000000,24610000000,28640000000,5571913
1608595200000000000,28890000000,29680000000,26820000000,27860000000,4812563
1608681600000000000,28040000000,29390000000,27670000000,28800000000,3970418
1608768000000000000,28830000000,29220000000,27530000000,27720000000,1532453
1609113600000000000,28050000000,28580000000,25400000000,25680000000,3152138
1609200000000000000,26000000000,26370000000,24350000000,24750000000,3604256
1609286400000000000,24760000000,25900000000,24630000000,25050000000,2126275
1609372800000000000,25180000000,25220000000,23500000000,23640000000,2154284
1609718400000000000,24000000000,24880000000,22500000000,23290000000,3374143
1609804800000000000,23550000000,24670000000,22900000000,24390000000,1733906
1609891200000000000,23860000000,24580000000,23280000000,23580000000,2182577
1609977600000000000,23750000000,25180000000,23680000000,25020000000,1807165
1610064000000000000,25500000000,26430000000,24710000000,25230000000,2542887
1610323200000000000,25210000000,26610000000,24240000000,26150000000,1999378
1610409600000000000,26100000000,26500000000,25510000000,26300000000,1570110
1610496000000000000,26260000000,27430000000,25080000000,25410000000,3490497
1610582400000000000,25700000000,25710000000,24370000000,24920000000,2368340
1610668800000000000,26300000000,28000000000,25460000000,25950000000,7318265
1611014400000000000,26500000000,27540000000,25880000000,26700000000,3424047
1611100800000000000,26850000000,27500000000,25710000000,26350000000,2677023
1611187200000000000,26410000000,26810000000,25300000000,25860000000,2602049
