ts_event,open,high,low,close,volume
1569456000000000000,27000000000,27970000000,24750000000,25700000000,17774695
1569542400000000000,25750000000,26170000000,23750000000,25310000000,3655945
1569801600000000000,25010000000,25820000000,25000000000,25020000000,1108426
1569888000000000000,25100000000,25180000000,22500000000,22610000000,2127358
1569974400000000000,22250000000,23180000000,21760000000,22590000000,3201620
1570060800000000000,22700000000,22860000000,21150000000,22200000000,1765916
1570147200000000000,22200000000,23420000000,22200000000,22990000000,582821
1570406400000000000,23200000000,24330000000,22500000000,23470000000,711548
1570492800000000000,23260000000,23870000000,22330000000,23310000000,550590
1570579200000000000,23510000000,24790000000,23300000000,23950000000,932757
1570665600000000000,24250000000,24250000000,22820000000,23090000000,735206
1570752000000000000,23300000000,23430000000,22115000000,22410000000,717122
1571011200000000000,22430000000,22430000000,21400000000,21500000000,593100
1571097600000000000,21720000000,23740000000,21510000000,23740000000,699640
1571184000000000000,23450000000,23550000000,22460000000,23030000000,523474
1571270400000000000,23000000000,23960000000,23000000000,23880000000,313660
1571356800000000000,24000000000,24680000000,23130000000,23520000000,790536
1571616000000000000,24120000000,24370000000,21790000000,22500000000,1748261
1571702400000000000,22480000000,22670000000,20930000000,21160000000,1208671
1571788800000000000,21140000000,21740000000,20480000000,21200000000,875203
1571875200000000000,21200000000,21450000000,20730000000,21080000000,639256
1571961600000000000,21130000000,23080000000,21010000000,22350000000,613462
1572220800000000000,22550000000,22640000000,21450000000,21600000000,736380
1572307200000000000,21460000000,24160000000,21420000000,22520000000,872093
1572393600000000000,23060000000,23800000000,22750000000,23600000000,455576
1572480000000000000,23560000000,23930000000,22910000000,23800000000,369037
1572566400000000000,23750000000,25300000000,23750000000,25110000000,992918
1572825600000000000,25480000000,26500000000,23840000000,24510000000,1453770
1572912000000000000,24610000000,26580000000,22250000000,22740000000,3032638
1572998400000000000,22970000000,23190000000,22300000000,22730000000,809680
1573084800000000000,23020000000,23310000000,22010000000,22450000000,637558
1573171200000000000,22450000000,23550000000,22250000000,23350000000,578439
1573430400000000000,23200000000,24160000000,22450000000,24060000000,681043
1573516800000000000,24150000000,24990000000,24150000000,24500000000,542792
1573603200000000000,24500000000,26850000000,24150000000,26000000000,1498569
1573689600000000000,26070000000,26430000000,25400000000,26150000000,578983
1573776000000000000,26170000000,28800000000,25720000000,27200000000,1522287
1574035200000000000,27410000000,30360000000,26240000000,30080000000,2230738
1574121600000000000,30100000000,32010000000,28800000000,29240000000,1637342
1574208000000000000,29080000000,29990000000,27760000000,28920000000,607918
1574294400000000000,29270000000,30000000000,28750000000,29700000000,439259
1574380800000000000,30410000000,30650000000,28920000000,29360000000,366974
1574640000000000000,29400000000,31100000000,29400000000,31100000000,620175
1574726400000000000,31190000000,31480000000,29750000000,31000000000,455094
1574812800000000000,30990000000,33070000000,29850000000,32320000000,1004523
1574985600000000000,32700000000,35750000000,32400000000,34650000000,1175680
1575244800000000000,35000000000,37020000000,32965000000,36650000000,1439974
1575331200000000000,36400000000,36400000000,33150000000,33600000000,1871118
1575417600000000000,34770000000,35300000000,31220000000,33100000000,2122335
1575504000000000000,33370000000,33650000000,30960000000,31400000000,1840339
1575590400000000000,31500000000,33360000000,31370000000,32680000000,1553479
1575849600000000000,33150000000,35350000000,32860000000,34750000000,1756012
1575936000000000000,34930000000,35240000000,31630000000,32720000000,2512831
1576022400000000000,32000000000,32380000000,29880000000,32030000000,1393011
1576108800000000000,32400000000,32490000000,29860000000,30830000000,1251076
1576195200000000000,30820000000,31960000000,30270000000,31400000000,595407
1576454400000000000,31790000000,31900000000,30240000000,31350000000,694896
1576540800000000000,31400000000,33320000000,30600000000,32900000000,1066287
1576627200000000000,32810000000,33490000000,31350000000,31630000000,925065
1576713600000000000,32000000000,32390000000,30970000000,31860000000,873974
1576800000000000000,32340000000,32340000000,29800000000,30000000000,3125094
1577059200000000000,30170000000,30370000000,28870000000,29270000000,1012291
1577145600000000000,29300000000,29380000000,28600000000,28860000000,451901
1577318400000000000,29100000000,29100000000,26740000000,27000000000,1716317
1577404800000000000,27200000000,27300000000,25670000000,26910000000,1503409
1577664000000000000,27100000000,28100000000,26500000000,27660000000,1112911
1577750400000000000,27500000000,29060000000,27180000000,28330000000,667838
1577923200000000000,29000000000,30010000000,27800000000,29650000000,1196195
1578009600000000000,28500000000,31240000000,28500000000,30600000000,1001166
1578268800000000000,30600000000,31700000000,29720000000,29810000000,1004330
1578355200000000000,29890000000,30840000000,28850000000,29290000000,717358
1578441600000000000,30250000000,30250000000,28850000000,29600000000,1413684
1578528000000000000,29480000000,29940000000,27590000000,27840000000,1374232
1578614400000000000,27900000000,28250000000,26890000000,27990000000,1245274
1578873600000000000,28400000000,28970000000,27250000000,28350000000,699334
1578960000000000000,28600000000,30320000000,28400000000,29850000000,1403454
1579046400000000000,30100000000,31420000000,29780000000,30850000000,1766929
1579132800000000000,31000000000,31790000000,30380000000,30890000000,865350
1579219200000000000,31050000000,31950000000,30810000000,31700000000,1086071
1579564800000000000,31580000000,33700000000,31460000000,31890000000,1050184
1579651200000000000,32250000000,33200000000,30540000000,31010000000,1543176
1579737600000000000,31500000000,31580000000,29970000000,30060000000,823326
1579824000000000000,30350000000,30770000000,28850000000,30500000000,867685
1580083200000000000,29800000000,31400000000,29210000000,31010000000,868984
1580169600000000000,31600000000,31650000000,30580000000,31400000000,777843
1580256000000000000,32010000000,32450000000,30810000000,31480000000,904376
1580342400000000000,31300000000,32490000000,31250000000,32410000000,1001798
1580428800000000000,32400000000,32520000000,31020000000,32150000000,976223
1580688000000000000,32750000000,33560000000,31950000000,33390000000,1182621
1580774400000000000,33300000000,34600000000,33220000000,33790000000,1457401
1580860800000000000,34110000000,35000000000,27310000000,29800000000,2335881
1580947200000000000,30920000000,30920000000,28830000000,28930000000,2577636
1581033600000000000,28810000000,28980000000,27060000000,27800000000,1516261
1581292800000000000,27850000000,29040000000,27600000000,28530000000,757247
1581379200000000000,28600000000,29120000000,28220000000,28590000000,468762
1581465600000000000,28750000000,29200000000,28250000000,28260000000,833662
1581552000000000000,28100000000,30250000000,27400000000,28700000000,1625937
1581638400000000000,28900000000,28990000000,27500000000,27670000000,509576
1581984000000000000,27660000000,27880000000,26830000000,27070000000,693503
1582070400000000000,27270000000,27690000000,26810000000,27020000000,933043
1582156800000000000,27100000000,27800000000,26600000000,27000000000,721375
1582243200000000000,26750000000,26880000000,25320000000,25450000000,1213435
1582502400000000000,24690000000,27060000000,24080000000,26330000000,4116438
1582588800000000000,27200000000,28000000000,26020000000,27250000000,2485298
1582675200000000000,27650000000,29640000000,27280000000,28910000000,3190437
1582761600000000000,29000000000,29420000000,26690000000,28370000000,1875073
1582848000000000000,28750000000,29000000000,25925000000,26860000000,2362166
1583107200000000000,26940000000,29300000000,26370000000,27860000000,1631671
1583193600000000000,27500000000,27500000000,26190000000,26685000000,1691365
1583280000000000000,26960000000,27450000000,25790000000,27150000000,1373326
1583366400000000000,26040000000,27160000000,25840000000,27100000000,1366077
1583452800000000000,27100000000,27100000000,24360000000,25200000000,1795064
1583712000000000000,24250000000,24710000000,22530000000,24550000000,1204071
1583798400000000000,24250000000,24330000000,22310000000,22850000000,1425039
1583884800000000000,22600000000,23380000000,21650000000,22000000000,1478241
1583971200000000000,20200000000,20990000000,18090000000,19200000000,2113642
1584057600000000000,20500000000,21000000000,17830000000,19610000000,1988572
1584316800000000000,18200000000,22960000000,17400000000,22800000000,3512726
1584403200000000000,24400000000,27000000000,22700000000,25450000000,4097315
1584489600000000000,24000000000,27370000000,23870000000,26590000000,2737427
1584576000000000000,25600000000,26580000000,23210000000,24650000000,1607503
1584662400000000000,25300000000,25450000000,21780000000,23200000000,1974215
1584921600000000000,21800000000,24670000000,21500000000,23340000000,1584065
1585008000000000000,24350000000,24990000000,23630000000,24550000000,1419721
1585094400000000000,24240000000,25120000000,23670000000,24520000000,1184342
1585180800000000000,24520000000,26050000000,24350000000,26050000000,1073141
1585267200000000000,25500000000,26170000000,24580000000,26040000000,1212782
1585526400000000000,25960000000,28670000000,25960000000,27880000000,2526547
1585612800000000000,28000000000,28550000000,26540000000,26800000000,1591119
1585699200000000000,26480000000,29330000000,26095000000,28150000000,2344562
1585785600000000000,28600000000,28600000000,25870000000,27260000000,1621629
1585872000000000000,26730000000,29100000000,26730000000,28780000000,1463013
1586131200000000000,29500000000,29800000000,28020000000,28460000000,1928396
1586217600000000000,28380000000,29300000000,26060000000,27500000000,1529497
1586304000000000000,27840000000,28250000000,26910000000,27850000000,862286
1586390400000000000,27830000000,29020000000,27370000000,28700000000,1483370
1586736000000000000,28500000000,32930000000,28500000000,32550000000,2554727
1586822400000000000,32250000000,32900000000,30580000000,31700000000,1353715
1586908800000000000,31570000000,36030000000,31500000000,35660000000,3173228
1586995200000000000,35360000000,38080000000,33540000000,34020000000,2786362
1587081600000000000,34500000000,35900000000,32110000000,33550000000,2979511
1587340800000000000,32610000000,32970000000,30800000000,31180000000,3450155
1587427200000000000,31100000000,32310000000,29510000000,31500000000,2685900
1587513600000000000,31720000000,32020000000,30430000000,31350000000,1663124
1587600000000000000,31360000000,31750000000,29340000000,29850000000,2210097
1587686400000000000,30500000000,33020000000,30060000000,31850000000,3371724
1587945600000000000,32200000000,33700000000,31710000000,31950000000,2121345
1588032000000000000,32040000000,32320000000,29810000000,30500000000,2033409
