ts_event,open,high,low,close,volume
1525172400000000000,74650000000,74650000000,74650000000,74650000000,800
1525176000000000000,74480000000,74600000000,74480000000,74600000000,1120
1525179600000000000,74500000000,74500000000,73660000000,74050000000,282910
1525183200000000000,74050000000,74855000000,73840000000,74480000000,267849
1525186800000000000,74470000000,74500000000,73990000000,73990000000,148817
1525190400000000000,74000000000,74105000000,73860000000,73910000000,100310
1525194000000000000,73920000000,73980000000,73605000000,73950000000,176125
1525197600000000000,73940000000,74290000000,73830000000,74290000000,204107
1525201200000000000,74300000000,74990000000,74280000000,74810000000,417303
1525204800000000000,74810000000,75200000000,74770000000,75000000000,316179
1525208400000000000,74700000000,74700000000,74700000000,74700000000,100
1525215600000000000,74950000000,74950000000,74950000000,74950000000,50
1525251600000000000,74800000000,75110000000,74800000000,75110000000,6
1525258800000000000,74800000000,74800000000,74740000000,74740000000,200
1525262400000000000,74700000000,74980000000,74700000000,74980000000,2109
1525266000000000000,74810000000,75230000000,74260000000,75080000000,291629
1525269600000000000,75070000000,75460000000,74630000000,75030000000,249263
1525273200000000000,75040000000,75210000000,74600000000,74850000000,206021
1525276800000000000,74850000000,75125000000,74650000000,75100000000,114336
1525280400000000000,75120000000,75310000000,75110000000,75310000000,90645
1525284000000000000,75310000000,75710000000,71240000000,72200000000,877059
1525287600000000000,72200000000,73330000000,71480000000,71740000000,2050171
1525291200000000000,71730000000,72000000000,71400000000,71510000000,583408
1525294800000000000,71610000000,71650000000,71610000000,71650000000,481
1525298400000000000,71980000000,71980000000,71980000000,71980000000,19
1525302000000000000,71730000000,71730000000,71730000000,71730000000,1
1525334400000000000,71990000000,71990000000,71690000000,71690000000,25
1525338000000000000,71600000000,72120000000,71600000000,72110000000,116
1525341600000000000,72400000000,72500000000,72140000000,72500000000,665
1525345200000000000,72010000000,72010000000,71590000000,71590000000,859
1525348800000000000,71890000000,71890000000,71200000000,71350000000,6299
1525352400000000000,71390000000,72420000000,71200000000,72160000000,507219
1525356000000000000,72170000000,72190000000,70290000000,70355000000,724090
