ts_event,open,high,low,close,volume
1525132800000000000,50760000000,51035000000,50040000000,50820000000,2238089
1525219200000000000,51100000000,51470000000,49920000000,50150000000,2574148
1525305600000000000,50250000000,50630000000,49320000000,50630000000,2605736
1525392000000000000,51310000000,53000000000,49920000000,52640000000,2662738
1525651200000000000,52850000000,53270000000,52460000000,52800000000,2724519
1525737600000000000,53000000000,53270000000,52110000000,52750000000,2972445
1525824000000000000,53000000000,54880000000,52200000000,54450000000,2670712
1525910400000000000,53660000000,55060000000,53660000000,54730000000,3822199
1525996800000000000,54940000000,55780000000,54620000000,55230000000,3140036
1526256000000000000,55970000000,57920000000,55970000000,56730000000,4323811
1526342400000000000,56600000000,57250000000,55230000000,55640000000,4083245
1526428800000000000,55670000000,56810000000,55670000000,56750000000,2439918
1526515200000000000,56780000000,57380000000,56400000000,56930000000,2540658
1526601600000000000,56990000000,57990000000,56400000000,57400000000,3407283
1526860800000000000,58500000000,58880000000,56770000000,57750000000,3472255
1526947200000000000,57700000000,58350000000,57080000000,57380000000,2229232
1527033600000000000,56950000000,58990000000,56830000000,58800000000,2927871
1527120000000000000,58800000000,59250000000,58060000000,59130000000,2920958
1527206400000000000,59300000000,60050000000,58840000000,60050000000,3057783
1527552000000000000,59200000000,60000000000,57700000000,58350000000,4300014
1527638400000000000,58690000000,58690000000,57680000000,58000000000,2191084
1527724800000000000,58190000000,58570000000,57760000000,58200000000,5996767
1527811200000000000,58470000000,58730000000,58020000000,58600000000,2628610
1528070400000000000,58800000000,58870000000,57955000000,58710000000,2477768
1528156800000000000,58630000000,59900000000,58630000000,59780000000,2079811
1528243200000000000,59730000000,59950000000,59110000000,59880000000,2305012
1528329600000000000,59980000000,63010000000,59980000000,60750000000,3868684
1528416000000000000,60360000000,60910000000,59810000000,60600000000,2356799
1528675200000000000,60400000000,60540000000,59830000000,60030000000,2374751
1528761600000000000,60000000000,60370000000,59550000000,59790000000,2469582
1528848000000000000,59970000000,60225000000,59120000000,59370000000,3277955
1528934400000000000,59130000000,61440000000,58960000000,61250000000,2462528
1529020800000000000,60500000000,60750000000,58920000000,59710000000,7460554
1529280000000000000,59510000000,59510000000,58500000000,58500000000,2161835
1529366400000000000,58000000000,58730000000,57800000000,58650000000,2458910
1529452800000000000,58920000000,59110000000,58320000000,58990000000,1726203
1529539200000000000,58790000000,59240000000,58400000000,58450000000,2075370
1529625600000000000,58830000000,59100000000,58250000000,58320000000,3202508
1529884800000000000,58000000000,58110000000,56610000000,57300000000,3347963
1529971200000000000,57000000000,57290000000,56300000000,56500000000,2668136
1530057600000000000,55460000000,57530000000,54990000000,55350000000,4187016
1530144000000000000,55150000000,56470000000,55090000000,55990000000,4769697
1530230400000000000,56200000000,56870000000,56050000000,56150000000,5507160
1530489600000000000,55760000000,56290000000,55120000000,56290000000,2322415
1530576000000000000,56360000000,56530000000,55200000000,55390000000,1428640
1530748800000000000,55600000000,57430000000,55600000000,57200000000,3822259
1530835200000000000,57480000000,58070000000,57040000000,57840000000,2461057
1531094400000000000,58100000000,58300000000,57230000000,57930000000,1570190
1531180800000000000,58260000000,58470000000,57850000000,57850000000,2227392
1531267200000000000,58280000000,58280000000,56740000000,57500000000,2931698
1531353600000000000,57760000000,58480000000,57310000000,58290000000,3769563
1531440000000000000,58200000000,58780000000,58150000000,58510000000,2112450
1531699200000000000,58500000000,58830000000,58100000000,58530000000,1947114
1531785600000000000,58040000000,59280000000,57620000000,59280000000,2368851
1531872000000000000,58900000000,59000000000,58370000000,58640000000,2155233
1531958400000000000,59620000000,59770000000,58640000000,59300000000,2662711
1532044800000000000,59200000000,59200000000,58430000000,58600000000,4599012
1532304000000000000,58350000000,59210000000,57820000000,59080000000,2627562
1532390400000000000,59080000000,59620000000,58760000000,59220000000,2460648
1532476800000000000,59000000000,65000000000,57760000000,63260000000,4271903
1532563200000000000,62920000000,63810000000,61260000000,63170000000,7716056
1532649600000000000,63170000000,63510000000,62180000000,62690000000,3685930
1532908800000000000,62680000000,62980000000,61900000000,62040000000,3064191
1532995200000000000,62100000000,64650000000,62100000000,63500000000,6583853
1533081600000000000,63650000000,64870000000,63320000000,64350000000,3380886
1533168000000000000,64150000000,65040000000,63650000000,64800000000,3903062
1533254400000000000,64750000000,65605000000,64560000000,65200000000,2414110
1533513600000000000,66290000000,66700000000,65330000000,65550000000,3733104
1533600000000000000,66350000000,66450000000,65260000000,65460000000,2322695
1533686400000000000,65500000000,65550000000,65060000000,65060000000,2207559
1533772800000000000,65170000000,65300000000,64930000000,65080000000,2354736
1533859200000000000,64520000000,65050000000,64495000000,64950000000,3404038
1534118400000000000,64820000000,65220000000,64655000000,64840000000,2224753
1534204800000000000,64910000000,65620000000,64770000000,65380000000,2630404
1534291200000000000,65190000000,65810000000,64545000000,65680000000,4223161
1534377600000000000,66000000000,66090000000,65540000000,65610000000,3159170
1534464000000000000,65530000000,66180000000,65120000000,66090000000,4860025
1534723200000000000,66480000000,66700000000,65740000000,66130000000,3183671
1534809600000000000,66260000000,66770000000,66030000000,66040000000,2983773
1534896000000000000,66300000000,67080000000,66260000000,66880000000,2477203
1534982400000000000,67000000000,67290000000,66810000000,66870000000,4696757
1535068800000000000,66950000000,67380000000,66950000000,67380000000,2809269
1535328000000000000,67340000000,67470000000,67215000000,67400000000,3094825
1535414400000000000,67710000000,70480000000,67710000000,69980000000,7867151
1535500800000000000,69700000000,70060000000,69140000000,69350000000,3475369
1535587200000000000,69320000000,69320000000,68000000000,68000000000,2016340
1535673600000000000,68140000000,68940000000,67920000000,68460000000,4977764
1536019200000000000,68490000000,70240000000,68490000000,70180000000,3472164
1536105600000000000,69590000000,71060000000,69320000000,70820000000,5203917
1536192000000000000,70800000000,71350000000,70120000000,70340000000,3030177
1536278400000000000,70350000000,70600000000,69620000000,70300000000,12463322
