ts_event,open,high,low,close,volume
1525132800000000000,160900000000,164000000000,160150000000,163590000000,9635220
1525219200000000000,163600000000,163690000000,161350000000,161550000000,8305995
1525305600000000000,161930000000,162420000000,159230000000,161820000000,13342156
1525392000000000000,162210000000,165250000000,160990000000,165050000000,10522766
1525651200000000000,165660000000,166780000000,165510000000,166010000000,8387726
1525737600000000000,166010000000,166420000000,164870000000,165970000000,6581783
1525824000000000000,166420000000,168000000000,165780000000,167870000000,7451080
1525910400000000000,168240000000,169750000000,167960000000,169500000000,6209331
1525996800000000000,169390000000,169910000000,168720000000,169520000000,4773310
1526256000000000000,169900000000,170820000000,169400000000,169780000000,4542039
1526342400000000000,169470000000,169630000000,166980000000,167670000000,10717977
1526428800000000000,168130000000,169370000000,167690000000,169060000000,5048811
1526515200000000000,168400000000,169600000000,167510000000,168450000000,5504233
1526601600000000000,168600000000,168770000000,167210000000,167480000000,5814634
1526860800000000000,168400000000,169490000000,167680000000,168390000000,5189034
1526947200000000000,168740000000,169440000000,167880000000,168160000000,4884595
1527033600000000000,167620000000,169630000000,166490000000,169380000000,7089780
1527120000000000000,169830000000,169930000000,167840000000,169730000000,6463745
1527206400000000000,169910000000,170330000000,169220000000,169740000000,6098917
1527552000000000000,168960000000,169915000000,167960000000,168970000000,8541874
1527638400000000000,169680000000,170480000000,169220000000,170060000000,5505905
1527724800000000000,170590000000,171190000000,169630000000,170200000000,7608757
1527811200000000000,170590000000,172820000000,170470000000,172650000000,8948321
1528070400000000000,173320000000,174330000000,173040000000,174230000000,4361083
1528156800000000000,174510000000,175220000000,174060000000,175070000000,4870985
1528243200000000000,175200000000,176090000000,174140000000,175840000000,5258592
1528329600000000000,176240000000,176270000000,173560000000,174470000000,7739170
1528416000000000000,173240000000,174690000000,172660000000,174420000000,5335421
1528675200000000000,174580000000,175340000000,174080000000,175050000000,4496162
1528761600000000000,174870000000,176130000000,174590000000,176100000000,5420931
1528848000000000000,175830000000,177130000000,175430000000,175820000000,8397068
1528934400000000000,175360000000,177890000000,175290000000,177640000000,7410919
1529020800000000000,177200000000,177600000000,176110000000,176890000000,8643335
1529280000000000000,175740000000,176640000000,174950000000,175510000000,5811196
1529366400000000000,174550000000,176200000000,173700000000,176200000000,8260651
1529452800000000000,176370000000,177980000000,176310000000,177650000000,6639978
1529539200000000000,177690000000,177870000000,175250000000,175480000000,9191312
1529625600000000000,176130000000,176500000000,174690000000,175050000000,7631632
1529884800000000000,174290000000,174290000000,169810000000,171380000000,16134463
1529971200000000000,171360000000,173050000000,171350000000,172400000000,8153837
1530057600000000000,170750000000,173570000000,169620000000,170180000000,12494014
1530144000000000000,170760000000,171765000000,168880000000,171360000000,12012253
1530230400000000000,172460000000,172910000000,171430000000,171590000000,9249501
1530489600000000000,170180000000,172870000000,169690000000,172750000000,7815085
1530576000000000000,173280000000,173930000000,170560000000,170690000000,5606670
1530748800000000000,171190000000,173060000000,171030000000,172500000000,7178543
1530835200000000000,172850000000,175740000000,172530000000,175550000000,8766983
1531094400000000000,176400000000,177650000000,175830000000,177570000000,5373364
1531180800000000000,177530000000,177900000000,175900000000,175900000000,5581588
1531267200000000000,175510000000,177060000000,175510000000,176330000000,7704470
1531353600000000000,176900000000,179700000000,176580000000,179590000000,6749179
1531440000000000000,179800000000,179890000000,178960000000,179660000000,5865705
1531699200000000000,179930000000,180010000000,177730000000,178010000000,4282161
1531785600000000000,177700000000,180650000000,177190000000,180550000000,7427974
1531872000000000000,180250000000,180440000000,179380000000,179990000000,5343588
1531958400000000000,179640000000,179880000000,178740000000,179490000000,6618249
1532044800000000000,179700000000,180170000000,178750000000,178950000000,6300781
1532304000000000000,178370000000,180810000000,177740000000,180770000000,5508290
1532390400000000000,180440000000,182050000000,179560000000,180220000000,7508049
1532476800000000000,180300000000,183010000000,178700000000,180100000000,9245938
1532563200000000000,180080000000,181100000000,178680000000,180750000000,9150383
1532649600000000000,180980000000,181500000000,176610000000,177460000000,12835787
1532908800000000000,177150000000,177740000000,174270000000,175320000000,11682579
1532995200000000000,175380000000,177680000000,174820000000,176930000000,9862418
1533081600000000000,176690000000,177640000000,176130000000,177270000000,7805857
1533168000000000000,176210000000,179870000000,175560000000,179710000000,11257956
1533254400000000000,179570000000,180360000000,179090000000,179970000000,5672523
1533513600000000000,180070000000,181220000000,179740000000,181110000000,5779842
1533600000000000000,181620000000,182130000000,181260000000,181830000000,6307522
1533686400000000000,181850000000,182350000000,181060000000,181690000000,5784119
1533772800000000000,181800000000,182620000000,181550000000,181670000000,4485272
1533859200000000000,180940000000,181210000000,179840000000,180740000000,7602166
1534118400000000000,179800000000,182000000000,179750000000,180680000000,6409356
1534204800000000000,181590000000,181690000000,180040000000,181560000000,5181059
1534291200000000000,181400000000,181440000000,178120000000,179440000000,14362881
1534377600000000000,179940000000,180980000000,179380000000,179510000000,6801225
1534464000000000000,179820000000,180310000000,178270000000,179790000000,7679248
1534723200000000000,180590000000,180620000000,179010000000,179660000000,5127129
1534809600000000000,180010000000,181435000000,179020000000,179230000000,5856985
1534896000000000000,179730000000,181270000000,179680000000,181080000000,4319001
1534982400000000000,181070000000,182045000000,180510000000,180870000000,5643731
1535068800000000000,181280000000,182730000000,181150000000,182580000000,5881797
1535328000000000000,183180000000,184640000000,183110000000,184640000000,6158066
1535414400000000000,184500000000,185020000000,184225000000,184730000000,4205177
1535500800000000000,185070000000,186940000000,184660000000,186800000000,5862760
1535587200000000000,186510000000,187510000000,185790000000,186120000000,6391473
1535673600000000000,186170000000,187170000000,185980000000,187100000000,5919593
1536019200000000000,187220000000,187220000000,184860000000,186030000000,6237473
1536105600000000000,185460000000,185760000000,182830000000,183430000000,8159192
1536192000000000000,183500000000,183860000000,180590000000,181620000000,10061267
1536278400000000000,181500000000,182670000000,180230000000,180920000000,9329129
1536537600000000000,182050000000,182400000000,180730000000,181940000000,5675231
1536624000000000000,182150000000,183410000000,180520000000,183240000000,6486313
1536710400000000000,183650000000,183800000000,181020000000,182400000000,7841119
1536796800000000000,182680000000,184870000000,182680000000,184620000000,6891008
1536883200000000000,184990000000,185220000000,183260000000,183910000000,6609714
1537142400000000000,183900000000,184000000000,180310000000,180360000000,8856673
1537228800000000000,181530000000,183730000000,181370000000,182830000000,6820178
1537315200000000000,182900000000,183300000000,181510000000,183030000000,7250289
1537401600000000000,182750000000,185010000000,182700000000,184880000000,8093882
1537488000000000000,185560000000,185560000000,183200000000,183300000000,7712711
1537747200000000000,182480000000,184180000000,181310000000,184000000000,7302193
1537833600000000000,183920000000,184470000000,183170000000,184420000000,5450403
1537920000000000000,184810000000,185990000000,183830000000,184450000000,8527919
1538006400000000000,184200000000,186485000000,184200000000,185900000000,6678384
1538092800000000000,185620000000,186290000000,184800000000,186000000000,6312288
1538352000000000000,187200000000,187525000000,185700000000,186260000000,6013051
1538438400000000000,185880000000,187170000000,185190000000,185710000000,6364340
1538524800000000000,186120000000,186970000000,185520000000,185580000000,6068135
1538611200000000000,185080000000,185310000000,181060000000,182600000000,16421895
1538697600000000000,182050000000,182960000000,178430000000,180320000000,18438207
1538956800000000000,179890000000,180640000000,176940000000,179310000000,13598068
1539043200000000000,179080000000,181020000000,178170000000,179760000000,11322691
1539129600000000000,179300000000,179530000000,169990000000,170420000000,25489030
1539216000000000000,169900000000,173390000000,167810000000,171710000000,38770613
1539302400000000000,173510000000,174930000000,170935000000,174930000000,19694265
1539561600000000000,172870000000,174260000000,171570000000,172520000000,12380784
1539648000000000000,172900000000,178750000000,172740000000,178500000000,16165117
1539734400000000000,178570000000,178570000000,175480000000,176970000000,14486287
1539820800000000000,177390000000,177400000000,172450000000,173610000000,16176571
1539907200000000000,173950000000,176060000000,172400000000,172570000000,13761573
1540166400000000000,173890000000,175240000000,172590000000,173610000000,11638915
1540252800000000000,172290000000,174130000000,168820000000,173470000000,14705301
1540339200000000000,172270000000,173720000000,165040000000,166120000000,19223399
1540425600000000000,167970000000,172070000000,166470000000,167370000000,18308814
1540512000000000000,166430000000,169960000000,163860000000,167200000000,26388715
1540771200000000000,168000000000,170040000000,160100000000,163620000000,22958241
1540857600000000000,164750000000,166990000000,162020000000,166300000000,20263205
1540944000000000000,167290000000,171250000000,167060000000,169650000000,15431531
1541030400000000000,169200000000,172420000000,168790000000,170670000000,11548401
1541116800000000000,172960000000,173390000000,168230000000,169600000000,14615043
1541376000000000000,169490000000,170310000000,167080000000,169200000000,8713458
1541462400000000000,168810000000,171190000000,168150000000,170340000000,6862642
1541548800000000000,172710000000,175800000000,171730000000,175490000000,12475759
1541635200000000000,175500000000,175600000000,173630000000,174150000000,9270203
1541721600000000000,173350000000,173570000000,170170000000,171070000000,9381427
1541980800000000000,171630000000,171930000000,166180000000,166400000000,13440566
1542067200000000000,167800000000,169480000000,166000000000,167510000000,15472125
1542153600000000000,165150000000,168700000000,164260000000,165000000000,17136747
1542240000000000000,166210000000,168540000000,163460000000,167320000000,14512881
1542326400000000000,167090000000,168310000000,165760000000,168000000000,12713678
1542585600000000000,168550000000,168550000000,161550000000,162080000000,16878011
1542672000000000000,160810000000,161380000000,157130000000,158700000000,21800683
1542758400000000000,160700000000,161960000000,159950000000,160480000000,9903040
1542931200000000000,159720000000,160840000000,158300000000,159100000000,5110884
1543190400000000000,161750000000,163180000000,160760000000,161890000000,11157782
1543276800000000000,162150000000,164000000000,161190000000,163860000000,7695479
1543363200000000000,163910000000,168720000000,163720000000,168410000000,14631543
1543449600000000000,168160000000,169260000000,166830000000,168220000000,9723142
1543536000000000000,168070000000,169840000000,167500000000,169740000000,7167331
1543795200000000000,173700000000,173880000000,171040000000,171750000000,11383704
1543881600000000000,171300000000,171900000000,165440000000,166300000000,16701228
