ts_event,open,high,low,close,volume
1525179600000000000,7130000000,7150000000,7020000000,7150000000,10898
1525183200000000000,7150000000,7320000000,7120000000,7270000000,6731
1525186800000000000,7280000000,7300000000,7260000000,7290000000,6751
1525190400000000000,7270000000,7460000000,7270000000,7450000000,36607
1525194000000000000,7450000000,7450000000,7300000000,7310000000,8590
1525197600000000000,7330000000,7330000000,7260000000,7310000000,7993
1525201200000000000,7300000000,7340000000,7260000000,7340000000,13167
1525204800000000000,7320000000,7330000000,7310000000,7330000000,6266
1525208400000000000,7330000000,7330000000,7330000000,7330000000,3
1525266000000000000,7370000000,7370000000,7200000000,7240000000,11192
1525269600000000000,7230000000,7320000000,7230000000,7290000000,10796
1525273200000000000,7260000000,7290000000,7250000000,7250000000,22314
1525276800000000000,7300000000,7320000000,7260000000,7260000000,3200
1525280400000000000,7260000000,7270000000,7250000000,7250000000,3805
1525284000000000000,7260000000,7290000000,7250000000,7280000000,2116
1525287600000000000,7260000000,7260000000,7130000000,7210000000,14274
1525291200000000000,7240000000,7240000000,7240000000,7240000000,34336
1525352400000000000,7130000000,7230000000,7130000000,7230000000,9699
1525356000000000000,7210000000,7220000000,7170000000,7180000000,15046
1525359600000000000,7180000000,7300000000,7180000000,7290000000,7215
1525363200000000000,7290000000,7320000000,7190000000,7320000000,7335
1525366800000000000,7320000000,7390000000,7250000000,7300000000,7289
1525370400000000000,7300000000,7350000000,7300000000,7350000000,1480
1525374000000000000,7340000000,7670000000,7330000000,7650000000,50306
1525377600000000000,7640000000,7640000000,7640000000,7640000000,24843
1525381200000000000,7650000000,7650000000,7650000000,7650000000,200
1525384800000000000,7670000000,7690000000,7670000000,7690000000,325
1525435200000000000,7980000000,8380000000,7980000000,8340000000,7471
1525438800000000000,7900000000,8000000000,7630000000,7900000000,40392
1525442400000000000,7900000000,8150000000,7680000000,7840000000,21349
1525446000000000000,7850000000,7850000000,7730000000,7730000000,12312
1525449600000000000,7750000000,7750000000,7450000000,7450000000,11550
1525453200000000000,7470000000,7610000000,7440000000,7600000000,7311
1525456800000000000,7600000000,7640000000,7540000000,7580000000,6895
1525460400000000000,7580000000,7650000000,7510000000,7520000000,13161
1525464000000000000,7560000000,7560000000,7560000000,7560000000,4659
1525471200000000000,7600000000,7600000000,7600000000,7600000000,100
1525698000000000000,7310000000,7540000000,7310000000,7400000000,14291
1525701600000000000,7400000000,7620000000,7400000000,7580000000,18336
1525705200000000000,7630000000,7710000000,7610000000,7650000000,7221
1525708800000000000,7670000000,7800000000,7670000000,7750000000,47493
1525712400000000000,7740000000,7740000000,7650000000,7660000000,4822
1525716000000000000,7680000000,7740000000,7680000000,7700000000,2851
1525719600000000000,7690000000,7710000000,7510000000,7540000000,13776
1525723200000000000,7580000000,7580000000,7580000000,7580000000,4080
1525784400000000000,7560000000,7710000000,7400000000,7500000000,25930
1525788000000000000,7480000000,7500000000,7340000000,7370000000,14261
1525791600000000000,7390000000,7390000000,7360000000,7360000000,6326
1525795200000000000,7360000000,7420000000,7360000000,7370000000,6266
1525798800000000000,7370000000,7400000000,7360000000,7360000000,4303
1525802400000000000,7360000000,7410000000,7360000000,7390000000,7213
1525806000000000000,7380000000,7420000000,7360000000,7390000000,9210
1525809600000000000,7400000000,7400000000,7400000000,7400000000,4249
1525863600000000000,7500000000,7500000000,7500000000,7500000000,25
1525870800000000000,7610000000,7610000000,7400000000,7450000000,8849
1525874400000000000,7440000000,7440000000,7330000000,7350000000,6766
1525878000000000000,7340000000,7550000000,7340000000,7500000000,28190
1525881600000000000,7500000000,7590000000,7460000000,7460000000,13382
1525885200000000000,7460000000,7570000000,7460000000,7530000000,14523
1525888800000000000,7530000000,7540000000,7380000000,7410000000,11476
1525892400000000000,7400000000,7455000000,7350000000,7430000000,16181
1525896000000000000,7440000000,7440000000,7440000000,7440000000,54798
1525957200000000000,7410000000,7590000000,7410000000,7510000000,17220
1525960800000000000,7470000000,7540000000,7420000000,7530000000,4191
1525964400000000000,7530000000,7530000000,7420000000,7470000000,3022
1525968000000000000,7490000000,7650000000,7470000000,7470000000,38988
1525971600000000000,7485000000,7515000000,7360000000,7400000000,10443
1525975200000000000,7390000000,7390000000,7290000000,7290000000,7379
1525978800000000000,7290000000,7290000000,7150000000,7220000000,17132
1525982400000000000,7230000000,7230000000,7230000000,7230000000,55221
1526036400000000000,7500000000,7500000000,7480000000,7480000000,175
1526040000000000000,7250000000,7250000000,7250000000,7250000000,600
1526043600000000000,7440000000,7470000000,7300000000,7340000000,22873
