ts_event,open,high,low,close,volume
1636502400000000000,106750000000,119440000000,95200000000,106000000000,39077324
1636588800000000000,107000000000,125000000000,105160000000,122000000000,22950156
1636675200000000000,123350000000,135200000000,122790000000,130900000000,12304976
1636934400000000000,132000000000,154490000000,125550000000,153200000000,16179705
1637020800000000000,153100000000,179450000000,151390000000,172800000000,28452832
1637107200000000000,172000000000,178660000000,140160000000,140720000000,19612794
1637193600000000000,140410000000,144000000000,120150000000,123150000000,19369052
1637280000000000000,122600000000,139900000000,121400000000,127330000000,11480728
1637539200000000000,125000000000,127000000000,106920000000,115760000000,9015767
1637625600000000000,115500000000,124000000000,111930000000,118880000000,4803277
1637712000000000000,119700000000,120500000000,113500000000,114860000000,2417869
1637884800000000000,114750000000,114750000000,106150000000,111440000000,2177723
1638144000000000000,114500000000,122250000000,112590000000,119600000000,3062156
1638230400000000000,118000000000,121490000000,114120000000,119120000000,9187358
1638316800000000000,119100000000,126700000000,113090000000,115600000000,3036785
1638403200000000000,115500000000,118410000000,107770000000,109700000000,2635036
1638489600000000000,110770000000,112730000000,100000000000,104110000000,3223204
1638748800000000000,103900000000,117480000000,100000000000,116950000000,4694745
1638835200000000000,118590000000,122180000000,112450000000,115330000000,2611741
1638921600000000000,116180000000,123450000000,112850000000,119930000000,2680529
1639008000000000000,120000000000,121330000000,114440000000,115170000000,2178020
1639094400000000000,115400000000,118030000000,110810000000,114590000000,2123271
1639353600000000000,114170000000,121600000000,113960000000,118340000000,3360355
1639440000000000000,118300000000,118300000000,112700000000,116390000000,1929546
1639526400000000000,116420000000,116990000000,109200000000,115840000000,2879350
1639612800000000000,116500000000,119010000000,95750000000,98500000000,3581275
1639699200000000000,99330000000,101670000000,92620000000,97730000000,15466681
1639958400000000000,95020000000,96400000000,88400000000,90790000000,4277636
1640044800000000000,90820000000,98380000000,90820000000,96840000000,3025224
1640131200000000000,96490000000,99720000000,93400000000,95880000000,1799427
1640217600000000000,97000000000,97800000000,93830000000,96610000000,1248287
1640563200000000000,96560000000,107490000000,96000000000,106700000000,3019988
1640649600000000000,106880000000,108300000000,101040000000,102570000000,1632677
1640736000000000000,104500000000,104500000000,96620000000,98600000000,1469067
1640822400000000000,99080000000,105270000000,98500000000,103180000000,1939238
1640908800000000000,103000000000,106110000000,102280000000,103780000000,1223839
1641168000000000000,105000000000,106550000000,100250000000,102780000000,1597051
1641254400000000000,103900000000,106800000000,99040000000,101350000000,2805357
1641340800000000000,101290000000,101370000000,89280000000,90600000000,4310857
1641427200000000000,91580000000,92190000000,75140000000,88000000000,8048895
1641513600000000000,88260000000,89240000000,81630000000,86380000000,3088573
1641772800000000000,86300000000,86500000000,76660000000,78400000000,3493521
1641859200000000000,79260000000,86570000000,77560000000,83510000000,3784516
1641945600000000000,84000000000,88050000000,82620000000,86000000000,3183311
1642032000000000000,86250000000,87000000000,79900000000,80770000000,3316612
1642118400000000000,80600000000,82000000000,77010000000,79700000000,3387734
1642464000000000000,78460000000,78460000000,72860000000,73360000000,3036813
1642550400000000000,73160000000,76310000000,68880000000,69020000000,2888812
1642636800000000000,70000000000,72060000000,61000000000,63800000000,3624918
1642723200000000000,63500000000,67125000000,60520000000,64100000000,4433937
1642982400000000000,64300000000,65500000000,55100000000,63000000000,5329839
1643068800000000000,62000000000,62600000000,58000000000,60030000000,4053413
1643155200000000000,61110000000,68070000000,58310000000,61170000000,5028128
1643241600000000000,60270000000,62300000000,53340000000,54510000000,4921897
1643328000000000000,55000000000,57290000000,50000000000,57100000000,5766533
1643587200000000000,57520000000,65930000000,56770000000,65680000000,4170697
1643673600000000000,65880000000,71500000000,62370000000,69200000000,4423082
1643760000000000000,69620000000,71150000000,61500000000,61500000000,3304178
1643846400000000000,61700000000,63890000000,59000000000,62710000000,4123831
1643932800000000000,63010000000,63500000000,59110000000,61250000000,2813899
1644192000000000000,61130000000,63800000000,57530000000,58700000000,2619750
1644278400000000000,58360000000,61500000000,56460000000,61050000000,2410415
1644364800000000000,62000000000,65120000000,60750000000,64520000000,2836711
1644451200000000000,64300000000,68980000000,60660000000,64600000000,3541879
1644537600000000000,63570000000,66300000000,57700000000,58870000000,4024634
1644796800000000000,58210000000,66320000000,56600000000,63050000000,5542866
1644883200000000000,64200000000,67170000000,63880000000,66200000000,2859499
1644969600000000000,66300000000,66950000000,63350000000,66200000000,2280189
1645056000000000000,65000000000,71490000000,64000000000,65100000000,4040799
1645142400000000000,66200000000,66880000000,63020000000,65800000000,3110948
1645488000000000000,65200000000,69090000000,59760000000,63000000000,4515120
1645574400000000000,63880000000,64500000000,57010000000,57100000000,3941927
1645660800000000000,55550000000,64430000000,52300000000,62120000000,5094748
1645747200000000000,62700000000,64780000000,60820000000,63320000000,2537122
1646006400000000000,61930000000,68140000000,61930000000,66140000000,4307747
1646092800000000000,66200000000,66690000000,60810000000,61020000000,3582409
1646179200000000000,61100000000,61930000000,53270000000,53700000000,7184956
1646265600000000000,53560000000,55990000000,50025000000,50750000000,6694383
1646352000000000000,50910000000,51620000000,46660000000,46910000000,5374925
1646611200000000000,47010000000,49440000000,42090000000,42300000000,4888791
1646697600000000000,42400000000,45060000000,39860000000,42450000000,6239051
1646784000000000000,43500000000,46210000000,42700000000,45030000000,3699969
1646870400000000000,44620000000,46000000000,34480000000,35840000000,7091356
