ts_event,open,high,low,close,volume
1525132800000000000,35710000000,36380000000,35330000000,36370000000,231485
1525219200000000000,36750000000,36750000000,35680000000,35840000000,313205
1525305600000000000,35720000000,35770000000,34890000000,35250000000,151572
1525392000000000000,34880000000,36560000000,34700000000,36320000000,185573
1525651200000000000,36590000000,36790000000,35880000000,36790000000,133784
1525737600000000000,36730000000,37480000000,36550000000,36880000000,147828
1525824000000000000,36530000000,36850000000,35720000000,35970000000,127757
1525910400000000000,35970000000,36460000000,35800000000,36460000000,81499
1525996800000000000,36440000000,36880000000,36320000000,36760000000,119609
1526256000000000000,36410000000,36840000000,35670000000,35910000000,149689
1526342400000000000,35740000000,36425000000,35540000000,36170000000,221267
1526428800000000000,36100000000,37590000000,36060000000,37100000000,151635
1526515200000000000,36920000000,37790000000,36920000000,37030000000,276788
1526601600000000000,37020000000,37260000000,36420000000,37010000000,136929
1526860800000000000,37290000000,38390000000,37070000000,37270000000,222637
1526947200000000000,37650000000,38050000000,36350000000,36530000000,177094
1527033600000000000,36200000000,36550000000,35840000000,36530000000,142824
1527120000000000000,36660000000,36940000000,35890000000,36780000000,155056
1527206400000000000,36690000000,38520000000,36690000000,38150000000,192991
1527552000000000000,38010000000,38230000000,37120000000,37340000000,157094
1527638400000000000,37220000000,37250000000,36210000000,36770000000,189156
1527724800000000000,36710000000,37000000000,36210000000,36600000000,134936
1527811200000000000,36835000000,37640000000,36710000000,37120000000,145374
1528070400000000000,37370000000,38050000000,37260000000,37980000000,150855
1528156800000000000,37550000000,38020000000,36790000000,37030000000,208516
1528243200000000000,36450000000,37280000000,36260000000,37070000000,119342
1528329600000000000,37300000000,37470000000,36880000000,37310000000,59765
1528416000000000000,37290000000,37290000000,36490000000,37230000000,125077
1528675200000000000,37250000000,38185000000,37250000000,37710000000,134963
1528761600000000000,37680000000,38050000000,37160000000,37780000000,171969
1528848000000000000,37880000000,38450000000,37290000000,37290000000,148813
1528934400000000000,37630000000,38450000000,37570000000,38040000000,177061
1529020800000000000,38110000000,39740000000,37900000000,39740000000,251181
1529280000000000000,39190000000,39570000000,39140000000,39420000000,155313
1529366400000000000,39340000000,39510000000,38310000000,38550000000,202818
1529452800000000000,38550000000,38900000000,38380000000,38780000000,284098
1529539200000000000,38730000000,39240000000,38540000000,38710000000,222834
1529625600000000000,38650000000,39080000000,37950000000,38480000000,276590
1529884800000000000,38400000000,38660000000,36060000000,36280000000,313497
1529971200000000000,36330000000,36510000000,35320000000,35540000000,200117
1530057600000000000,35550000000,35680000000,34800000000,35360000000,255894
1530144000000000000,35280000000,35530000000,34380000000,35340000000,258339
1530230400000000000,35370000000,37080000000,35370000000,36390000000,194843
1530489600000000000,36290000000,37130000000,35660000000,37110000000,204562
1530576000000000000,36910000000,37380000000,36770000000,37070000000,108909
1530748800000000000,37190000000,37640000000,36870000000,37590000000,210785
1530835200000000000,37540000000,37830000000,37290000000,37600000000,165657
1531094400000000000,37660000000,37970000000,37420000000,37940000000,312424
1531180800000000000,37905000000,37905000000,36830000000,37470000000,278545
1531267200000000000,36795000000,36830000000,35750000000,36090000000,195400
1531353600000000000,37650000000,40030000000,37200000000,39830000000,846702
1531440000000000000,40080000000,41170000000,39740000000,41090000000,326682
1531699200000000000,41030000000,41090000000,38940000000,39040000000,254438
1531785600000000000,39200000000,40210000000,39120000000,40090000000,256053
1531872000000000000,40630000000,41920000000,40630000000,41040000000,418001
1531958400000000000,40770000000,40990000000,40350000000,40470000000,267530
1532044800000000000,40210000000,40500000000,39750000000,40280000000,207416
1532304000000000000,40280000000,41800000000,40060000000,41800000000,331360
1532390400000000000,41790000000,41790000000,40260000000,40560000000,297648
1532476800000000000,41100000000,41550000000,40300000000,41470000000,302174
1532563200000000000,42240000000,44400000000,42000000000,42910000000,449569
1532649600000000000,43170000000,43850000000,42800000000,42800000000,197082
1532908800000000000,42690000000,43450000000,42520000000,42620000000,244025
1532995200000000000,42710000000,43570000000,42620000000,43400000000,210657
1533081600000000000,43600000000,43920000000,42400000000,42760000000,184873
1533168000000000000,42340000000,43260000000,41980000000,43000000000,154346
1533254400000000000,43530000000,43860000000,42530000000,42590000000,269176
1533513600000000000,42250000000,43450000000,42220000000,43390000000,155516
1533600000000000000,43340000000,43550000000,43080000000,43460000000,148843
1533686400000000000,43590000000,44140000000,43320000000,43870000000,128962
1533772800000000000,43970000000,44320000000,43830000000,43830000000,98593
1533859200000000000,44150000000,44180000000,43090000000,43910000000,135278
1534118400000000000,43870000000,44060000000,43440000000,43440000000,87184
1534204800000000000,43800000000,44700000000,43700000000,44490000000,124584
1534291200000000000,44500000000,44900000000,44270000000,44750000000,126850
1534377600000000000,44840000000,44850000000,43710000000,43710000000,154923
1534464000000000000,43870000000,44770000000,43670000000,44710000000,178103
1534723200000000000,44870000000,46230000000,44870000000,45720000000,126133
1534809600000000000,45950000000,46840000000,45950000000,46840000000,146543
1534896000000000000,46280000000,46290000000,45120000000,45200000000,90348
